"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Album Release Date","Disc Number","Track Number","Track Duration (ms)","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature"
"spotify:track:0YvBlBV8C8xkAaw1Nk1V0a","Where You Goin'","spotify:artist:67pW04a6jpdQR2yWqjcfxs, spotify:artist:3OHpCwqBDDEaMJcP5chJlJ, spotify:artist:2PC54ZJmhrs4XtbLRaE6MA","Bluestaeb, Berlin Zoo, JuJu Rogers","spotify:album:15B7LrLSz9uHAGpTRSXhBO","Blue Friday","2016-12-08","1","6","226008","false","29","spotify:user:1227113","2016-12-30T15:59:23Z","chillhop,jazz boom bap,indie deutschrap","0.645","0.606","9","-6.79","0","0.341","0.587","0.318","0.0801","0.68","85.297","4"
"spotify:track:3TpXajg1nKzG3ngc9tBwrD","Easily","spotify:artist:0hDjKSKjl1DC7ovYTDJHe8","Bruno Major","spotify:album:6q8ucEDesX2Tk4F864VcYB","Easily","2016-11-25","1","1","210240","false","3","spotify:user:1227113","2017-01-06T03:41:46Z","indie cafe pop,pop","0.772","0.256","7","-8.545","0","0.0481","0.491","0.00612","0.144","0.357","118.902","3"
"spotify:track:7x2biGtrDKgTPkOmzJIGgs","Coffee","spotify:artist:3kHVioJpVxlazAAKQ64pC1","Yuna","spotify:album:0jucZV5191xH6zM5f2iuet","Decorate","2011-03-15","1","4","171857","false","0","spotify:user:1227113","2017-01-08T21:04:11Z","alternative r&b,malaysian pop","0.264","0.171","4","-15.292","0","0.0461","0.841","0.00000948","0.2","0.136","174.036","4"
"spotify:track:2Uvy6SkNqxvnH1W68dymxG","Redbone","spotify:artist:73sIBHcqh3Z3NyqHKZ7FOL","Childish Gambino","spotify:album:0jR6E4KQGrVLbnG6Fw3pe9","""Awaken, My Love!""","2016-12-02","1","6","326933","true","1","spotify:user:1227113","2017-01-08T21:25:12Z","atl hip hop,hip hop,pop rap,rap","0.745","0.359","1","-10.429","1","0.112","0.192","0.00628","0.138","0.55","160.123","4"
"spotify:track:2apkK4T372pg9YAubDfSPx","Learning To Fly","spotify:artist:3SAMS1olAlq6wJ8Y7CApjs","Miles Bonny","spotify:album:4r7egqchmf7f60VQ4i9bW0","Lumberjack Soul","2011-06-24","1","8","199306","false","0","spotify:user:1227113","2017-01-08T21:35:50Z","bass trip","0.583","0.577","10","-8.016","0","0.0577","0.497","0.0444","0.452","0.363","92.034","4"
"spotify:track:2gf3kcfeQBRh4DhmmbTyQW","Ignore","spotify:artist:1crlEwxm5dcQjCcgCJEyqg","Abhi//Dijon","spotify:album:2hxLUSHHRjiGKUuNuvr7Au","Montana - EP","2016-10-12","1","2","140116","false","28","spotify:user:1227113","2017-01-08T21:36:07Z","alternative r&b","0.785","0.182","5","-9.894","0","0.216","0.916","0.000153","0.147","0.68","91.011","4"
"spotify:track:1Xu47hsEbyKfdmlV2DgQw9","Waiting","spotify:artist:2FwDTncULUnmANIh7qKa5z, spotify:artist:7kdIgG6b9e3DZVmroWzu9w","FKJ, Madelyn Grant","spotify:album:5C2k85Yfu861tvVcP5vpY1","Take Off","2014-07-21","1","1","262317","false","0","spotify:user:1227113","2017-01-08T21:36:43Z","filter house,indie soul","0.674","0.643","4","-6.955","0","0.0436","0.386","0.17","0.106","0.358","82.103","4"
"spotify:track:25GlFJq5QNAXyVgJvCZ4Mf","Heart Don't Stand a Chance","spotify:artist:3jK9MiCrA42lLAdMGUZpwa","Anderson .Paak","spotify:album:4VFG1DOuTeDMBjBLZT7hCK","Malibu","2016-01-15","1","2","312360","true","65","spotify:user:1227113","2017-01-08T22:18:14Z","escape room","0.685","0.545","7","-6.189","1","0.061","0.173","0.0000144","0.237","0.506","94.061","4"
"spotify:track:0dbLBOUh7EykgXpxqEROg2","Carry Me Home","spotify:artist:1CoZyIx7UvdxT5c8UkMzHd, spotify:artist:0ukgrNYk51TkMQr0f2Br4Q","Jorja Smith, Maverick Sabre","spotify:album:66opqouNjfCMZBHEEwrfv2","Project 11","2016-11-18","1","4","282329","false","0","spotify:user:1227113","2017-01-08T22:32:56Z","pop,uk contemporary r&b,indie soul,irish hip hop","0.471","0.352","2","-9.699","1","0.0391","0.633","0.0000275","0.115","0.102","118.333","3"
"spotify:track:0G6qY79vAC1kDankrwIKzM","Something in the Way","spotify:artist:1CoZyIx7UvdxT5c8UkMzHd","Jorja Smith","spotify:album:66opqouNjfCMZBHEEwrfv2","Project 11","2016-11-18","1","1","275796","false","0","spotify:user:1227113","2017-01-08T22:35:58Z","pop,uk contemporary r&b","0.633","0.459","2","-7.462","0","0.0446","0.355","0.000013","0.0715","0.255","60.603","4"
