"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Album Release Date","Disc Number","Track Number","Track Duration (ms)","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature"
"spotify:track:5dccR8Eu24m9kVOUiUVjWw","Intentions","spotify:artist:42M1JjOrg3qLv4mzYyLaya","Goldwater","spotify:album:6s7K1zxhfc0DrSfKRzTXK7","Intentions","2017-10-19","1","1","213054","true","25","spotify:user:1227113","2017-11-10T16:08:33Z","future bass","0.498","0.54","1","-8.909","0","0.114","0.549","0.652","0.0712","0.115","83.975","4"
"spotify:track:1Al2pz938zyGNlTkQIMwta","Sugar","spotify:artist:0GgkfnO3Bu2CFn65ZH31TF, spotify:artist:4CnnJSJKqQKhuTPTo9P3PC","Freddie Joachim, K Le Maestro","spotify:album:48ItznR2wdyzd5tHVhP1LL","Sugar","2017-11-03","1","1","217934","false","39","spotify:user:1227113","2017-11-10T16:10:27Z","ambeat,chillhop,jazz boom bap","0.666","0.534","8","-6.421","0","0.0453","0.000315","0.596","0.225","0.452","88.097","4"
"spotify:track:3nA4wsA4TZJT2fWxqniPvJ","Problems","spotify:artist:6gK1Uct5FEdaUWRWpU4Cl2, spotify:artist:1aSwrSGBNGMLn9ymttfRkk","Petit Biscuit, Lido","spotify:album:34hTSAhmbE7SO94J7cp0Px","Problems","2017-11-08","1","1","219933","false","0","spotify:user:1227113","2017-11-10T16:10:57Z","new french touch,tropical house,future bass,norwegian pop,vapor twitch","0.802","0.371","6","-9.087","0","0.131","0.571","0.00000382","0.108","0.263","113.951","4"
"spotify:track:6k3sl3Hs6bNN497d672gpR","Eclipse (Prod. By Daniel Obi Klein)","spotify:artist:52zMTJCKluDlFwMQWmccY7","LOONA","spotify:album:579Sgz4tNrKVhrcma3AwPi","Kim Lip","2017-05-23","1","1","231237","false","0","spotify:user:1227113","2017-11-10T16:11:04Z","k-pop,k-pop girl group","0.538","0.782","6","-4.299","0","0.101","0.394","0","0.122","0.447","97.513","4"
"spotify:track:0IjVJk7EZK5V71LUwk6OjC","Warm Thoughts","spotify:artist:6nxWCVXbOlEVRexSbLsTer","Flume","spotify:album:5vaoiQeWdC1ssSaM2WjcjZ","Flume: Deluxe Edition","2013-11-11","1","13","228376","false","0","spotify:user:1227113","2017-11-10T16:11:12Z","australian dance,australian electropop,australian indie,downtempo,edm","0.533","0.883","5","-6.839","0","0.13","0.041","0.014","0.0856","0.612","167.95","4"
"spotify:track:4hSmf8XVhEkQNz1ukDYOqi","TakeMee","spotify:artist:2DfpfU9DpRLC3EuWLKyy4m, spotify:artist:6MfKvHA64hLnQEJ9E5M7FT","J.Robb, Devin Tracy","spotify:album:5vUuQXf7VGM78XJziKwd3V","Soulection White Label - J.Robb","2017-11-03","1","1","288000","false","25","spotify:user:1227113","2017-11-10T16:11:28Z","alternative r&b,indie r&b,neo r&b","0.624","0.394","6","-10.507","0","0.119","0.0292","0.0159","0.264","0.818","77.534","4"
"spotify:track:3URWGCvAnCRcubeee7iHI6","Jazzercise","spotify:artist:4dCoC3RrPpjIgrF3LfIBB8, spotify:artist:1POk07q5vJ4NcdOgkLyPzp","Thelonious Martin, Michael Christmas","spotify:album:5K1VGWKvS7YU2hEEP1UqVi","Wünderkid","2014-12-02","1","12","171322","true","12","spotify:user:1227113","2017-11-10T16:12:16Z","boston hip hop,indie hip hop,underground hip hop","0.65","0.582","6","-9.57","0","0.394","0.144","0","0.236","0.902","81.881","4"
"spotify:track:2ufPjMvoKh5faIWqg7gPPo","Maria También","spotify:artist:2mVVjNmdjXZZDvhgQWiakk","Khruangbin","spotify:album:7LRfrmhkp301VsTrYiiXuu","Maria También","2017-10-31","1","1","190999","false","39","spotify:user:1227113","2017-11-10T16:12:24Z","neo-psychedelic","0.749","0.629","6","-7.325","0","0.0456","0.00275","0.847","0.542","0.853","103.607","4"
"spotify:track:20R3IW4MbuDHWEsAQeLlDs","Slide","spotify:artist:1dAZApOwTI2FsXbgfmfrmm","Zikomo","spotify:album:3s5jjaR9m0owFACWbybBkw","Slide","2017-10-26","1","1","202768","false","30","spotify:user:1227113","2017-11-10T16:12:31Z","","0.916","0.277","3","-12.569","0","0.391","0.837","0.947","0.106","0.534","108.724","4"
"spotify:track:5GUvXUx0GbyBKO2f8yQxFn","Mona Lisa","spotify:artist:31QM5dBtewZL65p9hCnXKK, spotify:artist:4p75GTNEXwsAAkpweMVtKo","Naji, Monte Booker","spotify:album:2GIpiGRpQP1Z3LbyFGs2Ej","Mona Lisa","2016-12-04","1","1","184888","false","0","spotify:user:1227113","2017-11-10T16:13:30Z","alternative r&b,viral rap","0.586","0.404","1","-10.402","0","0.21","0.692","0.00372","0.0908","0.347","90.563","5"
"spotify:track:6iLSlByiI9g5coeyPZzMoc","Cinema - Inst.","spotify:artist:5HenzRvMtSrgtvU16XAoby","Zion.T","spotify:album:2JwgCL53vA3Y2oVDOCold3","OO","2017-02-01","1","8","212650","false","10","spotify:user:1227113","2017-11-10T16:14:04Z","k-indie,k-pop,k-rap,korean pop,korean r&b","0.773","0.482","11","-10.61","0","0.205","0.457","0.947","0.318","0.33","85.987","4"
"spotify:track:5Rj6KcqlYz5q64u1mMyUf3","Moodolude 06","spotify:artist:37nE9g0LRDhDSIejDuPKPS","Evil Needle","spotify:album:33i5fjj0UlO6Z5Q2zXv0eo","Abyssal","2017-09-29","1","4","224839","false","0","spotify:user:1227113","2017-11-10T16:14:52Z","chillhop,vapor twitch","0.636","0.0669","7","-15.562","1","0.0872","0.167","0.887","0.0748","0.177","173.994","4"
"spotify:track:0Bq786zqpKxYNeos7Tn5Kk","Everybody's Someone in LA","spotify:artist:4JoqKyiPAsXMuc8mkF25Ju","nite swim","spotify:album:2YbuSwRKkaFbT6Q6Tm9O9D","Everybody's Someone in LA","2017-08-18","1","1","160000","false","28","spotify:user:1227113","2017-11-10T16:15:02Z","","0.756","0.583","10","-10.627","0","0.0517","0.0749","0.0265","0.159","0.549","89.962","4"
"spotify:track:4HW5kSQ8M2IQWZhSxERvla","Spice Girl","spotify:artist:3Gm5F95VdRxW3mqCn8RPBJ","Aminé","spotify:album:3lajefIuUk4SfzqVBSJy8p","Good For You","2017-07-28","1","5","173946","true","72","spotify:user:1227113","2017-11-10T16:15:31Z","hip hop,pop rap,portland hip hop,rap,underground hip hop","0.693","0.46","0","-7.912","0","0.226","0.392","0","0.157","0.873","78.09","4"
"spotify:track:4gdtiqF83iB0WZETm8xmTM","27 (feat. rAHHH)","spotify:artist:3Za28S9hIyeyGQmAk8d4FV, spotify:artist:1Y6WK1BxA34xgovJAKPYki","Lorenzo_BITW, rAHHH","spotify:album:5XYzeEkaXjBrxAYjdeQNoP","Branko Presents: Enchufada Na Zona","2017-07-07","1","1","210000","false","0","spotify:user:1227113","2017-11-10T16:15:51Z","batida","0.929","0.445","5","-10.807","0","0.0547","0.214","0.693","0.126","0.263","105.97","4"
"spotify:track:2zk7TQx9Xa4yxYmsjgDCPp","Somehow.","spotify:artist:0oBsnAC3fzYkTHF3bkfNx6","Phony Ppl","spotify:album:6IGDCUkBJ3LEUoAcoTD46u","Yesterday's Tomorrow","2015-01-13","1","15","230973","false","57","spotify:user:1227113","2017-11-10T16:16:08Z","alternative r&b,indie r&b,indie soul","0.502","0.399","11","-9.934","1","0.0295","0.719","0.00363","0.645","0.124","92.904","4"
