"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Album Release Date","Disc Number","Track Number","Track Duration (ms)","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature"
"spotify:track:1GYQH7xr9KlnqRvbVXxaAZ","Right Now (feat. ELHAE, D.R.A.M. & H.E.R.)","spotify:artist:2FwJwEswyIUAljqgjNSHgP, spotify:artist:2zfPM2hlFhUEv76OzK6XWf, spotify:artist:5M0lbkGluOPXLeFjApw8r8, spotify:artist:3Y7RZ31TRPVadSFVy1o8os","Snakehips, ELHAE, Shelley FKA DRAM, H.E.R.","spotify:album:4RF4OhkM0LYZGeX6ve9CNr","Right Now (feat. ELHAE, D.R.A.M. & H.E.R.)","2017-06-02","1","1","235892","true","47","spotify:user:1227113","2017-06-03T13:55:28Z","dance pop,edm,electro house,electropop,indie poptimism,pop,pop dance,tropical house,pop rap,rap,trap,virginia hip hop,alternative r&b,dance pop,pop,pop rap,r&b,urban contemporary","0.643","0.637","5","-5.93","0","0.11","0.153","0","0.172","0.561","144.048","4"
"spotify:track:6kokXKEbCgKAlkhcJssgh1","Into the Fire (feat. Mikky Ekko)","spotify:artist:5vSQUyT33qxr1xAX2Tkf3A, spotify:artist:1buzCmyYZE4kcdLRudsb8V","Clams Casino, Mikky Ekko","spotify:album:7Amrg2WughWQXMEmUfjhl3","32 Levels (Deluxe)","2016-07-15","1","9","208440","false","35","spotify:user:1227113","2017-06-03T13:55:42Z","chillwave,experimental hip hop,psychedelic hip hop,underground hip hop,wave,witch house,acoustic pop,nashville indie","0.651","0.64","6","-4.042","1","0.0289","0.00011","0.00000221","0.101","0.355","91.491","4"
"spotify:track:7vt3bmjV7nBiXFSORkjeFO","Talk To Me You'll Understand","spotify:artist:1Ma3pJzPIrAyYPNRkp3SUF","Ross from Friends","spotify:album:0PS8yuHp9CAqDguXPKSJAg","You'll Understand","2017-02-10","1","1","417099","false","0","spotify:user:1227113","2017-06-03T13:56:10Z","deep house,electronica,float house,indie soul,lo-fi house","0.741","0.621","1","-11.365","0","0.0511","0.664","0.699","0.124","0.149","126.004","4"
"spotify:track:5X5XhvErlZwcy9Mj0O2aVV","Love Falls Down","spotify:artist:6oPQiSj92N4mk5jXLtX1bl","Poppy Ajudha","spotify:album:08WEyVCx9yGsm8as4jbyOZ","Love Falls Down","2017-02-24","1","1","315983","false","35","spotify:user:1227113","2017-06-03T13:56:19Z","indie soul,uk contemporary r&b","0.582","0.518","11","-9.912","1","0.0503","0.353","0.0111","0.116","0.568","155.922","4"
"spotify:track:0TXMdspi7Q0sBFE4UN1ZRr","X2 (Dble)","spotify:artist:6CLayzfExGy0fSn5IT0aX4","A2","spotify:album:48C4xSt7el74wHanm6rI9K","X2 (Dble)","2016-10-11","1","1","246000","true","28","spotify:user:1227113","2017-06-03T13:56:31Z","trap soul,uk alternative hip hop","0.54","0.644","6","-7.714","1","0.425","0.779","0","0.265","0.6","114.256","4"
"spotify:track:1ZcNO87YnXbVEPruIaPHOZ","Zuko","spotify:artist:0xNKgWtSixAqcwJLM2c8ez","Che Lingo","spotify:album:14aSMkArE2NDR3Nmah9zKY","Zuko","2017-01-30","1","1","225951","true","0","spotify:user:1227113","2017-06-03T13:56:48Z","uk alternative hip hop","0.723","0.594","10","-9.962","1","0.42","0.32","0","0.0802","0.172","111.665","4"
"spotify:track:1kXl5briZuREfvxLVGotwQ","Sam Cooke & Marvin Gaye","spotify:artist:4YLUMAgNyttwx4hUHgtBtR, spotify:artist:1HMhQzj2QXxR40zGDdaK6y, spotify:artist:1Naqgo0HMRoumRP0e2MXD9","Blue Lab Beats, Kojey Radical, Tiana Major9","spotify:album:4WWfe0vNIJD7TTs3LFgHXi","Sam Cooke & Marvin Gaye","2017-05-05","1","1","245546","false","14","spotify:user:1227113","2017-06-03T13:59:07Z","indie jazz,indie soul,neo r&b,uk contemporary jazz,uk alternative hip hop,alternative r&b,chill r&b,indie r&b,uk contemporary r&b","0.799","0.547","11","-5.662","0","0.179","0.31","0.00000351","0.0827","0.662","95.052","4"
"spotify:track:47l9wxr6RwgoTSfnseBRcf","Redbone","spotify:artist:73sIBHcqh3Z3NyqHKZ7FOL","Childish Gambino","spotify:album:7Ic1NAV1DsdpNHrYeLdC3L","Redbone","2016-11-17","1","1","326880","true","0","spotify:user:1227113","2017-06-04T16:28:32Z","atl hip hop,hip hop,pop rap,rap","0.747","0.378","1","-10.454","1","0.109","0.195","0.0173","0.119","0.565","160.049","4"
"spotify:track:08X9m3tpcthgrItjPVAmCu","Devastated","spotify:artist:2P5sC9cVZDToPxyomzF1UH","Joey Bada$$","spotify:album:58ljdPlwVJlhNurBLk1nbf","Devastated","2016-05-27","1","1","208397","true","13","spotify:user:1227113","2017-06-04T16:28:43Z","conscious hip hop,hip hop,rap,underground hip hop","0.837","0.481","10","-8.522","0","0.0801","0.12","0","0.309","0.578","122.98","4"
"spotify:track:6IqLjcvuupaCV5Y5RJptE9","Lyk Dis","spotify:artist:6PEMFpe3PTOksdV4ZXUpbE, spotify:artist:3jK9MiCrA42lLAdMGUZpwa, spotify:artist:17Zu03OgBVxgLxWmRUyNOJ","NxWorries, Anderson .Paak, Knxwledge","spotify:album:2SyFqzOgaadZVVfoAKyUab","Yes Lawd!","2016-10-21","1","7","150760","true","0","spotify:user:1227113","2017-06-04T16:28:52Z","hip hop,indie soul,escape room,abstract beats,alternative hip hop,alternative r&b,hip hop,indie r&b,indie soul,wonky","0.703","0.493","1","-6.217","0","0.278","0.0338","0","0.449","0.579","85.039","4"
"spotify:track:2yRsoZAdGswYiA4BZnPnvb","Dog Wushu","spotify:artist:0lVzm0fYj4BredTD0LMdSY","Leron Thomas","spotify:album:5USP4Wu8fep8n1VYhJ2TFS","Good Kung Fu","2016-09-07","1","3","208022","true","16","spotify:user:1227113","2017-06-04T16:28:59Z","indie jazz","0.517","0.191","6","-13.128","1","0.0641","0.974","0.645","0.11","0.138","73.728","4"
"spotify:track:1NK4vPmUusmuT3lmLdQiXu","Bounce","spotify:artist:3er7r6Hdg1VJzFfI4iLPzL","Joose The Conqueror","spotify:album:2Tn2sHsVdkWovpls4JjV22","Insomnia","2016-09-02","1","9","211000","true","35","spotify:user:1227113","2017-06-04T16:29:07Z","","0.881","0.601","6","-8.509","0","0.193","0.649","0.00000409","0.0788","0.421","107.087","4"
"spotify:track:4ygcdmPyBFEaf25SEEsKrz","Beep Street","spotify:artist:4mtHSXwIHihO6MWNq5Qoko","Squarepusher","spotify:album:1CPBXIsx6Km7ZvDmvM0gYS","Hard Normal Daddy","1997","1","2","397133","false","45","spotify:user:1227113","2017-06-04T16:29:13Z","abstract,bass music,drill and bass,electro,electronica,intelligent dance music,microhouse,ninja,trip hop","0.499","0.82","5","-8.835","0","0.0541","0.0756","0.869","0.0849","0.598","161.449","4"
"spotify:track:0LsT8LK93sj08NsghrhXJ9","Strangle Time","spotify:artist:2CICny47Mu3LqSCe1eu4g0","Day Fly","spotify:album:2Fhx5VtWdUYNkmgBjjEezv","Nightmares / Invincible","2015-11-06","1","4","173917","false","0","spotify:user:1227113","2017-06-04T16:29:26Z","neo r&b,uk alternative pop","0.662","0.677","6","-8.203","0","0.0533","0.102","0.000441","0.503","0.367","127.046","4"
"spotify:track:3wUX7HpXS382s1DHTRouVk","We The People....","spotify:artist:09hVIj6vWgoCDtT03h8ZCa","A Tribe Called Quest","spotify:album:3WvQpufOsPzkZvcSuynCf3","We got it from Here... Thank You 4 Your service","2016-11-11","1","2","172013","true","57","spotify:user:1227113","2017-06-04T16:29:40Z","alternative hip hop,conscious hip hop,east coast hip hop,gangster rap,hardcore hip hop,hip hop,jazz rap,queens hip hop,rap","0.71","0.805","1","-5.471","1","0.0637","0.00909","0","0.141","0.897","92.601","4"
"spotify:track:2a8exXjnyktjH1S9180aSf","Limoncello","spotify:artist:5AVKdaCS36aH1947EP7p2f, spotify:artist:15lOM8PWY9pXQoURZwSZlK","Skratch Bastid, Shad","spotify:album:4bQYNIkfGPfbgAcZ8pezeY","Limoncello","2016-07-22","1","1","211512","false","29","spotify:user:1227113","2017-06-04T16:29:46Z","canadian hip hop,conscious hip hop","0.563","0.899","3","-5.236","1","0.174","0.137","0.000269","0.431","0.887","80.24","4"
"spotify:track:2OJCEICqJJJ68W0fXtIfKV","Mission Road","spotify:artist:2J2V1PxHVZ1ANtT8Y2UdTS, spotify:artist:3jK9MiCrA42lLAdMGUZpwa","Like, Anderson .Paak","spotify:album:5xlGDgCReuVXePNmc7EjbH","Songs Made While High","2016-09-30","1","2","110500","false","24","spotify:user:1227113","2017-06-04T16:29:51Z","escape room","0.45","0.902","6","-6.07","1","0.283","0.685","0","0.164","0.464","83.677","4"
"spotify:track:6hzbRKhJHo6cfCHSnNaDS8","God Is Fair, Sexy Nasty (feat. Kendrick Lamar)","spotify:artist:4LLpKhyESsyAXpc4laK94U, spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg","Mac Miller, Kendrick Lamar","spotify:album:6f6tko6NWoH00cyFOl4VYQ","The Divine Feminine","2016-09-16","1","10","500960","true","65","spotify:user:1227113","2017-06-04T16:29:57Z","hip hop,pittsburgh rap,rap,conscious hip hop,hip hop,rap,west coast rap","0.467","0.41","2","-12.028","1","0.185","0.328","0.0000428","0.113","0.136","95.931","4"
"spotify:track:66wkCYWlXzSTQAfnsPBptt","My Favorite Part","spotify:artist:4LLpKhyESsyAXpc4laK94U, spotify:artist:66CXWjxzNUsdJxJ2JdwvnR","Mac Miller, Ariana Grande","spotify:album:6f6tko6NWoH00cyFOl4VYQ","The Divine Feminine","2016-09-16","1","9","216000","false","75","spotify:user:1227113","2017-06-04T16:30:01Z","hip hop,pittsburgh rap,rap,dance pop,pop,post-teen pop","0.861","0.33","6","-7.194","1","0.0526","0.627","0.00000193","0.14","0.718","95.016","4"
"spotify:track:02vMYd4SDFFITJyJutTHfw","I'm Not Sorry","spotify:artist:3eCd0TZrBPm2n9cDG6yWfF, spotify:artist:7ibAWtDtmEfaVhc1FJ3Vl9","DEAN, Eric Bellinger","spotify:album:1EX8vfjVWNrcRUmgAIWSNN","I'm Not Sorry","2015-07-07","1","1","209095","false","0","spotify:user:1227113","2017-06-04T16:30:11Z","k-pop,korean r&b,dance pop,pop,pop r&b,pop rap,r&b,rap,urban contemporary","0.569","0.748","1","-4.305","1","0.0368","0.000748","0","0.0928","0.544","129.006","4"
"spotify:track:2J4VpjrnGf0EGK9CWKMYGg","Out At Night (feat. A.CHAL)","spotify:artist:5WQxQAu4xmUwCzxPw3GiB4, spotify:artist:0pkwrPVI8UyXtPkavyJoZ4","Stwo, A.CHAL","spotify:album:4AMs14GJ3NTtbnxFyDffR2","D.T.S.N.T. EP","2016-07-29","1","6","217324","false","16","spotify:user:1227113","2017-06-04T16:30:21Z","trap soul,trap soul","0.403","0.489","5","-9.045","0","0.182","0.61","0.000586","0.0954","0.159","88.091","4"
"spotify:track:2s8zLWtT82WJm1pi34v74i","Slip Slide","spotify:artist:0ojcq9LJQWMawQdFDw3M0L","Donnie Trumpet & The Social Experiment","spotify:album:3eM1KTKmpqrQOvuvYY42cr","Surf","2015-06-30","1","2","239922","false","41","spotify:user:1227113","2017-06-04T16:37:39Z","pop soul","0.65","0.559","0","-9.774","0","0.392","0.311","0.000294","0.367","0.214","119.964","4"
"spotify:track:07Qonra5xGHyjndj0gtOHy","How I Feel","spotify:artist:7mDU6nMUJnOSY2Hkjz5oqM","Roy Woods","spotify:album:2uh03RWTrpLJzfrrqeEIZs","Waking at Dawn","2016-07-01","1","4","223880","true","51","spotify:user:1227113","2017-06-04T16:37:52Z","canadian contemporary r&b,canadian hip hop,pop rap,trap,trap soul","0.8","0.466","0","-8.912","1","0.0717","0.296","0.00308","0.113","0.0778","112.045","4"
