"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Album Release Date","Disc Number","Track Number","Track Duration (ms)","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature"
"spotify:track:21pNGvUyQ8NjcfRrzge25F","What If I Go?","spotify:artist:5Q81rlcTFh3k6DQJXPdsot, spotify:artist:5BydzSmKBIh8HkWFwx4Rrg","Mura Masa, Bonzai","spotify:album:6uGqO41JwcvIKkViDgwGRm","Mura Masa","2017-07-14","1","7","195466","false","47","spotify:user:1227113","2017-07-18T01:41:39Z","channel islands indie,edm,vapor soul,irish pop","0.56","0.533","7","-7.804","1","0.388","0.194","0.000014","0.0919","0.908","200.066","4"
"spotify:track:0H57lJQoHSzP4nE7EvTJPP","Have You Seen That Girl?","spotify:artist:5XenQ7XfcvQdfIbpLEFaKQ","GoldLink","spotify:album:18JrBX1QkpnUSJF3oxX6RX","At What Cost","2017-03-24","1","3","162277","true","43","spotify:user:1227113","2017-07-18T01:45:08Z","alternative r&b,dmv rap,hip hop,rap,underground hip hop","0.869","0.792","0","-6.351","1","0.141","0.00566","0","0.0683","0.725","107.985","4"
"spotify:track:6wcRv0UBvEH9NCIA3IVyQs","love","spotify:artist:3eCd0TZrBPm2n9cDG6yWfF, spotify:artist:3jk39CGeaaSO3FPKNx1RUx","DEAN, Syd","spotify:album:1T31bmhGoWoSHmZUjKilzi","love","2017-05-19","1","1","258226","true","59","spotify:user:1227113","2017-07-18T15:36:43Z","k-pop,korean r&b,alternative r&b,lgbtq+ hip hop","0.582","0.67","11","-6.69","1","0.0483","0.00125","0.000669","0.105","0.37","109.993","4"
"spotify:track:564oa00vY05d1uYnTEAAmE","Herside Story","spotify:artist:5XenQ7XfcvQdfIbpLEFaKQ, spotify:artist:3OqgnoaUHWX4ih4oAL0zzQ","GoldLink, Hare Squead","spotify:album:18JrBX1QkpnUSJF3oxX6RX","At What Cost","2017-03-24","1","6","183760","true","70","spotify:user:1227113","2017-07-19T10:55:57Z","alternative r&b,dmv rap,hip hop,rap,underground hip hop,irish hip hop","0.885","0.595","7","-5.487","1","0.286","0.656","0.00000442","0.105","0.754","148.034","4"
"spotify:track:0PrMdfjz1heOHdQsLWtxGH","Come Through and Chill","spotify:artist:0rlS0SzVFk8BoiAW0fGBbN, spotify:artist:360IAlyVv4PCEVjgyMZrxK","Salaam Remi, Miguel","spotify:album:3RrYgbDy6vDrbOX8vdnQjt","Come Through and Chill","2016-12-02","1","1","278954","true","0","spotify:user:1227113","2017-07-18T01:42:02Z","hip hop,indie r&b,dance pop,hip hop,pop,r&b,urban contemporary","0.452","0.591","1","-11.395","1","0.0914","0.134","0.000603","0.115","0.5","85.699","4"
"spotify:track:0rVo6Wz8gYD5ptmrFaLdve","Therapy","spotify:artist:2RqrWplViWHSGLzlhmDcbt","Yaeji","spotify:album:2lYqBW38kDrjSfuY7qHoSO","Therapy","2017-07-12","1","1","196923","false","0","spotify:user:1227113","2017-07-17T23:40:48Z","art pop,electropop,escape room,experimental house","0.443","0.67","8","-10.867","1","0.0647","0.00964","0.0354","0.104","0.38","117.001","4"
"spotify:track:6qtCkLb2z9VerAHMJRzWtN","You & I","spotify:artist:13Kd75NSHSp9lB4CaqPMOV","Ta-ku","spotify:album:1DjYt8WaDSnRTSPwsSWRH1","brrwd love, Vol. 1","2016-03-25","1","2","122796","false","6","spotify:user:1227113","2017-07-18T01:49:46Z","alternative r&b,ambeat,indie soul,vapor soul,vapor twitch","0.63","0.593","0","-8.178","0","0.8","0.602","0.0000354","0.483","0.577","144.24","4"
"spotify:track:3pq5SHP8DwySlbUL0KIoRy","another time (world$tar money)","spotify:artist:0YXc5Rre8iZ6CfxNtzBJhC, spotify:artist:4vZBqD3QXrKiE3mZ6zHr22","simon eng, duendita","spotify:album:0bMuRzy7dDIfKgliEaw4DV","another time (world$tar money)","2017-04-17","1","1","181681","false","39","spotify:user:1227113","2017-07-18T01:49:06Z","lo-fi beats,alternative r&b,bedroom soul","0.346","0.202","7","-18.434","1","0.135","0.712","0.0262","0.0873","0.072","79.899","4"
"spotify:track:04zW2C8i513JEhhykhMS25","About a Girl","spotify:artist:3agnCimLdkVM3mc4PFJUxC","Meltycanon","spotify:album:2CKYBxqHvoOYdjo3Fdy3nH","Old Compilation 4","2017-06-27","1","2","79393","false","0","spotify:user:1227113","2017-07-18T01:39:43Z","","0.605","0.536","1","-9.948","1","0.112","0.878","0.00016","0.127","0.736","74.194","4"
"spotify:track:6VnADht5DZuwR3aYX4Ufz2","Waiting for You","spotify:artist:59KX7XUUgAOOo5IyDjca0T, spotify:artist:78xSB1R1x8T6o0QuRaodez","Verzache, Swell","spotify:album:0AVlhmontGKMUo0DlqJtS2","D97","2017-06-16","1","6","230000","false","0","spotify:user:1227113","2017-07-24T07:41:13Z","lo-fi beats,japanese chillhop","0.524","0.274","6","-13.931","1","0.295","0.502","0.257","0.0924","0.342","167.998","4"
"spotify:track:2KDsMk7EREZ4QEKwhq07lt","Blu","spotify:artist:5Q81rlcTFh3k6DQJXPdsot, spotify:artist:0O98jlCaPzvsoei6U5jfEL","Mura Masa, Damon Albarn","spotify:album:6uGqO41JwcvIKkViDgwGRm","Mura Masa","2017-07-14","1","13","272253","false","30","spotify:user:1227113","2017-07-18T01:41:42Z","channel islands indie,edm,vapor soul,downtempo","0.622","0.37","9","-13.083","1","0.0795","0.539","0.0681","0.106","0.312","74.993","4"
"spotify:track:0q75NwOoFiARAVp4EXU4Bs","Love Galore (feat. Travis Scott)","spotify:artist:7tYKF4w9nC0nq9CsPZTHyP, spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY","SZA, Travis Scott","spotify:album:76290XdXVF9rPzGdNRWdCh","Ctrl","2017-06-09","1","2","275080","true","82","spotify:user:1227113","2017-07-18T01:56:14Z","pop,pop rap,rap,rap","0.795","0.594","0","-6.2","1","0.0748","0.112","0","0.162","0.409","135.002","4"
"spotify:track:6ACiYjq5Q7e6BlhZEHz7cd","Garden Shed (feat. Estelle)","spotify:artist:4V8LLVI7PbaPR0K2TGSxFF, spotify:artist:5T0MSzX9RC5NA6gAI6irSn","Tyler\, The Creator, Estelle","spotify:album:2nkto6YNI4rUYTLqEwWJ3o","Flower Boy","2017-07-21","1","7","223946","true","64","spotify:user:1227113","2017-07-28T21:11:00Z","hip hop,rap,neo soul,r&b","0.423","0.456","2","-8.45","0","0.0579","0.381","0.016","0.12","0.148","112.984","4"
