"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Album Release Date","Disc Number","Track Number","Track Duration (ms)","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature"
"spotify:track:4S7YHmlWwfwArgd8LfSPud","L$D","spotify:artist:13ubrt8QOOCPljQ2FL1Kca","A$AP Rocky","spotify:album:3arNdjotCvtiiLFfjKngMc","AT.LONG.LAST.A$AP","2015-05-26","1","4","238306","true","79","spotify:user:1227113","2016-06-27T03:39:49Z","east coast hip hop,hip hop,rap,trap,underground hip hop","0.598","0.252","2","-15.086","1","0.0644","0.194","0.133","0.0992","0.0352","120.064","4"
"spotify:track:5Ck3e6z1bcSCes5gdo0Ddt","Bed Peace","spotify:artist:5ZS223C6JyBfXasXxrRqOk, spotify:artist:73sIBHcqh3Z3NyqHKZ7FOL","Jhené Aiko, Childish Gambino","spotify:album:73TNMu44lT0m1h1Nn6Bfiq","Sail Out","2013-01-01","1","2","256079","true","66","spotify:user:1227113","2016-06-26T17:54:35Z","alternative r&b,dance pop,pop,r&b,urban contemporary,atl hip hop,hip hop,pop rap,rap","0.628","0.566","6","-7.811","1","0.0575","0.269","0.0000367","0.135","0.299","119.859","4"
"spotify:track:1Uq3IOIy1CUlHUgP6vWpum","Smoke Break (feat. Future)","spotify:artist:1anyVhU62p31KFi8MEzkbf, spotify:artist:1RyvyyTE3xzB2ZywiAwp0i","Chance the Rapper, Future","spotify:album:71QyofYesSsRMwFOTafnhB","Coloring Book","2016-05-27","1","12","226494","true","64","spotify:user:1227113","2016-06-26T17:22:29Z","chicago rap,conscious hip hop,hip hop,pop rap,rap,atl hip hop,pop rap,rap,southern hip hop,trap","0.705","0.453","3","-8.174","1","0.196","0.257","0","0.143","0.283","124.942","4"
"spotify:track:60ZZNXIdwgUGkVGRt7foLT","Late Night (feat. Masego)","spotify:artist:5XenQ7XfcvQdfIbpLEFaKQ, spotify:artist:3ycxRkcZ67ALN3GQJ57Vig","GoldLink, Masego","spotify:album:3tlDQco8P9HFoR5CRC1BCj","And After That, We Didn't Talk","2015-11-06","1","6","161080","true","60","spotify:user:1227113","2016-06-26T17:23:10Z","alternative r&b,dmv rap,hip hop,rap,underground hip hop,alternative r&b,indie soul","0.442","0.446","9","-11.354","0","0.786","0.278","0","0.308","0.295","51.539","4"
"spotify:track:7qdfQMpIUOwsIKTM69XVyW","Uncomfortable","spotify:artist:09OSlbN2DUUOG9cbRWdWuT","Mansa","spotify:album:7ehFOIxDdKcqsbiJQyLkza","Uncomfortable - Single","2016-01-25","1","1","400615","true","34","spotify:user:1227113","2016-07-18T13:53:00Z","","0.659","0.493","10","-8.133","0","0.076","0.516","0","0.122","0.469","82.59","4"
"spotify:track:1IfhjPjiTYrTFxyRlV5QRN","Pasadena (feat. Vic Mensa)","spotify:artist:7qbQOln6DZHcPm6l94PXU5, spotify:artist:27w1NoOLMX7tJMYqcetPyG","Donnie Trumpet, VIC MENSA","spotify:album:1mdkRtcuxhhZELUrgESDtC","Donnie Trumpet & Emilio Chestevez","2013-07-17","1","1","187731","true","33","spotify:user:1227113","2016-06-26T17:22:26Z","chicago rap,conscious hip hop,hip hop,pop rap,rap,trap,underground hip hop","0.345","0.543","6","-10.707","0","0.0682","0.19","0.00000241","0.187","0.343","114.291","3"
"spotify:track:2yg8X89PkLSgYk8CEqKmxv","Weight in Gold - Brasstracks Remix","spotify:artist:7wFDo161xYdeaiLz3KIHoM, spotify:artist:5sKvgmG84C0bIMWeS2SRPr","Gallant, Brasstracks","spotify:album:4XuogwKSpM5B6CDp3oLnlj","Weight in Gold (The Remixes)","2016-04-29","1","1","201019","false","37","spotify:user:1227113","2016-06-26T17:24:19Z","alternative r&b,chill r&b,alternative r&b,indie r&b,indie soul,nyc pop","0.454","0.579","5","-4.5","0","0.342","0.0228","0.0000655","0.27","0.403","119.435","4"
"spotify:track:2wknuokNRAnUPoNmYe0shu","For the World (feat. James Fauntleroy)","spotify:artist:7GN9PivdemQRKjDt4z5Zv8, spotify:artist:5ooSG9S0glqP5ZrqqaHBvT","The Internet, James Fauntleroy","spotify:album:69g3CtOVg98TPOwqmI2K7Q","Ego Death","2015-06-26","1","6","203880","true","44","spotify:user:1227113","2016-06-26T17:42:23Z","alternative r&b,escape room,indie soul,lgbtq+ hip hop,neo soul","0.576","0.445","10","-9.981","0","0.223","0.282","0","0.7","0.612","94.962","4"
"spotify:track:7hmiDaBxoyLW094H8vup2S","Them Changes (feat. Flying Lotus & Kamasi Washington)","spotify:artist:4frXpPxQQZwbCu3eTGnZEw, spotify:artist:29XOeO6KIWxGthejQqn793, spotify:artist:6HQYnRM4OzToCYPpVBInuU","Thundercat, Flying Lotus, Kamasi Washington","spotify:album:7vgnnPWflv8g0vQYOberLn","The Beyond / Where the Giants Roam","2015-06-22","1","3","187210","false","0","spotify:user:1227113","2016-06-26T17:22:03Z","afrofuturism,hip hop,afrofuturism,alternative hip hop,electronica,escape room,experimental hip hop,glitch,glitch hop,hip hop,indie soul,intelligent dance music,jazztronica,psychedelic hip hop,wonky,afrofuturism,contemporary jazz,indie jazz,indie soul,jazz saxophone","0.791","0.58","8","-8.377","1","0.0588","0.555","0.00155","0.116","0.757","81.678","4"
"spotify:track:3GJ8YhL2EJBosIzHPiC448","Grown Up Calls","spotify:artist:6O4EGCCb6DoIiR6B1QCQgp","Toro y Moi","spotify:album:3xDRuOqakukb1SjHQG4WWc","Anything In Return","2013-01-22","1","9","208866","false","35","spotify:user:1227113","2016-06-28T17:51:03Z","alternative dance,alternative r&b,art pop,chillwave,indie pop,indie rock,indie soul,indietronica,new rave,nu gaze","0.751","0.573","1","-8.747","1","0.0969","0.0957","0.126","0.147","0.779","149.995","4"
