"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Album Release Date","Disc Number","Track Number","Track Duration (ms)","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature"
"spotify:track:6T10buITypvNM3WXMVDT7p","Txt Me","spotify:artist:4T8NIfZmVY6TJFqVzN6X49","tobi lou","spotify:album:2kNSxaZwVT7xzN2IlnYhPT","Txt Me","2016-07-18","1","1","247144","true","39","spotify:user:1227113","2017-01-06T03:40:59Z","alternative r&b,chicago rap,indie hip hop,pop rap","0.835","0.507","3","-8.469","0","0.125","0.36","0","0.104","0.651","110.046","4"
"spotify:track:3iQCPAYUh9dEayIxmvHnpr","Back 2 U","spotify:artist:1PR9KevT9vGtwNEqJK2orA","Joey Gatto","spotify:album:3mqh3gAg3C8pYZnLg6fY3M","Back 2 U","2016-04-03","1","1","211186","true","31","spotify:user:1227113","2017-01-06T15:54:30Z","teen pop","0.846","0.468","6","-6.256","0","0.177","0.556","0.0000915","0.0666","0.663","124.921","4"
"spotify:track:1FunRKEGHk2OywxjdDa3xr","Sunroof","spotify:artist:5usbqiU7sjvszjWecANDL6, spotify:artist:4rljPSpCHQzUJMNOvmw1DL","WESTSIDE BOOGIE, Dana Williams","spotify:album:5mvSDnz2P0FOn19jMvlr5q","Thirst 48 Part II","2016-10-14","1","9","237253","true","52","spotify:user:1227113","2017-02-02T02:01:31Z","hip hop,rap,underground hip hop,la pop","0.698","0.671","5","-6.112","1","0.188","0.285","0","0.0913","0.534","113.944","4"
"spotify:track:0PXp9QxBfSKGGpWUNaws2X","Drama (feat. Drake)","spotify:artist:7mDU6nMUJnOSY2Hkjz5oqM, spotify:artist:3TVXtAsR1Inumwj472S9r4","Roy Woods, Drake","spotify:album:2vnPwMLtMXZWGkKsoylsGt","Exis","2015-07-31","1","5","251859","true","79","spotify:user:1227113","2017-01-06T03:40:53Z","canadian contemporary r&b,canadian hip hop,pop rap,trap,trap soul,canadian hip hop,canadian pop,hip hop,pop rap,rap,toronto rap","0.709","0.362","11","-9.814","1","0.055","0.157","0","0.109","0.113","122.043","4"
"spotify:track:3qj1v267X5kiuONBDbkocY","Vibe W/U","spotify:artist:0pkwrPVI8UyXtPkavyJoZ4","A.CHAL","spotify:album:3FAfwBIGInlJu6YPp0eADJ","Welcome to GAZI","2016-06-03","1","5","221872","true","44","spotify:user:1227113","2017-01-07T14:39:43Z","trap soul","0.548","0.85","9","-3.87","0","0.102","0.241","0","0.129","0.254","139.96","4"
"spotify:track:7pI31mg1XsAPJCB6gQJSxK","PULL UP","spotify:artist:3ZJxEmjYZd5VOqZ8o3aXiL","ABRA","spotify:album:0bOxQkMO65N7QoNALqq5H5","PRINCESS","2016-07-15","1","5","178906","true","42","spotify:user:1227113","2017-01-06T03:38:36Z","alternative r&b,electropop,escape room","0.788","0.491","0","-8.537","1","0.0516","0.0158","0.802","0.0824","0.724","119.992","4"
"spotify:track:0PHwCbA310LLIMcSDpQbgF","Two Weeks","spotify:artist:6nB0iY1cjSY1KyhYyuIIKH","FKA twigs","spotify:album:5VqGGKeWpIBRFh4M4XmqDK","LP1","2014-08-12","1","3","247547","true","42","spotify:user:1227113","2017-01-06T15:49:57Z","afrofuturism,alternative r&b,art pop,dance pop,escape room,pop,trip hop","0.48","0.717","0","-6.663","1","0.23","0.0625","0.000685","0.0814","0.335","109.756","4"
"spotify:track:5OyScixhQVneZSigf407IW","Make Me Wonder","spotify:artist:0RDC2Krd2nmqseGx5C8PQz","Kllo","spotify:album:3q7hCTuSelK6DsXBOCTCqq","Cusp","2014-11-14","1","1","279444","false","0","spotify:user:1227113","2017-01-06T19:35:43Z","alternative r&b,aussietronica,electropop,indie electropop,indie soul,vapor soul","0.687","0.24","0","-9.647","1","0.0312","0.466","0.154","0.105","0.379","128.452","4"
"spotify:track:6u0dQik0aif7FQlrhycG1L","The Morning","spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ","The Weeknd","spotify:album:5EbpxRwbbpCJUepbqVTZ1U","Trilogy","2012-01-01","1","4","312426","true","72","spotify:user:1227113","2017-01-06T03:40:35Z","canadian contemporary r&b,canadian pop,pop","0.652","0.549","6","-7.555","0","0.039","0.317","0","0.104","0.186","120.073","4"
"spotify:track:0sQdzJAChz97Ea2Zg2Yx7Z","Without","spotify:artist:2WoVwexZuODvclzULjPQtm","Sampha","spotify:album:7bbIXHAltgYDRiDN0uKnKu","Dual","2013-07-29","1","3","226380","false","34","spotify:user:1227113","2017-01-06T03:42:17Z","alternative r&b,indie soul","0.783","0.55","1","-12.713","0","0.071","0.495","0.0776","0.0766","0.565","119.962","4"
"spotify:track:7p8GWclbwHuUxwom7c1oRz","Love You","spotify:artist:3QTDHixorJelOLxoxcjqGx","SiR","spotify:album:59UQdPyhT2CSacgBKbyNV9","Seven Sundays","2015-07-31","1","1","186000","false","45","spotify:user:1227113","2017-01-06T19:34:41Z","alternative r&b,hip hop,indie soul,la pop,rap,underground hip hop","0.502","0.455","10","-14.587","1","0.549","0.718","0.00135","0.225","0.323","72.295","4"
"spotify:track:3kRy6oWD5Q4Zu3Nq3mIpJk","5 days","spotify:artist:5VcFQLT1y2Rje5zoiWKC2w","Inc.","spotify:album:2mFZRGYA6uEMggucJmDAaP","no world","2013","1","4","253626","false","15","spotify:user:1227113","2017-01-06T03:42:58Z","","0.624","0.733","5","-9.308","0","0.0408","0.53","0.194","0.109","0.483","159.983","4"
"spotify:track:35BSWBOYfBZ6pTYHmAzPkH","Bist du down?","spotify:artist:3sqdh5sW8Cc1j1jdbmRJRm, spotify:artist:1umabXWvqNiWr1XHFjZQPD","Ace Tee, Kwame","spotify:album:6aUQHXfGyWpOm8Q9rQFG5B","Bist du down?","2016-12-24","1","1","248571","true","0","spotify:user:1227113","2017-01-06T21:17:26Z","frauenrap,german trap,hamburg hip hop","0.726","0.518","8","-8.605","1","0.457","0.516","0.000731","0.133","0.898","83.948","4"
"spotify:track:4DaFhIE6C0RXHkCfBCjEY3","The Other","spotify:artist:2Gu2iejmc6pUo0ZR7thZCO","SAÍGO","spotify:album:2a9UVT0XExaElTHklFqEBW","The Other","2016-10-17","1","1","175182","false","20","spotify:user:1227113","2017-01-07T14:41:38Z","","0.612","0.713","7","-6.434","1","0.197","0.613","0.000438","0.0698","0.535","137.022","4"
"spotify:track:4RdBZE3BH44wZXoj2vmjez","Often","spotify:artist:1crlEwxm5dcQjCcgCJEyqg","Abhi//Dijon","spotify:album:3KOSzvZlRyhU6grHpI7y4m","Often","2016-10-04","1","1","189786","false","48","spotify:user:1227113","2017-01-07T14:50:54Z","alternative r&b","0.599","0.27","4","-17.638","1","0.0905","0.845","0.00042","0.11","0.377","124.155","5"
