"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Album Release Date","Disc Number","Track Number","Track Duration (ms)","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature"
"spotify:track:7ke4NTNFh7yycHTLQZVNPD","Loyalty","spotify:artist:2evFPtqROgZdXeRmEPVpg1","Villz","spotify:album:3nRRaUfKLm9o5qoltBcJp8","Loyalty","2017-03-17","1","1","177272","true","13","spotify:user:1227113","2017-09-04T16:32:23Z","nashville hip hop","0.684","0.433","0","-7.568","0","0.0342","0.525","0","0.125","0.497","87.988","4"
"spotify:track:360NCp4XoQ0sFi5jgu5Ww7","Insecure","spotify:artist:7gSjFKpVmDgC2MMsnN8CYq, spotify:artist:2EMAnMvWE2eb56ToJVfCWs","Jazmine Sullivan, Bryson Tiller","spotify:album:7hhWPFOdpmA1R9pUM5iUwe","Insecure","2017-08-04","1","1","218072","true","65","spotify:user:1227113","2017-09-04T19:29:41Z","alternative r&b,dance pop,hip pop,neo soul,pop,pop r&b,r&b,urban contemporary,kentucky hip hop,pop,pop rap,r&b,rap,trap","0.512","0.511","7","-4.412","0","0.324","0.537","0","0.115","0.651","88.816","4"
"spotify:track:2jXRzSRzsyGneFt6ojLlsf","Sofa","spotify:artist:3UHGHiVMz1L0XqFi3oXHvH","Collard","spotify:album:5mYamBEUoS81YDT1WGZyhu","Sofa","2017-08-04","1","1","215950","false","0","spotify:user:1227113","2017-09-05T12:29:29Z","alternative r&b,uk contemporary r&b","0.624","0.274","11","-14.469","0","0.0718","0.342","0.381","0.11","0.0727","125.9","4"
"spotify:track:56DFzHIbZXCsVkoP6eKZtg","Blessing","spotify:artist:6adkmtXg0Qlmahg9SxNVl0","Iman Europe","spotify:album:5hK0oNmKV0Af4zaGCHSOYc","Blessing","2017-06-21","1","1","216416","true","0","spotify:user:1227113","2017-09-05T20:18:50Z","","0.806","0.298","1","-13.922","1","0.166","0.161","0.00000812","0.0679","0.345","119.957","4"
"spotify:track:4mmvAV1OXSOPAD5bEfE9Dx","Insomnia","spotify:artist:6b7899n8Uz21dTYrABfFEO","Brian Puspos","spotify:album:0qvUNuQhEHpCA1hT5EIxno","Insomnia","2017-08-25","1","1","258285","false","0","spotify:user:1227113","2017-09-06T23:50:35Z","chill r&b,pinoy r&b","0.38","0.414","9","-9.817","0","0.0733","0.191","0","0.119","0.337","147.879","3"
"spotify:track:7x7QlOg9xTzRHkSW5mf1HY","Bad Dream/No Looking Back","spotify:artist:3jk39CGeaaSO3FPKNx1RUx","Syd","spotify:album:67DkNSnBpXbl8n7dVzJci1","Always Never Home","2017-09-07","1","2","294853","true","49","spotify:user:1227113","2017-09-08T12:36:41Z","alternative r&b,lgbtq+ hip hop","0.668","0.253","2","-14.872","0","0.0564","0.359","0.308","0.119","0.142","98.512","4"
"spotify:track:2GsjcR2O2OKYSpd3hXWyMH","Mood","spotify:artist:7e1ICztHM2Sc4JNLxeMXYl","dvsn","spotify:album:7cjpjKsIiHW30JQ3Wi3E4F","Mood","2017-09-05","1","1","215044","false","0","spotify:user:1227113","2017-09-10T18:01:55Z","alternative r&b,canadian contemporary r&b,chill r&b,pop,pop r&b,r&b,trap soul,urban contemporary","0.622","0.446","9","-9.647","0","0.22","0.318","0.0135","0.0904","0.168","68.85","4"
"spotify:track:6m9qPYXmhge2QhBLfFKnVF","Same Drugs","spotify:artist:1anyVhU62p31KFi8MEzkbf","Chance the Rapper","spotify:album:71QyofYesSsRMwFOTafnhB","Coloring Book","2016-05-27","1","6","257775","false","68","spotify:user:1227113","2017-09-04T22:03:02Z","chicago rap,conscious hip hop,hip hop,pop rap,rap","0.461","0.293","6","-9.52","1","0.0555","0.947","0.00000995","0.0936","0.531","180.297","4"
"spotify:track:2HUa6r3RRnsCkAXCN3mTWR","Give Me a Woman","spotify:artist:6jNOJmB6z7VATJ062NlwCd","Full Crate x Mar","spotify:album:2J1ujsyGQ3ZPzXxlbnfAjT","A Woman","2017-08-10","1","3","284461","false","14","spotify:user:1227113","2017-09-10T18:03:29Z","dutch pop","0.684","0.39","5","-8.645","0","0.0338","0.657","0.0000638","0.114","0.143","109.974","4"
"spotify:track:08Wc3X7XNSyF8WYBPt2L8E","Holiday (feat. Snoop Dogg, John Legend & Takeoff)","spotify:artist:7CajNmpbOovFoOoasH2HaY, spotify:artist:7hJcb9fa4alzcOq3EaNPoG, spotify:artist:5y2Xq6xcjJb2jVM54GHK3t, spotify:artist:3EW0kQ1skZiK1NHg3Spt9J, spotify:artist:4A0TivfinfALCAMJqqjZIk","Calvin Harris, Snoop Dogg, John Legend, Takeoff, Funk Wav","spotify:album:2HaqChIDc5go3qxVunBDK0","Funk Wav Bounces Vol.1","2017-06-30","1","6","169693","false","52","spotify:user:1227113","2017-09-10T20:25:29Z","dance pop,edm,electro house,house,pop,pop dance,progressive house,uk dance,g funk,gangster rap,hip hop,pop rap,rap,west coast rap,neo soul,pop,pop soul,r&b,urban contemporary,atl hip hop,rap,southern hip hop,trap,vapor trap","0.836","0.769","6","-2.334","0","0.0773","0.472","0.00157","0.0804","0.585","103.991","4"
