"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Album Release Date","Disc Number","Track Number","Track Duration (ms)","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature"
"spotify:track:293fElnLagSqG3rFPKQWfd","23","spotify:artist:4KZmpaIhanIo46eaQimtgO, spotify:artist:1kh0AypxF3CxMMzmQyif2S","ESTA., Rayana Jay","spotify:album:5cBmyCk1BCwQd6bgjvHCzm","23","2016-12-22","1","1","266774","false","35","spotify:user:1227113","2017-10-19T20:01:36Z","vapor twitch,alternative r&b,chill r&b,indie r&b,indie soul","0.347","0.633","4","-7.113","0","0.162","0.433","0.00000322","0.133","0.352","79.61","3"
"spotify:track:2TGxGCP0F4D8Emhyb3Re11","Marissa","spotify:artist:7LOW1cB3NuRxZsxIo7g05p","Jon Bap","spotify:album:5HipLzkAxV9tLrx4U86OeU","Let It Happen","2017-01-13","1","3","128699","false","0","spotify:user:1227113","2017-10-19T20:02:13Z","bedroom pop","0.295","0.702","9","-10.854","1","0.252","0.386","0.0792","0.167","0.573","94.609","4"
"spotify:track:1pLcSX6dkWJtAzImCZmslI","Side Effects","spotify:artist:0bBrsS9ufPAmeFQgDNG54O","cehryl","spotify:album:30g7RsipfnfB8lajThpawe","Wherever It May Be","2017-10-13","1","1","176917","false","13","spotify:user:1227113","2017-10-19T20:02:33Z","bedroom soul","0.791","0.597","7","-4.822","1","0.0552","0.0486","0","0.125","0.657","80.005","4"
"spotify:track:2y89a0zvMiELpbSnrFeqvK","Forbidden Lovers","spotify:artist:2ziuYXYq2WG6cZpa43fWpX","King Garbage","spotify:album:1MLZvDQCt8ehGC8U3FEVzp","Forbidden Lovers","2017-08-15","1","1","170806","false","0","spotify:user:1227113","2017-10-19T20:02:37Z","asheville indie","0.576","0.629","11","-8.783","0","0.148","0.418","0.000756","0.252","0.861","179.782","4"
"spotify:track:3vzI7AJTwg0FuWgyZSgbLh","Down (feat. Fauxe)","spotify:artist:3GFO1X5LAHduvR314sXnqI, spotify:artist:6dvcG23IN4NjyLZ3nbKd6p","Sam Rui, Fauxe","spotify:album:1HGJRcEnXTKo1kQjWWz1LJ","Season 2","2017-06-30","1","5","185806","true","32","spotify:user:1227113","2017-10-19T20:03:46Z","singaporean pop,singaporean indie","0.455","0.415","4","-7.649","0","0.126","0.435","0.00000193","0.466","0.341","91.091","4"
"spotify:track:1wATmTPx9KdHpvv5cQB5Ae","Pillows","spotify:artist:1XzbS8potNdHlfnGh0CiaH, spotify:artist:1aSwrSGBNGMLn9ymttfRkk","Santell, Lido","spotify:album:2W6wDn6d4Zt5ECU3eWi2N6","The Passion Project","2015-10-23","1","2","256000","false","30","spotify:user:1227113","2017-10-21T00:11:47Z","future bass,norwegian pop,vapor twitch","0.687","0.464","1","-6.973","0","0.153","0.228","0","0.695","0.306","119.85","4"
"spotify:track:4IYmJKwEsFTwQUdzsWSiv1","Neither Do I","spotify:artist:5WQxQAu4xmUwCzxPw3GiB4, spotify:artist:3KV3p5EY4AvKxOlhGHORLg","Stwo, Jeremih","spotify:album:37mrK3xXqshDGqoIwzSH0b","Neither Do I","2017-10-20","1","1","220000","true","0","spotify:user:1227113","2017-10-28T19:32:14Z","trap soul,chicago rap,dance pop,hip hop,pop,pop rap,r&b,southern hip hop,trap,urban contemporary","0.812","0.398","9","-9.832","0","0.105","0.453","0.0000054","0.12","0.189","119.955","4"
"spotify:track:1wZqJM5FGDEl3FjHDxDyQd","Come and See Me (feat. Drake)","spotify:artist:2HPaUgqeutzr3jx5a9WyDV, spotify:artist:3TVXtAsR1Inumwj472S9r4","PARTYNEXTDOOR, Drake","spotify:album:2FXGUAESmG5l9YPrzWPvHI","PARTYNEXTDOOR 3 (P3)","2016-08-12","1","15","235477","true","76","spotify:user:1227113","2017-11-08T00:11:37Z","pop,pop rap,r&b,rap,toronto rap,trap,urban contemporary,canadian hip hop,canadian pop,hip hop,pop rap,rap,toronto rap","0.717","0.347","11","-10.265","0","0.0636","0.0511","0.00000243","0.087","0.0589","84.987","4"
"spotify:track:4LkLfPYc3yjOta7Gk8FDRB","Think About Me","spotify:artist:7e1ICztHM2Sc4JNLxeMXYl","dvsn","spotify:album:6rXy4b147LkM3muZKuALSX","Morning After","2017-10-13","1","4","246240","true","66","spotify:user:1227113","2017-11-08T00:11:48Z","alternative r&b,canadian contemporary r&b,chill r&b,pop,pop r&b,r&b,trap soul,urban contemporary","0.547","0.294","7","-10.202","1","0.0482","0.0607","0.786","0.0933","0.11","105.027","4"
"spotify:track:7JXZq0JgG2zTrSOAgY8VMC","Jungle","spotify:artist:3TVXtAsR1Inumwj472S9r4","Drake","spotify:album:0ptlfJfwGTy0Yvrk14JK1I","If You're Reading This It's Too Late","2015-02-12","1","16","320400","true","73","spotify:user:1227113","2017-11-08T00:12:03Z","canadian hip hop,canadian pop,hip hop,pop rap,rap,toronto rap","0.697","0.235","7","-8.651","1","0.0534","0.62","0.000144","0.107","0.378","99.947","4"
"spotify:track:0q75NwOoFiARAVp4EXU4Bs","Love Galore (feat. Travis Scott)","spotify:artist:7tYKF4w9nC0nq9CsPZTHyP, spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY","SZA, Travis Scott","spotify:album:76290XdXVF9rPzGdNRWdCh","Ctrl","2017-06-09","1","2","275080","true","82","spotify:user:1227113","2017-11-08T00:13:08Z","pop,pop rap,rap,rap","0.795","0.594","0","-6.2","1","0.0748","0.112","0","0.162","0.409","135.002","4"
"spotify:track:7p8GWclbwHuUxwom7c1oRz","Love You","spotify:artist:3QTDHixorJelOLxoxcjqGx","SiR","spotify:album:59UQdPyhT2CSacgBKbyNV9","Seven Sundays","2015-07-31","1","1","186000","false","45","spotify:user:1227113","2017-11-08T00:23:40Z","alternative r&b,hip hop,indie soul,la pop,rap,underground hip hop","0.502","0.455","10","-14.587","1","0.549","0.718","0.00135","0.225","0.323","72.295","4"
"spotify:track:7HDpgbWMVzI8bEbdldw3cs","One Way (feat. T-Pain) - Bonus","spotify:artist:4IVAbR2w4JJNJDDRFP3E83, spotify:artist:3aQeKQSyrW4qWr35idm0cy","6LACK, T-Pain","spotify:album:7iwGw8ob3YLqZrbKzGFnHi","FREE 6LACK","2016-11-18","1","14","286956","true","64","spotify:user:1227113","2017-11-17T16:22:42Z","alternative r&b,atl hip hop,hip hop,melodic rap,pop rap,rap,trap,dance pop,hip hop,pop,pop rap,r&b,rap,southern hip hop,trap,urban contemporary","0.425","0.406","4","-8.911","0","0.176","0.73","0.00000359","0.107","0.124","184.061","4"
