"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Album Release Date","Disc Number","Track Number","Track Duration (ms)","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature"
"spotify:track:71yyd52YKMZ8urb6Cv6sq6","No Patience.","spotify:artist:2hubU3Gy01gi3UznPz4Nbk","Abdou","spotify:album:1impfFM3PUwUOb1HNI8vFe","No Patience.","2016-11-08","1","1","183160","true","28","spotify:user:1227113","2019-06-27T14:41:25Z","rai","0.713","0.267","9","-12.332","0","0.0407","0.428","0","0.177","0.6","106.986","4"
"spotify:track:2kOoBmZHSgKCQ1Vm2JJ43T","take two","spotify:artist:4xXlwzlQAvjV07mmGvlT0T","Aftertheparty","spotify:album:7M64is9Fi8fuWXT06syBjb","resonance","2019-05-11","1","10","192058","false","0","spotify:user:1227113","2019-06-25T14:16:28Z","trap soul,vapor trap","0.759","0.176","10","-12.832","0","0.222","0.656","0.0336","0.109","0.456","160.001","4"
"spotify:track:5ctdxHNnAfIq6bUGrrDwd2","NsfW","spotify:artist:11AtYLKRQiLvNNNQwke7eN","GOLDA","spotify:album:4eU3RHtOuDkmK8sGlnGdpB","NsfW","2017-11-10","1","1","249146","false","0","spotify:user:1227113","2019-06-18T17:10:41Z","","0.724","0.602","1","-8.631","0","0.205","0.306","0.00000169","0.0558","0.402","105.954","4"
"spotify:track:53xA9ueFQDn8r38mqiwqqD","RX-64 (The Jungle)","spotify:artist:15GgEOJiFyjQm4tZ4D7qih, spotify:artist:6YbnHs5DVZuxFOQVktt95m","Cruel Santino, Krisirie","spotify:album:4IMFZY59ree679oXQS36xM","Mandy & The Jungle","2019-05-17","1","5","198367","false","40","spotify:user:1227113","2019-05-17T14:02:44Z","alte,nigerian pop,uk alternative hip hop,barbadian pop","0.72","0.567","1","-6.723","0","0.0619","0.819","0.198","0.147","0.645","97.939","4"
"spotify:track:2rHfrtVOCbxdLZJNNkXAfm","Come Over","spotify:artist:4V5f0tr4dGBGUvW5HsR22O, spotify:artist:5IqdDgKZLckft62bdi1C0l","High Klassified, Leaf","spotify:album:2XUtkeetFQ4EdsUZNrcMkR","Kanvaz","2018-04-27","1","2","197489","false","0","spotify:user:1227113","2019-01-06T21:05:21Z","canadian hip hop,rap montrealais,substep,vapor twitch,nyc rap","0.518","0.547","1","-8.615","1","0.223","0.145","0.00117","0.104","0.347","128.642","5"
"spotify:track:5uToBAhOm8bhvnGyNVeATy","Good Lovin'","spotify:artist:5YZ5AExR68U3ZblH6HcO6B","Leven Kali","spotify:album:7upHAOBHhe7wNs9Hkfqqy9","Nunwrong With A Lil Good Lovin'","2018-10-05","1","2","176278","false","33","spotify:user:1227113","2019-01-06T21:55:02Z","alternative r&b,chill r&b,indie r&b,indie soul","0.705","0.58","1","-8.649","1","0.0524","0.0095","0.00000158","0.149","0.499","101.11","4"
"spotify:track:3xz0zptXA0pFxe7WfIfeMc","You, World, or Myself (feat. Roy Woods)","spotify:artist:5WQxQAu4xmUwCzxPw3GiB4, spotify:artist:7mDU6nMUJnOSY2Hkjz5oqM","Stwo, Roy Woods","spotify:album:5Cl9hwmetAVgdPhpeu1t6U","You, World, or Myself (feat. Roy Woods)","2018-11-28","1","1","205600","false","0","spotify:user:1227113","2019-01-08T18:12:45Z","trap soul,canadian contemporary r&b,canadian hip hop,pop rap,trap,trap soul","0.858","0.411","2","-7.767","1","0.37","0.136","0.000274","0.114","0.248","150.028","4"
"spotify:track:4ZsGZcu0t8MfBNgGSHrKCp","Yours","spotify:artist:5YZ5AExR68U3ZblH6HcO6B","Leven Kali","spotify:album:1sPETaUHnBqKz472kidGLj","Yours","2017-06-16","1","1","227653","false","42","spotify:user:1227113","2019-01-09T19:31:23Z","alternative r&b,chill r&b,indie r&b,indie soul","0.705","0.432","1","-5.815","1","0.0981","0.0104","0.0299","0.0892","0.615","74.988","4"
"spotify:track:1Vk7bj81VB9eokDQq6sfTr","See Me","spotify:artist:10YC7gfEVGGez94KMAJoLx","chlothegod","spotify:album:7CEVmC81FT3S8XIgAKCSGU","The Story Behind","2017-06-01","1","4","150413","true","36","spotify:user:1227113","2019-01-09T19:33:03Z","","0.623","0.383","8","-12.503","0","0.377","0.0226","0.0000817","0.0785","0.158","89.915","4"
"spotify:track:2MB7hEh1APTykbVPJr4N7m","Czech Republic","spotify:artist:3KV3p5EY4AvKxOlhGHORLg","Jeremih","spotify:album:7fA1iHkq1YpylDaZewt65w","Late Nights: Europe","2016-08-24","1","6","218640","true","39","spotify:user:1227113","2019-01-10T00:08:29Z","chicago rap,dance pop,hip hop,pop,pop rap,r&b,southern hip hop,trap,urban contemporary","0.804","0.342","0","-9.04","1","0.113","0.559","0","0.0794","0.322","122.982","4"
"spotify:track:3vzI7AJTwg0FuWgyZSgbLh","Down (feat. Fauxe)","spotify:artist:3GFO1X5LAHduvR314sXnqI, spotify:artist:6dvcG23IN4NjyLZ3nbKd6p","Sam Rui, Fauxe","spotify:album:1HGJRcEnXTKo1kQjWWz1LJ","Season 2","2017-06-30","1","5","185806","true","32","spotify:user:1227113","2019-04-17T20:43:09Z","singaporean pop,singaporean indie","0.455","0.415","4","-7.649","0","0.126","0.435","0.00000193","0.466","0.341","91.091","4"
"spotify:track:0ucRBYx6GYd8QsNib8oIJw","Afterblunts","spotify:artist:69xk8WFDPSKCUCAe7fP6mw, spotify:artist:5r2M0D6jICWMjlfAczN4FE","Shy Lennox, Captain Pizza","spotify:album:460yQzoLogA0esZzRcyxo5","Afterblunts","2017-05-16","1","1","145354","true","46","spotify:user:1227113","2019-01-10T00:25:41Z","","0.396","0.276","4","-13","1","0.0444","0.754","0.0901","0.204","0.203","116.791","4"
"spotify:track:783HW2WzbtDifgPrQDaxvZ","New Addy","spotify:artist:1ZilzPhvZhYUCSGczNRlyt","Eli Sostre","spotify:album:5i9HTp05n9RO828DjJmjJt","Sleep Is for the Weak","2017-07-28","1","2","204242","true","48","spotify:user:1227113","2019-01-12T01:33:26Z","trap soul,underground hip hop","0.695","0.535","10","-8.902","0","0.0261","0.0965","0.0552","0.0921","0.163","103.491","4"
