"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Album Release Date","Disc Number","Track Number","Track Duration (ms)","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature"
"spotify:track:1Z2tYxtTHxNa5DOWxix7Gr","NIGHT OR DAY","spotify:artist:7iWynR4oOvJpSKOAR3zazP","John OFA Rhee","spotify:album:0bdyjxlFmfRR5SEmgK4dsm","how long can we go?","2018-08-23","1","4","214917","false","41","spotify:user:1227113","2019-03-14T16:58:49Z","k-indie,korean pop","0.581","0.324","0","-12.77","1","0.144","0.804","0.588","0.128","0.13","92.026","4"
"spotify:track:0XLORO8d7WV66y49E7bxrI","Somebody","spotify:artist:6hyHuSf5Ft5jkSCmTg1RNn","Sunday Moon","spotify:album:2PAEA9SgGyEu2fjuqvUyzM","Somebody","2018-12-14","1","1","238774","false","48","spotify:user:1227113","2019-03-14T17:03:00Z","k-indie","0.421","0.197","4","-9.478","1","0.0352","0.795","0.00000122","0.136","0.228","139.271","4"
"spotify:track:7CE38agJ0msPBrSkQ93IwP","MIRACLE GIRL","spotify:artist:0iqznAW9pzZ7KOjx8aCMWo","Tay Iwar","spotify:album:2wmMbD3YnCvSsMpdLE3RUd","1997","2018-08-26","1","3","201919","true","12","spotify:user:1227113","2019-03-15T14:15:29Z","alte,nigerian pop","0.302","0.532","4","-5.718","1","0.032","0.822","0.00000405","0.335","0.323","68.535","4"
"spotify:track:17ZVAbxWkOy5n0w4VnYKd6","Guaranteed","spotify:artist:4AgZVM5339ZoMyg38nYyYW, spotify:artist:5Y8PCl4iNLDIHGkCMi5i76","Devin Morrison, Ace Hashimoto","spotify:album:4qtMh4wkEfYZeNJwM7Bgcb","Guaranteed","2019-03-15","1","1","219791","false","15","spotify:user:1227113","2019-03-15T21:14:45Z","alternative r&b,chill r&b,indie r&b,neo r&b","0.511","0.473","1","-7.659","1","0.352","0.463","0.0000238","0.156","0.599","72.689","4"
"spotify:track:6VIQxuetTlm9PXgpnQIuHe","Numb - Remastered","spotify:artist:1VvjB8ztJLmmj2fyL4TkCU","Jay Wile","spotify:album:0cGVeAAH5PMEi4p85vifal","Blue Patio","2017-10-04","1","1","220965","false","0","spotify:user:1227113","2019-03-17T21:57:12Z","alternative r&b,bedroom soul,chill r&b,indie r&b","0.644","0.17","8","-13.862","0","0.0568","0.149","0","0.0544","0.609","144.699","3"
"spotify:track:546tamGotuR5Mhbe35ONAv","잠 못 드는 밤 비는 내리고 [Jam Mot Deuneun Bam Bineun Naeligo] : Sleepless rainy night","spotify:artist:3HqSLMAZ3g3d5poNaI7GOU","IU","spotify:album:4B3UIkrohpUIxyVCCgLrEI","꽃갈피 둘 [Kkot-Galpi #2] : A flower bookmark","2017-09-22","1","3","266516","false","51","spotify:user:1227113","2019-03-18T03:20:30Z","k-pop","0.761","0.456","10","-7.817","1","0.0461","0.727","0.000103","0.143","0.46","91.028","4"
"spotify:track:0Ilpk65GBe1sO2KbrzNqZH","Sunflower","spotify:artist:3VQDqjQ4wJyw8PzpGdlZpB","Colde","spotify:album:68DMCodGLgBv2W0EHbTFAr","Wave","2018-09-13","1","4","255000","false","45","spotify:user:1227113","2019-03-18T03:20:48Z","chill r&b,k-indie,k-rap,korean pop,korean r&b","0.666","0.824","2","-6.276","1","0.138","0.437","0.00000111","0.127","0.655","78.029","4"
"spotify:track:6c3IzgWIRFPKPcoMj4l4bh","Lovestruck","spotify:artist:3VQDqjQ4wJyw8PzpGdlZpB","Colde","spotify:album:68DMCodGLgBv2W0EHbTFAr","Wave","2018-09-13","1","6","219000","false","40","spotify:user:1227113","2019-03-18T03:20:54Z","chill r&b,k-indie,k-rap,korean pop,korean r&b","0.468","0.428","8","-9.625","1","0.149","0.839","0.0000102","0.367","0.188","92.645","3"
"spotify:track:5g1cV8vAkt1ihjwlW8DWrF","Tribe (with J. Cole)","spotify:artist:70gP6Ry4Uo0Yx6uzPIdaiJ, spotify:artist:6l3HvQ5sa6mXTsMTB19rO5","Bas, J. Cole","spotify:album:3by46XqUngn1VjyGvLJEZB","Tribe (with J. Cole)","2018-08-22","1","1","238053","true","0","spotify:user:1227113","2019-03-18T03:21:59Z","hip hop,pop rap,queens hip hop,rap,sudanese pop,underground hip hop,conscious hip hop,hip hop,north carolina hip hop,rap","0.755","0.594","7","-5.906","1","0.216","0.241","0","0.107","0.237","178.929","4"
"spotify:track:2wknuokNRAnUPoNmYe0shu","For the World (feat. James Fauntleroy)","spotify:artist:7GN9PivdemQRKjDt4z5Zv8, spotify:artist:5ooSG9S0glqP5ZrqqaHBvT","The Internet, James Fauntleroy","spotify:album:69g3CtOVg98TPOwqmI2K7Q","Ego Death","2015-06-26","1","6","203880","true","44","spotify:user:1227113","2019-03-18T03:22:20Z","alternative r&b,escape room,indie soul,lgbtq+ hip hop,neo soul","0.576","0.445","10","-9.981","0","0.223","0.282","0","0.7","0.612","94.962","4"
"spotify:track:3xlN0Fe1oEOEiE3yWLYcSD","Stellar","spotify:artist:4UodukR17NIQfNu5uaqm9B","Jamila Woods","spotify:album:2ha1TUv0o6VnQddOci7GIb","HEAVN","2017-08-15","1","16","122345","false","44","spotify:user:1227113","2019-03-18T12:33:56Z","afrofuturism,alternative r&b,escape room,indie soul","0.684","0.362","6","-9.751","0","0.037","0.874","0.0703","0.287","0.571","86.92","4"
