"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Album Release Date","Disc Number","Track Number","Track Duration (ms)","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature"
"spotify:track:16pa2RBOVK2cZj8oCmHtyI","Departure","spotify:artist:2Ea7qJOrKOD6OYkXNEUwrs, spotify:artist:5D21ZneiMBeuS22kVg2sxE","SUKISHA, kiki vivi lily","spotify:album:550OQP4Yq1H4UQCW2WrLk0","Over the Rainbow","2019-12-18","1","1","57473","false","12","spotify:user:1227113","2020-03-10T20:39:51Z","japanese city pop,japanese r&b,japanese alternative rock,japanese city pop,japanese r&b","0.614","0.741","0","-10.42","1","0.274","0.917","0.838","0.274","0.852","94.259","4"
"spotify:track:4czvJVP5yOJbUWO03J0KAZ","Pinch Makes Romantic","spotify:artist:1KYeeKVVJdWLzdB6MwQGmE","MGF","spotify:album:4auUfKs6rsMDemD5AxLQQe","Pinch Makes Romantic","2019-12-27","1","1","316479","false","6","spotify:user:1227113","2020-03-10T20:39:51Z","j-rap","0.753","0.785","11","-5.992","0","0.316","0.864","0.0000475","0.394","0.826","92.973","4"
"spotify:track:5y8apzJP1xF42QHMjSauvN","Count Your Blessings","spotify:artist:2c9O21YLFy4tFI9zCVhbFg","Sunday Service Choir","spotify:album:65zhpgwMMRxncpa7zHckQ6","Jesus Is Born","2019-12-25","1","1","327742","false","49","spotify:user:1227113","2020-03-10T20:39:51Z","","0.481","0.306","8","-9.653","1","0.0338","0.746","0.00000264","0.683","0.496","109.854","3"
"spotify:track:077yGhj0JCilTx1aNgoAE8","Excellent","spotify:artist:2c9O21YLFy4tFI9zCVhbFg","Sunday Service Choir","spotify:album:65zhpgwMMRxncpa7zHckQ6","Jesus Is Born","2019-12-25","1","2","208864","false","45","spotify:user:1227113","2020-03-10T20:39:51Z","","0.279","0.288","5","-13.497","0","0.0388","0.468","0","0.356","0.0699","87.676","3"
"spotify:track:4pSUxkUKeWFyFNkzl7XoBU","Revelations 19:1","spotify:artist:2c9O21YLFy4tFI9zCVhbFg","Sunday Service Choir","spotify:album:65zhpgwMMRxncpa7zHckQ6","Jesus Is Born","2019-12-25","1","3","333075","false","49","spotify:user:1227113","2020-03-10T20:39:51Z","","0.409","0.349","9","-8.53","0","0.0497","0.483","0","0.133","0.287","111.894","4"
"spotify:track:0kjm5DAzDidQhHgElDrdfq","Rain","spotify:artist:2c9O21YLFy4tFI9zCVhbFg","Sunday Service Choir","spotify:album:65zhpgwMMRxncpa7zHckQ6","Jesus Is Born","2019-12-25","1","4","287930","false","53","spotify:user:1227113","2020-03-10T20:39:51Z","","0.548","0.225","4","-12.079","0","0.082","0.527","0","0.146","0.211","133.057","4"
"spotify:track:3LCvxWsmC6UVTWpynIYFWo","Balm In Gilead","spotify:artist:2c9O21YLFy4tFI9zCVhbFg","Sunday Service Choir","spotify:album:65zhpgwMMRxncpa7zHckQ6","Jesus Is Born","2019-12-25","1","5","127703","false","44","spotify:user:1227113","2020-03-10T20:39:51Z","","0.513","0.355","11","-9.915","1","0.0866","0.911","0","0.521","0.539","134.073","4"
"spotify:track:2tLH5EsewbZNvmWidJqzDF","Father Stretch","spotify:artist:2c9O21YLFy4tFI9zCVhbFg","Sunday Service Choir","spotify:album:65zhpgwMMRxncpa7zHckQ6","Jesus Is Born","2019-12-25","1","6","351855","false","53","spotify:user:1227113","2020-03-10T20:39:51Z","","0.39","0.675","4","-7.77","0","0.483","0.214","0","0.673","0.191","122.968","4"
"spotify:track:6lfCkiP0h3KyWa7BQNoOu9","Follow Me - Faith","spotify:artist:2c9O21YLFy4tFI9zCVhbFg","Sunday Service Choir","spotify:album:65zhpgwMMRxncpa7zHckQ6","Jesus Is Born","2019-12-25","1","7","421508","false","46","spotify:user:1227113","2020-03-10T20:39:51Z","","0.651","0.483","9","-7.499","0","0.0802","0.107","0","0.264","0.349","114.057","4"
"spotify:track:5anPHKl01TNpTe618GzX1m","Ultralight Beam","spotify:artist:2c9O21YLFy4tFI9zCVhbFg","Sunday Service Choir","spotify:album:65zhpgwMMRxncpa7zHckQ6","Jesus Is Born","2019-12-25","1","8","200531","false","50","spotify:user:1227113","2020-03-10T20:39:51Z","","0.34","0.26","10","-10.626","0","0.0425","0.467","0","0.0889","0.149","90.047","4"
