"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Album Release Date","Disc Number","Track Number","Track Duration (ms)","Explicit","Popularity","Added By","Added At"
"spotify:track:2NNPnxOunTgqFNlCrG4jcQ","Mortal Kombat","spotify:artist:0kDgxQlVYVecF6MCNWJTYE, spotify:artist:4c2ighP1wj8E5dVGJDCOiB, spotify:artist:6lirZ0ouvh4l3fz3HSnIwi, spotify:artist:7Hjbimq43OgxaBRpFXic4x","Pivot Gang, Kari Faux, Joseph Chilliams, Saba","spotify:album:3LGXijbrTyP8I6W1mEb5Sl","You Can't Sit With Us","2019-04-19","1","3","211153","true","46","spotify:user:1227113","2019-09-27T15:37:16Z"
"spotify:track:2fQo9apVAYggTBzaFPUh9B","Supernova","spotify:artist:4tRZRfhgfLEIUI9mw9Njy2","Sunni Colón","spotify:album:0iu2xltdgI77Bkryi5JTNe","Supernova","2019-09-25","1","1","141374","false","48","spotify:user:1227113","2019-12-13T16:28:46Z"
"spotify:track:5otMQFEmbjKcOx7rfBRZXM","Cycles","spotify:artist:0XzVyZOZF7FIsQ7VbBZ9Yy, spotify:artist:43JlwunhXm1oqdKyOa2Z9Y","Shafiq Husayn, Hiatus Kaiyote","spotify:album:2RwRyZtlOXOcg4dzx1VkhE","The Loop","2019-03-29","1","9","229380","false","32","spotify:user:1227113","2019-12-13T16:28:46Z"
"spotify:track:0cKn4Shv9qiUjy0iCdbA8h","Mrs. Crabtree","spotify:artist:0XzVyZOZF7FIsQ7VbBZ9Yy, spotify:artist:7IfculRW2WXyzNQ8djX8WX, spotify:artist:3Qq0yiyJZJu8L2PS5zpFVX, spotify:artist:7Lfgc57O0gFZHbSnCzHq2r","Shafiq Husayn, Erykah Badu, N'Dambi, Aset SoSavvy","spotify:album:2RwRyZtlOXOcg4dzx1VkhE","The Loop","2019-03-29","1","6","323595","false","13","spotify:user:1227113","2019-12-13T16:28:46Z"
"spotify:track:6wJCaF2Gg1bb50EIX20Z2X","Between Us 2","spotify:artist:0XzVyZOZF7FIsQ7VbBZ9Yy, spotify:artist:4jCbgl5Dmt3uOh8WRQfpPs","Shafiq Husayn, Bilal","spotify:album:2RwRyZtlOXOcg4dzx1VkhE","The Loop","2019-03-29","1","5","316207","false","20","spotify:user:1227113","2019-12-13T16:28:46Z"
"spotify:track:4zwq3QUKgMNk0NSLl7fpbP","Why Why Why Why Why","spotify:artist:1uRxRKC7d9zwYGSRflTKDR","SAULT","spotify:album:57EkTny9UjqpLhFzMO4Hdb","5","2019-05-05","1","4","238679","false","60","spotify:user:1227113","2019-12-13T16:28:46Z"
"spotify:track:7DHrin6fl2RV6ND1k3MF9y","Loverboy","spotify:artist:28EyduqESEOVMO6vglvaUZ","Joesef","spotify:album:7w3ggwVB0OqAGFkboiozRS","Loverboy","2019-05-17","1","1","238122","false","54","spotify:user:1227113","2019-12-13T16:28:46Z"
"spotify:track:3Cuxhaq8CSrYNKeyCQUM6e","My Head (feat. ABRA)","spotify:artist:5zfEatKLDdRkgbw6sdLBAQ, spotify:artist:3ZJxEmjYZd5VOqZ8o3aXiL","Octavian, ABRA","spotify:album:0EmCH3tGiC9pjgIhxsqg4e","Endorphins","2019-06-13","1","11","189063","true","40","spotify:user:1227113","2019-12-13T16:28:46Z"
"spotify:track:7l2qaeiW6ACIrJ4wmR1SDI","Walking Alone (SBTRKT cover) (feat. J Rick & Jessie Ware)","spotify:artist:5zfEatKLDdRkgbw6sdLBAQ, spotify:artist:3b0OO3bmtd9oXo3EOW8KHZ, spotify:artist:5Mq7iqCWBzofK39FBqblNc, spotify:artist:1O10apSOoAPjOu6UhUNmeI","Octavian, J Rick, Jessie Ware, SBTRKT","spotify:album:0EmCH3tGiC9pjgIhxsqg4e","Endorphins","2019-06-13","1","10","323387","true","41","spotify:user:1227113","2019-12-13T16:28:46Z"
"spotify:track:3fSERn1IDqeKsuFGDbtncP","Through Enough (feat. GoldLink) - Jarreau Vandal Remix","spotify:artist:0Ek89uaJyo6NfWK22awFvI, spotify:artist:5XenQ7XfcvQdfIbpLEFaKQ, spotify:artist:6f96znq79wvlknKHHHhtTW","VanJess, GoldLink, Jarreau Vandal","spotify:album:2Cfi0i0WfSA4wChWWTinmz","Through Enough (Maxi Single)","2019-06-25","1","3","259786","false","18","spotify:user:1227113","2019-12-13T16:28:46Z"
"spotify:track:1H6oSwSqrZYNkSyKbMd7JL","Leo Bear","spotify:artist:6tUJpYN2aYiXbzAcg0pIOo","Sinead Harnett","spotify:album:17MS1oITaC8VbYmtpXplMV","Lessons in Love","2019-09-20","1","2","266256","false","39","spotify:user:1227113","2019-12-13T16:28:46Z"
"spotify:track:2cFHJw9MFRzt3Bo3s8aPFU","Blu Skyes","spotify:artist:5q9zHGohILrZ2j1bSL1VeG","Barny Fletcher","spotify:album:6txMrG8bBmH4oCbtDlRmfx","CANVAS2033","2019-05-17","1","7","250285","true","42","spotify:user:1227113","2019-12-13T16:28:46Z"
"spotify:track:5P073xLwqE2bU6LC0UM1Uu","Hard To Believe","spotify:artist:6SYIsHAQ1sPokVxmzpaDBU, spotify:artist:7gSjFKpVmDgC2MMsnN8CYq","Kindness, Jazmine Sullivan","spotify:album:6f0YTKqvFzTV2GothutvTx","Hard To Believe","2019-06-11","1","1","241032","false","24","spotify:user:1227113","2019-12-13T16:28:46Z"
"spotify:track:0ZOYJ5355oaN1tZTxsqSIO","Marvin's Mood","spotify:artist:35mEzAsFbM7OOTzFyjTgeU","Stro Elliot","spotify:album:1xbrj4do2MGesSb11YloRH","Marvin's Mood","2019-09-20","1","1","439651","false","40","spotify:user:1227113","2019-12-13T16:28:46Z"
"spotify:track:7pADtei8K3suMQlLBxR4iw","When U Loved Me","spotify:artist:5O35zGUolf87RATk2NgSD3","Hether","spotify:album:6ob1fJyKwsUIIoyjz8PL0w","When U Loved Me","2019-07-10","1","1","191146","false","53","spotify:user:1227113","2019-12-13T16:28:46Z"
"spotify:track:55R2qHAF1KxgKaV0gAcAus","Payback","spotify:artist:6X8WdFjrNhXATMDSs26aCc, spotify:artist:65d2Cw70rLuVwEZwQpHtFW, spotify:artist:7jDblfQQLFAZCKXFfoGZ9Q","Curren$y, LNDN DRGS, Jay Worthy","spotify:album:7BtdIGLf6XXI8zSHuXfPvL","Umbrella Symphony","2019-05-10","1","3","220069","true","31","spotify:user:1227113","2019-12-13T16:28:46Z"
"spotify:track:5sevAfgZS7yJkCzuTIfBOA","Returning","spotify:artist:0GgkfnO3Bu2CFn65ZH31TF","Freddie Joachim","spotify:album:5PDw9ze4Bjw4P9rQ2yQFKF","Returning","2019-07-22","1","1","204930","false","24","spotify:user:1227113","2019-12-13T16:28:46Z"
"spotify:track:3j6C16R1SJ5EM9SrnKE9Z8","Warrior Cry","spotify:artist:3UHGHiVMz1L0XqFi3oXHvH","Collard","spotify:album:12X0uIEsZS7G2TlokvPsj3","Unholy","2019-05-10","1","4","216680","false","27","spotify:user:1227113","2019-12-13T16:28:46Z"
"spotify:track:2gOv0TbtEYQPIBBEZ3CecT","Bad","spotify:artist:6640cHoNCdUXlPbwrsaoN6","Donavon","spotify:album:02N4I8FSqkKOCpZFnyhKp1","Bad","2019-04-08","1","1","168000","true","36","spotify:user:1227113","2019-12-13T16:28:46Z"
"spotify:track:2B9wgj9XzbJZLty03PRbVo","Bezerk (feat. A$AP Ferg)","spotify:artist:0c173mlxpT3dSFRgMO8XPh, spotify:artist:6q3p11nP1p80Ey6LrOOSed, spotify:artist:5dHt1vcEm9qb8fCyLcB3HL","Big Sean, Hit-Boy, A$AP Ferg","spotify:album:6UgZHNJFfmKLSGLuW9T114","Bezerk","2019-08-26","1","1","151066","true","70","spotify:user:1227113","2019-12-13T16:28:46Z"
"spotify:track:310Qd5lOzFStXKZB3zWCtE","Learn How to Watch (feat. Mac Miller & MadeinTYO)","spotify:artist:7CCjtD0hCK005Bvg2WG1a7, spotify:artist:4LLpKhyESsyAXpc4laK94U, spotify:artist:5SyGEPymt1G2uto47tVWvZ","Carnage, Mac Miller, MadeinTYO","spotify:album:406X6MuFUEmz00tVOSbOoS","Learn How to Watch (feat. Mac Miller & MadeinTYO)","2018-01-12","1","1","121850","true","56","spotify:user:1227113","2019-12-13T16:28:46Z"
"spotify:track:1zlDkLJhjJ8MbMOw71bPiX","Wife That","spotify:artist:0dXCvd6lpLfZBKTFjUF1R3, spotify:artist:0cyOzsWB2kB6JpGkm0O4aw","Marius, Kameron Alexander","spotify:album:7KoWpv7Dc54ubDVJ4XfHRg","Makeshift","2019-08-09","1","6","239973","true","12","spotify:user:1227113","2019-12-13T16:28:46Z"
"spotify:track:1r33iukEx0COYuBzyXPmPP","Hun43rd","spotify:artist:13ubrt8QOOCPljQ2FL1Kca","A$AP Rocky","spotify:album:3MATDdrpHmQCmuOcozZjDa","TESTING","2018-05-25","1","12","242746","true","60","spotify:user:1227113","2019-12-13T16:28:46Z"
"spotify:track:0Fpen1PTuEnCmOJtUU9Iud","New Patek","spotify:artist:4O15NlyKLIASxsJ0PrXPfz","Lil Uzi Vert","spotify:album:64eE6FnNj7UJ9LEkN4EbvS","New Patek","2018-09-18","1","1","343099","true","71","spotify:user:1227113","2019-12-13T16:28:46Z"
"spotify:track:3DoBTwfr8yi2LN08SBpFkN","Watch (feat. Lil Uzi Vert & Kanye West)","spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY, spotify:artist:4O15NlyKLIASxsJ0PrXPfz, spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Travis Scott, Lil Uzi Vert, Kanye West","spotify:album:7hVFsGvQ1apmp4EAldMwID","Watch (feat. Lil Uzi Vert & Kanye West)","2018-05-04","1","1","217405","true","69","spotify:user:1227113","2019-12-13T16:28:46Z"
"spotify:track:3HPygYwlZeehBTDZXMhsrR","Mars (feat. Lil Uzi Vert)","spotify:artist:6xS5PpBWaVYraexEkEjjXv, spotify:artist:4O15NlyKLIASxsJ0PrXPfz","Maxo Kream, Lil Uzi Vert","spotify:album:5ZvWg6dVrEk5syDUzn0dPI","Mars (feat. Lil Uzi Vert)","2017-12-01","1","1","199863","true","56","spotify:user:1227113","2019-12-13T16:28:46Z"
"spotify:track:0jKTXiGx84XBFD7wwv9IOW","Champagne","spotify:artist:07d5etnpjriczFBB8pxmRe","BJ The Chicago Kid","spotify:album:7lZWuo8TFgz5ty8PEWa6SO","1123","2019-07-26","1","2","221788","false","35","spotify:user:1227113","2019-12-13T16:28:46Z"
