"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Album Release Date","Disc Number","Track Number","Track Duration (ms)","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature"
"spotify:track:1dh0SsxDsxABoYnxd1cScv","Blood","spotify:artist:0kDgxQlVYVecF6MCNWJTYE, spotify:artist:7Hjbimq43OgxaBRpFXic4x, spotify:artist:6lirZ0ouvh4l3fz3HSnIwi, spotify:artist:7auVoAwdrloWdyKULVOauu, spotify:artist:14hFXWA8giW96HpYkTxywX","Pivot Gang, Saba, Joseph Chilliams, MFnMelo, Frsh Waters","spotify:album:4Ig0X2r39z5u9F6Wnou8zp","Blood","2018-11-23","1","1","181585","true","38","spotify:user:1227113","2018-12-01T03:07:31Z","indie hip hop,underground hip hop,alternative r&b,chicago rap,hip hop,rap,underground hip hop,indie hip hop,jazz rap","0.916","0.678","0","-7.019","1","0.117","0.000958","0.0000046","0.117","0.612","139.057","4"
"spotify:track:28kzUBvg1oE12l3JtywZqa","Wheel","spotify:artist:7tr9pbgNEKtG0GQTKe08Tz","Mk.gee","spotify:album:1qVwLJeWTi7kleZtcTnnTq","Fool","2018-11-16","1","2","209887","false","36","spotify:user:1227113","2018-11-23T20:24:16Z","alternative r&b,indie r&b,indie soul,vapor soul","0.869","0.383","5","-11.979","0","0.0499","0.532","0.909","0.0998","0.702","118.88","4"
"spotify:track:6ybabU1WbqJc4k2XmClvTy","Steele","spotify:artist:1VBAKMui4zm5MnBWNn3NbL","Devault","spotify:album:2OH8EZe89MaF2VoBCR84wg","Steele","2018-08-17","1","1","263158","false","0","spotify:user:1227113","2018-10-26T02:32:27Z","future bass,vapor twitch","0.674","0.65","0","-10.367","1","0.0467","0.0556","0.88","0.289","0.08","114.014","4"
"spotify:track:3PNj6Ra5nnlBhrCleb96s8","비상연락음","spotify:artist:5qGemt8SgMneJacS62LXRA","IndEgo Aid","spotify:album:4ZbPAOhTDIhQazqzmilUSo","비상연락음","2018-09-10","1","1","181285","false","0","spotify:user:1227113","2018-10-26T01:41:34Z","k-rap","0.43","0.874","8","-4.571","1","0.27","0.743","0","0.425","0.391","140.945","4"
"spotify:track:7HVDmCoXaujiqbzi8ir5Oc","Stay With Me","spotify:artist:1aSwrSGBNGMLn9ymttfRkk, spotify:artist:3dQZZuz1lE7E872IAyIhTq","Lido, J'von","spotify:album:4Q7CAVxPCMT5veuEhCRNwy","Spacesuit","2018-05-04","1","6","177093","false","14","spotify:user:1227113","2018-10-24T13:12:19Z","future bass,norwegian pop,vapor twitch,seattle hip hop","0.567","0.601","5","-7.397","1","0.54","0.643","0.00000353","0.104","0.474","178.651","4"
"spotify:track:5RIe5M5m6p0gNMNYju8edX","Superior Emotion","spotify:artist:2VAnyOxzJuSAj7XIuEOT38, spotify:artist:6iWuBN32BqCJAeXW6o3nil","AlunaGeorge, Cautious Clay","spotify:album:7HEHiECpBneNa3DJcMbjlg","Superior Emotion","2018-09-07","1","1","206028","false","45","spotify:user:1227113","2018-09-07T15:07:51Z","electropop,house,pop,pop dance,tropical house,alternative r&b,chill r&b,indie r&b,nyc pop,pop,vapor soul","0.678","0.604","1","-6.854","1","0.0461","0.444","0.000994","0.137","0.404","144.017","4"
"spotify:track:12rkRRfZSakbb5GIxQQE4z","All Your Words","spotify:artist:4CO0ws5Et1vXaNUTwxa2lo","JIL","spotify:album:0J8hvwL3AOjq5CUyz5JmfC","All Your Words","2016-07-05","1","1","215038","false","22","spotify:user:1227113","2018-09-07T15:10:32Z","","0.473","0.646","5","-7.995","0","0.0818","0.00493","0.00326","0.233","0.263","147.05","4"
"spotify:track:5Ca1SIc3NNOBgLx3aAHXYy","Elegance","spotify:artist:7lsnwlX6puQ7lcpSEpJbZE","Kilo Kish","spotify:album:6VPb0dtOwj2S2T343L9a8U","mothe","2018-09-07","1","5","222148","false","0","spotify:user:1227113","2018-09-07T15:27:23Z","alternative r&b,art pop,escape room,hyperpop","0.603","0.679","1","-7.42","1","0.0641","0.0203","0.0123","0.131","0.399","135.903","4"
"spotify:track:4D2Z8yUlhaDD81ubWpcRdt","All Over You","spotify:artist:4HzKw8XcD0piJmDrrPRCYk","Majid Jordan","spotify:album:693RRTejeSe0iJ4qf8HtKH","All Over You","2018-09-07","1","1","215327","false","54","spotify:user:1227113","2018-09-07T15:31:31Z","alternative r&b,canadian contemporary r&b,pop,trap soul","0.797","0.5","0","-6.964","0","0.0354","0.0579","0","0.122","0.492","106.957","4"
"spotify:track:6NOdD9M3uXCQbHoxLChMn0","Language (feat. Ebenezer)","spotify:artist:4hTL3jOgvZwOqegEZTOrCc, spotify:artist:2vik8lyw8WiALKMJK7C3hn","Col3trane, Ebenezer","spotify:album:5dQlAqTlEwLue7a70WGyCU","Tsarina","2018-04-06","1","9","180276","true","38","spotify:user:1227113","2018-09-09T13:55:06Z","alternative r&b,chill r&b,indie r&b,indie soul,trap soul,uk contemporary r&b,trap soul,uk hip hop","0.613","0.459","9","-5.785","1","0.409","0.101","0","0.161","0.756","184.032","4"
