"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Album Release Date","Disc Number","Track Number","Track Duration (ms)","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature"
"spotify:track:5m9l5wILQ9iiLd8csLeR5v","Dio$ No$ Libre Del Dinero","spotify:artist:7ltDVBr6mKbRvohxheJ9h1","ROSALÍA","spotify:album:7qJZgNj9IMy9onoTe5uhZc","Fucking Money Man","2019-07-03","1","2","108000","false","59","spotify:user:1227113","2019-07-10T17:49:33Z","r&b en espanol","0.583","0.439","8","-8.562","0","0.325","0.867","0.0000697","0.333","0.232","61.837","4"
"spotify:track:1s9RwfMQT5PbWvYsMWi4kX","Rhinestone Cowboy","spotify:artist:4u3JZVJYDq2F3KgnUFw9dp","Abstract Orchestra","spotify:album:3SeYRqyigEnVn5ElW8pmcx","Madvillain, Vol. 2","2019-05-24","1","8","100816","false","24","spotify:user:1227113","2019-07-10T17:49:33Z","alternative hip hop","0.729","0.4","0","-5.45","1","0.0492","0.0506","0.883","0.0914","0.166","92.27","4"
"spotify:track:0zd2Kl6o5sGSrNkenXGPJG","Bistro","spotify:artist:4u3JZVJYDq2F3KgnUFw9dp","Abstract Orchestra","spotify:album:7KGf2ieIMFomTv9v9t1Anr","Madvillain, Vol. 1","2018-11-02","1","4","145091","false","33","spotify:user:1227113","2019-07-10T17:49:33Z","alternative hip hop","0.68","0.561","5","-6.459","0","0.0365","0.596","0.577","0.0917","0.725","93.288","4"
"spotify:track:6Z5dyeRnL8rOJC6OgqGThq","Raid","spotify:artist:4u3JZVJYDq2F3KgnUFw9dp","Abstract Orchestra","spotify:album:7KGf2ieIMFomTv9v9t1Anr","Madvillain, Vol. 1","2018-11-02","1","6","217506","false","35","spotify:user:1227113","2019-07-10T17:49:33Z","alternative hip hop","0.494","0.545","11","-7.711","0","0.115","0.388","0.866","0.155","0.143","195.498","4"
"spotify:track:0qJGwTcFkDzxhvXjxbXhok","Show And Tell","spotify:artist:7h01MzzV4zMo39ocJpJiCi","Lo Village","spotify:album:0FMLe7UMpoSPWKqQuCq9aT","Show And Tell","2019-05-31","1","1","196235","true","35","spotify:user:1227113","2019-07-10T17:49:33Z","indie hip hop","0.665","0.477","6","-6.878","0","0.162","0.472","0.00000265","0.106","0.451","84.965","4"
"spotify:track:5MozlTpfumvMdWFsh0XH2e","Could Be a Curse","spotify:artist:7c6eQSFEfIt9rV3gh4cgtj, spotify:artist:3zlWvRPwLwGSi2v6ltrhOl","KAINA, Sen Morimoto","spotify:album:1qN17gSl8xMIjMzMpHVqB4","Could Be a Curse","2019-06-10","1","1","372463","false","32","spotify:user:1227113","2019-07-10T17:49:33Z","bedroom soul","0.747","0.488","11","-10.348","0","0.0331","0.00875","0.00596","0.0954","0.517","113.983","4"
"spotify:track:794JoJJcwSIJ2XeLYsvltU","More (feat. Lola Rae)","spotify:artist:5XenQ7XfcvQdfIbpLEFaKQ, spotify:artist:2O0Ex0DrE8pEEw5WZoBF49","GoldLink, Lola Rae","spotify:album:790qROmQ1y4aPEYLcSkScH","Diaspora","2019-06-12","1","6","187280","true","46","spotify:user:1227113","2019-07-10T17:49:33Z","alternative r&b,dmv rap,hip hop,rap,underground hip hop","0.818","0.653","3","-6.958","0","0.115","0.38","0.461","0.11","0.728","104.003","4"
"spotify:track:1dbyPD18Jb58YsE0fcrpby","Det var meningen","spotify:artist:0LdzDrRc2RESpGqwyhbE3t","Madi Banja","spotify:album:5NwIcJAIHYYXZ1jIy4NNFv","Välsignelsen","2019-06-14","1","1","65840","false","14","spotify:user:1227113","2019-07-10T17:49:33Z","swedish hip hop,swedish trap pop","0.788","0.539","8","-9.175","1","0.198","0.664","0.0000083","0.137","0.795","104.851","3"
"spotify:track:2WwwfnTUm4yUK8stRMPd7V","Pink Youth","spotify:artist:3kHVioJpVxlazAAKQ64pC1, spotify:artist:6eXZu6O7nAUA5z6vLV8NKI","Yuna, Little Simz","spotify:album:52lWZNXWoJMWFNPmXdAWz9","Pink Youth","2019-06-28","1","1","240880","true","50","spotify:user:1227113","2019-07-10T17:49:33Z","alternative r&b,malaysian pop,escape room,indie soul,trap queen,uk alternative hip hop","0.732","0.886","6","-5.445","0","0.0994","0.239","0.000308","0.779","0.602","113.498","4"
"spotify:track:5kg7KIvJmHF4FFlPfgPwjG","Microscope 현미경 (feat. Giriboy)","spotify:artist:3VBZBLX807XsYkBcZqEGn4, spotify:artist:2MtHuR0W2idZdF7x4wddqq","Fisherman, GIRIBOY","spotify:album:0oPvbwICqAvKH4DgqgUDpP","Well Being","2019-06-26","1","4","178648","false","15","spotify:user:1227113","2019-07-10T17:49:33Z","k-indie,k-rap,korean r&b","0.852","0.458","10","-6.383","1","0.0967","0.806","0.283","0.182","0.842","88.02","4"
