"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Album Release Date","Disc Number","Track Number","Track Duration (ms)","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature"
"spotify:track:1gqYoOzugxXElvdFM19Y7F","Down In Flames","spotify:artist:2BeARYDF52QQk5S2zgiVHe","Cleopold","spotify:album:5QQfGx4oU9tfAkTe3QKWtU","Altitude & Oxygen","2016-06-10","1","3","249560","false","34","spotify:user:1227113","2018-12-28T00:03:34Z","","0.746","0.528","6","-6.486","0","0.058","0.00994","0.00000164","0.0735","0.608","155.989","4"
"spotify:track:1CcSJGXaL8eps0dnEguIHL","The Lonely Slowly Loves","spotify:artist:1aSwrSGBNGMLn9ymttfRkk","Lido","spotify:album:1wpl5L33Gn9o0hiLfgBKB0","I O U 2","2018-11-16","1","4","147093","false","17","spotify:user:1227113","2018-11-16T18:37:31Z","future bass,norwegian pop,vapor twitch","0.315","0.439","4","-9.982","0","0.0429","0.56","0.0000116","0.116","0.0554","78.288","4"
"spotify:track:7gkWH8L1x5MQM71Q3u3CPa","Dear.","spotify:artist:2YZhod6BAbnBKh2nPdUejY","SOMA","spotify:album:410SHJaX58eWD602H4Tl4v","THE LETTER","2017-11-01","1","1","222549","false","5","spotify:user:1227113","2018-10-23T01:40:29Z","korean r&b","0.46","0.464","7","-10.19","1","0.211","0.339","0.00000258","0.358","0.185","159.377","4"
"spotify:track:4GUGTNCsemFI0aPFREM1tD","Rotted Arp","spotify:artist:46Ce0QmI1mE2bl5VQ4P9N8, spotify:artist:42TogPbYEXl164PrqTEVBW","Lapalux, Louisahhh","spotify:album:0saILOEDKLtulKeSU6DKyZ","Ruinism","2017-06-30","1","4","249515","false","0","spotify:user:1227113","2018-10-23T01:43:26Z","bass music,chillwave,electronica,future garage,substep,vapor twitch,wonky,destroy techno","0.205","0.496","7","-10.707","1","0.056","0.52","0.00922","0.292","0.129","101.216","4"
"spotify:track:3jip7D6heIGcG6g3D02sQU","Eyes Closed","spotify:artist:3s2jqlVaDwlRKk3mF7WT2b","Jamie Isaac","spotify:album:59tVYDxUztZzAmVU5h3Tmy","(04:30) Idler","2018-06-01","1","6","242386","false","0","spotify:user:1227113","2018-10-23T01:45:25Z","indie soul","0.748","0.406","6","-10.644","1","0.0661","0.867","0.0245","0.108","0.37","124.955","4"
"spotify:track:7ydeKIGuAdxqkp7OsWGZx6","We Can't Be Friends","spotify:artist:0tWnElR8nnWIsopg1o3xmg","Dream Koala","spotify:album:0vTlDMlYYDOOandvUG5Nq2","We Can't Be Friends","2012-08-15","1","1","208451","false","0","spotify:user:1227113","2018-10-23T01:46:23Z","indie dream pop","0.576","0.283","2","-13.004","1","0.039","0.897","0.892","0.0841","0.252","119.277","4"
"spotify:track:7ln53hzSdrXrucU2gMlWTt","Stay Forever","spotify:artist:4zAOqBfNLyWFvj1e3yvypJ","Catching Flies","spotify:album:5uCP7wZqIvuZE7tKMk1vTz","The Long Journey Home","2013-11-09","1","1","245703","false","39","spotify:user:1227113","2018-10-23T01:46:51Z","downtempo,electronica,indie dream pop,indie soul,new french touch,vapor soul,vapor twitch","0.431","0.324","5","-11.555","0","0.0496","0.104","0.665","0.123","0.0994","112.092","4"
"spotify:track:0HgPSbB9YW0Ojjr8Yqxhci","Static Sleep","spotify:artist:07UJz804RJxqNvxFXC3h9H","Sam Gellaitry","spotify:album:36VEUbfESHvIOHcn6qKv6n","Escapism II","2016-08-12","1","4","181362","false","11","spotify:user:1227113","2018-10-23T01:51:19Z","electronic trap,future bass,scottish electronic,vapor twitch","0.379","0.724","10","-6.092","0","0.45","0.158","0.000127","0.79","0.322","132.95","4"
"spotify:track:6vVPCNcE9bEhhGAV2NMxov","Take A Fall For Me","spotify:artist:53KwLdlmrlCelAZMaLVZqU, spotify:artist:4iCwCMnqsNZ6atvRiADgtn","James Blake, RZA","spotify:album:53FEYOXnplxBWoQMmWn82U","Overgrown","2013-04-08","1","4","213946","false","46","spotify:user:1227113","2018-10-23T01:51:53Z","alternative r&b,indie soul,uk alternative pop,alternative hip hop,east coast hip hop,hardcore hip hop,hip hop","0.442","0.609","11","-9.016","1","0.131","0.886","0","0.131","0.16","80.558","4"
"spotify:track:4vJbSsLaqcBXCugxx23eCb","3 Million","spotify:artist:1aSwrSGBNGMLn9ymttfRkk","Lido","spotify:album:0eVSVVCpNQs3e89P3et3mr","I O U 1","2018-09-28","1","2","262593","false","19","spotify:user:1227113","2018-10-23T01:56:25Z","future bass,norwegian pop,vapor twitch","0.584","0.644","5","-8.75","0","0.52","0.0523","0.00000169","0.226","0.439","144.271","4"
