"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Album Release Date","Disc Number","Track Number","Track Duration (ms)","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature"
"spotify:track:6IDciY7HZSYeisPKQwbpYT","BES ILL LOUNGE Pt'3 - Intro","spotify:artist:0eclqlcc0hJCIAeWj3nF1H","BES","spotify:album:5pkpUH8y94Y9oCGDamFWTJ","BES ILL LOUNGE Part 3 - Mixed by I-DeA","2020-11-18","1","1","15516","false","0","spotify:user:1227113","2020-11-24T16:38:10Z","j-rap","0.743","0.377","3","-14.073","1","0.918","0.854","0","0.251","0","123.47","3"
"spotify:track:74j31XP9wEh84h0zOufKSZ","SWS","spotify:artist:0eclqlcc0hJCIAeWj3nF1H, spotify:artist:6f1lzaLkudOrPRrXmCR061, spotify:artist:2qG5coLD0C9lzSUs6euEFg","BES, D.D.S., MULBE","spotify:album:5pkpUH8y94Y9oCGDamFWTJ","BES ILL LOUNGE Part 3 - Mixed by I-DeA","2020-11-18","1","2","253832","true","21","spotify:user:1227113","2020-11-24T16:38:10Z","j-rap","0.634","0.778","6","-2.905","0","0.257","0.208","0","0.18","0.693","83.211","4"
"spotify:track:70nuScbPiLy4DfkxxHRIQL","DAYS","spotify:artist:2XKsSlSM70ukspdNBTSWBc, spotify:artist:0MfeTyPtbuue9oZFIMD2wY, spotify:artist:0eclqlcc0hJCIAeWj3nF1H, spotify:artist:37hLlbtNh8yXKbVHK13gsp","Gradis Nice, DJ SCRATCH NICE, BES, ISSUGI","spotify:album:5pkpUH8y94Y9oCGDamFWTJ","BES ILL LOUNGE Part 3 - Mixed by I-DeA","2020-11-18","1","3","147878","true","20","spotify:user:1227113","2020-11-24T16:38:10Z","j-rap,j-rap,j-rap","0.555","0.865","8","-3.606","0","0.339","0.494","0","0.564","0.611","91.262","4"
"spotify:track:5JAj5JCxd9GsYl22z6HrYv","HOW HOW HIGH PART.2 - REMIX","spotify:artist:5zS3A4uscquUykAheP4ALR, spotify:artist:0eclqlcc0hJCIAeWj3nF1H","MEGA-G, BES","spotify:album:5pkpUH8y94Y9oCGDamFWTJ","BES ILL LOUNGE Part 3 - Mixed by I-DeA","2020-11-18","1","4","200083","false","18","spotify:user:1227113","2020-11-24T16:38:10Z","j-rap","0.719","0.871","7","-4.547","1","0.223","0.0199","0","0.385","0.498","94.03","4"
"spotify:track:47PzJxE6YrexqQbzqn0dAd","G.E.N.S.E","spotify:artist:3e8ah2bLl5GMq73apFU208, spotify:artist:0eclqlcc0hJCIAeWj3nF1H","Himuki, BES","spotify:album:5pkpUH8y94Y9oCGDamFWTJ","BES ILL LOUNGE Part 3 - Mixed by I-DeA","2020-11-18","1","5","210746","false","17","spotify:user:1227113","2020-11-24T16:38:10Z","ambeat,j-rap","0.544","0.912","2","-3.453","1","0.224","0.159","0","0.142","0.702","94.015","4"
"spotify:track:7DvZw7TBKIA2WwVLDbSBi2","美学、こだわり","spotify:artist:0eclqlcc0hJCIAeWj3nF1H, spotify:artist:5zS3A4uscquUykAheP4ALR","BES, MEGA-G","spotify:album:5pkpUH8y94Y9oCGDamFWTJ","BES ILL LOUNGE Part 3 - Mixed by I-DeA","2020-11-18","1","6","158134","true","18","spotify:user:1227113","2020-11-24T16:38:10Z","j-rap","0.626","0.586","1","-6.529","1","0.46","0.111","0","0.159","0.782","76.301","1"
"spotify:track:2BzM8HtfqdMkWZXWzsQuAp","MY BLOCK - REMIX","spotify:artist:0eclqlcc0hJCIAeWj3nF1H","BES","spotify:album:5pkpUH8y94Y9oCGDamFWTJ","BES ILL LOUNGE Part 3 - Mixed by I-DeA","2020-11-18","1","7","66219","true","19","spotify:user:1227113","2020-11-24T16:38:10Z","j-rap","0.363","0.606","2","-5.215","1","0.0609","0.0248","0","0.338","0.208","83.967","4"
"spotify:track:3irPMFVdcSPmkUtG6eW4un","Feel My Mind","spotify:artist:3ryEBs1ix3jAXbLymkdJkQ, spotify:artist:5DOXrrqy6lvgmLleWmYmCu, spotify:artist:7unpGS2tCE8NrApvqs6X0S","SWANKY SWIPE, メシア The Fly, KAN","spotify:album:5pkpUH8y94Y9oCGDamFWTJ","BES ILL LOUNGE Part 3 - Mixed by I-DeA","2020-11-18","1","8","276666","false","19","spotify:user:1227113","2020-11-24T16:38:10Z","","0.389","0.968","10","-4.146","0","0.425","0.0375","0","0.309","0.391","159.821","4"
"spotify:track:3GyaDwQiB6ubHsSdoBQHSR","Breathe In Breathe Out","spotify:artist:3ryEBs1ix3jAXbLymkdJkQ","SWANKY SWIPE","spotify:album:5pkpUH8y94Y9oCGDamFWTJ","BES ILL LOUNGE Part 3 - Mixed by I-DeA","2020-11-18","1","9","170864","false","16","spotify:user:1227113","2020-11-24T16:38:10Z","","0.722","0.86","1","-4.55","1","0.436","0.0741","0","0.0683","0.761","93.561","4"
"spotify:track:4lJJTs35dvHk9IMrC9aNSS","勘ぐりと瞑想と困惑","spotify:artist:0eclqlcc0hJCIAeWj3nF1H","BES","spotify:album:5pkpUH8y94Y9oCGDamFWTJ","BES ILL LOUNGE Part 3 - Mixed by I-DeA","2020-11-18","1","10","173865","false","17","spotify:user:1227113","2020-11-24T16:38:10Z","j-rap","0.741","0.685","0","-5.818","1","0.4","0.0122","0","0.118","0.497","170.979","4"
"spotify:track:6TpGwCPC41Bf4w6Z9C9k8v","東京時刻","spotify:artist:3ryEBs1ix3jAXbLymkdJkQ","SWANKY SWIPE","spotify:album:5pkpUH8y94Y9oCGDamFWTJ","BES ILL LOUNGE Part 3 - Mixed by I-DeA","2020-11-18","1","11","214677","false","16","spotify:user:1227113","2020-11-24T16:38:10Z","","0.531","0.715","1","-3.523","1","0.335","0.175","0","0.484","0.906","93.267","4"
"spotify:track:3VGusbgVgquzYnfxcq8Aql","Narcos","spotify:artist:244odVvt89Qx3RNgzeXdMF, spotify:artist:3RJHMPo7gifTvrdzjt45f6, spotify:artist:0eclqlcc0hJCIAeWj3nF1H","dubby bunny, A-Thug, BES","spotify:album:5pkpUH8y94Y9oCGDamFWTJ","BES ILL LOUNGE Part 3 - Mixed by I-DeA","2020-11-18","1","12","85109","false","16","spotify:user:1227113","2020-11-24T16:38:10Z","j-rap","0.822","0.751","2","-7.539","1","0.0481","0.257","0","0.166","0.612","144.921","4"
"spotify:track:2hKibai0cV12h5SokocAsJ","BOOM BAP","spotify:artist:0eclqlcc0hJCIAeWj3nF1H, spotify:artist:37hLlbtNh8yXKbVHK13gsp","BES, ISSUGI","spotify:album:5pkpUH8y94Y9oCGDamFWTJ","BES ILL LOUNGE Part 3 - Mixed by I-DeA","2020-11-18","1","13","138116","false","16","spotify:user:1227113","2020-11-24T16:38:10Z","j-rap,j-rap","0.602","0.649","6","-6.704","1","0.32","0.46","0","0.296","0.851","87.569","4"
"spotify:track:3eDcw7gHLuKz3LCYXcJtMc","Make so happy","spotify:artist:0eclqlcc0hJCIAeWj3nF1H, spotify:artist:704gz1q9ieRxZfTkhPlZGG","BES, BIM","spotify:album:5pkpUH8y94Y9oCGDamFWTJ","BES ILL LOUNGE Part 3 - Mixed by I-DeA","2020-11-18","1","14","158100","true","42","spotify:user:1227113","2020-11-24T16:38:10Z","j-rap,j-rap,japanese r&b","0.572","0.918","9","-3.805","1","0.305","0.273","0","0.199","0.669","85.018","4"
"spotify:track:5lfX8FggIecf1HK6hiu1L0","I DON'T CARE","spotify:artist:15OULpCuqGdGEdeAtNp7f9, spotify:artist:0eclqlcc0hJCIAeWj3nF1H","ONE-LAW, BES","spotify:album:5pkpUH8y94Y9oCGDamFWTJ","BES ILL LOUNGE Part 3 - Mixed by I-DeA","2020-11-18","1","15","213396","false","16","spotify:user:1227113","2020-11-24T16:38:10Z","j-rap","0.452","0.599","11","-4.657","1","0.114","0.0849","0","0.364","0.546","109.095","5"
"spotify:track:35tosVqfENXtOJahIPc3M9","No More Comics - MASS-HOLE REMIX","spotify:artist:5DOXrrqy6lvgmLleWmYmCu, spotify:artist:0eclqlcc0hJCIAeWj3nF1H","メシア The Fly, BES","spotify:album:5pkpUH8y94Y9oCGDamFWTJ","BES ILL LOUNGE Part 3 - Mixed by I-DeA","2020-11-18","1","16","242852","false","17","spotify:user:1227113","2020-11-24T16:38:10Z","j-rap","0.549","0.663","7","-6.398","1","0.327","0.135","0","0.296","0.68","85.41","4"
"spotify:track:2WZg1MESVPXVAWYXQgdiru","HIGHEST","spotify:artist:0eclqlcc0hJCIAeWj3nF1H, spotify:artist:37hLlbtNh8yXKbVHK13gsp, spotify:artist:11oB7PolgoRSBJWz20sJqH, spotify:artist:36KtDuRQm38x36q30tnqOD","BES, ISSUGI, MR.PUG, Senninsyou","spotify:album:5pkpUH8y94Y9oCGDamFWTJ","BES ILL LOUNGE Part 3 - Mixed by I-DeA","2020-11-18","1","17","205616","false","16","spotify:user:1227113","2020-11-24T16:38:10Z","j-rap,j-rap,j-rap","0.754","0.587","8","-4.432","1","0.283","0.45","0","0.188","0.594","95.114","4"
"spotify:track:4KEi51qhq0Mky4xFAxT50o","Lonely","spotify:artist:78LccxmAOgVBPlUmwJEk2j, spotify:artist:0eclqlcc0hJCIAeWj3nF1H, spotify:artist:5zS3A4uscquUykAheP4ALR","owls, BES, MEGA-G","spotify:album:5pkpUH8y94Y9oCGDamFWTJ","BES ILL LOUNGE Part 3 - Mixed by I-DeA","2020-11-18","1","18","219240","true","17","spotify:user:1227113","2020-11-24T16:38:10Z","j-rap,j-rap","0.476","0.847","3","-4.794","0","0.41","0.453","0","0.329","0.884","126.915","3"
"spotify:track:5WXFKG9AaNaYMNg558QcoH","刻一刻","spotify:artist:1xUP1GtKnRZp2sNxfcIFqw, spotify:artist:0eclqlcc0hJCIAeWj3nF1H, spotify:artist:2hnpBsAc7skUxN7MJ455jY","DJ FUMIRATCH, BES, 紅桜","spotify:album:5pkpUH8y94Y9oCGDamFWTJ","BES ILL LOUNGE Part 3 - Mixed by I-DeA","2020-11-18","1","19","67020","false","16","spotify:user:1227113","2020-11-24T16:38:10Z","j-rap","0.613","0.627","9","-5.875","0","0.315","0.0973","0","0.753","0.501","172.088","4"
"spotify:track:6v7RaoCHO7Ki6zmzHOogmt","僕も中毒者","spotify:artist:1TQuOBAAHP5KXXbJIUVe41, spotify:artist:0eclqlcc0hJCIAeWj3nF1H","鬼, BES","spotify:album:5pkpUH8y94Y9oCGDamFWTJ","BES ILL LOUNGE Part 3 - Mixed by I-DeA","2020-11-18","1","20","206104","true","18","spotify:user:1227113","2020-11-24T16:38:10Z","j-rap","0.37","0.594","0","-9.571","1","0.084","0.352","0.00000514","0.66","0.337","92.58","4"
"spotify:track:341LBIDblqAuBFdhZhwgKy","Cold World - SO COLD REMIX","spotify:artist:3LGmqeEMEsyrffiX3qV7rf, spotify:artist:0eclqlcc0hJCIAeWj3nF1H","Tek of Smif N Wessun, BES","spotify:album:5pkpUH8y94Y9oCGDamFWTJ","BES ILL LOUNGE Part 3 - Mixed by I-DeA","2020-11-18","1","21","158059","true","14","spotify:user:1227113","2020-11-24T16:38:10Z","j-rap","0.609","0.71","1","-4.901","1","0.214","0.152","0","0.382","0.536","81.969","4"
