"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Album Release Date","Disc Number","Track Number","Track Duration (ms)","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature"
"spotify:track:3UQgUmCt1nluyP1HCIVOI8","你可知道我愛誰","spotify:artist:3ienC90A5I1X3irDyQoqWZ","Teresa Teng","spotify:album:0wYJN0zcnlBJurN2ErHSjR","BTB 鄧麗君15週年","1983-01-01","1","1","197680","false","18","spotify:user:1227113","2020-12-16T01:37:17Z","c-pop,classic cantopop,classic mandopop,kayokyoku","0.542","0.337","0","-12.369","0","0.0266","0.483","0.0845","0.0877","0.315","102.649","4"
"spotify:track:6qM54Z2CWg7l4xCUt2SoJ4","忘記他","spotify:artist:3ienC90A5I1X3irDyQoqWZ","Teresa Teng","spotify:album:0wYJN0zcnlBJurN2ErHSjR","BTB 鄧麗君15週年","1983-01-01","1","2","175226","false","17","spotify:user:1227113","2020-12-16T01:37:17Z","c-pop,classic cantopop,classic mandopop,kayokyoku","0.498","0.346","5","-9.723","0","0.0302","0.674","0.00128","0.102","0.413","103.696","4"
"spotify:track:7LJx7o1pV7gInjawbdulcx","在水一方","spotify:artist:3ienC90A5I1X3irDyQoqWZ","Teresa Teng","spotify:album:0wYJN0zcnlBJurN2ErHSjR","BTB 鄧麗君15週年","1983-01-01","1","3","227333","false","16","spotify:user:1227113","2020-12-16T01:37:17Z","c-pop,classic cantopop,classic mandopop,kayokyoku","0.355","0.277","9","-10.858","0","0.0297","0.687","0.000428","0.154","0.236","76.308","4"
"spotify:track:6TWWDoqCoQCuagDo5o87Fp","你怎麼說","spotify:artist:3ienC90A5I1X3irDyQoqWZ","Teresa Teng","spotify:album:0wYJN0zcnlBJurN2ErHSjR","BTB 鄧麗君15週年","1983-01-01","1","4","201973","false","24","spotify:user:1227113","2020-12-16T01:37:17Z","c-pop,classic cantopop,classic mandopop,kayokyoku","0.634","0.337","5","-8.317","1","0.0301","0.634","0.0000611","0.6","0.478","82.833","4"
"spotify:track:3Srw8isgDzmYsgwDi4MtbD","月亮代表我的心","spotify:artist:3ienC90A5I1X3irDyQoqWZ","Teresa Teng","spotify:album:0wYJN0zcnlBJurN2ErHSjR","BTB 鄧麗君15週年","1983-01-01","1","5","206293","false","55","spotify:user:1227113","2020-12-16T01:37:17Z","c-pop,classic cantopop,classic mandopop,kayokyoku","0.447","0.32","1","-10.608","1","0.0294","0.848","0.0905","0.104","0.349","78.09","4"
"spotify:track:1sP2sYtssZPdOAMLZDnl3i","小城故事 - 電影「小城故事」主題曲","spotify:artist:3ienC90A5I1X3irDyQoqWZ","Teresa Teng","spotify:album:0wYJN0zcnlBJurN2ErHSjR","BTB 鄧麗君15週年","1983-01-01","1","6","156640","false","20","spotify:user:1227113","2020-12-16T01:37:17Z","c-pop,classic cantopop,classic mandopop,kayokyoku","0.471","0.361","7","-10.945","1","0.0377","0.576","0.00163","0.13","0.373","80.055","4"
"spotify:track:5ZerRFEfPOexEt8USyhGWW","襟裳岬","spotify:artist:3ienC90A5I1X3irDyQoqWZ","Teresa Teng","spotify:album:0wYJN0zcnlBJurN2ErHSjR","BTB 鄧麗君15週年","1983-01-01","1","7","260173","false","17","spotify:user:1227113","2020-12-16T01:37:17Z","c-pop,classic cantopop,classic mandopop,kayokyoku","0.281","0.491","8","-10.565","1","0.058","0.495","0","0.104","0.404","171.379","4"
"spotify:track:7eedF0Tcj7Esisgw6IyoHt","海韻","spotify:artist:3ienC90A5I1X3irDyQoqWZ","Teresa Teng","spotify:album:0wYJN0zcnlBJurN2ErHSjR","BTB 鄧麗君15週年","1983-01-01","1","8","191906","false","28","spotify:user:1227113","2020-12-16T01:37:17Z","c-pop,classic cantopop,classic mandopop,kayokyoku","0.4","0.313","10","-10.154","0","0.0327","0.705","0.000204","0.0817","0.216","90.907","4"
"spotify:track:67VwS0GnitV1E04ZWTk7xr","留不住你的心","spotify:artist:3ienC90A5I1X3irDyQoqWZ","Teresa Teng","spotify:album:0wYJN0zcnlBJurN2ErHSjR","BTB 鄧麗君15週年","1983-01-01","1","9","207653","false","14","spotify:user:1227113","2020-12-16T01:37:17Z","c-pop,classic cantopop,classic mandopop,kayokyoku","0.408","0.423","9","-10.428","1","0.0405","0.213","0.00143","0.0739","0.326","125.81","3"
"spotify:track:38IBt4UJ20QdDBeyjLJ0Rj","一水隔天涯","spotify:artist:3ienC90A5I1X3irDyQoqWZ","Teresa Teng","spotify:album:0wYJN0zcnlBJurN2ErHSjR","BTB 鄧麗君15週年","1983-01-01","1","10","165946","false","16","spotify:user:1227113","2020-12-16T01:37:17Z","c-pop,classic cantopop,classic mandopop,kayokyoku","0.425","0.284","2","-9.948","1","0.0252","0.651","0.000272","0.273","0.365","93.75","4"
"spotify:track:7wSTItOGN9YCOBq8r4nO0V","小村之戀","spotify:artist:3ienC90A5I1X3irDyQoqWZ","Teresa Teng","spotify:album:0wYJN0zcnlBJurN2ErHSjR","BTB 鄧麗君15週年","1983-01-01","1","11","215640","false","15","spotify:user:1227113","2020-12-16T01:37:17Z","c-pop,classic cantopop,classic mandopop,kayokyoku","0.323","0.382","10","-9.194","1","0.0552","0.628","0.00000176","0.239","0.456","82.402","4"
