"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Album Release Date","Disc Number","Track Number","Track Duration (ms)","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature"
"spotify:track:3ZFtm94yYocE4FPGEOycsx","ゴールデン・イヤリング","spotify:artist:6hGjGXzxyWJnuZVyRkomF4","Junko Sakurada","spotify:album:3iAEjzHBdjGVxz5rcS1eRp","ステンドグラス","2008","1","1","222965","false","6","spotify:user:1227113","2020-09-16T19:21:28Z","enka,japanese city pop","0.591","0.787","2","-5.96","0","0.116","0.611","0.00000129","0.0723","0.735","161.639","4"
"spotify:track:4Iw1cDFKleALNHbD80GI2n","夢のあとさき","spotify:artist:6hGjGXzxyWJnuZVyRkomF4","Junko Sakurada","spotify:album:3iAEjzHBdjGVxz5rcS1eRp","ステンドグラス","2008","1","2","257526","false","6","spotify:user:1227113","2020-09-16T19:21:28Z","enka,japanese city pop","0.397","0.441","3","-9.412","0","0.0328","0.636","0.00000214","0.264","0.434","170.645","4"
"spotify:track:7cNMQpSFogD2V7RS39d3Ki","追いかけてヨコハマ","spotify:artist:6hGjGXzxyWJnuZVyRkomF4","Junko Sakurada","spotify:album:3iAEjzHBdjGVxz5rcS1eRp","ステンドグラス","2008","1","3","165844","false","0","spotify:user:1227113","2020-09-16T19:21:28Z","enka,japanese city pop","0.746","0.632","0","-7.959","0","0.0289","0.739","0.0000519","0.216","0.955","138.692","4"
"spotify:track:1ozW5m3aPw4gufFKDy9adk","未来飛行","spotify:artist:6hGjGXzxyWJnuZVyRkomF4","Junko Sakurada","spotify:album:3iAEjzHBdjGVxz5rcS1eRp","ステンドグラス","2008","1","4","220992","false","0","spotify:user:1227113","2020-09-16T19:21:28Z","enka,japanese city pop","0.57","0.566","10","-9.283","0","0.0408","0.389","0.0000011","0.122","0.677","154.716","4"
"spotify:track:3SLtpLTJ1Idp5UUPOvajhk","ナイト・スポット","spotify:artist:6hGjGXzxyWJnuZVyRkomF4","Junko Sakurada","spotify:album:3iAEjzHBdjGVxz5rcS1eRp","ステンドグラス","2008","1","5","195293","false","1","spotify:user:1227113","2020-09-16T19:21:28Z","enka,japanese city pop","0.629","0.647","9","-7.679","1","0.0323","0.364","0.000104","0.162","0.915","132.059","4"
"spotify:track:1wjulkpSnTem6cdIzorbdf","夕焼けの向こうまで","spotify:artist:6hGjGXzxyWJnuZVyRkomF4","Junko Sakurada","spotify:album:3iAEjzHBdjGVxz5rcS1eRp","ステンドグラス","2008","1","6","191483","false","0","spotify:user:1227113","2020-09-16T19:21:28Z","enka,japanese city pop","0.388","0.477","7","-9.145","1","0.0337","0.602","0.00225","0.172","0.412","124.884","3"
"spotify:track:1WgTUoKTa9oy5aqSjhY3th","遅れ時計","spotify:artist:6hGjGXzxyWJnuZVyRkomF4","Junko Sakurada","spotify:album:3iAEjzHBdjGVxz5rcS1eRp","ステンドグラス","2008","1","7","195641","false","1","spotify:user:1227113","2020-09-16T19:21:28Z","enka,japanese city pop","0.586","0.573","10","-7.574","0","0.0274","0.344","0.0000132","0.203","0.746","143.922","4"
"spotify:track:6RYJPYLqZ9j4EgUMa70YaK","季節はずれの手袋","spotify:artist:6hGjGXzxyWJnuZVyRkomF4","Junko Sakurada","spotify:album:3iAEjzHBdjGVxz5rcS1eRp","ステンドグラス","2008","1","8","162895","false","0","spotify:user:1227113","2020-09-16T19:21:28Z","enka,japanese city pop","0.574","0.633","10","-7.442","1","0.0305","0.725","0.0000466","0.312","0.668","129.498","4"
"spotify:track:2HtibFh1jV9IP5SZJnsc5x","泣きぬれサテン・ドール","spotify:artist:6hGjGXzxyWJnuZVyRkomF4","Junko Sakurada","spotify:album:3iAEjzHBdjGVxz5rcS1eRp","ステンドグラス","2008","1","9","208367","false","0","spotify:user:1227113","2020-09-16T19:21:28Z","enka,japanese city pop","0.776","0.637","2","-6.865","0","0.0324","0.674","0","0.404","0.771","126.212","4"
"spotify:track:7kPBagCVzoWySpvJXcOHVc","エンゲージリング","spotify:artist:6hGjGXzxyWJnuZVyRkomF4","Junko Sakurada","spotify:album:3iAEjzHBdjGVxz5rcS1eRp","ステンドグラス","2008","1","10","186467","false","0","spotify:user:1227113","2020-09-16T19:21:28Z","enka,japanese city pop","0.609","0.538","9","-6.844","0","0.0248","0.739","0","0.112","0.363","87.247","4"
"spotify:track:1iLcJfzvFEgehJxqMX6XJc","ズーム・アウト","spotify:artist:6hGjGXzxyWJnuZVyRkomF4","Junko Sakurada","spotify:album:3iAEjzHBdjGVxz5rcS1eRp","ステンドグラス","2008","1","11","218937","false","0","spotify:user:1227113","2020-09-16T19:21:28Z","enka,japanese city pop","0.512","0.687","9","-5.594","0","0.0341","0.272","0","0.0558","0.807","161.392","4"
"spotify:track:1FN6DfroWsAR0xiOW9ZimX","オードトワレの香り","spotify:artist:6hGjGXzxyWJnuZVyRkomF4","Junko Sakurada","spotify:album:3iAEjzHBdjGVxz5rcS1eRp","ステンドグラス","2008","1","12","210432","false","0","spotify:user:1227113","2020-09-16T19:21:28Z","enka,japanese city pop","0.662","0.728","4","-5.356","0","0.0314","0.599","0.00000354","0.352","0.96","150.838","4"
