"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Album Release Date","Disc Number","Track Number","Track Duration (ms)","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature"
"spotify:track:2zunnnNc5hbQhQbz4XHjeQ","Nuyorican Soul Intro","spotify:artist:2pMSfxqqpW87tzVwPQxeFw","Nuyorican Soul","spotify:album:0UZzbwCAVQhENWItyCZm5L","Nuyorican Soul","1997-01-01","1","1","84800","false","12","spotify:user:1227113","2020-09-20T01:03:38Z","broken beat,deep house,nu jazz","0.79","0.749","0","-7.014","1","0.122","0.00651","0.728","0.111","0.883","91.009","4"
"spotify:track:54xrXbM3vHE6JkVqkorRdG","I Am The Black Gold Of The Sun","spotify:artist:2pMSfxqqpW87tzVwPQxeFw, spotify:artist:2ga5ADaBpljQ3YrCh99ZMq","Nuyorican Soul, Jocelyn Brown","spotify:album:0UZzbwCAVQhENWItyCZm5L","Nuyorican Soul","1997-01-01","1","2","319733","false","37","spotify:user:1227113","2020-09-20T01:03:38Z","broken beat,deep house,nu jazz,disco,diva house,post-disco","0.643","0.679","6","-10.885","1","0.0555","0.0196","0.476","0.0719","0.779","86.97","4"
"spotify:track:15coSKNGG21bUKZpJ2Lv6N","It's Alright, I Feel It","spotify:artist:2pMSfxqqpW87tzVwPQxeFw, spotify:artist:2ga5ADaBpljQ3YrCh99ZMq","Nuyorican Soul, Jocelyn Brown","spotify:album:0UZzbwCAVQhENWItyCZm5L","Nuyorican Soul","1997-01-01","1","3","198666","false","26","spotify:user:1227113","2020-09-20T01:03:38Z","broken beat,deep house,nu jazz,disco,diva house,post-disco","0.715","0.909","6","-7.389","1","0.0674","0.0274","0.117","0.121","0.404","121.88","4"
"spotify:track:04kr7OydxwIfbpxSi6lKii","Maw Latin Blues","spotify:artist:2pMSfxqqpW87tzVwPQxeFw","Nuyorican Soul","spotify:album:0UZzbwCAVQhENWItyCZm5L","Nuyorican Soul","1997-01-01","1","4","379800","false","14","spotify:user:1227113","2020-09-20T01:03:38Z","broken beat,deep house,nu jazz","0.627","0.627","1","-11.328","1","0.0522","0.069","0.781","0.12","0.868","127.94","4"
"spotify:track:3n9l7L0GbnARXOgmg1pHaR","Gotta New Life","spotify:artist:2pMSfxqqpW87tzVwPQxeFw","Nuyorican Soul","spotify:album:0UZzbwCAVQhENWItyCZm5L","Nuyorican Soul","1997-01-01","1","5","266693","false","12","spotify:user:1227113","2020-09-20T01:03:38Z","broken beat,deep house,nu jazz","0.587","0.472","8","-13.007","1","0.0507","0.0991","0.14","0.0715","0.649","96.944","4"
"spotify:track:3tA3nIMCXxLh2gNdrRLY0H","Nautilus (Mawtilus)","spotify:artist:2pMSfxqqpW87tzVwPQxeFw","Nuyorican Soul","spotify:album:0UZzbwCAVQhENWItyCZm5L","Nuyorican Soul","1997-01-01","1","6","432373","false","15","spotify:user:1227113","2020-09-20T01:03:38Z","broken beat,deep house,nu jazz","0.576","0.622","9","-9.976","0","0.0531","0.0253","0.848","0.104","0.828","96.779","4"
"spotify:track:2xp184fRDfnb5sNIte5QXC","Taita Caneme","spotify:artist:2pMSfxqqpW87tzVwPQxeFw","Nuyorican Soul","spotify:album:0UZzbwCAVQhENWItyCZm5L","Nuyorican Soul","1997-01-01","1","7","299093","false","10","spotify:user:1227113","2020-09-20T01:03:38Z","broken beat,deep house,nu jazz","0.269","0.212","7","-16.048","0","0.0377","0.747","0.684","0.104","0.0846","85.975","3"
"spotify:track:4bgclQX4ouBwYPQ8yEMpRH","Habriendo El Dominate","spotify:artist:2pMSfxqqpW87tzVwPQxeFw","Nuyorican Soul","spotify:album:0UZzbwCAVQhENWItyCZm5L","Nuyorican Soul","1997-01-01","1","8","368800","false","13","spotify:user:1227113","2020-09-20T01:03:38Z","broken beat,deep house,nu jazz","0.542","0.537","10","-12.916","0","0.0714","0.57","0.91","0.111","0.461","115.036","4"
"spotify:track:6hRKyY5ymonSR2LiROBYKZ","Roy's Scat","spotify:artist:2pMSfxqqpW87tzVwPQxeFw, spotify:artist:6R9Mv0bgGE4Tqxna1q5Mrj","Nuyorican Soul, Roy Ayers","spotify:album:0UZzbwCAVQhENWItyCZm5L","Nuyorican Soul","1997-01-01","1","9","187400","false","12","spotify:user:1227113","2020-09-20T01:03:38Z","broken beat,deep house,nu jazz,afrobeat,disco,funk,indie jazz,jazz funk,jazz vibraphone,quiet storm,soul,soul jazz","0.662","0.641","7","-10.571","1","0.0797","0.36","0.0000217","0.098","0.214","76.939","4"
"spotify:track:4orrs3FG40v1e0hR0LLH6t","Sweet Tears","spotify:artist:2pMSfxqqpW87tzVwPQxeFw, spotify:artist:6R9Mv0bgGE4Tqxna1q5Mrj","Nuyorican Soul, Roy Ayers","spotify:album:0UZzbwCAVQhENWItyCZm5L","Nuyorican Soul","1997-01-01","1","10","310773","false","12","spotify:user:1227113","2020-09-20T01:03:38Z","broken beat,deep house,nu jazz,afrobeat,disco,funk,indie jazz,jazz funk,jazz vibraphone,quiet storm,soul,soul jazz","0.739","0.918","9","-8.779","0","0.0472","0.0229","0.0798","0.339","0.756","127.894","4"
