"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Album Release Date","Disc Number","Track Number","Track Duration (ms)","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature"
"spotify:track:36X1P3v7N1dv06bh2aPtMF","No Fear No More (Remix)","spotify:artist:4pb4rqWSoGUgxm63xmJ8xc, spotify:artist:5MbNzCW3qokGyoo9giHA3V","Madeon, EARTHGANG","spotify:album:23NyPBINwg9BI8WgtgEu5t","No Fear No More (Remix)","2020-07-07","1","1","174682","false","53","spotify:user:1227113","2020-12-07T19:35:17Z","big room,complextro,edm,electro house,electropop,filter house,future bass,nantes indie,atl hip hop,hip hop,indie hip hop,psychedelic hip hop,rap,underground hip hop","0.599","0.635","10","-6.5","0","0.103","0.00988","0.0000639","0.368","0.798","95.919","4"
"spotify:track:2abMQXjgVcpBbY2Zbtl7Rf","Várias Queixas (Ao Vivo no Estúdio MangoLab)","spotify:artist:6q7nMIVgGohQ14mSsq3F8t, spotify:artist:5Dy75ZScAdoNKi4vC8oCym","Gilsons, MangoLab","spotify:album:5OxK3IWQAGpp9Za7IjZWjZ","Várias Queixas (Ao Vivo no Estúdio MangoLab)","2020-02-14","1","1","185278","false","49","spotify:user:1227113","2020-12-08T18:18:18Z","nova mpb","0.756","0.44","7","-13.102","1","0.108","0.192","0.00161","0.16","0.209","91.044","4"
"spotify:track:3b67YcrSnqCGTzUPo8p0tm","Estrela da Manhã (Ao Vivo no Estúdio MangoLab)","spotify:artist:1y3yZ6EkHPMyEOFTGl2TNT, spotify:artist:5Dy75ZScAdoNKi4vC8oCym, spotify:artist:0ova1ylDeBYURtVWXl55xf","Tainá, MangoLab, Bellas e Flor","spotify:album:6kcKZicRSrxoGtEmYC0hal","Estrela da Manhã (Ao Vivo no Estúdio MangoLab)","2020-07-10","1","1","166880","false","2","spotify:user:1227113","2020-12-08T18:18:28Z","","0.623","0.0914","11","-17.132","0","0.0516","0.912","0.000662","0.0886","0.38","127.342","4"
"spotify:track:6fboJG2URR8NWKl7N1UcA0","Swank (feat. Monica Blaire)","spotify:artist:7u6LfVyYpEzMpHLL7jTyvU, spotify:artist:0u7CF9gJzMB7pyzJkW22eK","Dwele, Monica Blaire","spotify:album:4YR1m5aD7ncOswLYxXoaKl","Greater Than One","2012-08-28","1","9","234040","false","0","spotify:user:1227113","2020-12-08T18:41:08Z","neo soul,r&b,urban contemporary","0.693","0.352","8","-9.45","1","0.295","0.111","0.0459","0.0837","0.665","148.835","4"
"spotify:track:1x6MXwyxf4R0V0Cdy4MnYl","Rose in the Dark","spotify:artist:3ETLPQkcEd7z4k3IbZmXMq","Cleo Sol","spotify:album:4o5dzQHDzmBBc4Z3jSWVR9","Rose in the Dark","2020-03-27","1","5","226810","false","46","spotify:user:1227113","2020-12-08T18:51:48Z","alternative r&b,chill r&b,indie r&b,indie soul,uk contemporary r&b,uk funky","0.612","0.559","8","-8.504","1","0.0673","0.383","0.0127","0.219","0.491","79.991","4"
"spotify:track:2xlT2soa3aHzXqIdRXlZbA","La Fin","spotify:artist:7H9Yrb2KoVErAUw0S0UVvv, spotify:artist:62vXfDbVL0oQEbYd6yP0oj","Nikitch, Kuna Maze","spotify:album:05tLWcrTEgOThINtKQAMhi","Débuts","2020-07-03","1","11","224821","false","2","spotify:user:1227113","2020-12-08T19:28:41Z","","0.555","0.386","6","-13.889","0","0.0352","0.93","0.939","0.073","0.555","154.032","4"
"spotify:track:4UVa7tVlSfsHJELG4YHNlX","続 自由街道","spotify:artist:2SgU8wi3hgPFDgqf3UY1Cf","SOUL SCREAM","spotify:album:1DzwIsYPruNLBHzsrtRGmI","The positive gravity -案とヒント","1999","1","12","279333","false","12","spotify:user:1227113","2020-12-08T20:49:52Z","","0.85","0.721","2","-5.47","0","0.0422","0.317","0.00000297","0.0617","0.783","97.991","4"
"spotify:track:6oi6hMn5u2StgoJKMR0QO4","Dayx","spotify:artist:2Fc1UZXKRmPpWWx1sxcb9m","SwuM","spotify:album:29Jjz1Twrsgvaxfun0VyYK","Dimes","2014-03-15","1","4","107368","false","13","spotify:user:1227113","2020-12-08T21:02:26Z","chillhop,focus beats,lo-fi beats","0.428","0.634","5","-4.011","0","0.216","0.0128","0.000071","0.239","0.908","121.493","3"
"spotify:track:1hAsWvX1XHGbCEHDGhGs89","In The Rain","spotify:artist:6RTCb5pWKinqlUyG2qacit","Ernest Ranglin","spotify:album:2jKVWBT8aw6zVKbMXAKpS8","Be What You Wanna Be","2010-06-22","1","1","211280","false","45","spotify:user:1227113","2020-12-09T14:34:05Z","afrobeat,afropop,dub,funk,reggae,rock steady,roots reggae,ska,world","0.637","0.531","8","-9.876","0","0.0551","0.418","0.799","0.597","0.672","144.492","4"
"spotify:track:6QR9FB8xvjtxLknolyTnnQ","Geninha","spotify:artist:0A7ykdqXt8umX4eqzaEmp3","Bango","spotify:album:4Mi5L2ArvAdfFUSs8TeXqL","Bango","2017-03-13","1","7","206520","false","37","spotify:user:1227113","2020-12-09T15:09:43Z","psicodelia brasileira","0.623","0.398","1","-13.177","0","0.0579","0.387","0.484","0.115","0.659","112.476","4"
"spotify:track:2dTPIyjUNEwE1S1XScPqx7","Greyhound","spotify:artist:3UHGHiVMz1L0XqFi3oXHvH","Collard","spotify:album:12X0uIEsZS7G2TlokvPsj3","Unholy","2019-05-10","1","2","193546","false","42","spotify:user:1227113","2020-12-10T16:31:20Z","alternative r&b,uk contemporary r&b","0.649","0.651","9","-6.52","0","0.0494","0.0589","0.000268","0.27","0.961","183.906","4"
"spotify:track:7z3DlPyHI5fW8XDmFa1sWP","Uptight","spotify:artist:5sbSyBTfxaX211zhlatdpK","The Orchestra Soledad","spotify:album:5vq7eNMdefy4f83LfD5FTs","Vamonos / Let's Go","1970","1","5","247723","false","30","spotify:user:1227113","2020-12-14T18:03:25Z","","0.714","0.397","9","-11.782","0","0.0368","0.644","0.831","0.0777","0.52","102.873","4"
"spotify:track:2qhR4aymUGDfacDT6pzWf7","Fly Me To The Moon (In Other Words)","spotify:artist:0vqkz1b2qBkoYrGMj2CUWq","Bobby Womack","spotify:album:1Kw0H84LL5YuP37Kh8lbzY","Fly Me To The Moon","1969-01","1","1","128360","false","60","spotify:user:1227113","2020-12-14T19:11:30Z","classic soul,funk,motown,quiet storm,soul,southern soul","0.589","0.523","3","-11.12","1","0.0404","0.397","0.0217","0.0967","0.585","114.252","4"
"spotify:track:5fiudMisuNkKC1htZSCh2t","Let Love Flow On","spotify:artist:4YhJrnFq2vfLrp7AwDfLEJ","Sonya Spence","spotify:album:4wumIYHuT2WHzoaiR03MDd","Sings Love","2020-05-11","1","9","222981","false","46","spotify:user:1227113","2020-12-15T19:10:04Z","","0.793","0.559","0","-9.634","1","0.116","0.252","0.00000723","0.0583","0.906","110.401","4"
"spotify:track:0yJiZz7HhBuiR0JnOZohqS","LoverFriend","spotify:artist:0eBxT8cgP2efRvTQWyomVY","Rosalyn","spotify:album:0ejW24v4TWODzheGNWj5RO","LoverFriend","2019-08-01","1","1","251232","false","38","spotify:user:1227113","2020-12-16T03:56:05Z","","0.557","0.31","3","-13.783","1","0.0268","0.622","0.411","0.1","0.45","135.976","4"
"spotify:track:140R1QEfYzlxeKiIFUFNvs","Castles Of Sand","spotify:artist:1VDurPMbOKrNU8mcMP4X1P","Jermaine Jackson","spotify:album:00y3TAEtGGVsfphRLBDknc","Greatest Hits And Rare Classics","1991-01-01","1","6","217973","false","17","spotify:user:1227113","2020-12-16T15:27:21Z","disco,funk,post-disco,quiet storm,urban contemporary","0.621","0.422","4","-13.208","1","0.0909","0.782","0","0.206","0.739","122.719","4"
"spotify:track:6Dq2LzijkY9WNPwBGDah4L","Didn't I","spotify:artist:4JfFdF9Row7UXtdsKtT6tc","Darondo","spotify:album:3nD9Oab8M4sCLNmqmwSOdA","Let My People Go","2005-01-24","1","3","209160","false","69","spotify:user:1227113","2020-12-16T15:44:39Z","afrobeat,classic soul,funk,soul","0.463","0.382","5","-11.682","1","0.0278","0.897","0.263","0.108","0.638","74.573","4"
