"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Album Release Date","Disc Number","Track Number","Track Duration (ms)","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature"
"spotify:track:24HiHlu1DjlKQLqOf9g87R","Moon Is Out","spotify:artist:4rDDy4hN7Tbrv0ntOvVKPz, spotify:artist:1vmLIa1VRY38hZoar8AyYS, spotify:artist:4D10XmdrnAaDediMRuOBKM","Ol' Burger Beats, Chester Watson, Kent Loon","spotify:album:6nATjxN4XXeKUQ0oVu06Du","Moon Is Out (feat. Chester Watson & Kent Loon) - Single","2017-04-08","1","1","149506","false","0","spotify:user:1227113","2017-04-22T16:56:31Z","chillhop,jazz boom bap,lo-fi beats,underground hip hop","0.374","0.356","0","-16.827","1","0.251","0.365","0.00311","0.111","0.0782","82.003","4"
"spotify:track:1jRCscISYR7D5XOXCYTX4j","due rent (Single Edit)","spotify:artist:2N2l2BR0KlnQrFnOn7ntEN, spotify:artist:1fmXn9ezSrVGjHSVc6ItcL","lojii, Swarvy","spotify:album:7x8OeVbkBuBDc2ttF5XkxJ","due rent","2017-02-23","1","1","140930","true","7","spotify:user:1227113","2017-04-22T17:04:32Z","boom bap,experimental hip hop,abstract beats,indie jazz,la pop,wonky","0.529","0.633","9","-11.14","0","0.293","0.444","0.00454","0.303","0.492","82.154","4"
"spotify:track:3pq5SHP8DwySlbUL0KIoRy","another time (world$tar money)","spotify:artist:0YXc5Rre8iZ6CfxNtzBJhC, spotify:artist:4vZBqD3QXrKiE3mZ6zHr22","simon eng, duendita","spotify:album:0bMuRzy7dDIfKgliEaw4DV","another time (world$tar money)","2017-04-17","1","1","181681","false","39","spotify:user:1227113","2017-04-22T17:04:24Z","lo-fi beats,alternative r&b,bedroom soul","0.346","0.202","7","-18.434","1","0.135","0.712","0.0262","0.0873","0.072","79.899","4"
"spotify:track:2WpflzU7NEgkJd3dZPGw8Y","My Mind Is The Weapon (Topic 1)","spotify:artist:0ot8XpQrZOe4nHZ6EMJHJ9","Hawk House","spotify:album:13nel2sv4uGInxb1qlds78","A Handshake To The Brain","2014-01-01","1","2","289832","false","22","spotify:user:1227113","2017-04-22T17:08:32Z","experimental hip hop,jazz rap","0.573","0.836","11","-6.669","0","0.414","0.803","0","0.116","0.441","84.007","4"
"spotify:track:5ip8NxzAUFcKFI2BRwaQ9B","Zen Scientist (feat. Myka 9)","spotify:artist:0J6PhnVD21GSFoJ9HoadLH, spotify:artist:07tB6knv7c0JsSbkfV5iZd","Milo, Myka 9","spotify:album:1aCdrqjxp4duqTRne80ecY","So the Flies Don't Come","2015-09-25","1","3","230032","false","0","spotify:user:1227113","2017-04-22T17:11:10Z","alternative hip hop,milwaukee hip hop,abstract hip hop,underground rap","0.514","0.418","9","-11.506","0","0.368","0.716","0.00626","0.201","0.268","139.238","4"
"spotify:track:3WEbVTkaIy3yb3hCsphEbc","Hyssop of Love (feat. Mick Jenkins)","spotify:artist:65dGLGjkw3UbddUg2GKQoZ, spotify:artist:1FvjvACFvko2Z91IvDljrx","BADBADNOTGOOD, Mick Jenkins","spotify:album:6uqcZu1it9k6zz3UVKZzPo","IV","2016-07-08","1","8","195642","false","0","spotify:user:1227113","2017-04-22T17:12:03Z","alternative hip hop,canadian modern jazz,escape room,funk,hip hop,indie soul,chicago rap,conscious hip hop,drill,escape room,hip hop,rap,underground hip hop","0.457","0.744","6","-7.851","0","0.296","0.353","0.00000611","0.14","0.459","85.209","4"
"spotify:track:0e9PfKPIf2UH3njMqAXI8S","Planned Attack","spotify:artist:1rJkz5vopfGxTUGFNB3o4G","Quasimoto","spotify:album:494IIXPlAJn9Yy9a4OMhr4","Yessir, Whatever","2013-06-18","1","6","170400","false","0","spotify:user:1227113","2017-04-22T17:12:49Z","alternative hip hop,hip hop,psychedelic hip hop","0.681","0.557","11","-9.496","0","0.569","0.0781","0.0000307","0.164","0.434","177.364","4"
"spotify:track:6IZvVAP7VPPnsGX6bvgkqg","PRIDE.","spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg","Kendrick Lamar","spotify:album:4eLPsYPBmXABThSJ821sqY","DAMN.","2017-04-14","1","7","275253","true","72","spotify:user:1227113","2017-04-22T17:06:27Z","conscious hip hop,hip hop,rap,west coast rap","0.665","0.535","4","-7.056","0","0.0572","0.0786","0.0000168","0.154","0.37","138.842","4"
"spotify:track:4EaNFAQDpKu7a7Xq1ChnGf","Nothin","spotify:artist:5bfqwcEcRrMhtY9smw3IeJ","Dave B.","spotify:album:5wVwM4tZ5iOCOL75jxHxzK","Tomorrow","2016-07-22","1","7","190124","true","20","spotify:user:1227113","2017-04-18T18:06:36Z","alternative r&b,seattle hip hop,underground hip hop","0.613","0.426","9","-12.162","1","0.454","0.273","0","0.201","0.431","142.053","4"
"spotify:track:7C74kcHsszIp8vFt1ng9P7","Gunshowers (feat. Elzhi)","spotify:artist:6FD0unjzGQhX3b6eMccMJe, spotify:artist:65dGLGjkw3UbddUg2GKQoZ, spotify:artist:6OwOuTjrLVrlMH1nxxIjbT","Ghostface Killah, BADBADNOTGOOD, Elzhi","spotify:album:1lvwZvotQke1mhZbwadECt","SOUR SOUL","2015-02-20","1","4","183222","true","0","spotify:user:1227113","2017-04-22T17:18:11Z","alternative hip hop,east coast hip hop,gangster rap,hardcore hip hop,hip hop,rap,southern hip hop,alternative hip hop,canadian modern jazz,escape room,funk,hip hop,indie soul,alternative hip hop,boom bap,detroit hip hop,hip hop,soul flow,underground hip hop,underground rap","0.61","0.83","6","-6.434","1","0.177","0.228","0.00000909","0.0874","0.56","87.678","4"
"spotify:track:5G0nSEIT0fGUZY0caM9AnH","The Season | Carry Me","spotify:artist:3jK9MiCrA42lLAdMGUZpwa","Anderson .Paak","spotify:album:4VFG1DOuTeDMBjBLZT7hCK","Malibu","2016-01-15","1","4","328813","true","54","spotify:user:1227113","2017-04-22T17:26:50Z","escape room","0.387","0.726","1","-7.681","1","0.412","0.0998","0","0.653","0.632","78.846","4"
"spotify:track:3JaF1fMvbbMeqg9VZXTmVn","Matthew in the Middle (feat. Daniel Caesar)","spotify:artist:5dtbsNKCK6Q9yZzdhZpaqW, spotify:artist:20wkVLutqVOYrc0kxFs7rA","Sean Leon, Daniel Caesar","spotify:album:1hUiKqda76bLzM2yT8rl1B","Matthew in the Middle (feat. Daniel Caesar)","2016-04-15","1","1","343133","true","21","spotify:user:1227113","2017-04-22T17:36:26Z","canadian hip hop,toronto rap,trap soul,underground hip hop,canadian contemporary r&b,pop","0.384","0.417","10","-11.577","0","0.069","0.338","0.000165","0.104","0.177","140.955","4"
"spotify:track:5PYO6wgTASN7kwcQCFf51r","Stay Awake (feat. Mick Jenkins, Twista)","spotify:artist:12kEJB1Mtngl2zPDPSv9sg, spotify:artist:1FvjvACFvko2Z91IvDljrx, spotify:artist:6vbY3hOaCAhC7VjucswgdS","Hurt Everybody, Mick Jenkins, Twista","spotify:album:5GHG7Wwcck0NaHtdIl1tzb","2K47","2015-10-05","1","12","256000","true","0","spotify:user:1227113","2017-04-22T17:39:23Z","chicago rap,conscious hip hop,drill,escape room,hip hop,rap,underground hip hop,chicago rap,dance pop,dirty south rap,gangster rap,hip hop,pop rap,rap,trap,urban contemporary","0.737","0.349","4","-13.464","0","0.189","0.856","0","0.0998","0.33","105.092","4"
"spotify:track:3lWatHvGLP3GU8qvcO1tIu","Father Son Holy Smoke","spotify:artist:1ybINI1qPiFbwDXamRtwxD","Smino","spotify:album:3bTjPEgPzm1XwXsNlMVHhs","blkswn","2017-03-14","1","10","240768","true","46","spotify:user:1227113","2017-04-22T17:48:56Z","alternative r&b,hip hop,rap,underground hip hop","0.565","0.7","11","-6.547","1","0.483","0.766","0","0.103","0.569","140.475","4"
"spotify:track:3Zll5MbCF6D7Tg7lsH9KYI","BABYLON (feat. Chronixx)","spotify:artist:2P5sC9cVZDToPxyomzF1UH, spotify:artist:2oZcMYiKpjaA2Et5mU3RPP","Joey Bada$$, Chronixx","spotify:album:6swV0WUnPygRIMgEKn6Ige","ALL-AMERIKKKAN BADA$$","2017-04-07","1","10","336333","true","0","spotify:user:1227113","2017-04-22T17:47:16Z","conscious hip hop,hip hop,rap,underground hip hop,dancehall,modern reggae","0.505","0.695","10","-4.8","1","0.332","0.555","0","0.326","0.393","173.468","4"
"spotify:track:1oSOyE9Ap4PNSpxfirRPDs","Acid Test","spotify:artist:1FHDMgGdmIP4IsoFkAwbS0","River Tiber","spotify:album:6b2WCsIVTfpx1xXHPrsn1T","Indigo","2016-06-24","1","3","313370","false","15","spotify:user:1227113","2017-04-22T17:49:03Z","alternative r&b,indie soul","0.258","0.764","3","-6.811","0","0.0831","0.227","0.000942","0.314","0.1","79.453","4"
"spotify:track:677ai1ZuIvkr13W5vSR9wn","Handheld GPS","spotify:artist:5rDXcEIODl8TgGTgrntnjX","Rexx Life Raj","spotify:album:2syXzOLo0YjFbR7x7Ul9wi","Father Figure","2016-06-24","1","7","133198","true","49","spotify:user:1227113","2017-04-25T19:00:56Z","cali rap,trap soul,underground hip hop","0.805","0.606","9","-7.679","0","0.267","0.2","0","0.145","0.513","123.942","4"
