"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Album Release Date","Disc Number","Track Number","Track Duration (ms)","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature"
"spotify:track:1gTANFZlqRitzVx7YSenzA","White Dress","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","spotify:album:2JZ5XCIRD5OWQzSdMCdtwX","The Man with the Iron Fists","2012-10-22","1","3","215186","true","36","spotify:user:1227113","2017-04-11T00:49:44Z","chicago rap,rap","0.634","0.803","8","-7.569","1","0.399","0.595","0","0.122","0.574","92.747","4"
"spotify:track:1YzyWRzJ2cF7bMPsQIUHVX","Cool","spotify:artist:2qI1pO64eYqGUiv1XTw4cy","The Quiett","spotify:album:6WJWq30rqwKyNZhPAP0K2p","Q Train 2","2016-04-29","1","13","141141","false","0","spotify:user:1227113","2017-04-09T01:23:00Z","k-rap,korean r&b,korean trap","0.64","0.713","11","-7.347","0","0.0458","0.0446","0.932","0.0771","0.763","88.056","4"
"spotify:track:6pFiKji7aJCwMIYKROgQw9","Idkanymore","spotify:artist:0HcyeAioEKhfwVcJAoyN36","Knowmadic","spotify:album:4YhoDyn5WAPosG9mHsVY6F","Lately","2017-01-30","1","9","84786","false","51","spotify:user:1227113","2017-04-09T01:25:43Z","chillhop,focus beats,lo-fi beats","0.552","0.434","8","-10.501","1","0.554","0.977","0.543","0.0977","0.696","143.18","4"
"spotify:track:5KqPx2e6SlQZ5B2i4XskPz","Ay","spotify:artist:13ACz7DIictCpSYGglNTHs, spotify:artist:7jzNtnTGzuVQ8yVDTfHa4G, spotify:artist:49WbztFLx9iDTh8LHEIF84","Philanthrope, Omaure, Flitz&Suppe","spotify:album:1f8wYRKdAxjkbW1p7pXqAI","Todai moto kurashi","2017-03-15","1","2","189764","true","17","spotify:user:1227113","2017-04-07T15:28:15Z","chillhop,lo-fi beats,chillhop,lo-fi beats,chillhop,lo-fi beats","0.464","0.687","2","-6.112","0","0.366","0.281","0","0.0882","0.765","176.038","4"
"spotify:track:3Zxwzj5bfIsi8dGb0omkH9","You're Cute","spotify:artist:0Q2Tc5yZFJpumLMc7Yz4e4","Tomppabeats","spotify:album:217LLrb47lzGE3HANjBLnn","Harbor","2016-05-06","1","26","61349","false","50","spotify:user:1227113","2017-04-09T01:25:57Z","chillhop,japanese chillhop,lo-fi beats","0.725","0.26","1","-16.43","1","0.0596","0.809","0.00651","0.0869","0.277","78.304","4"
"spotify:track:1kbvvvmmwsOTViVeUuHCa4","That Miserable Man Milligan","spotify:artist:6DnF6PBcTSsEZuEjXpK0gX","Harris Cole","spotify:album:64EqJeopKgcy7Ae1ZdPLnz","Pause","2016-11-11","1","3","256235","false","22","spotify:user:1227113","2017-04-09T01:26:04Z","chillhop,focus beats,lo-fi beats","0.776","0.506","10","-7.159","0","0.416","0.161","0.00154","0.0724","0.3","84.977","4"
"spotify:track:2q0VexHJirnUPnEOhr2DxK","Biking","spotify:artist:2h93pZq0e7k5yf4dywlkpM, spotify:artist:3nFkdlSjzX9mRTtwJOzDYB, spotify:artist:4V8LLVI7PbaPR0K2TGSxFF","Frank Ocean, JAY-Z, Tyler\, The Creator","spotify:album:7yOOPJjNelITCaYMqk8V6r","Biking","2017-04-10","1","1","277520","true","72","spotify:user:1227113","2017-04-11T00:35:31Z","alternative r&b,hip hop,lgbtq+ hip hop,neo soul,pop,east coast hip hop,hip hop,pop rap,rap,hip hop,rap","0.673","0.463","2","-7.247","1","0.191","0.681","0.0000049","0.0907","0.268","147.981","4"
"spotify:track:32uims2GEcvwOwsuR607sa","UNREAL","spotify:artist:7FkVFC94NENRWkpvIT1a7p","Seiho","spotify:album:4EAxFik4Vlg9T8B67e9B4r","UNREAL","2017-03-18","1","1","223000","false","19","spotify:user:1227113","2017-04-09T01:27:17Z","japanese experimental","0.716","0.324","2","-9.301","1","0.0362","0.771","0.335","0.107","0.16","135.02","4"
"spotify:track:212F8jzWjRIjs9U87WLTSR","Double Bed","spotify:artist:7FkVFC94NENRWkpvIT1a7p","Seiho","spotify:album:07O0mXEiduUhIirHze25vz","Shochu Sounds - EP","2014-02-11","1","2","188418","false","0","spotify:user:1227113","2017-04-09T01:28:20Z","japanese experimental","0.842","0.472","5","-9.337","1","0.146","0.511","0.000132","0.076","0.627","129.93","4"
"spotify:track:73ZHSX4BrAXdWezKdeYKOP","Here With Me","spotify:artist:7e3FtKBIPLrIVm8g1FJMVg","Sango","spotify:album:3j3grBQp6z5bhMaJeHwsvP","North","2013-07-23","1","4","188085","false","35","spotify:user:1227113","2017-04-09T15:53:39Z","abstract beats,alternative r&b,escape room,indie r&b,indie soul,vapor twitch","0.467","0.591","2","-9.149","0","0.168","0.0636","0.0485","0.128","0.154","141.073","4"
