"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Album Release Date","Disc Number","Track Number","Track Duration (ms)","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature"
"spotify:track:3WsWkqPT9Pi4JX6dELX6xh","Red On Green","spotify:artist:5BqS3Mo4CEcpM6Yp0x9ogT, spotify:artist:3i7IUsb5VsiJAKqX2Md9Fc","Jonti, Jonwayne","spotify:album:0IEgYZhop8W7vYn0OhTZ7Y","Sine & Moon","2012-05-08","1","2","202547","false","9","spotify:user:1227113","2018-04-22T21:46:10Z","alternative hip hop,escape room,wonky","0.462","0.723","10","-6.665","0","0.0873","0.014","0","0.504","0.537","127.458","4"
"spotify:track:3Q6QByznElPiCVzwisy5ZW","Books of War","spotify:artist:2fixd2SK0VpJfHW0SUWFY9, spotify:artist:37BsV1JuDDXMnxpzO0aSMq","1 Young Micah, 3 Mill Rod","spotify:album:3G1sWcpXlF7OuuuUSKAvDx","Raw 2 Mars","2016-04-20","1","6","189326","true","0","spotify:user:1227113","2018-04-22T21:50:53Z","","0.697","0.601","11","-13.954","0","0.238","0.113","0.00000212","0.249","0.753","89.737","4"
"spotify:track:5OkRsZsJBBFIOWbCyJq6eL","Stun Gun","spotify:artist:4John8fJ3LKqFho0pselVr, spotify:artist:2pAWfrd7WFF3XhVt9GooDL","CZARFACE, MF DOOM","spotify:album:2PPvDD3t985MvMphfSwzgr","Czarface Meets Metal Face","2018-03-30","1","13","123867","true","44","spotify:user:1227113","2018-04-22T21:43:50Z","alternative hip hop,hardcore hip hop,hip hop,alternative hip hop,east coast hip hop,hip hop,rap","0.84","0.589","6","-7.961","1","0.333","0.00492","0.0963","0.0964","0.558","93.595","4"
"spotify:track:2bXNVNDdYvAXxf5f33WHy7","Cilvia Demo","spotify:artist:6aaMZ3fcfLv4tEbmY7bjRM","Isaiah Rashad","spotify:album:6JF49ixyHmOgS0Rsda2k42","Cilvia Demo","2014-01-28","1","3","183031","true","48","spotify:user:1227113","2018-04-22T21:44:38Z","hip hop,rap,tennessee hip hop,underground hip hop","0.602","0.716","8","-5.079","1","0.23","0.689","0","0.32","0.576","83.022","4"
"spotify:track:0VCWi4FUOumziLknRtcDcy","Comme ça","spotify:artist:6kNluNBHa4sh5BKIvyiDgf","Domenique Dumont","spotify:album:55YrEqkp3Qrnue9WXHXo8t","Comme ça","2015-06-22","1","1","227156","false","31","spotify:user:1227113","2018-04-22T21:39:12Z","art pop,chamber psych,fluxwork,fourth world","0.666","0.565","0","-13.239","0","0.0649","0.86","0.903","0.075","0.967","175.985","4"
"spotify:track:1x1BKrrpq7CfOZPBeUsx16","Grey Luh","spotify:artist:0WjtdWS6su0f3jrW9aqEHl","Berhana","spotify:album:5Tl4ncCoenypfpqZqRbtp3","Berhana","2016-07-21","1","6","261102","true","64","spotify:user:1227113","2018-04-22T22:02:54Z","alternative r&b,chill r&b,indie r&b,indie soul","0.543","0.298","0","-9.167","1","0.0683","0.597","0.00000149","0.0804","0.254","125.523","4"
"spotify:track:4Dcs9BTQLhcVfZ1xs7T1cz","Maybe","spotify:artist:1fQDzf4lnUF4DYngrLJH0m","letherette","spotify:album:1Uxnxs4QeqDkdkVRNmZCNa","EP 3","2017-02-17","1","5","195825","false","38","spotify:user:1227113","2018-04-22T21:38:15Z","bass music,future garage,indie soul,vapor twitch,wonky","0.403","0.608","4","-7.315","0","0.064","0.204","0","0.145","0.664","120.693","5"
"spotify:track:10domQBk5oAdI8thuGJqUJ","Scared Money","spotify:artist:6PEMFpe3PTOksdV4ZXUpbE, spotify:artist:3jK9MiCrA42lLAdMGUZpwa, spotify:artist:17Zu03OgBVxgLxWmRUyNOJ","NxWorries, Anderson .Paak, Knxwledge","spotify:album:0K3FiXt6ekJTWaUku3LpHL","Yes Lawd!","2016-10-21","1","12","177146","true","54","spotify:user:1227113","2018-04-22T22:00:33Z","hip hop,indie soul,escape room,abstract beats,alternative hip hop,alternative r&b,hip hop,indie r&b,indie soul,wonky","0.543","0.837","5","-7.415","1","0.0939","0.473","0","0.209","0.893","170.265","3"
"spotify:track:5XzTfuXqhxO1tvj0WGE4mv","Kool.","spotify:artist:6YUS9N33C34h7jI25JBWyQ, spotify:artist:14olkKTpHeXa5w73KV8yh1","Foisey., KeoshaOshay","spotify:album:4Hd1HJcfA3ZzXjS7nk4Ts8","Spirit_whops. (Feminine Edition)","2018-04-22","1","3","181602","false","0","spotify:user:1227113","2018-04-22T22:06:10Z","","0.436","0.555","11","-8.479","1","0.426","0.165","0.00000212","0.145","0.256","175.757","4"
"spotify:track:5qNY58ezEwN0EBoBZG6rNX","George Duke","spotify:artist:7BxJEL8I7OoAMGyPWn1cPS","Ivan Ave","spotify:album:2MrQbr9UUhuxydwacCMftW","Every Eye","2017-11-10","1","10","183880","false","38","spotify:user:1227113","2018-04-22T21:42:50Z","indie jazz,indie soul,jazz rap","0.581","0.523","0","-10.983","1","0.212","0.621","0.0000126","0.115","0.544","93.979","4"
