"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Album Release Date","Disc Number","Track Number","Track Duration (ms)","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature"
"spotify:track:2Tl0t18jgqJo0S7Fs2iy50","Body Language - Intro","spotify:artist:1U1el3k54VvEUzo3ybLPlM","Kali Uchis","spotify:album:4EPQtdq6vvwxuYeQTrwDVY","Isolation","2018-04-06","1","1","136342","false","54","spotify:user:1227113","2018-04-06T16:05:18Z","colombian pop,dance pop,pop","0.387","0.706","9","-8.74","1","0.128","0.639","0.00404","0.285","0.588","115.956","4"
"spotify:track:1QPumjGUd99kNABIODKXLX","Dreamland","spotify:artist:4KZmpaIhanIo46eaQimtgO","ESTA.","spotify:album:1NuQJn41eEAWrv1cKxPqSQ","Imagine: Beauty","2018-04-06","1","5","130909","false","24","spotify:user:1227113","2018-04-06T16:05:18Z","vapor twitch","0.709","0.273","2","-13.911","1","0.136","0.577","0.683","0.136","0.131","109.918","4"
"spotify:track:1boXOL0ua7N2iCOUVI1p9F","Japanese Denim","spotify:artist:20wkVLutqVOYrc0kxFs7rA","Daniel Caesar","spotify:album:5qfhZ5YkZ4LhEUbYgjrWt6","Get You - Single","2016-10-21","1","2","270846","true","78","spotify:user:1227113","2018-04-06T22:30:13Z","canadian contemporary r&b,pop","0.707","0.238","3","-8.818","1","0.0379","0.0905","0.00000242","0.0842","0.345","124.156","3"
"spotify:track:1GJr5BQIOvzFEoQlrufunl","Your Prime","spotify:artist:3jK9MiCrA42lLAdMGUZpwa","Anderson .Paak","spotify:album:4VFG1DOuTeDMBjBLZT7hCK","Malibu","2016-01-15","1","12","237106","true","47","spotify:user:1227113","2018-04-07T00:12:10Z","escape room","0.601","0.641","8","-5.202","1","0.157","0.215","0.013","0.172","0.556","160.926","4"
"spotify:track:0msrDPXxZpts4FRnoX0bFr","Monks","spotify:artist:2h93pZq0e7k5yf4dywlkpM","Frank Ocean","spotify:album:392p3shh2jkxUxY2VHvlH8","channel ORANGE","2012-07-10","1","13","200240","true","58","spotify:user:1227113","2018-04-07T00:59:34Z","alternative r&b,hip hop,lgbtq+ hip hop,neo soul,pop","0.747","0.758","0","-4.743","0","0.179","0.0521","0","0.214","0.601","102.02","4"
"spotify:track:4OBZT9EnhYIV17t4pGw7ig","Best Part (feat. Daniel Caesar)","spotify:artist:3Y7RZ31TRPVadSFVy1o8os, spotify:artist:20wkVLutqVOYrc0kxFs7rA","H.E.R., Daniel Caesar","spotify:album:0pV0Mx07aMApIpF19oSQgY","H.E.R.","2017-10-20","1","10","209400","false","80","spotify:user:1227113","2018-04-07T01:05:33Z","alternative r&b,dance pop,pop,pop rap,r&b,urban contemporary,canadian contemporary r&b,pop","0.473","0.371","4","-10.219","0","0.0405","0.795","0","0.109","0.413","75.208","4"
"spotify:track:5QTdOvIF2ehBMZpSIIGzIo","Honey","spotify:artist:0cGUm45nv7Z6M6qdXYQGTX","Kehlani","spotify:album:2D37uNhXgherfImusGBKTx","Honey","2017-10-06","1","1","199209","true","74","spotify:user:1227113","2018-04-07T00:51:56Z","dance pop,pop,pop rap,post-teen pop,r&b,urban contemporary","0.606","0.24","3","-7.102","1","0.0369","0.772","0","0.0819","0.526","96.792","4"
"spotify:track:5QvxufjYSHVZoNLhEOL9AR","The List","spotify:artist:1VgjAK52kjkQJQQRhTn02t","Moonchild","spotify:album:4bmMeqggIzCcXbuTwZNQ8S","Voyager","2017-05-26","1","6","305760","false","0","spotify:user:1227113","2018-04-07T00:08:12Z","indie soul,neo r&b","0.436","0.341","0","-12.329","1","0.266","0.842","0.0489","0.248","0.325","83.466","4"
"spotify:track:36HmaGr3Q3pRwT8Q9HPFLZ","Jekyll","spotify:artist:43JlwunhXm1oqdKyOa2Z9Y","Hiatus Kaiyote","spotify:album:3qzmmmRmVBiOuMvrerfW4z","Choose Your Weapon","2015-05-01","1","10","333213","false","46","spotify:user:1227113","2018-04-07T00:11:31Z","australian r&b,indie jazz,indie soul,neo r&b,neo soul,shiver pop","0.517","0.341","2","-13.422","0","0.0597","0.502","0.0258","0.106","0.373","110.311","3"
"spotify:track:1D1oE9i8sxo8fJ1Jbgr3Ys","Terrified","spotify:artist:73sIBHcqh3Z3NyqHKZ7FOL","Childish Gambino","spotify:album:4xnq1L6P551Qcb9gBXNMK7","""Awaken, My Love!""","2016-12-02","1","8","255466","true","0","spotify:user:1227113","2018-04-06T21:35:44Z","atl hip hop,hip hop,pop rap,rap","0.473","0.409","0","-10.998","0","0.0544","0.416","0.566","0.099","0.103","139.891","4"
"spotify:track:3MoIvDgJqKIfta5V5x7Lc6","Gentleman","spotify:artist:7wFDo161xYdeaiLz3KIHoM","Gallant","spotify:album:6F176LeSepw4RTVhZzBK2y","Gentleman","2018-04-03","1","1","284091","true","49","spotify:user:1227113","2018-04-06T16:05:31Z","alternative r&b,chill r&b","0.356","0.322","4","-11.063","0","0.0959","0.717","0","0.102","0.292","96.008","4"
"spotify:track:7hH0Gyd35BgcBLyWwY6yy9","The One (feat. Jada)","spotify:artist:6hfwwpXqZPRC9CsKI7qtv1, spotify:artist:2pobDPwk9fuzujz5YKKAVB","Alina Baraz, Jada","spotify:album:6R8UeugxGTPvPwFkLVqUqs","The Color Of You","2018-04-06","1","7","219329","false","46","spotify:user:1227113","2018-04-07T00:50:43Z","alternative r&b,electropop,etherpop,pop,danish pop,scandipop","0.591","0.396","11","-9.684","0","0.0973","0.301","0.0000416","0.109","0.516","78.011","4"
"spotify:track:0q75NwOoFiARAVp4EXU4Bs","Love Galore (feat. Travis Scott)","spotify:artist:7tYKF4w9nC0nq9CsPZTHyP, spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY","SZA, Travis Scott","spotify:album:76290XdXVF9rPzGdNRWdCh","Ctrl","2017-06-09","1","2","275080","true","82","spotify:user:1227113","2018-04-07T00:55:46Z","pop,pop rap,rap,rap","0.795","0.594","0","-6.2","1","0.0748","0.112","0","0.162","0.409","135.002","4"
"spotify:track:2uMMGgkTOBisJpzyvMzNWm","II. Shadows","spotify:artist:73sIBHcqh3Z3NyqHKZ7FOL","Childish Gambino","spotify:album:0zi2TaQkYxfXIBvl2yTjQJ","Because The Internet","2013-01-01","1","6","231733","true","0","spotify:user:1227113","2018-04-07T00:52:14Z","atl hip hop,hip hop,pop rap,rap","0.616","0.76","1","-8.732","1","0.244","0.0948","0.0186","0.345","0.377","116.316","4"
"spotify:track:7KA4W4McWYRpgf0fWsJZWB","See You Again (feat. Kali Uchis)","spotify:artist:4V8LLVI7PbaPR0K2TGSxFF, spotify:artist:1U1el3k54VvEUzo3ybLPlM","Tyler\, The Creator, Kali Uchis","spotify:album:2nkto6YNI4rUYTLqEwWJ3o","Flower Boy","2017-07-21","1","4","180386","true","83","spotify:user:1227113","2018-04-07T00:57:02Z","hip hop,rap,colombian pop,dance pop,pop","0.558","0.559","6","-9.222","1","0.0959","0.371","0.00000749","0.109","0.62","78.558","4"
"spotify:track:2JUqYobT8NvARdPmc4ES2x","Good Guy","spotify:artist:2h93pZq0e7k5yf4dywlkpM","Frank Ocean","spotify:album:3mH6qwIy9crq0I9YQbOuDf","Blonde","2016-08-20","1","8","66786","false","66","spotify:user:1227113","2018-04-07T01:00:18Z","alternative r&b,hip hop,lgbtq+ hip hop,neo soul,pop","0.513","0.131","0","-12.787","1","0.467","0.983","0.00414","0.12","0.814","105.808","5"
"spotify:track:1cuYCAodLWgzhwE2KFZ8rC","WASTE","spotify:artist:1Bl6wpkWCQ4KVgnASpvzzA","BROCKHAMPTON","spotify:album:67smHJOf5YlFwad6dAlppm","SATURATION","2017-06-09","1","17","154406","true","62","spotify:user:1227113","2018-04-07T00:53:44Z","boy band,hip hop,rap","0.416","0.412","9","-11.262","1","0.0361","0.511","0.000423","0.241","0.409","116.84","3"
