"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Album Release Date","Disc Number","Track Number","Track Duration (ms)","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature"
"spotify:track:1a1aDGs7aM4jDWNXXzqDWt","Desire (feat. Goldchain)","spotify:artist:0QitJHI0ZwMa5F9TR6EYSl, spotify:artist:2egQ9F6UU2tQOYhz9f384H","Sylo Nozra, Goldchain","spotify:album:3jcDOGUAQC5g0Rm8REMGTW","Fervor","2017-10-30","1","4","220714","false","0","spotify:user:1227113","2018-04-23T13:43:19Z","alternative r&b,canadian contemporary r&b,chill r&b,indie r&b","0.799","0.322","7","-10.921","0","0.123","0.165","0.00000872","0.115","0.451","83.997","4"
"spotify:track:47RaTPUt3JiJ0XDLNkA717","Won't Cry","spotify:artist:7yYa2im7sawSzuVkXx8W21","Goldwash","spotify:album:4Qr4fssMnZcIVesaG9f2jO","Episode","2017-08-18","1","1","206513","false","26","spotify:user:1227113","2018-04-23T13:27:14Z","vapor soul","0.741","0.48","1","-5.872","0","0.243","0.124","0.0000545","0.0824","0.524","78.02","4"
"spotify:track:2k5Yp1ZGzz8BcnJhEheHUJ","Cloud Keep","spotify:artist:5yKJAwjLJltKwd5xHyjX4u, spotify:artist:0buiiKEp0n2rCfbY62nLH9","Mark Redito, Abbi Press","spotify:album:7GgdhEZhDby3VBTjiMNEXY","Cloud Keep","2018-04-24","1","1","249323","false","8","spotify:user:1227113","2018-04-24T14:28:32Z","future bass","0.534","0.664","11","-6.464","0","0.126","0.135","0.00000458","0.377","0.487","126.612","5"
"spotify:track:3UFBzICFstCzMAy9SgLbJr","zZz","spotify:artist:0u18Cq5stIQLUoIaULzDmA","DROELOE","spotify:album:6gPUI1fxEKNg0oPY6dbjVd","zZz","2016-03-21","1","1","193600","false","0","spotify:user:1227113","2018-04-24T22:54:02Z","bass trap,edm,electronic trap,electropop,future bass,pop edm,vapor soul,vapor twitch","0.726","0.713","8","-8.425","0","0.0584","0.245","0.659","0.633","0.488","150.066","4"
"spotify:track:2SXRN3FNNH05UhXNk44EYc","Tuesday","spotify:artist:3Nb8N20WChM0swo5qWTvm8, spotify:artist:4OHaWpWPKDcZgOOUn9elFn","Tennyson, Mr. Carmack","spotify:album:2J97kMNd9pVsCieIWh2xqH","Tuesday Wednesday Thursday","2017-02-17","1","1","225742","false","2","spotify:user:1227113","2018-04-26T01:23:38Z","edmonton indie,future bass,vapor twitch,electronic trap,future bass,vapor twitch","0.85","0.555","7","-9.903","0","0.37","0.102","0.137","0.101","0.465","127.912","4"
"spotify:track:4l6Ni4ym9y3am94yvuKHcY","Lay-by","spotify:artist:3Nb8N20WChM0swo5qWTvm8","Tennyson","spotify:album:3oEZjTGQGxdJlMzg8PxPyn","Lay-by","2014-10-02","1","1","271333","false","2","spotify:user:1227113","2018-04-26T01:32:33Z","edmonton indie,future bass,vapor twitch","0.313","0.466","9","-9.963","0","0.0341","0.00671","0.933","0.427","0.162","175.563","3"
"spotify:track:6B7aEccAvELfRi2tZWUvxU","Taranphoeno","spotify:artist:2TKC2gVUNBUAlFqfLUoaj0, spotify:artist:1ybINI1qPiFbwDXamRtwxD, spotify:artist:4JqpJeNOhP6bAkolNMLwFg","Phoelix, Smino, Jean Deaux","spotify:album:5HhT0ufB3fa8DSwN72FqsV","TEMPO","2018-03-09","1","14","148900","true","23","spotify:user:1227113","2018-04-23T13:29:52Z","indie hip hop,alternative r&b,hip hop,rap,underground hip hop,alternative r&b,escape room,indie r&b,indie soul","0.526","0.672","8","-6.974","0","0.408","0.615","0","0.135","0.868","100.918","1"
"spotify:track:4IHtmaAhdTziUUCDUdhAIw","Boo You Know (feat. GoldLink)","spotify:artist:7lm68Uw3UZDD1vlAWpLeDL, spotify:artist:5XenQ7XfcvQdfIbpLEFaKQ","Falcons, GoldLink","spotify:album:2tW1Imo6ayVcjkbrkdq0i7","Boo You Know (feat. GoldLink)","2017-04-25","1","1","203900","true","0","spotify:user:1227113","2018-04-24T22:56:59Z","vapor twitch,alternative r&b,dmv rap,hip hop,rap,underground hip hop","0.435","0.681","11","-5.854","0","0.208","0.148","0","0.0682","0.179","165.711","4"
"spotify:track:5kexI72Gjh49X7t8vA6ans","Diamonds for Breakfast (feat. Mark Johns)","spotify:artist:24V5UY0nChKpnb1TBPJhCw, spotify:artist:4EukMPjtYsdi87lkU1hIxN, spotify:artist:2tfyKNBwTB41ArvliXX1zA, spotify:artist:6zMEGo7y1noMoUEcQfIRCT","Jai Wolf, Manila Killa, AOBeats, Mark Johns","spotify:album:3Tq4Rza08A4siT3BzoeZpC","Moving Castle, Vol. 004","2016-06-13","1","6","173975","false","34","spotify:user:1227113","2018-04-26T01:20:10Z","edm,electropop,future bass,indie electropop,indie poptimism,pop edm,tropical house,vapor soul,vapor twitch,edm,electropop,future bass,indie electropop,pop edm,vapor twitch","0.753","0.611","0","-6.864","1","0.0659","0.415","0.0103","0.067","0.535","138.003","4"
"spotify:track:63bAGRSSX2V1hhPSP2NpBC","North Face","spotify:artist:5aMIbwZQvP2MHPMVC5zCGj","ODIE","spotify:album:1SgtXskC74No0x9a9iDlfw","Analogue","2018-04-06","1","2","196799","true","71","spotify:user:1227113","2018-04-23T13:48:04Z","alternative r&b,canadian contemporary r&b,indie r&b,trap soul","0.802","0.382","10","-7.356","1","0.0312","0.792","0.163","0.0783","0.581","99.969","4"
