"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Album Release Date","Disc Number","Track Number","Track Duration (ms)","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature"
"spotify:track:5mWhSQfWEeBZD9YTd4yyFc","Dum Surfer","spotify:artist:4wyNyxs74Ux8UIDopNjIai","King Krule","spotify:album:6Ulu31dfRTpIAud08ZIhXd","The OOZ","2017-10-13","1","3","263440","true","38","spotify:user:1227113","2018-04-15T18:32:54Z","uk alternative pop","0.651","0.944","2","-5.48","1","0.0381","0.0855","0.145","0.116","0.676","119.983","4"
"spotify:track:6otiX0XqSs70j4wGFIakcF","That Easy","spotify:artist:3dv4Q4q3LWOnbLJnC6GgTY","Yellow Days","spotify:album:06QkPaJ2REoJlivRZpkJYY","Is Everything Okay in Your World?","2017-10-27","1","2","267886","false","0","spotify:user:1227113","2018-04-15T19:12:15Z","bedroom pop","0.446","0.798","1","-8.116","1","0.0352","0.0144","0.0177","0.425","0.549","164.036","4"
"spotify:track:0ZWDvjDY3OCwN300x1ktae","Moon Undah Water","spotify:artist:6lHO1eGthNnos9KP2BH0cG","Puma Blue","spotify:album:4Ay2IpoL3zP4FLUvwgLIE8","Moon Undah Water","2018-03-21","1","1","332318","false","4","spotify:user:1227113","2018-04-15T18:30:23Z","bedroom pop,indie garage rock,uk contemporary r&b","0.515","0.331","8","-11.37","1","0.189","0.0854","0.194","0.0775","0.216","74.004","4"
"spotify:track:6FBzhcfgGacfXF3AmtfEaX","C U Girl","spotify:artist:57vWImR43h4CaDao012Ofp","Steve Lacy","spotify:album:33jE0rzk63VdTJcDukmjRa","C U Girl","2015-02-15","1","1","129697","false","74","spotify:user:1227113","2018-04-15T19:12:25Z","afrofuturism,alternative r&b,rap","0.414","0.473","11","-8.911","0","0.116","0.663","0.0523","0.128","0.409","100","4"
"spotify:track:0puyikpyVwe8TTv2tvMHeq","Social Sites","spotify:artist:1RKG6WXRzmTJtbLRZTPU0T","Cosmo Pyke","spotify:album:5CVh7KRau0zBDqKuM6G2ZU","Social Sites","2016-10-24","1","1","289308","true","58","spotify:user:1227113","2018-04-15T19:04:10Z","indie garage rock,uk contemporary r&b","0.411","0.618","4","-4.964","0","0.0469","0.109","0","0.279","0.211","120.734","4"
"spotify:track:4zvHZWOGyL7WcmqHOgtGCW","Everytime","spotify:artist:7wbkl3zgDZEoZer357mVIw","boy pablo","spotify:album:1D3JNjKm7QRaHcIBzv0Xdn","Roy Pablo","2017-05-19","1","2","172941","false","70","spotify:user:1227113","2018-04-15T19:07:23Z","bedroom pop,bergen indie,indie pop,norwegian indie","0.431","0.663","2","-10.066","1","0.0351","0.0249","0.0397","0.117","0.855","203.908","4"
"spotify:track:0y60itmpH0aPKsFiGxmtnh","Wait a Minute!","spotify:artist:3rWZHrfrsPBxVy692yAIxF","WILLOW","spotify:album:0wfne2JijoxJm0qzJd3V5h","ARDIPITHECUS","2015-01-11","1","13","196520","false","85","spotify:user:1227113","2018-04-15T18:50:02Z","afrofuturism,dance pop,electropop,pop,post-teen pop","0.764","0.705","3","-5.279","0","0.0278","0.0371","0.0000194","0.0943","0.672","101.003","4"
"spotify:track:0CyRloqqjpeKEAd3cO6J6z","We're Not Just Friends","spotify:artist:0botW5W7KGHTm8BkLemEH8","Parks\, Squares and Alleys","spotify:album:04tzGVf8HFqAciYdFl4zT8","We're Not Just Friends","2015-09-03","1","1","187820","false","57","spotify:user:1227113","2018-04-15T19:10:32Z","modern dream pop,russian shoegaze","0.655","0.653","4","-7.488","1","0.0278","0.502","0.75","0.0781","0.732","114.995","4"
"spotify:track:2rd4FH1cSaWGc0ZiUaMbX9","Lover Boy","spotify:artist:5mqguTgtaoCMNMZD6txCh6","Phum Viphurit","spotify:album:6q6pANmFQbMk7KzlzNeBep","Lover Boy","2018-03-22","1","1","236727","false","67","spotify:user:1227113","2018-04-15T19:08:03Z","bedroom pop","0.798","0.556","11","-8.597","1","0.0303","0.527","0.000353","0.0959","0.627","109.994","4"
"spotify:track:4LB5cNN7f18wIJA2RU4iIO","For the First Time","spotify:artist:3Sz7ZnJQBIHsXLUSo0OQtM","Mac DeMarco","spotify:album:6XzoFb3hP14jVQeCMRdVJR","This Old Dog","2017-05-05","1","4","182306","false","60","spotify:user:1227113","2018-04-15T19:04:40Z","edmonton indie,lo-fi indie","0.551","0.529","5","-10.469","0","0.0517","0.299","0.00674","0.178","0.522","75.515","4"
