"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Album Release Date","Disc Number","Track Number","Track Duration (ms)","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature"
"spotify:track:5fEXWiVbexhxoHJzdPZbXI","SUN","spotify:artist:3htNAy3vYWWYV8RZFeyRMT","Slow Magic","spotify:album:1m62vNgpD4sr6qIcY3SyJC","AWAY","2018-04-13","1","2","235322","false","0","spotify:user:1227113","2018-04-20T12:41:51Z","chillwave,electropop,future bass,gauze pop,indie dream pop,vapor soul,vapor twitch","0.583","0.799","8","-5.522","0","0.0365","0.166","0.68","0.197","0.237","100.013","4"
"spotify:track:22wJphXvXXOxl46ChMkYSI","Problems - Shallou Remix","spotify:artist:6gK1Uct5FEdaUWRWpU4Cl2, spotify:artist:1aSwrSGBNGMLn9ymttfRkk, spotify:artist:7C3Cbtr2PkH2l4tOGhtCsk","Petit Biscuit, Lido, Shallou","spotify:album:3TwfbmTMH0v3SgRe17O8ce","Problems (Shallou Remix)","2018-04-13","1","1","207894","false","42","spotify:user:1227113","2018-04-20T12:41:27Z","new french touch,tropical house,future bass,norwegian pop,vapor twitch,electropop,indie poptimism,new french touch,tropical house,vapor soul","0.722","0.528","1","-7.822","0","0.229","0.0135","0.0000404","0.11","0.378","114","4"
"spotify:track:447yWcDPg1ddgcHBLGpJC0","Better Not (feat. Wafia)","spotify:artist:7wg1qvie3KqDNQbAkTdbX0, spotify:artist:0FL2d6iFFNAV3yBUbXjZ1U","Louis The Child, Wafia","spotify:album:1hgHJzbzZskVlYIZ57FCVQ","Better Not (feat. Wafia)","2018-04-13","1","1","222865","false","1","spotify:user:1227113","2018-04-26T01:26:30Z","edm,electropop,indie poptimism,pop,pop dance,tropical house,australian indie,australian pop","0.783","0.537","9","-2.921","1","0.0749","0.278","0","0.229","0.392","113.977","4"
"spotify:track:43t7FCfgdQoGl5sNZNx0lO","Glide","spotify:artist:1521R3ksLyQyFeqdtaSZUZ, spotify:artist:1kMPdZQVdUhMDKDWOJM5iK","Hoodboi, Tkay Maidza","spotify:album:4nRxe1cleNLerDBtUOYG20","Glide","2018-02-14","1","1","233739","false","0","spotify:user:1227113","2018-04-23T12:08:07Z","vapor twitch,australian hip hop,escape room","0.749","0.552","8","-8.584","0","0.116","0.175","0","0.0701","0.248","114.947","4"
"spotify:track:3hGc6zv9LgSxGrIlhFdfT6","Espoir","spotify:artist:5vfEaoOBcK0Lzr07WN8KaK","Darius","spotify:album:4ipvRPuGyE1Y1XvG904i3t","Romance","2014-02-24","1","1","242242","false","54","spotify:user:1227113","2018-04-25T02:36:14Z","filter house,indie soul,nu disco","0.6","0.617","3","-7","0","0.0555","0.0955","0.913","0.108","0.037","106.892","4"
"spotify:track:5yoRCggarJWLHJhSRuP4nK","Mindlock","spotify:artist:4jhi6FBQkNJndD3XOunAEv","Sivey","spotify:album:2gGM2fez39t2lYSLJUaZWC","Soulection White Label","2017-07-13","1","3","282868","false","14","spotify:user:1227113","2018-04-24T22:48:11Z","","0.881","0.566","3","-9.46","0","0.329","0.0835","0.0196","0.152","0.346","112.018","4"
"spotify:track:6k8FotzHW1yOvtOhyVfHqy","Rocket","spotify:artist:2pTCZ9C1fXdaVlv6d5EIXM","Chrome Sparks","spotify:album:5Y0yPA0zZetcpimqsegK1i","Chrome Sparks","2018-04-13","1","1","195800","false","30","spotify:user:1227113","2018-04-20T12:41:33Z","chillwave,shimmer psych,vapor twitch","0.489","0.805","11","-10.482","0","0.037","0.752","0.877","0.392","0.216","119.92","4"
"spotify:track:1tvuBoPCzo9xBlopyzc5No","Within You","spotify:artist:6kncomCdQQz8jvnf7djNZI","Lakim","spotify:album:71Cuz4G9udD9iJOA0ykfDL","Nightfall","2018-02-23","1","3","166031","false","8","spotify:user:1227113","2018-04-24T22:47:52Z","vapor twitch","0.61","0.968","11","-7.549","1","0.0802","0.00523","0.833","0.0973","0.976","146.003","4"
"spotify:track:2o1Y94y5wgRGHgEmGmpVQb","Never Stop","spotify:artist:0t9dGS12PMZmiJiZa9vpyk, spotify:artist:52YFhvzbffRkaVJQCjFlpU","DJ Sliink, Zak Leever","spotify:album:4Pc0YbMsop5mU6gtsN6IBv","Never Stop","2018-04-20","1","1","174545","true","10","spotify:user:1227113","2018-04-20T12:41:42Z","bmore,electronic trap,jersey club,vapor house,vogue","0.613","0.719","7","-7.825","0","0.0801","0.236","0.000458","0.128","0.639","77.142","4"
"spotify:track:5PrcKZDFcOEIloIoev9pg1","Perfume","spotify:artist:3FQrStLPA45IL3rsKkXNyM","Ukko","spotify:album:1KdnbMQxbTzRYMHHfGxcec","Parallels","2016-12-15","1","2","158589","false","14","spotify:user:1227113","2018-04-24T22:54:50Z","","0.435","0.889","1","-2.34","0","0.0786","0.197","0.0197","0.445","0.334","165.063","4"
"spotify:track:3yWKMxNZXPKYzoVjvziteL","Text Ur Number (feat. DJ Envy & Fetty Wap) - REMIX","spotify:artist:0t9dGS12PMZmiJiZa9vpyk, spotify:artist:63rJq5DaUMq2OhAnh3al79, spotify:artist:6PXS4YHDkKvl1wkIl4V8DL","DJ Sliink, DJ Envy, Fetty Wap","spotify:album:6AxAdUGoL75jr32aLzyj6R","Text Ur Number (feat. DJ Envy & Fetty Wap) [REMIX]","2018-04-06","1","1","181714","true","15","spotify:user:1227113","2018-04-20T12:42:27Z","bmore,electronic trap,jersey club,vapor house,vogue,jersey club,new jersey rap,pop rap,rap,southern hip hop,trap","0.736","0.931","8","-4.212","1","0.0864","0.303","0.0042","0.114","0.604","139.983","4"
"spotify:track:4Vm2CuGPR24AHqrBOAkGdf","Would You Ever - 4B Remix","spotify:artist:5he5w2lnU9x7JFhnwcekXX, spotify:artist:3JXpwnHbLvXxY99EuXqFPX, spotify:artist:0LIl9fjMPEZp8UDiL8Yuo4","Skrillex, Poo Bear, 4B","spotify:album:4KB5cOnjcPK7XJ5WBf8OCF","Would You Ever (4B Remix)","2017-09-28","1","1","164776","false","35","spotify:user:1227113","2018-04-24T22:55:49Z","brostep,complextro,edm,electro,electro house,pop r&b,electro house,electronic trap","0.63","0.799","0","-3.509","1","0.0695","0.00221","0.0465","0.0697","0.109","134.063","4"
"spotify:track:2AHnUkgAkoOFnkvwRIezrK","Saint Laurent","spotify:artist:0t9dGS12PMZmiJiZa9vpyk, spotify:artist:5he5w2lnU9x7JFhnwcekXX, spotify:artist:67nwj3Y5sZQLl72VNUHEYE, spotify:artist:43UmVQp9qZILibJ5vHq21k","DJ Sliink, Skrillex, Wale, Austin Millz","spotify:album:4eD8ndZc5zCAMSHpHm3Qzj","Saint Laurent","2017-08-04","1","1","152727","true","45","spotify:user:1227113","2018-04-24T22:57:09Z","bmore,electronic trap,jersey club,vapor house,vogue,brostep,complextro,edm,electro,electro house,dance pop,gangster rap,hip hop,pop,pop rap,r&b,rap,southern hip hop,trap,urban contemporary","0.551","0.765","1","-7.661","0","0.358","0.0117","0.0016","0.224","0.537","131.712","4"
"spotify:track:0i57crr1zOz2D74VN7yXP8","Meta","spotify:artist:4E69riquObrTmBTVuF1b7B, spotify:artist:41X1TR6hrK8Q2ZCpp2EqCz","graves, bbno$","spotify:album:39soOzfhtpPJbtpIJNgiEl","Hilo","2017-05-05","1","2","171106","true","0","spotify:user:1227113","2018-04-24T22:56:13Z","bass trap,electronic trap,future bass,pop edm,traprun,vapor twitch,canadian hip hop,dark trap,meme rap,pop rap,vapor trap","0.576","0.722","6","-6.05","1","0.0349","0.193","0","0.29","0.352","148.993","4"
"spotify:track:0PNhnZ8bMadKzP07XVVkvD","Ghost Voices - Raito Old School Remix","spotify:artist:0F52YLV7uWqaJfMMDgG737, spotify:artist:5RXdPHNmsB6OQn8rUyRQtl","Virtual Self, Raito","spotify:album:7iiQ4ZI7aqaXT2E3Imaa0Y","Ghost Voices (Raito Remixes)","2018-04-06","1","2","281904","false","26","spotify:user:1227113","2018-04-20T12:43:15Z","edm,future bass,french techno","0.617","0.902","7","-4.988","1","0.045","0.00282","0.791","0.106","0.484","126.022","4"
"spotify:track:1kn5qvHgJ8WazDGiDStH5I","Returning - (Seimei Remix)","spotify:artist:5ac1qjsr4dSDWsfYY6YvBa, spotify:artist:7zZ9WviThpO5AVYmigIf3V","Carpainter, Seimei","spotify:album:6yYzXxq6PPLLtG6SwpDTdQ","Returning (Remixes)","2018-03-28","1","6","252011","false","0","spotify:user:1227113","2018-04-20T12:44:38Z","japanese electronic","0.534","0.838","2","-7.512","1","0.0552","0.00142","0.785","0.255","0.363","160.012","4"
"spotify:track:1fTn47IjKcYeVHDlvUbr7V","Hyperspeed","spotify:artist:1aSwrSGBNGMLn9ymttfRkk, spotify:artist:0IUKzbO8Ak6iMVUae225Wk","Lido, Canblaster","spotify:album:0zbRHAFN4JYGINp7LooeHc","Superspeed","2015-04-06","1","5","203066","false","15","spotify:user:1227113","2018-04-25T02:39:16Z","future bass,norwegian pop,vapor twitch,destroy techno,future garage","0.67","0.592","5","-6.871","0","0.146","0.0163","0.00187","0.0874","0.468","135.112","4"
"spotify:track:7KLLPEF2v1P9PCh7G9gHdd","Wettex (Cashmere Cat Remix)","spotify:artist:2Ly2vh9IuebMIHqzmITkOl","Feadz & Kito","spotify:album:29KkEUaYGnNJ9GhypRMqdg","Electric Empire Remixes","2012-12-10","1","2","225557","false","10","spotify:user:1227113","2018-04-25T02:40:59Z","destroy techno","0.541","0.763","5","-7.293","0","0.284","0.0107","0.0000187","0.098","0.503","94.834","3"
"spotify:track:2lvZv5PEuBqAshQaVwC13o","Streamers","spotify:artist:147jymD5t0TCXW0DbaXry0","Wave Racer","spotify:album:2YtatemLu8N9X1qgaShSpd","Streamers","2014-02-07","1","1","210549","false","0","spotify:user:1227113","2018-04-25T02:41:09Z","australian indie,future bass,hyperpop,kawaii future bass","0.713","0.896","0","-6.479","0","0.0642","0.00361","0.0151","0.345","0.634","139.973","4"
