"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Album Release Date","Disc Number","Track Number","Track Duration (ms)","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature"
"spotify:track:6Hr77eZSmaVGgH0vVulMUH","Bounce","spotify:artist:1dqGS5sT6PE2wEvP1gROZC","Flatbush Zombies","spotify:album:4Qohh8LwXoV7ucmjCU4MYL","3001: A Laced Odyssey","2016-03-11","1","2","241520","true","61","spotify:user:1227113","2018-04-07T13:19:25Z","escape room,hip hop,psychedelic hip hop,rap,underground hip hop","0.628","0.618","5","-8.4","0","0.313","0.0113","0","0.109","0.362","110.007","4"
"spotify:track:5TI7sEmLe9Ptsc86IiCMGc","Audi","spotify:artist:2Fc1UZXKRmPpWWx1sxcb9m","SwuM","spotify:album:5Ok9qOilYxDdVmlqIihNMQ","Audi","2017-06-15","1","1","138417","true","37","spotify:user:1227113","2018-04-06T03:15:51Z","chillhop,focus beats,lo-fi beats","0.429","0.901","10","-4.282","0","0.399","0.386","0","0.198","0.589","132.076","4"
"spotify:track:46dAwkhPde2dUbETaxe78b","A1 (feat. Rye Rye)","spotify:artist:7cAlvWK5rgMmJ37j7woN8l, spotify:artist:0S05AeePINj4CeTVMfysIu","Christian Rich, Rye Rye","spotify:album:6SABBFMocrZ78vtqbdJaZL","SS14","2014-07-07","1","2","205081","true","0","spotify:user:1227113","2018-04-07T13:22:17Z","alternative r&b,bmore,escape room,lgbtq+ hip hop,trap queen","0.749","0.604","1","-8.598","1","0.155","0.645","0.0000327","0.223","0.393","121.826","4"
"spotify:track:3ClHjRhLozN1CrmByHXgwR","I Call The Shots (feat. JME)","spotify:artist:7k9T7lZlHjRAM1bb0r9Rm3, spotify:artist:4IZLJdhHCqAvT4pjn8TLH5","Wiley, Jme","spotify:album:66m05Y8wv4cwpLzhvy8qTv","I Call The Shots (feat. JME)","2017-11-03","1","1","208613","true","0","spotify:user:1227113","2018-04-06T03:18:13Z","grime,house,pop dance,tropical house,uk dance,uk dancehall,uk hip hop,grime,instrumental grime,uk hip hop","0.822","0.844","2","-5.125","1","0.171","0.0229","0.000186","0.351","0.844","140.076","4"
"spotify:track:1muD04tTcMD0ZERoeJLUFU","Afterglow - Uninamise Remix","spotify:artist:0ygIgsjUzKivFgxgjQ9iV9","Jacques Greene","spotify:album:3WnwCphGLhAJfxZpZMIfxC","LuckyMe Advent Calendar 17","2018-01-10","1","10","183397","false","2","spotify:user:1227113","2018-04-06T03:18:37Z","bass music,canadian electronic,electronica,float house,future garage,microhouse,wonky","0.334","0.856","8","-5.359","0","0.0741","0.0124","0.64","0.316","0.31","105.716","4"
"spotify:track:2g0rJQCq7Xb1l0jp1jZ042","Hold Me Down","spotify:artist:7LTShHcq1KdTrWeLvWoYed","Dumbfoundead","spotify:album:0abxdlsfEamcM0O8VYnlcB","We Might Die","2016-11-10","1","10","180000","true","0","spotify:user:1227113","2018-04-06T03:16:14Z","asian american hip hop,battle rap,k-rap","0.77","0.885","6","-3.038","1","0.0724","0.0847","0.00106","0.0887","0.267","120.036","4"
"spotify:track:0WQcnrsEqrY2e5nexGe3HX","Walk On Water (feat. A$AP Twelvyy, A$AP Ant, A$AP Nast, A$AP Ferg & Playboi Carti)","spotify:artist:7yO4IdJjCEPz7YgZMe25iS, spotify:artist:0tPjSrb43a58uznKru1k2P, spotify:artist:45m1IiS45uD1HcPlYkNWKj, spotify:artist:1uLYUm2A6kpFYAECfAFoH1, spotify:artist:5dHt1vcEm9qb8fCyLcB3HL, spotify:artist:699OTQXzgjhIYAHMy9RyPD","A$AP Mob, A$AP Twelvyy, A$AP ANT, A$AP NAST, A$AP Ferg, Playboi Carti","spotify:album:0qr1Fvi1haEDWVbFtekZLb","Cozy Tapes Vol. 2: Too Cozy","2017-08-25","1","6","236226","true","61","spotify:user:1227113","2018-04-06T03:15:37Z","hip hop,rap,southern hip hop,trap,vapor trap,rap,underground hip hop,baltimore hip hop,drill,underground hip hop,vapor trap,harlem hip hop,hip hop,pop rap,rap,southern hip hop,trap,underground hip hop,atl hip hop,rap,trap","0.9","0.532","0","-5.516","1","0.0744","0.0889","0","0.0533","0.592","140.023","4"
"spotify:track:0DsXQUA2OJW70LFmC95C7S","Leather Symphony (feat. A$AP Twelvyy)","spotify:artist:1dqGS5sT6PE2wEvP1gROZC, spotify:artist:0tPjSrb43a58uznKru1k2P","Flatbush Zombies, A$AP Twelvyy","spotify:album:622gmiTAUET3WtAZq8aXtS","Vacation In Hell","2018-04-06","1","7","232863","true","47","spotify:user:1227113","2018-04-07T02:09:30Z","escape room,hip hop,psychedelic hip hop,rap,underground hip hop,rap,underground hip hop","0.765","0.497","0","-9.684","1","0.293","0.013","0","0.139","0.138","132.016","4"
"spotify:track:5sqHFfmw7MMc1L85BN8802","THat Part - Black Hippy Remix","spotify:artist:5IcR3N7QB1j6KBL8eImZ8m","ScHoolboy Q","spotify:album:0VZWhdLRtDPan52RfTHkp9","THat Part (Black Hippy Remix)","2016-07-16","1","1","288525","true","58","spotify:user:1227113","2018-04-07T13:20:18Z","gangster rap,hip hop,pop rap,rap,southern hip hop,trap,underground hip hop","0.892","0.548","6","-8.449","0","0.33","0.139","0","0.114","0.262","112.962","4"
"spotify:track:1YmF9PvLhIISIANoMLIYGq","A$AP Forever (feat. Moby)","spotify:artist:13ubrt8QOOCPljQ2FL1Kca, spotify:artist:3OsRAKCvk37zwYcnzRf5XF","A$AP Rocky, Moby","spotify:album:67Em0g7VkNZGzICh4SZQdY","A$AP Forever (feat. Moby)","2018-04-05","1","1","233061","true","68","spotify:user:1227113","2018-04-06T03:17:23Z","east coast hip hop,hip hop,rap,trap,underground hip hop,downtempo,electronica","0.469","0.78","10","-6.49","0","0.122","0.224","0","0.13","0.444","125.999","4"
"spotify:track:4lIVN4LUJCmweoGJmk6hK9","When in Rome","spotify:artist:4LLpKhyESsyAXpc4laK94U","Mac Miller","spotify:album:2Tyx5dLhHYkx6zeAdVaTzN","GO:OD AM","2015-09-18","1","12","223120","true","55","spotify:user:1227113","2018-04-06T03:15:55Z","hip hop,pittsburgh rap,rap","0.837","0.699","10","-4.301","0","0.074","0.0513","0","0.262","0.216","124.04","4"
