"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Album Release Date","Disc Number","Track Number","Track Duration (ms)","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature"
"spotify:track:0IUeogZ8WYCDZh444hvunH","The Night","spotify:artist:35RvGPQ1OxbEZknWyiaAcs","Two Another","spotify:album:5EEAhiJ0XuvQfOmktsAcaq","The Night","2018-03-23","1","1","216857","false","0","spotify:user:1227113","2018-04-08T00:50:06Z","alternative r&b,indie soul,vapor soul","0.802","0.342","9","-7.812","1","0.176","0.1","0.000154","0.0866","0.583","95.049","4"
"spotify:track:1cTZMwcBJT0Ka3UJPXOeeN","Nice For What","spotify:artist:3TVXtAsR1Inumwj472S9r4","Drake","spotify:album:1ZGxGu4fMROqmZsFSoepeE","Nice For What","2018-04-06","1","1","210925","true","5","spotify:user:1227113","2018-04-07T13:07:02Z","canadian hip hop,canadian pop,hip hop,pop rap,rap,toronto rap","0.567","0.913","8","-6.471","1","0.0736","0.0934","0.000124","0.114","0.792","93.35","4"
"spotify:track:3jAsjlHXtord6wTRYOWQJi","54321","spotify:artist:4vpHarkXiCDVKnN76UTqew","Marlin","spotify:album:7hVNxaGDLmiWW884FJGClN","Nights","2017-07-07","1","1","208015","false","26","spotify:user:1227113","2018-04-07T13:08:58Z","new french touch","0.795","0.844","10","-6.607","0","0.468","0.0182","0","0.277","0.383","120.021","4"
"spotify:track:50b4r9xnWK5pj9LO6hb3EO","Waiting","spotify:artist:5SCaNm27aL0t2Vld0DxV4Z","Midnight Pool Party","spotify:album:40aW1qmPsb9QaaPa0cce8e","Waiting","2016-11-16","1","1","259189","false","35","spotify:user:1227113","2018-04-08T03:11:58Z","new french touch,synth funk","0.778","0.399","6","-9.769","0","0.311","0.0734","0","0.0978","0.656","117.011","4"
"spotify:track:4A7DUET5H4f7dJkUhjfVFB","Lost in Paris","spotify:artist:1uiEZYehlNivdK3iQyAbye, spotify:artist:5XenQ7XfcvQdfIbpLEFaKQ","Tom Misch, GoldLink","spotify:album:28enuddLPEA914scE6Drvk","Geography","2018-04-06","1","2","194023","false","62","spotify:user:1227113","2018-04-08T01:48:17Z","indie soul,jazz pop,alternative r&b,dmv rap,hip hop,rap,underground hip hop","0.788","0.711","1","-7.811","0","0.0597","0.364","0.0000207","0.0838","0.802","104.149","4"
"spotify:track:4TAob1aRbfOiNqlE8qSISX","Late Night (feat. Masego) - ROM Remix","spotify:artist:5XenQ7XfcvQdfIbpLEFaKQ, spotify:artist:3ycxRkcZ67ALN3GQJ57Vig, spotify:artist:2Uv74Lc8SbAn7A0bv6Dim6","GoldLink, Masego, ROM","spotify:album:58Qn0fNPQBC2aYeP6XkQeb","And After That, We Didn't Talk - The Remixes","2016-06-10","1","11","153065","false","24","spotify:user:1227113","2018-04-10T00:59:25Z","alternative r&b,dmv rap,hip hop,rap,underground hip hop,alternative r&b,indie soul","0.732","0.746","0","-6.435","1","0.146","0.675","0.0000186","0.386","0.561","102.999","4"
"spotify:track:7i5RXnzpMvNaWSKpb8AtMC","Come Inside (feat. Jazz Cartier)","spotify:artist:74EhQOxqIuZSj1wsMLQabN, spotify:artist:0sc5zYshOdiFD4ayqMrJbJ","Lou Phelps, Jazz Cartier","spotify:album:6sBmAXmZYF20t3PhKiT13h","Come Inside","2018-02-23","1","1","231733","true","13","spotify:user:1227113","2018-04-14T21:44:33Z","canadian hip hop,indie soul,canadian hip hop,deep underground hip hop,indie pop rap,toronto rap,trap soul,underground hip hop","0.706","0.623","8","-9.445","1","0.311","0.0975","0","0.199","0.36","107.89","4"
"spotify:track:5iUQMwxUPdJBFeGkePtM66","Dang! (feat. Anderson .Paak)","spotify:artist:4LLpKhyESsyAXpc4laK94U, spotify:artist:3jK9MiCrA42lLAdMGUZpwa","Mac Miller, Anderson .Paak","spotify:album:6f6tko6NWoH00cyFOl4VYQ","The Divine Feminine","2016-09-16","1","2","305350","true","76","spotify:user:1227113","2018-04-09T01:17:12Z","hip hop,pittsburgh rap,rap,escape room","0.836","0.67","5","-6.907","0","0.23","0.00826","0.000355","0.0837","0.556","107.018","4"
"spotify:track:5CDrDzan4wRW3Dj4LD6meH","Bad Bad News","spotify:artist:3qnGvpP8Yth1AqSBMqON5x","Leon Bridges","spotify:album:7Csuf8rJjBOP4GK11pPCw7","Bet Ain't Worth the Hand / Bad Bad News","2018-03-13","1","2","207306","false","34","spotify:user:1227113","2018-04-07T20:13:19Z","modern blues,soul","0.781","0.629","5","-6.152","0","0.0647","0.229","0.000536","0.0881","0.693","111.975","4"
"spotify:track:6emzoqPK7R90w6R92u3XfJ","Penthouse (feat. Sik-K) [with APRO]","spotify:artist:2u7CP5T30c8ctenzXgEV1W, spotify:artist:5DIi2JWfQPTKffaVBlIYRn","pH-1, Sik-K","spotify:album:3oc0tOh9XqNQtWGwDmcZfk","GATSBY","2018-02-04","1","1","230237","false","35","spotify:user:1227113","2018-04-14T21:44:16Z","chill r&b,k-pop,k-rap,korean r&b,k-pop,k-rap,korean r&b","0.744","0.782","5","-5.814","0","0.242","0.559","0","0.144","0.911","138.009","4"
