"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Album Release Date","Disc Number","Track Number","Track Duration (ms)","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature"
"spotify:track:54IbnYEdA3ymfxv07WgN3b","Your Teeth In My Neck","spotify:artist:1U1el3k54VvEUzo3ybLPlM","Kali Uchis","spotify:album:4EPQtdq6vvwxuYeQTrwDVY","Isolation","2018-04-06","1","5","186181","false","62","spotify:user:1227113","2018-04-10T00:57:59Z","colombian pop,dance pop,pop","0.853","0.604","3","-5.794","0","0.0511","0.0696","0.00000165","0.135","0.86","116","4"
"spotify:track:6PktsUMUtMAu8GRTmeH9Vy","Do U Wrong (feat. Syd)","spotify:artist:5YZ5AExR68U3ZblH6HcO6B, spotify:artist:3jk39CGeaaSO3FPKNx1RUx","Leven Kali, Syd","spotify:album:4xHJhyBJJCoW8QpHZHPYDC","Do U Wrong (feat. Syd)","2018-01-19","1","1","280253","false","0","spotify:user:1227113","2018-04-09T23:17:17Z","alternative r&b,chill r&b,indie r&b,indie soul,alternative r&b,lgbtq+ hip hop","0.71","0.458","11","-8.641","1","0.159","0.182","0.0000146","0.0949","0.317","78.899","4"
"spotify:track:5R64cSSo708vFwMDlws3bN","Cool It","spotify:artist:60jVpPkp3hgECctyeE9gWH","Mars Today","spotify:album:6gLVNqcIvNVItNvfkMFxi7","Bits & Pieces","2017-06-09","1","2","222401","true","31","spotify:user:1227113","2018-04-09T12:03:57Z","neo r&b","0.652","0.503","9","-6.574","0","0.204","0.662","0.00103","0.235","0.796","79.053","4"
"spotify:track:6w9zex3lLDwzmvu12LDpJw","Whatever You Want","spotify:artist:4AGNJdJiVltImYk1UTLE0K","Sports","spotify:album:0jPXlQ5yGrSD7SIpGdmofn","People Can't Stop Chillin","2016-10-21","1","6","188173","false","11","spotify:user:1227113","2018-04-09T12:44:21Z","indie garage rock,indie pop,neo-psychedelic,tulsa indie","0.728","0.38","2","-11.025","1","0.0946","0.383","0.000279","0.364","0.5","168.604","4"
"spotify:track:0p1ZvKFcy7tRv9n6G9MQv1","Bustin Loose (feat. Saara Maria & Austin Antione)","spotify:artist:1TGyEDXHDYwHNB012Otfhj","Joomanji","spotify:album:2QDH2m1uJk9A2BVcl1I8K3","Manj","2013-02-01","1","3","205789","false","37","spotify:user:1227113","2018-04-09T12:46:55Z","indie jazz,indie soul,neo r&b","0.667","0.582","6","-8.674","0","0.323","0.582","0","0.242","0.75","82.963","4"
"spotify:track:5EZhrCXl5WOerBG2lrFCqw","Black Truck","spotify:artist:294lNTPZfdqyzt8qnxmFiL","Mereba","spotify:album:1RY83x7LYEmZYAby7ukV8v","Black Truck","2018-02-09","1","1","254426","false","56","spotify:user:1227113","2018-04-09T12:42:56Z","alternative r&b,chill r&b,escape room,indie r&b,indie soul","0.4","0.756","11","-7.182","1","0.0595","0.021","0.000026","0.123","0.0934","171.543","4"
"spotify:track:5jyyPsIGM2yqkZN9R3TmvN","The Ways (with Swae Lee)","spotify:artist:6LuN9FCkKOj5PcnpouEgny, spotify:artist:1zNqQNIdeOUZHb8zbZRFMX","Khalid, Swae Lee","spotify:album:3pLdWdkj83EYfDN6H2N8MR","Black Panther The Album Music From And Inspired By","2018-02-09","1","4","238893","true","66","spotify:user:1227113","2018-04-10T00:57:14Z","alternative r&b,pop,melodic rap,pop rap,rap,trap","0.727","0.72","11","-5.856","0","0.0488","0.0626","0.00000121","0.176","0.589","140.08","4"
"spotify:track:7w0Jepbov8spAD4E0qQge1","Auckland","spotify:artist:5cD2iCwCWZu0TnkMQwkaaK, spotify:artist:4QFHHdZkeqmneDQqKIjAN8, spotify:artist:3cwVFmQ6mcUoGR6ZvIPuZ4","Trevor Lawrence Jr., Donna Missal, Nicholas Payton","spotify:album:07F5EIIkeIjshcgifNaYjK","Relationships","2017-07-21","1","8","266864","true","0","spotify:user:1227113","2018-04-09T12:07:48Z","la pop,bebop,contemporary jazz,contemporary post-bop,hard bop,jazz,jazz trumpet,new orleans jazz","0.702","0.498","0","-8.292","0","0.0383","0.41","0.139","0.132","0.231","122.972","4"
"spotify:track:3eIzChv8AqByBiRwxDMFxN","Way Back","spotify:artist:1kh0AypxF3CxMMzmQyif2S","Rayana Jay","spotify:album:0GQzps3pyIImxVgInHPTDe","Morning After","2017-09-15","1","6","180000","true","42","spotify:user:1227113","2018-04-10T01:03:37Z","alternative r&b,chill r&b,indie r&b,indie soul","0.863","0.508","3","-7.349","0","0.0569","0.287","0.0000188","0.0873","0.531","119.949","4"
"spotify:track:22jjnj2eL1aEGwWEM8d0WH","Keep Up Wimmi","spotify:artist:3fcW2V4zOfFm0IsWCJUuzz","Zilo","spotify:album:3sf771KKHq5KoH7buMD8M0","Keep Up Wimmi","2018-02-23","1","1","201758","false","28","spotify:user:1227113","2018-04-09T13:06:51Z","alternative r&b,bass trap,indie r&b","0.734","0.531","6","-5.691","0","0.221","0.104","0","0.125","0.558","91.076","4"
"spotify:track:59TdQ0nXvkMgdIQUff2VyO","learjets, coupes","spotify:artist:7D6kLgvRHr6DNDavc0LhvI","jhfly","spotify:album:6Su65XVihUtYqRGPoklfy7","sounds and things","2016-08-01","1","11","234763","false","0","spotify:user:1227113","2018-04-09T13:01:42Z","chillhop,lo-fi beats","0.668","0.344","5","-10.595","0","0.325","0.771","0.000084","0.097","0.707","81.966","4"
