"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Album Release Date","Disc Number","Track Number","Track Duration (ms)","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature"
"spotify:track:538zQrRrLGMEvBA18XSXoI","Nu Africa (feat. Ernestine Johnson)","spotify:artist:18HVMQsV3tINaTyzT5UIjH, spotify:artist:42oknwLibyTsaag89UwSdU","CyHi The Prynce, Ernestine Johnson","spotify:album:79yQxmlPsMM41NH3AiVSNK","No Dope On Sundays","2017-11-17","1","11","373927","true","29","spotify:user:1227113","2018-04-23T19:48:20Z","atl hip hop,southern hip hop,trap","0.463","0.784","5","-4.875","0","0.465","0.132","0","0.534","0.45","176.7","4"
"spotify:track:0F98P4RM6iZPE3rK4Ii3ZO","Bury Me Next To You","spotify:artist:4jCbgl5Dmt3uOh8WRQfpPs","Bilal","spotify:album:6InQseLVCMxyyoC7a6Y1mq","In Another Life","2015-06-30","1","12","223598","false","0","spotify:user:1227113","2018-04-23T14:36:59Z","hip hop,indie soul,neo soul","0.675","0.423","4","-8.725","1","0.027","0.425","0.0107","0.0964","0.357","138.871","4"
"spotify:track:19mXqYcLHY716cN53T1d1E","Wish That You Were Mine","spotify:artist:1DpIDwg8FGD50N9Tfunfsf","The Manhattans","spotify:album:6nGP2C8BMkIqnVyPzXSUFr","There's No Me Without You (Expanded Edition)","1973","1","3","260826","false","42","spotify:user:1227113","2018-04-22T21:55:32Z","classic soul,disco,funk,motown,philly soul,quiet storm,soul,southern soul,urban contemporary","0.621","0.534","9","-10.09","0","0.036","0.555","0.0000129","0.297","0.574","119.615","4"
"spotify:track:5muoVUfPgCkIWew5bnl5Td","Quest for Love","spotify:artist:2lmWYYMM80tsoDES4aUB1m","Potatohead People","spotify:album:40P4oXVgj4f50S3Jhkj8Da","Quest for Love","2018-03-02","1","1","219190","false","0","spotify:user:1227113","2018-04-19T03:07:27Z","indie jazz,indie r&b,indie soul,neo r&b,vancouver indie","0.718","0.464","8","-5.765","0","0.0377","0.033","0.0512","0.103","0.514","86.484","4"
"spotify:track:74sfJjVq74bYkxMQoOhH3r","Keep Ya Head Up - Recorded at Spotify Studios NYC","spotify:artist:5ZS223C6JyBfXasXxrRqOk","Jhené Aiko","spotify:album:2NclReHquDka42tG31lbAY","Spotify Singles","2018-02-28","1","2","163480","false","55","spotify:user:1227113","2018-04-23T19:48:36Z","alternative r&b,dance pop,pop,r&b,urban contemporary","0.52","0.302","4","-11.872","1","0.0577","0.885","0","0.085","0.402","72.486","4"
"spotify:track:73g5DhB20GW7cOxQ288WFw","Juulia","spotify:artist:1bBPhOb5yTs7U6dn8nQ3kX","Matt Burton","spotify:album:4b2V1RbkQd5NCaI4vSFzj6","Juulia","2017-05-16","1","1","141583","false","0","spotify:user:1227113","2018-04-23T13:14:21Z","","0.651","0.305","3","-14.002","0","0.125","0.582","0.0000249","0.0673","0.621","100.822","4"
"spotify:track:2J8TmazjGWJviP9BD1RivI","Rooftops","spotify:artist:1b5fazYV5ecKkQHKTlwLG8","Bishop Nehru","spotify:album:6Q0AEOhIkPif4SubmILa4A","Elevators: Act I & II","2018-03-16","1","12","181500","false","0","spotify:user:1227113","2018-04-15T00:16:48Z","underground hip hop","0.522","0.747","2","-5.29","1","0.118","0.395","0","0.486","0.778","94.461","4"
"spotify:track:43ile6cBzr9uaC4bJf6J3N","Water No Get Enemy - Edit","spotify:artist:5CG9X521RDFWCuAhlo6QoR","Fela Kuti","spotify:album:7325GfKum2hDK231i3LqA7","Best of The Black President","2009-10-27","1","4","591706","false","49","spotify:user:1227113","2018-04-23T14:37:03Z","afrobeat,afropop,funk,soul,world","0.641","0.924","10","-7.697","0","0.0578","0.107","0.0269","0.0982","0.891","90.858","4"
"spotify:track:0CFLjiBPNO1P2H6LpmSr9w","Paulette","spotify:artist:2qNmQvibIVFYLfpbWmyWuO","Balla Et Ses Balladins","spotify:album:0qZyPM2KOriazUJ9aJuE7x","Objectif Perfection (African Dancefloor Classics)","1993","1","3","462000","false","0","spotify:user:1227113","2018-04-13T19:23:37Z","afropop,highlife,mande pop,west african jazz,world","0.784","0.424","4","-14.928","0","0.0399","0.656","0.00338","0.131","0.919","132.409","4"
"spotify:track:1Etl6q0mmPV60TtOCD0uch","Fists of Fury","spotify:artist:6HQYnRM4OzToCYPpVBInuU","Kamasi Washington","spotify:album:0S3diYtCrrzJZwZIclxtex","Fists of Fury","2018-04-10","1","1","583174","false","0","spotify:user:1227113","2018-04-13T21:05:51Z","afrofuturism,contemporary jazz,indie jazz,indie soul,jazz saxophone","0.4","0.889","3","-8.315","0","0.1","0.284","0.78","0.0885","0.553","103.528","4"
"spotify:track:0O9c9mXva0LUUDnwLxMEak","Red Clay","spotify:artist:0fTHKjepK5HWOrb2rkS5Em","Freddie Hubbard","spotify:album:2jWaNubVicbGt8kf4NiSqT","Red Clay","1970","1","1","728733","false","14","spotify:user:1227113","2018-04-14T21:42:48Z","avant-garde jazz,bebop,big band,contemporary jazz,contemporary post-bop,cool jazz,free jazz,hard bop,jazz,jazz funk,jazz fusion,jazz trumpet,soul jazz,vocal jazz","0.518","0.382","9","-13.361","1","0.0349","0.33","0.246","0.0981","0.592","139.48","4"
