"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Album Release Date","Disc Number","Track Number","Track Duration (ms)","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature"
"spotify:track:4pNTrolPWfG6drXMbJXqZK","Function","spotify:artist:5oSCIcpPdrO3UhTMATxkYL, spotify:artist:5XenQ7XfcvQdfIbpLEFaKQ, spotify:artist:34MuJG3KuMOzEHLf4OY5fv, spotify:artist:7aREprU3x2lAVq44SnFnmv","Ciscero, GoldLink, April George, Cheakaity","spotify:album:2PdyPWGV2osg66MihKvg1X","Function","2018-02-06","1","1","220734","true","0","spotify:user:1227113","2018-04-14T17:31:22Z","dmv rap,alternative r&b,dmv rap,hip hop,rap,underground hip hop","0.555","0.646","5","-6.304","1","0.23","0.0312","0","0.163","0.516","124.069","4"
"spotify:track:2wDIV2j0UIYauvkCk1bKG0","Homies","spotify:artist:5oSCIcpPdrO3UhTMATxkYL, spotify:artist:40Viqfc5ZdF69hIKjktCZN","Ciscero, Matt McGhee","spotify:album:4hWD7sO8EX0Cf0LneXfnUl","Homies","2018-03-27","1","1","264359","true","13","spotify:user:1227113","2018-04-13T12:31:01Z","dmv rap,dmv rap","0.645","0.776","1","-6.073","0","0.413","0.0926","0","0.117","0.492","147.977","4"
"spotify:track:1raxsVXIs7WrI8apWGkWDk","FIGHTER","spotify:artist:7Hjbimq43OgxaBRpFXic4x, spotify:artist:7c6eQSFEfIt9rV3gh4cgtj","Saba, KAINA","spotify:album:6Te111t5gDZ7W94myHRqUt","CARE FOR ME","2018-04-05","1","5","282466","true","47","spotify:user:1227113","2018-04-14T17:31:57Z","alternative r&b,chicago rap,hip hop,rap,underground hip hop,bedroom soul","0.542","0.442","0","-8.763","1","0.369","0.579","0.000497","0.124","0.321","78.111","1"
"spotify:track:3y2M9o8Z5iH1uCSXw8f3cn","When I Die","spotify:artist:5XenQ7XfcvQdfIbpLEFaKQ","GoldLink","spotify:album:312nhg8yOA9JbFKi0cNNky","The God Complex","2014-04-01","1","9","101053","true","0","spotify:user:1227113","2018-04-14T17:20:20Z","alternative r&b,dmv rap,hip hop,rap,underground hip hop","0.575","0.528","6","-9.048","1","0.569","0.477","0.00847","0.544","0.327","171.487","3"
"spotify:track:2Mdx3e6CojhqiR85uubsaj","Relapse","spotify:artist:17Zu03OgBVxgLxWmRUyNOJ, spotify:artist:5z4GIgsp4Ex4mTJBaIcRG2","Knxwledge, Traffic","spotify:album:0kpouDJIuZVrdJAKNmNesA","Gladwemet","2018-04-12","1","1","301738","true","40","spotify:user:1227113","2018-04-13T20:37:26Z","abstract beats,alternative hip hop,alternative r&b,hip hop,indie r&b,indie soul,wonky","0.765","0.686","3","-6.962","0","0.207","0.227","0.00787","0.132","0.612","77.695","4"
"spotify:track:0sPo7nJ0te8WtuEAh3wN3N","GO","spotify:artist:3htNAy3vYWWYV8RZFeyRMT, spotify:artist:4Vy0AbsAmU5l3ZWOxhilzr","Slow Magic, Toulouse","spotify:album:1m62vNgpD4sr6qIcY3SyJC","AWAY","2018-04-13","1","4","213413","false","0","spotify:user:1227113","2018-04-13T12:55:13Z","chillwave,electropop,future bass,gauze pop,indie dream pop,vapor soul,vapor twitch","0.612","0.514","9","-9.897","0","0.0411","0.133","0.00203","0.142","0.269","167.061","4"
"spotify:track:25ZF3vCvN5eqpUwBnblGZP","Amadelle With Love","spotify:artist:6sHCvZe1PHrOAuYlwTLNH4","Gus Dapperton","spotify:album:2hCMWVYQA79UBgLCcue0tm","You Think You're a Comic!","2018-02-09","1","3","192250","false","0","spotify:user:1227113","2018-04-14T17:44:51Z","bedroom pop,indie pop,indie poptimism,modern rock","0.64","0.638","4","-8.119","0","0.0315","0.00289","0.0245","0.356","0.551","112.945","4"
"spotify:track:0qWsZLFTzSf26GfOqOiScF","I Know How You Get","spotify:artist:7tr9pbgNEKtG0GQTKe08Tz","Mk.gee","spotify:album:3tZ8qqD32t6vfycJvEHy7z","I Know How You Get","2017-05-19","1","1","290500","true","31","spotify:user:1227113","2018-04-13T02:33:36Z","alternative r&b,indie r&b,indie soul,vapor soul","0.761","0.728","0","-5.148","1","0.0413","0.458","0.546","0.258","0.867","122.006","4"
"spotify:track:1kLXQonNqsJxCPFkUet3pV","The Way Things Change","spotify:artist:3dv4Q4q3LWOnbLJnC6GgTY","Yellow Days","spotify:album:3SaySnFE2GUU02BsUcfTIx","The Way Things Change","2018-04-05","1","1","248382","false","59","spotify:user:1227113","2018-04-14T17:39:25Z","bedroom pop","0.739","0.453","5","-8.363","0","0.0449","0.25","0.0148","0.289","0.636","139.919","4"
"spotify:track:0KZPAO7NNLu37hHJRCl5By","So Real (feat. Quelle Chris)","spotify:artist:1ySUvbTVNE9pyhdzcDxjg4, spotify:artist:2SlUrJAcTYbWR8GcmB9IEi","Iman Omari, Quelle Chris","spotify:album:6rtVAWy1umsGeEG8Iq2imn","IHY","2017-12-01","1","4","266666","false","25","spotify:user:1227113","2018-04-13T18:24:40Z","alternative r&b,indie r&b,indie soul,neo r&b,alternative hip hop,boom bap,escape room,underground hip hop","0.626","0.621","11","-8.843","0","0.0852","0.268","0.132","0.146","0.668","139.991","4"
"spotify:track:763toF4jLoZkmO6hCK1Mbp","Sugar","spotify:artist:2pTCZ9C1fXdaVlv6d5EIXM","Chrome Sparks","spotify:album:5Y0yPA0zZetcpimqsegK1i","Chrome Sparks","2018-04-13","1","4","232413","false","29","spotify:user:1227113","2018-04-13T13:02:15Z","chillwave,shimmer psych,vapor twitch","0.514","0.646","5","-8.542","0","0.034","0.0818","0.144","0.0782","0.131","116.107","4"
"spotify:track:6Y2c7nqkwa5n2vykfdwDIE","Hotline Bling","spotify:artist:0Kwf0zcciIFGLCKiqNcO6Q","SRNO","spotify:album:1iwGdRdfiOWULmprxkZnMD","Hotline Bling","2016-06-11","1","1","175124","false","45","spotify:user:1227113","2018-04-13T02:30:27Z","dutch rap pop","0.769","0.206","1","-14.301","1","0.107","0.504","0.135","0.113","0.123","122.076","4"
"spotify:track:2XNjoE3RldSYUNKHmuZxKa","Goldie","spotify:artist:4pSowxoZVdsKUyTkhU9ebC","Kamandi","spotify:album:216pa1XqUoFt0VX5DfBzFM","Goldie","2017-12-15","1","1","132000","false","0","spotify:user:1227113","2018-04-14T21:42:10Z","nz electronic,vapor twitch,wave","0.611","0.337","5","-13.992","1","0.0518","0.842","0.929","0.114","0.163","119.963","4"
"spotify:track:6V801FXxGdzXwYXz6Q4tSw","Never Home","spotify:artist:3QTDHixorJelOLxoxcjqGx","SiR","spotify:album:5zdFKRmlSDwAMZ5NFVGbx9","November","2018-01-19","1","7","166500","true","39","spotify:user:1227113","2018-04-14T21:48:25Z","alternative r&b,hip hop,indie soul,la pop,rap,underground hip hop","0.674","0.562","6","-6.57","1","0.422","0.437","0.00000694","0.0996","0.317","160.03","4"
"spotify:track:5LAr1iQFlAnkRQ8cQvTKHc","Doing Better","spotify:artist:3s2jqlVaDwlRKk3mF7WT2b","Jamie Isaac","spotify:album:3isyEUshmeSQ2ATHtbopfS","Doing Better","2018-02-09","1","1","214973","false","0","spotify:user:1227113","2018-04-13T02:25:25Z","indie soul","0.442","0.47","8","-8.863","0","0.13","0.114","0.000782","0.114","0.424","63.553","4"
"spotify:track:6usdbD5408YMpXweHEPH6X","Happysad Sunday","spotify:artist:5lDtfHPqWN6MG9tFywnW8J","Kiefer","spotify:album:1rz5xQApr7dLdAEuZeKLnD","Kickinit Alone","2017-03-03","1","8","168000","false","39","spotify:user:1227113","2018-04-14T17:30:37Z","indie jazz,indie soul,neo r&b","0.662","0.367","7","-7.784","1","0.052","0.85","0.857","0.0976","0.302","80.004","4"
"spotify:track:5mUNFqUbA1bY9l1qT9tyHT","Distant Land","spotify:artist:5LhTec3c7dcqBvpLRWbMcf","Madlib","spotify:album:2yJg6KbkrE5SShCFWkmXhG","Shades Of Blue: Madlib Invades Blue Note","2003","1","3","238506","false","0","spotify:user:1227113","2018-04-14T21:46:50Z","alternative hip hop,funk,hip hop,psychedelic hip hop","0.586","0.671","10","-9.787","0","0.0445","0.00333","0.916","0.0521","0.774","91.412","4"
