"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Album Release Date","Disc Number","Track Number","Track Duration (ms)","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature"
"spotify:track:427lMdnnWnfaehLVYPvur7","All-Stars Intro (~_~;)","spotify:artist:2FwJwEswyIUAljqgjNSHgP","Snakehips","spotify:album:0LeXQyrzNvcgAOztFEtOsp","STAY HOME TAPES (= --__-- =)","2018-04-05","1","1","118068","false","26","spotify:user:1227113","2018-04-06T13:59:52Z","dance pop,edm,electro house,electropop,indie poptimism,pop,pop dance,tropical house","0.438","0.391","2","-11.903","0","0.174","0.0645","0.475","0.138","0.155","174.007","4"
"spotify:track:60WlkAlT4GyJ3uPaEy5OWC","Hip Hop","spotify:artist:3CE8Ux0j4kdaWpqCssKnVA, spotify:artist:5XenQ7XfcvQdfIbpLEFaKQ","TEK.LUN, GoldLink","spotify:album:0K7D3DbaIIjQdUYZOIhtmc","Ridin' Round","2014-05-31","1","9","150073","true","0","spotify:user:1227113","2018-04-10T01:00:35Z","future bass,vapor twitch,alternative r&b,dmv rap,hip hop,rap,underground hip hop","0.323","0.95","0","-5.148","1","0.837","0.00722","0","0.378","0.338","172.1","4"
"spotify:track:2VZzdsGCMIo9ZngZVPzgkm","Golden","spotify:artist:0GG2cWaonE4JPrjcCCQ1EG","SG Lewis","spotify:album:2gwNU1WsZEOcCSyKHsXKs5","Dusk","2018-04-06","1","4","132067","false","36","spotify:user:1227113","2018-04-06T12:33:41Z","alternative r&b,indie soul,uk dance,vapor soul","0.756","0.47","6","-7.032","1","0.279","0.648","0.547","0.0904","0.536","92.002","4"
"spotify:track:3al8a3uZrOZIHc6J1n8i5f","Tick Tock","spotify:artist:1uiEZYehlNivdK3iQyAbye","Tom Misch","spotify:album:28enuddLPEA914scE6Drvk","Geography","2018-04-06","1","5","253848","false","52","spotify:user:1227113","2018-04-06T12:07:16Z","indie soul,jazz pop","0.839","0.536","2","-10.304","0","0.0682","0.361","0.922","0.0879","0.124","115.03","4"
"spotify:track:4jIb022gI284OzhbG16Q5L","Déjà Vu (feat. Chaz French)","spotify:artist:2FwJwEswyIUAljqgjNSHgP, spotify:artist:0J0CtYc9Ef2ikCUCdprLQV, spotify:artist:3BYzEWh3pY0DZpMN0hFufv","Snakehips, Knox Brown, Chaz French","spotify:album:0LeXQyrzNvcgAOztFEtOsp","STAY HOME TAPES (= --__-- =)","2018-04-05","1","3","206164","true","33","spotify:user:1227113","2018-04-06T12:38:34Z","dance pop,edm,electro house,electropop,indie poptimism,pop,pop dance,tropical house,neo r&b,dmv rap","0.769","0.831","10","-5.146","0","0.346","0.261","0","0.0925","0.583","108.025","4"
"spotify:track:46c3VY303oO0Woy6LCSeRN","Certified (feat. Shakka)","spotify:artist:7k9T7lZlHjRAM1bb0r9Rm3, spotify:artist:7fqDRFkiuwzFDde1K0taVs","Wiley, Shakka","spotify:album:05zcW4sA061tlXvllPxnJW","Certified (feat. Shakka)","2018-04-06","1","1","192354","false","0","spotify:user:1227113","2018-04-06T13:02:32Z","grime,house,pop dance,tropical house,uk dance,uk dancehall,uk hip hop,pop dance,uk hip hop","0.746","0.716","5","-5.529","0","0.201","0.295","0","0.206","0.662","111.019","4"
"spotify:track:4WLtAzODbIaQINSkiijAyf","A$AP Forever (feat. Moby)","spotify:artist:13ubrt8QOOCPljQ2FL1Kca, spotify:artist:3OsRAKCvk37zwYcnzRf5XF","A$AP Rocky, Moby","spotify:album:2ZeCh6fRTt5L6gLgIyR50K","A$AP Forever (feat. Moby)","2018-04-05","1","1","233091","false","37","spotify:user:1227113","2018-04-06T14:04:51Z","east coast hip hop,hip hop,rap,trap,underground hip hop,downtempo,electronica","0.402","0.77","10","-6.587","0","0.135","0.196","0.0000014","0.127","0.438","93.684","4"
"spotify:track:5d1G2EevctGiuNYrDJPphT","Where Did I Go?","spotify:artist:1CoZyIx7UvdxT5c8UkMzHd","Jorja Smith","spotify:album:5PbS0VcCKh50OKU6tGPJYU","Where Did I Go?","2016-05-23","1","1","190324","false","0","spotify:user:1227113","2018-04-06T17:35:20Z","pop,uk contemporary r&b","0.69","0.642","5","-7.103","1","0.0721","0.484","0.112","0.0977","0.363","97.089","4"
"spotify:track:0P59Bz2E9W3yRREwEFqjjR","Dangereux","spotify:artist:0JeTRYMH7FoBiMcLXg1n8g, spotify:artist:7fqDRFkiuwzFDde1K0taVs, spotify:artist:1f1bsto5CRaRaaGkZvvjOn","Full Crate, Shakka, Boddhi Satva","spotify:album:0MmNFapHjEIF0LpZ5YDBXQ","Dangereux","2018-03-30","1","1","223128","false","10","spotify:user:1227113","2018-04-06T17:41:20Z","alternative r&b,chill r&b,dutch r&b,indie r&b,indie soul,pop dance,uk hip hop,afro house","0.755","0.444","11","-11.739","0","0.062","0.225","0.000039","0.145","0.259","112.902","4"
"spotify:track:0zYkf4pCiGAhEp5Z3iUkml","'Til It's Over","spotify:artist:3jK9MiCrA42lLAdMGUZpwa","Anderson .Paak","spotify:album:7z4UqvGprXWpQ0wo8ldLDA","'Til It's Over","2018-04-06","1","1","202080","false","56","spotify:user:1227113","2018-04-07T00:12:46Z","escape room","0.745","0.647","7","-9.494","0","0.119","0.175","0.000309","0.0529","0.395","144.014","4"
