"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Album Release Date","Disc Number","Track Number","Track Duration (ms)","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature"
"spotify:track:1keIwLlHg0VZhoQQiTb0Xi","Man Down (feat. AlunaGeorge)","spotify:artist:7fqDRFkiuwzFDde1K0taVs, spotify:artist:2VAnyOxzJuSAj7XIuEOT38","Shakka, AlunaGeorge","spotify:album:2JBFORtw9WUnRVpPF1bvIG","Man Down (feat. AlunaGeorge)","2018-02-16","1","1","211211","true","65","spotify:user:1227113","2018-04-15T17:06:13Z","pop dance,uk hip hop,electropop,house,pop,pop dance,tropical house","0.726","0.665","5","-5.611","0","0.0722","0.299","0","0.179","0.807","104.239","4"
"spotify:track:6R2U0YTNVyOAKcfYfKkxUl","Oui Oui","spotify:artist:3ront3zvcdInux0rUVQLF2","Tur-G","spotify:album:5bD7jTvHIQXBIsgwTgi8AG","Oui Oui","2017-11-24","1","1","190618","false","32","spotify:user:1227113","2018-04-18T03:28:28Z","dutch hip hop,dutch rap pop","0.638","0.462","6","-5.784","0","0.236","0.122","0","0.0771","0.587","102.095","4"
"spotify:track:1nSQkkzQvanTiThhG7bHlG","Fine Wine","spotify:artist:5AbLpsnTQVNB3OEadYiVrK, spotify:artist:2o9hRZ3xI27UQpHT61A4Mm","Yxng Bane, Kojo Funds","spotify:album:3WPp714N8Dh0nrvL55dgdF","Fine Wine","2016-08-25","1","1","167026","true","56","spotify:user:1227113","2018-04-17T22:22:26Z","afroswing,uk dancehall,uk hip hop,afroswing,grime,uk dancehall,uk hip hop","0.621","0.57","7","-4.217","0","0.156","0.301","0","0.0873","0.648","92.276","4"
"spotify:track:17uivGWu6kfAvH6UgR7j4x","Faded Love (feat. Future)","spotify:artist:0NIIxcxNHmOoyBx03SfTCD, spotify:artist:1RyvyyTE3xzB2ZywiAwp0i","Tinashe, Future","spotify:album:0u3rjsCgagcSxHoRtXMKQo","Joyride","2018-04-13","1","11","203026","true","54","spotify:user:1227113","2018-04-14T21:12:36Z","alternative r&b,dance pop,electropop,hip pop,metropopolis,pop,pop dance,pop r&b,pop rap,post-teen pop,r&b,urban contemporary,atl hip hop,pop rap,rap,southern hip hop,trap","0.566","0.669","5","-5.772","0","0.325","0.678","0","0.261","0.698","102.582","4"
"spotify:track:61X077SWMs5aAGQHhf4pd0","Bellyache - Marian Hill Remix","spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH, spotify:artist:1xHQO9GJIW9OXHxGBISYc5","Billie Eilish, Marian Hill","spotify:album:2I9wpUTuzMT8aS6iVpM2EQ","Bellyache (Marian Hill Remix)","2017-05-05","1","1","220800","false","68","spotify:user:1227113","2018-04-18T14:36:25Z","electropop,pop,electropop","0.832","0.368","4","-8.627","0","0.133","0.2","0.0513","0.353","0.2","100.045","4"
"spotify:track:4A7IwGhXmUCyrjPRZtOGcW","Overtime (feat. Sebastian Reynoso & KYLE)","spotify:artist:7CCjtD0hCK005Bvg2WG1a7, spotify:artist:4qBgvVog0wzW75IQ48mU7v, spotify:artist:4TYYLNG592TpKs4mfyQCFX","Carnage, KYLE, Sebastian Reynoso","spotify:album:6iIXoBvFi0LhRs0ErXp8Tr","Battered Bruised & Bloody","2018-04-13","1","11","187063","true","46","spotify:user:1227113","2018-04-24T22:44:23Z","edm,electro house,electronic trap,pop rap,trap,underground hip hop,pop rap,rap,social media pop","0.687","0.361","0","-9.541","1","0.255","0.671","0","0.13","0.293","136.039","4"
"spotify:track:6Hgh47WXVKtXN5zGOu0hjI","OTW","spotify:artist:6LuN9FCkKOj5PcnpouEgny, spotify:artist:4IVAbR2w4JJNJDDRFP3E83, spotify:artist:7c0XG5cIJTrrAgEC3ULPiq","Khalid, 6LACK, Ty Dolla $ign","spotify:album:0c4JocKlxYfBjZep8TJkcI","OTW","2018-04-20","1","1","263013","true","77","spotify:user:1227113","2018-04-24T22:39:07Z","alternative r&b,pop,alternative r&b,atl hip hop,hip hop,melodic rap,pop rap,rap,trap,pop,pop rap,r&b,southern hip hop,trap,trap soul","0.652","0.678","2","-6.183","1","0.0541","0.183","0.0000326","0.106","0.28","72.989","4"
"spotify:track:4vSEf1cgyGx0HMV9CPS4RE","Before I Die","spotify:artist:45AMD9qU0ERQY5RvR7deHR","Che Ecru","spotify:album:4jBnX51w2CfeoV3BPcSBj0","Before I Die","2018-04-04","1","1","240000","true","58","spotify:user:1227113","2018-04-14T21:12:36Z","alternative r&b,canadian hip hop,chill r&b,indie r&b,pop r&b,trap soul","0.863","0.384","1","-12.63","0","0.456","0.0247","0.0000697","0.0893","0.448","161.977","4"
"spotify:track:1QtY6jcmujC4tV1CHPGwe8","Crazy","spotify:artist:21eeOqX01yzH3M9nSyYJ1S","The Code","spotify:album:2yA11LyWgZMoiLA9yn4eCt","Crazy","2016-11-19","1","1","292131","false","25","spotify:user:1227113","2018-04-17T01:30:40Z","trap soul","0.541","0.398","9","-9.765","1","0.216","0.644","0.0000593","0.0856","0.0782","121.729","4"
"spotify:track:73Qx1L56VRLYyKqfSi3xLE","Pinball II (feat .Correy C)","spotify:artist:70gP6Ry4Uo0Yx6uzPIdaiJ, spotify:artist:4DQhY1frmXKYW7aTmMt669","Bas, Correy C","spotify:album:4qcBL5pE5hQPzcx0IoO9Y2","Pinball II (feat. Correy C)","2018-04-10","1","1","179137","true","49","spotify:user:1227113","2018-04-14T21:12:36Z","hip hop,pop rap,queens hip hop,rap,sudanese pop,underground hip hop","0.819","0.642","11","-9.309","0","0.311","0.108","0","0.0686","0.247","139.97","4"
"spotify:track:4sEnZad9gvLSLkyt8DW11O","QUEER","spotify:artist:1Bl6wpkWCQ4KVgnASpvzzA","BROCKHAMPTON","spotify:album:0XnqQzdSFAml08XZoRt1St","SATURATION II","2017-08-25","1","2","227648","true","57","spotify:user:1227113","2018-04-15T01:38:29Z","boy band,hip hop,rap","0.773","0.625","1","-7.029","0","0.176","0.149","0","0.0619","0.676","82.004","4"
"spotify:track:0TZLe9bk53zQpuq9cFK4YQ","No Small Talk","spotify:artist:4c2ighP1wj8E5dVGJDCOiB","Kari Faux","spotify:album:768HEXhXFM0O8cP2ObI3RA","Insecure: Music from the HBO Original Series","2016-12-16","1","1","181680","false","44","spotify:user:1227113","2018-04-22T21:47:29Z","alternative r&b,arkansas hip hop,escape room,indie r&b,indie soul,multidisciplinary,trap queen","0.874","0.594","1","-7.561","1","0.21","0.000498","0","0.161","0.583","140.101","4"
"spotify:track:2tPcTFiQF9MbVUyjZ3zDhA","Paramedic!","spotify:artist:2TImI3DW7o5MdRXJs4D37h","SOB X RBE","spotify:album:3pLdWdkj83EYfDN6H2N8MR","Black Panther The Album Music From And Inspired By","2018-02-09","1","7","219306","true","67","spotify:user:1227113","2018-04-24T22:58:56Z","cali rap,trap,vapor trap","0.856","0.652","1","-5.324","1","0.143","0.177","0","0.193","0.471","97.017","4"
"spotify:track:6KTnmY0X7ZO2jyCWFzzLF7","Spazz","spotify:artist:7gWumE1wMALHXANLSIt054","Dreezy","spotify:album:5D8kaq2gEsI1zaha675eIy","No Hard Feelings","2016-07-22","1","4","206040","true","33","spotify:user:1227113","2018-04-24T22:55:10Z","chicago rap,drill,hip pop,pop r&b,trap queen","0.823","0.446","9","-8.178","1","0.288","0.0239","0.000111","0.101","0.0924","141.995","4"
"spotify:track:1hNS3ZPfD6S5CzBhExcI7N","Miami","spotify:artist:4hRL2QmahOYxXNmNKtG1AI","Valee","spotify:album:1LSEZUFYQ3Km2xd7kc5Ly7","Miami","2017-12-15","1","1","125306","true","22","spotify:user:1227113","2018-04-24T22:58:13Z","chicago rap,underground hip hop,vapor trap","0.934","0.479","9","-8.281","1","0.456","0.00293","0","0.0996","0.108","140.021","4"
"spotify:track:5uzwSw0VQBDzZn8xlukV4E","Moncler Bubble","spotify:artist:1dbTwUlL11ZYdC1YAR07AM, spotify:artist:69eIrU4oA3mEHensYx0PWL","Foggieraw, DJ Yung Vamp","spotify:album:4MtQYnfG4VuDCexEW7u2Nk","Moncler Bubble","2018-02-18","1","1","158458","true","24","spotify:user:1227113","2018-04-24T23:03:22Z","christian trap,phonk","0.826","0.575","10","-7.54","0","0.229","0.102","0.0000442","0.195","0.48","100.03","4"
"spotify:track:6wKU9bs8oGtiY0kbBHCa2q","Stuntin'","spotify:artist:69eIrU4oA3mEHensYx0PWL","DJ Yung Vamp","spotify:album:7elw8BlCVBaqAktjKUENZU","I Need More Blood","2017-11-27","1","1","165918","true","35","spotify:user:1227113","2018-04-15T00:15:20Z","phonk","0.843","0.286","0","-6.859","0","0.0816","0.0217","0.443","0.122","0.347","121.461","4"
"spotify:track:2B6OZYkF04LWRLzkvYKYPD","Shade","spotify:artist:7za6M9P94wuMsOVCHopTsI","IAMDDB","spotify:album:2b4BV3lGSkJNeJMxOmipbO","Shade","2017-08-25","1","1","175097","true","37","spotify:user:1227113","2018-04-22T13:35:53Z","uk contemporary r&b","0.799","0.679","0","-3.476","0","0.0364","0.386","0","0.111","0.408","122.011","4"
