"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Album Release Date","Disc Number","Track Number","Track Duration (ms)","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature"
"spotify:track:0YclWqGe9XpQBx3gwAyyJJ","Ballin","spotify:artist:3jDtqAKltRxJi64svLZGj7","Bibi Bourelly","spotify:album:5QT2WIYOht8nmAspk57Je7","Ballin","2016-09-29","1","1","219333","true","44","spotify:user:1227113","2018-04-05T14:12:27Z","alternative r&b","0.763","0.57","1","-4.268","1","0.248","0.108","0.00000108","0.0965","0.519","78.059","4"
"spotify:track:6R6MqHPzYvEpLxMMvTU8Fo","For the F^_^k Of It","spotify:artist:2FwJwEswyIUAljqgjNSHgP, spotify:artist:3KV3p5EY4AvKxOlhGHORLg, spotify:artist:3Gm5F95VdRxW3mqCn8RPBJ","Snakehips, Jeremih, Aminé","spotify:album:4LdxdhJcRzgCAOsEQl4WKJ","For the F^_^k Of It","2018-03-29","1","1","190594","true","0","spotify:user:1227113","2018-04-05T14:17:06Z","dance pop,edm,electro house,electropop,indie poptimism,pop,pop dance,tropical house,chicago rap,dance pop,hip hop,pop,pop rap,r&b,southern hip hop,trap,urban contemporary,hip hop,pop rap,portland hip hop,rap,underground hip hop","0.826","0.634","0","-4","1","0.122","0.402","0","0.293","0.778","147.996","4"
"spotify:track:7wvYmO5QscgIDDT0eNwbYX","Lost In Japan","spotify:artist:7n2wHs1TKAczGzO7Dd2rGr","Shawn Mendes","spotify:album:5fO4XvsuL6yeWquLaWXZOK","Lost In Japan","2018-03-23","1","1","200133","false","0","spotify:user:1227113","2018-04-05T14:25:55Z","canadian pop,dance pop,pop,post-teen pop,viral pop","0.726","0.708","7","-6.908","0","0.356","0.303","0","0.348","0.417","105.084","4"
"spotify:track:63Ly2sEzloc9s0yAXlMi6r","Warm Water - Snakehips Remix","spotify:artist:2xe8IXgCTpwHE3eA9hTs4n, spotify:artist:2FwJwEswyIUAljqgjNSHgP","BANKS, Snakehips","spotify:album:41xJklJV7uqDzg9teggeR6","Warm Water (Snakehips Remix)","2013-08-13","1","1","253584","false","58","spotify:user:1227113","2018-04-05T14:26:04Z","alternative r&b,art pop,dance pop,electropop,indie poptimism,pop,vapor soul,dance pop,edm,electro house,electropop,indie poptimism,pop,pop dance,tropical house","0.511","0.678","4","-6.858","0","0.869","0.241","0","0.0948","0.405","212.137","4"
"spotify:track:6lxcWIvMQK3yezxwFfZcKZ","Lost in Paris","spotify:artist:1uiEZYehlNivdK3iQyAbye, spotify:artist:5XenQ7XfcvQdfIbpLEFaKQ","Tom Misch, GoldLink","spotify:album:3OGqx2jmVKVkKOIOxGjOQC","Lost in Paris","2018-04-03","1","1","194023","false","51","spotify:user:1227113","2018-04-05T14:08:31Z","indie soul,jazz pop,alternative r&b,dmv rap,hip hop,rap,underground hip hop","0.788","0.711","1","-7.811","0","0.0597","0.364","0.0000207","0.0838","0.802","104.149","4"
"spotify:track:5Bv2jfkrIsXmWybnCO4YP4","AiCarumba","spotify:artist:4M4H0qldbkrJemwMqanT4a","Telana","spotify:album:6v5pwK8VGJ89xBrGJVB4Fj","Aerbourne","2016-11-18","1","2","162125","true","30","spotify:user:1227113","2018-04-05T14:08:51Z","","0.688","0.387","11","-11.645","0","0.0297","0.0394","0.0000296","0.121","0.681","136.014","4"
"spotify:track:6emzoqPK7R90w6R92u3XfJ","Penthouse (feat. Sik-K) [with APRO]","spotify:artist:2u7CP5T30c8ctenzXgEV1W, spotify:artist:5DIi2JWfQPTKffaVBlIYRn","pH-1, Sik-K","spotify:album:3oc0tOh9XqNQtWGwDmcZfk","GATSBY","2018-02-04","1","1","230237","false","35","spotify:user:1227113","2018-04-05T14:20:44Z","chill r&b,k-pop,k-rap,korean r&b,k-pop,k-rap,korean r&b","0.744","0.782","5","-5.814","0","0.242","0.559","0","0.144","0.911","138.009","4"
"spotify:track:6HiPq7gXNPFdfgaE6W4NRj","90 BPM","spotify:artist:5dtbsNKCK6Q9yZzdhZpaqW","Sean Leon","spotify:album:7mJj6lo16JsGTeF8ACzlni","90 BPM","2018-02-16","1","1","149330","false","0","spotify:user:1227113","2018-04-05T14:08:53Z","canadian hip hop,toronto rap,trap soul,underground hip hop","0.785","0.432","8","-13.632","0","0.088","0.055","0.361","0.105","0.712","90.01","4"
"spotify:track:5DFvbYOmqUcUaRmgCeIhYl","Dante's Creek - deantrbl Remix","spotify:artist:0pghUohLPptZWBasy2wmUx, spotify:artist:3eCd0TZrBPm2n9cDG6yWfF","THEY., DEAN","spotify:album:5bhucVfdCqKaIQSpbiayKY","Dante's Creek (deantrbl Remix)","2018-03-30","1","1","210448","false","41","spotify:user:1227113","2018-04-05T14:24:48Z","alternative r&b,pop r&b,pop rap,trap soul,underground hip hop,k-pop,korean r&b","0.586","0.614","8","-6.718","0","0.0413","0.00343","0","0.186","0.394","157.995","4"
"spotify:track:3tZs3nVjySLbL320lP4mvs","Focus","spotify:artist:3Y7RZ31TRPVadSFVy1o8os","H.E.R.","spotify:album:0pV0Mx07aMApIpF19oSQgY","H.E.R.","2017-10-20","1","7","200133","false","69","spotify:user:1227113","2018-04-05T14:34:01Z","alternative r&b,dance pop,pop,pop rap,r&b,urban contemporary","0.415","0.313","1","-12.945","0","0.0561","0.255","0.000014","0.117","0.0875","84.953","4"
"spotify:track:3gL9y6dT7xKRPL91gKGM9Y","Teenage Fantasy - Recorded at Metropolis Studios, London","spotify:artist:1CoZyIx7UvdxT5c8UkMzHd","Jorja Smith","spotify:album:7jrYTY6bfhAVzmHfNiQ9ko","Spotify Singles","2017-12-13","1","1","263770","false","0","spotify:user:1227113","2018-04-05T14:35:37Z","pop,uk contemporary r&b","0.521","0.295","4","-8.803","0","0.0841","0.769","0","0.124","0.503","165.311","4"
"spotify:track:1jQfgl9WRle7D8a3GXLwaD","Transform (feat. Charlotte Day Wilson)","spotify:artist:20wkVLutqVOYrc0kxFs7rA, spotify:artist:3GQboECxDT1xqPPWC30p7v","Daniel Caesar, Charlotte Day Wilson","spotify:album:3xybjP7r2VsWzwvDQipdM0","Freudian","2017-08-25","1","9","280586","false","59","spotify:user:1227113","2018-04-05T14:29:39Z","canadian contemporary r&b,pop,alternative r&b,canadian contemporary r&b,indie r&b,indie soul,neo soul,soul","0.498","0.292","5","-10.656","1","0.031","0.511","0.000019","0.256","0.348","68.963","4"
"spotify:track:2fadrikKAPlypHJWhvv8CM","Baldwin Park","spotify:artist:2ICR2m4hOBPhaYiZB3rnLW","Sonder","spotify:album:6N5Gc4oQGNp05JXfZi8E5H","Into","2017-01-27","1","5","95108","false","47","spotify:user:1227113","2018-04-05T14:31:02Z","alternative r&b,trap soul","0.724","0.297","5","-11.687","0","0.0508","0.612","0.797","0.191","0.388","125.003","3"
"spotify:track:5AdhyCxxguV1wXde1vqgWC","BROKEN GIRLS","spotify:artist:7Hjbimq43OgxaBRpFXic4x","Saba","spotify:album:6Te111t5gDZ7W94myHRqUt","CARE FOR ME","2018-04-05","1","2","277333","true","54","spotify:user:1227113","2018-04-05T13:35:31Z","alternative r&b,chicago rap,hip hop,rap,underground hip hop","0.663","0.572","10","-10.593","0","0.102","0.322","0","0.171","0.494","117.051","4"
"spotify:track:3DdBQIpZ8gx7Zph2uUyKry","Something New","spotify:artist:3QTDHixorJelOLxoxcjqGx, spotify:artist:0zanHkxN0P38oWegA8iSQA","SiR, Etta Bond","spotify:album:5zdFKRmlSDwAMZ5NFVGbx9","November","2018-01-19","1","5","229218","false","48","spotify:user:1227113","2018-04-05T14:33:40Z","alternative r&b,hip hop,indie soul,la pop,rap,underground hip hop,alternative r&b,chill r&b,indie r&b,indie soul,uk contemporary r&b","0.572","0.642","3","-7.827","1","0.174","0.108","0.0114","0.468","0.377","74.767","4"
"spotify:track:0Q8A7MPsoFg72xcVFBsS8Q","LOGOUT","spotify:artist:7Hjbimq43OgxaBRpFXic4x, spotify:artist:1anyVhU62p31KFi8MEzkbf","Saba, Chance the Rapper","spotify:album:6Te111t5gDZ7W94myHRqUt","CARE FOR ME","2018-04-05","1","7","150108","true","52","spotify:user:1227113","2018-04-05T13:52:15Z","alternative r&b,chicago rap,hip hop,rap,underground hip hop,chicago rap,conscious hip hop,hip hop,pop rap,rap","0.787","0.382","1","-9.983","1","0.45","0.0102","0","0.092","0.392","86.779","4"
