"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Album Release Date","Disc Number","Track Number","Track Duration (ms)","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature"
"spotify:track:5z0u74IwEWVfWsf6PM1aCY","In The Morning","spotify:artist:2TLYSzGyVYkxAgYSCqUnQj","Jay Prince","spotify:album:2HY7I2EGsIlI2tkFeAqiRZ","In The Morning / Motion","2018-03-21","1","1","212869","true","0","spotify:user:1227113","2018-04-12T19:10:26Z","alternative r&b,indie r&b,indie soul,trap soul,uk alternative hip hop,underground hip hop","0.791","0.916","4","-4.364","0","0.0676","0.0316","0.00000632","0.0318","0.537","100.003","4"
"spotify:track:14XPYmN4WhlXL8aXPgY39c","Long Distance","spotify:artist:1521R3ksLyQyFeqdtaSZUZ","Hoodboi","spotify:album:6EtggoJoBLIF0t3ZDGlTWY","Long Distance","2018-04-10","1","1","244210","false","0","spotify:user:1227113","2018-04-12T19:45:20Z","vapor twitch","0.864","0.553","4","-8.236","0","0.435","0.241","0.00000585","0.295","0.523","113.961","4"
"spotify:track:7wKzj1b8YKPuZELfVDz708","Problems","spotify:artist:6gK1Uct5FEdaUWRWpU4Cl2, spotify:artist:1aSwrSGBNGMLn9ymttfRkk","Petit Biscuit, Lido","spotify:album:6se6q5nk4VCVbWWnZcguCc","Presence","2017-11-10","1","2","219933","false","62","spotify:user:1227113","2018-04-11T03:23:27Z","new french touch,tropical house,future bass,norwegian pop,vapor twitch","0.802","0.371","6","-9.087","0","0.131","0.571","0.00000382","0.108","0.263","113.951","4"
"spotify:track:4HT3n4LTQIMfqPUPGRP3LF","Crazy (Brasstracks Remix)","spotify:artist:1aSwrSGBNGMLn9ymttfRkk, spotify:artist:5sKvgmG84C0bIMWeS2SRPr","Lido, Brasstracks","spotify:album:37m77OCI9Ox3RdcKdGpPHd","Everything Remixed","2017-03-03","1","4","257885","false","11","spotify:user:1227113","2018-04-11T03:23:20Z","future bass,norwegian pop,vapor twitch,alternative r&b,indie r&b,indie soul,nyc pop","0.353","0.646","4","-5.095","0","0.0725","0.00967","0.12","0.104","0.236","80.266","4"
"spotify:track:5kW8ecBahrPflc3g7Y2c5h","Reason","spotify:artist:6S2usZ6LVmHiyR0gASHALT","Neguim.","spotify:album:50guZe8xAm2DmVI2sysFw5","New Times","2016-12-09","1","11","208244","false","0","spotify:user:1227113","2018-04-10T15:19:53Z","","0.838","0.413","1","-8.998","1","0.245","0.173","0.079","0.182","0.398","119.998","4"
"spotify:track:33aMIf2dRy8Fs95Q3W8IAl","Khlorine (feat. Smino)","spotify:artist:7e3FtKBIPLrIVm8g1FJMVg, spotify:artist:1ybINI1qPiFbwDXamRtwxD","Sango, Smino","spotify:album:2SyLO1gxG1ORukLpAC1D2b","Khlorine","2018-03-08","1","1","230701","false","5","spotify:user:1227113","2018-04-12T14:04:55Z","abstract beats,alternative r&b,escape room,indie r&b,indie soul,vapor twitch,alternative r&b,hip hop,rap,underground hip hop","0.818","0.472","0","-9.578","1","0.293","0.179","0.0000146","0.0941","0.472","153.085","4"
"spotify:track:0LG48da7mpMJtwaNMFroMx","Let Em Know","spotify:artist:7lXgbtBDcCRbfc5f8FhGUL","Hoody","spotify:album:7gScIddauU82idCWnd3ALK","Let Em Know","2015-09-21","1","1","214272","false","0","spotify:user:1227113","2018-04-12T18:23:33Z","k-indie,k-pop,k-rap,korean pop,korean r&b","0.189","0.607","9","-7.237","0","0.0743","0.388","0.0000215","0.0942","0.0684","79.047","4"
"spotify:track:3Loc6dfakm8T0bxO1wIrMq","Body","spotify:artist:6tUJpYN2aYiXbzAcg0pIOo","Sinead Harnett","spotify:album:6daAXMfgTkaHG21IkU6aE8","Body","2018-04-06","1","1","229159","false","47","spotify:user:1227113","2018-04-12T16:44:47Z","alternative r&b,chill r&b,gauze pop,indie r&b,indie soul,r&b,uk contemporary r&b","0.541","0.528","3","-7.1","1","0.046","0.342","0.00663","0.159","0.23","109.919","4"
"spotify:track:3y4YUioQQVCZriM2RjZIik","Mixed Messages","spotify:artist:0CKa42Jqrc9fSFbDjePaXP","Big K.R.I.T.","spotify:album:6vGEX2ejVVsHTIsqI1teZg","4eva Is A Mighty Long Time","2017-10-27","2","2","266977","true","50","spotify:user:1227113","2018-04-10T13:30:07Z","alternative hip hop,conscious hip hop,dirty south rap,gangster rap,hip hop,mississippi hip hop,pop rap,rap,southern hip hop,trap,underground hip hop","0.72","0.691","1","-6.266","1","0.0328","0.0486","0.0000216","0.174","0.34","115.966","4"
"spotify:track:2AD0ecfuYfxYT6tbQ6Pz7Z","Hello","spotify:artist:3lLHpTOJ11tWiUNGYN14gt","Rejjie Snow","spotify:album:4cZXuI6i7lHkWrAnHRr1Hk","Dear Annie","2018-02-16","1","1","130759","true","0","spotify:user:1227113","2018-04-12T18:15:44Z","hip hop,indie soul,irish hip hop,rap","0.811","0.734","3","-7.737","0","0.063","0.0351","0.445","0.0661","0.815","129.997","4"
"spotify:track:3Ww5yKrZoYAbLs3P4rSZMi","Unwind","spotify:artist:2Yhge9MsE7qKcV0eWsuuHM","Healy","spotify:album:3U2omtdhP8u72J2afr5UQG","Subluxe","2017-06-09","1","12","234997","false","0","spotify:user:1227113","2018-04-12T18:50:20Z","alternative r&b,underground hip hop","0.813","0.35","6","-7.566","0","0.0424","0.305","0.0308","0.0951","0.405","123.979","4"
"spotify:track:19UZxlMzaW1c1yT47j7nxg","Effortless","spotify:artist:67nwj3Y5sZQLl72VNUHEYE","Wale","spotify:album:73Nno1P5AhlkdmkieYeSiR","It's Complicated - EP","2018-03-13","1","3","220369","true","41","spotify:user:1227113","2018-04-12T19:10:44Z","dance pop,gangster rap,hip hop,pop,pop rap,r&b,rap,southern hip hop,trap,urban contemporary","0.722","0.512","11","-5.104","1","0.25","0.0281","0","0.384","0.382","90.002","4"
"spotify:track:64GVW8hXaMTe7sMokBSKNc","Understand It (Pon da Phone) [feat. Kelvin Wooten]","spotify:artist:1RhQ4EIgZsMwOi8ioA7Rbi, spotify:artist:40zNVI046o2WME1SsGI9ih","Kendra Foster, Kelvin Wooten","spotify:album:2qe8nfJUUexAWV4BNR7a2Q","Kendra Foster","2016-06-28","1","3","258089","false","29","spotify:user:1227113","2018-04-10T15:31:14Z","p funk","0.611","0.537","6","-7.187","1","0.0329","0.206","0.00531","0.109","0.233","80.001","4"
"spotify:track:6kfhoMPFKFtc6Ge2hzyxOD","Papercut","spotify:artist:0bfrSmQCGtBLJMYUNCODry, spotify:artist:0bBrsS9ufPAmeFQgDNG54O","Eli Way, cehryl","spotify:album:4mkMOGZltmBa9RtdKJMOzP","Papercut","2018-04-10","1","1","199120","false","24","spotify:user:1227113","2018-04-11T03:42:57Z","chillhop,bedroom soul","0.655","0.647","6","-6.742","0","0.204","0.193","0","0.886","0.349","90.916","4"
"spotify:track:5MjAFPcmrR1DYCgZrXCN4d","Turnin' Me Up","spotify:artist:07d5etnpjriczFBB8pxmRe","BJ The Chicago Kid","spotify:album:15iSR05cslUeYgf2kuWDhu","In My Mind","2016-02-19","1","15","269173","false","66","spotify:user:1227113","2018-04-12T13:34:55Z","alternative r&b,chicago rap,hip hop,indie soul,neo soul,rap,underground hip hop","0.734","0.776","2","-4.193","1","0.0826","0.0406","0.193","0.0547","0.843","78.542","4"
"spotify:track:4g2HL6aQkiO4PxM10UQr3G","TenderHeaded","spotify:artist:4jqFe1fd5uul2XSSxsRvbZ, spotify:artist:1ybINI1qPiFbwDXamRtwxD","Cam O'bi, Smino","spotify:album:4fiILYX9ZPdZ99pQrHdLK9","TenderHeaded","2018-01-22","1","1","245985","true","47","spotify:user:1227113","2018-04-13T02:12:02Z","alternative r&b,hip hop,rap,underground hip hop","0.54","0.348","2","-7.481","1","0.479","0.294","0","0.0728","0.553","205.769","5"
