"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Album Release Date","Disc Number","Track Number","Track Duration (ms)","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature"
"spotify:track:4WqMjdQbl4zDB6GL4tTtAj","Elsewhere","spotify:artist:3EAYlxIkTHeMTd2KW6xNMa","Gingerlys","spotify:album:1CPKVZZ5K19NMuzc5c23PD","Gingerlys","2017-11-17","1","4","111746","false","0","spotify:user:1227113","2018-04-02T15:13:54Z","brooklyn indie","0.194","0.738","10","-6.059","1","0.0401","0.28","0","0.316","0.673","83.453","1"
"spotify:track:0vm79Gwh2cDnlNHIkAoSuG","Belong to You (feat. 6LACK)","spotify:artist:30DhU7BDmF4PH0JVhu8ZRg, spotify:artist:4IVAbR2w4JJNJDDRFP3E83","Sabrina Claudio, 6LACK","spotify:album:600IN6kN8g8YODugNh9k25","Belong to You (feat. 6LACK) [Remix]","2017-10-04","1","1","185617","false","35","spotify:user:1227113","2018-04-02T15:06:32Z","alternative r&b,pop,alternative r&b,atl hip hop,hip hop,melodic rap,pop rap,rap,trap","0.605","0.553","10","-10.845","0","0.101","0.274","0.0152","0.184","0.62","152.076","4"
"spotify:track:6UZtnbZnmyYnDpfJAf6oqq","Wild (Remix)","spotify:artist:5fFB1hBz2L4anAGavq3NxW, spotify:artist:3UjPnt2nRmw10N58bBeNOg","Chris LaRocca, Xavier Omär","spotify:album:0p53qsCusEQhnGT7YpMf0n","Pink Lightning - EP","2017-11-17","1","5","259114","false","34","spotify:user:1227113","2018-04-23T13:59:42Z","canadian contemporary r&b,alternative r&b,chill r&b,indie r&b,indie soul,pop r&b,trap soul","0.502","0.531","1","-7.585","1","0.0406","0.64","0.000345","0.101","0.209","80.46","4"
"spotify:track:0owMmMqkYKJ4g6UcaH5Pho","Morning Light","spotify:artist:5cj0lLjcoR7YOSnhnX0Po5","Doja Cat","spotify:album:54tInqO543zy0Y5F2VsUQI","Amala","2018-03-30","1","7","239493","true","42","spotify:user:1227113","2018-04-08T01:53:41Z","dance pop,pop","0.593","0.505","0","-8.169","1","0.0257","0.0329","0.00196","0.194","0.139","139.941","4"
"spotify:track:33qBaODSBmOGLb2mfRYPQc","Cornerstore (feat. Saba & the Mind)","spotify:artist:1ewyVtTZBqFYWIcepopRhp, spotify:artist:7Hjbimq43OgxaBRpFXic4x, spotify:artist:10V21ykJFLM14zMmdNawQG","Joey Purp, Saba, The Mind","spotify:album:6McWou8VeXcVNGQVOiqhZd","iiiDrops","2017-05-12","1","6","259761","true","38","spotify:user:1227113","2018-04-02T15:01:44Z","chicago rap,indie hip hop,underground hip hop,alternative r&b,chicago rap,hip hop,rap,underground hip hop","0.507","0.866","11","-4.867","1","0.356","0.566","0","0.322","0.675","83.901","4"
"spotify:track:1aaFbuAoO1RYalGURvLSFQ","Grind","spotify:artist:6Zwjk4ZTP1fJdkOrwE2tKV","QNA","spotify:album:4fQxjza79sVnHBIZWLnW4D","XII","2018-02-23","1","6","361768","true","9","spotify:user:1227113","2018-04-02T15:01:21Z","","0.598","0.645","1","-10.898","1","0.0974","0.643","0.000441","0.118","0.272","140.262","4"
"spotify:track:58kmtIUjA2VI4tJQQLxxAB","Poppin' Wheelies","spotify:artist:5oSCIcpPdrO3UhTMATxkYL, spotify:artist:1Yi0bXcg8GmWccv2pJ1pow","Ciscero, Sugg Savage","spotify:album:3yRpcAJk3hnmF4jBSCOT8P","Poppin' Wheelies","2017-06-06","1","1","177946","true","29","spotify:user:1227113","2018-04-02T14:59:33Z","dmv rap","0.717","0.514","11","-7.545","0","0.43","0.266","0","0.486","0.583","88.117","4"
"spotify:track:2MHGSsLRJgtFO3FUMHYZIQ","MPH","spotify:artist:53htGvuREf9YT5LYk5HEvb","MIKNNA","spotify:album:3i9S4nRCA7ny0cmrJcmILV","MPH","2017-09-01","1","1","213000","false","12","spotify:user:1227113","2018-04-02T14:32:03Z","trap soul","0.796","0.566","9","-6.169","0","0.0864","0.00662","0.00202","0.328","0.903","119.997","4"
"spotify:track:3LQzTrhtErNPJK6m8kRp3L","Be Your Lady","spotify:artist:47e5ouk0xXSflqOEUuuEP7","K\, Le Maestro","spotify:album:502AuY2J06Xe9KXgWeW4yI","Be Your Lady","2017-11-14","1","1","174240","false","32","spotify:user:1227113","2018-03-26T13:10:53Z","london rap","0.31","0.568","1","-12","1","0.365","0.544","0","0.119","0.672","88.94","4"
"spotify:track:0P59Bz2E9W3yRREwEFqjjR","Dangereux","spotify:artist:0JeTRYMH7FoBiMcLXg1n8g, spotify:artist:7fqDRFkiuwzFDde1K0taVs, spotify:artist:1f1bsto5CRaRaaGkZvvjOn","Full Crate, Shakka, Boddhi Satva","spotify:album:0MmNFapHjEIF0LpZ5YDBXQ","Dangereux","2018-03-30","1","1","223128","false","10","spotify:user:1227113","2018-03-31T17:18:57Z","alternative r&b,chill r&b,dutch r&b,indie r&b,indie soul,pop dance,uk hip hop,afro house","0.755","0.444","11","-11.739","0","0.062","0.225","0.000039","0.145","0.259","112.902","4"
"spotify:track:0YbvIJflQ23oL89j1Jjm0e","S3OUL","spotify:artist:4jGPdu95icCKVF31CcFKbS, spotify:artist:41DKMtAnhVo7aDeluAHDJg","Gentle Bones, MYRNE","spotify:album:7MXdmBbTuRe0ooiCp8EnTm","B4NGER PROJECT","2018-03-30","1","3","170089","false","28","spotify:user:1227113","2018-03-31T18:15:09Z","chill r&b,indie cafe pop,singaporean pop,bass trap,edm,electro house,future bass,gaming edm,pop edm,singaporean electronic,singaporean pop,vapor twitch","0.645","0.502","1","-9.286","1","0.0886","0.559","0.0000245","0.0826","0.368","112.105","4"
"spotify:track:5xHvxOGmmVWSo5CL27zFml","Loved Ones (Saudades)","spotify:artist:1f1CocvNRSmgLgtqMsA0AR","Armando Young","spotify:album:4jM2quBG7ee8fLZrhRWqUC","Loved Ones (Saudades)","2017-07-17","1","1","307692","false","49","spotify:user:1227113","2018-04-02T15:01:11Z","","0.752","0.564","1","-14.974","1","0.0617","0.701","0.782","0.347","0.523","116.969","4"
"spotify:track:6VzKiNaoZQEw3xzs0iznJL","Life","spotify:artist:6PvScqSJuICxvoA3UDYPmu","JON VINYL","spotify:album:1JjAfN27dXej7D5PGWdzxj","Life","2017-11-28","1","1","240000","false","0","spotify:user:1227113","2018-03-28T13:38:27Z","alternative r&b,canadian contemporary r&b,chill r&b,indie r&b","0.383","0.44","7","-8.182","0","0.0387","0.853","0.000024","0.0985","0.383","130.687","3"
"spotify:track:1pJ8WX94ynlXDV9tI2rdH8","Mateo 2.19 (feat. Romaro Franceswa & Dave B)","spotify:artist:7e3FtKBIPLrIVm8g1FJMVg, spotify:artist:3CFrxft3aTjP9Cl3N9blCY, spotify:artist:5bfqwcEcRrMhtY9smw3IeJ","Sango, Romaro Franceswa, Dave B.","spotify:album:1MPNdWy8DhAjVTPiDQok0H","In The Comfort Of","2018-03-16","1","3","209424","false","2","spotify:user:1227113","2018-03-28T15:57:03Z","abstract beats,alternative r&b,escape room,indie r&b,indie soul,vapor twitch,seattle hip hop,alternative r&b,seattle hip hop,underground hip hop","0.659","0.573","5","-11.048","0","0.287","0.275","0","0.123","0.164","91.086","4"
"spotify:track:6OyDjQiFgIX4JnnfQ9zYf8","Troop (feat. Smino)","spotify:artist:4T8NIfZmVY6TJFqVzN6X49, spotify:artist:1ybINI1qPiFbwDXamRtwxD","tobi lou, Smino","spotify:album:4T8EmCxfhSiZ3SIe6xdK9Q","Troop (feat. Smino)","2018-03-05","1","1","266181","true","53","spotify:user:1227113","2018-04-02T15:06:18Z","alternative r&b,chicago rap,indie hip hop,pop rap,alternative r&b,hip hop,rap,underground hip hop","0.881","0.357","9","-9.657","1","0.0765","0.507","0","0.114","0.55","109.973","4"
"spotify:track:7sEja2p7Vy70J0KaN2Jb4Y","Gust","spotify:artist:3VZj4YxaCNGpQGm95P1lVq","Coubo","spotify:album:3oMEY5RGDdVrdrjNKCLSn5","Savour","2016-11-24","1","4","240028","false","21","spotify:user:1227113","2018-03-26T02:36:48Z","future bass,phonk,vapor twitch","0.616","0.304","7","-6.522","0","0.108","0.62","0.611","0.0673","0.04","97.39","3"
"spotify:track:0KFiPizRaF8G3NISFgUk0C","Conscious","spotify:artist:59KX7XUUgAOOo5IyDjca0T","Verzache","spotify:album:5FA7PCgMM3FDy9W9ClvMDX","Conscious","2017-05-01","1","1","188250","false","37","spotify:user:1227113","2018-03-22T18:49:26Z","lo-fi beats","0.681","0.619","9","-13.209","1","0.531","0.49","0.818","0.155","0.0341","80.167","4"
"spotify:track:3zeUsBriXyndNol039cCFE","Essex","spotify:artist:3GZowazH5ZdOUanJadDd4s","Su Na","spotify:album:6SzWkXNgnjUNd4KKWNr3An","Surface","2016-06-03","1","6","129675","false","34","spotify:user:1227113","2018-04-05T12:50:04Z","","0.819","0.321","1","-15.578","1","0.12","0.466","0.855","0.102","0.111","128.046","4"
"spotify:track:0BTmAzYWUVizR3bw5IIgKR","Lift","spotify:artist:0YNQuoFHti0UjsFm94aaXL, spotify:artist:746nA9NSKsqBDRk343UtkE","DECAP, chromonicci","spotify:album:0idqEUU1OUTTx28l8VgtCL","Lift","2018-02-16","1","1","201148","false","14","spotify:user:1227113","2018-04-03T20:44:06Z","vapor twitch,chillhop,future bass,vapor twitch","0.923","0.709","6","-8.028","0","0.49","0.0395","0.422","0.159","0.2","104.984","4"
"spotify:track:76hcIrbUYNe0AGWgibetOu","Wild Style","spotify:artist:538JTayWqrPT5QYY0zoA5E","Mo Vibez","spotify:album:3cGLQ5btogMSx9FPpAcWW7","Wild Style - EP","2016-01-20","1","1","188852","false","14","spotify:user:1227113","2018-04-05T12:40:50Z","future bass,vapor twitch","0.863","0.719","6","-6.369","0","0.214","0.0937","0.104","0.05","0.667","122.007","4"
"spotify:track:5HRWmSujqHWb0AAgLZn7JB","askmeificare","spotify:artist:6ysKfYgiKUTMCuq2fSTLK3, spotify:artist:1go10OxHP4fyGsyWfJcFEh","xander., Malik Elijah","spotify:album:4evZ155jqoUFyZnjowNOzd","askmeificare","2017-12-27","1","1","239072","false","22","spotify:user:1227113","2018-03-26T15:11:46Z","lo-fi beats","0.759","0.491","2","-8.625","1","0.0447","0.131","0.00211","0.132","0.342","123.008","4"
