"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Album Release Date","Disc Number","Track Number","Track Duration (ms)","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature"
"spotify:track:77eyE4gfO6iVtbD3CoqblG","Push Thru","spotify:artist:0lEssBAxQl2In4RpaB1C2Y, spotify:artist:6X8WdFjrNhXATMDSs26aCc, spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg, spotify:artist:4qyN300ZrK3SriUfOGpB75","Talib Kweli, Curren$y, Kendrick Lamar, Glen Reynolds","spotify:album:7kAg6DbRZXNLKzvQAdYkJp","Prisoner of Conscious","2013-05-07","1","8","298255","true","0","spotify:user:1227113","2018-04-19T03:05:37Z","alternative hip hop,conscious hip hop,east coast hip hop,hardcore hip hop,hip hop,southern hip hop,alternative hip hop,dirty south rap,gangster rap,hip hop,new orleans rap,pop rap,rap,southern hip hop,underground hip hop,conscious hip hop,hip hop,rap,west coast rap","0.372","0.744","7","-5.463","1","0.17","0.0676","0.00000164","0.0757","0.453","79.784","4"
"spotify:track:1Xgx2y4xlqDxQizsXPiRAw","Testarossa Music","spotify:artist:28j8lBWDdDSHSSt5oPlsX2, spotify:artist:7wFDo161xYdeaiLz3KIHoM","ZHU, Gallant","spotify:album:1X4yodq8QzdlHOf2EgwhWU","Genesis Series","2015-11-06","1","3","267240","false","43","spotify:user:1227113","2018-04-17T02:30:16Z","edm,electro house,house,alternative r&b,chill r&b","0.806","0.395","2","-6.587","0","0.149","0.557","0.0318","0.348","0.643","86.977","4"
"spotify:track:4Uxb6ZyCz6YnB0Rr85IsS8","Backwood","spotify:artist:1vaQ6v3pOFxAIrFoPrAcom","Ari Lennox","spotify:album:1x6E0JYj6wKFHfZQFQCpnU","PHO","2016-10-21","1","6","168213","false","51","spotify:user:1227113","2018-04-17T02:33:17Z","alternative r&b,dmv rap,indie r&b,indie soul,neo soul,pop,r&b,urban contemporary","0.61","0.382","5","-9.591","0","0.196","0.161","0.000101","0.126","0.59","74.084","4"
"spotify:track:4kvGEhGovNNtq8VOPkP4wA","Airplane Mode","spotify:artist:5w4jm6oj9XguE2zaCEfd3S","TiRon & Ayomari","spotify:album:4vRlVBSEm05yQvLkuw8jgD","Airplane Mode","2017-09-20","1","1","238275","true","16","spotify:user:1227113","2018-04-17T02:34:56Z","soul flow","0.602","0.723","1","-10.462","1","0.0992","0.00473","0.0833","0.27","0.308","195.874","4"
"spotify:track:3t7wojJJqpSNCASv5wOe5I","Brown","spotify:artist:5qfkUSH3ip5dD2eEPhjkT3","Kyle Dion","spotify:album:6PW29tUQgA4iXqf1oM7MTK","Brown","2018-02-09","1","1","234758","false","0","spotify:user:1227113","2018-04-17T02:42:19Z","alternative r&b,chill r&b,indie r&b,indie soul","0.546","0.698","0","-4.678","1","0.0987","0.0759","0.000131","0.0613","0.616","72.417","4"
"spotify:track:4AlhDW7fMJi3sjDiuSFmaO","Hidden Fences (demo)","spotify:artist:0P54cVemq1DCHUfUMlWAoN","TOBi","spotify:album:0AD5zAngqRv88dDk1gdmmw","Hidden Fences (demo)","2017-09-08","1","1","231250","true","0","spotify:user:1227113","2018-04-17T02:46:50Z","canadian contemporary r&b,canadian hip hop","0.81","0.521","1","-10.638","0","0.0855","0.0875","0.0000963","0.111","0.534","133.96","4"
"spotify:track:0T7TsAIWhLnr1q2b0VhgyF","Cathedrals","spotify:artist:7m4f2NVcRQjW3K7SeWKQym","XamVolo","spotify:album:7DklWAM57wO9q5aoAX57FD","""A Damn Fine Spectacle""","2018-04-13","1","4","239746","true","10","spotify:user:1227113","2018-04-19T21:27:58Z","uk contemporary r&b","0.772","0.412","7","-8.934","0","0.189","0.406","0.00248","0.114","0.615","86.066","4"
"spotify:track:1iSs2zfb0VWYxmKxb0wPPK","iii'm Not Sorry (feat. Elbee Thrie)","spotify:artist:2FwJwEswyIUAljqgjNSHgP, spotify:artist:6w8Ovb87R2UzZWfxQrR7Wx","Snakehips, Elbee Thrie","spotify:album:0LeXQyrzNvcgAOztFEtOsp","STAY HOME TAPES (= --__-- =)","2018-04-05","1","5","242897","true","27","spotify:user:1227113","2018-04-19T03:04:30Z","dance pop,edm,electro house,electropop,indie poptimism,pop,pop dance,tropical house","0.411","0.898","11","-3.839","0","0.328","0.0445","0","0.138","0.604","82.541","4"
"spotify:track:3ZDqH9GoOzvLBvY9Lpg4rg","Compromise","spotify:artist:52pcFWBKzTZUCJrBizvl1y, spotify:artist:0GBiTxLXuaiudd2orD0zxe","Maydien, Romderful","spotify:album:4aRuamP6LoKVfBGQdktzvG","Compromise","2017-09-29","1","1","194429","false","7","spotify:user:1227113","2018-04-17T02:50:14Z","dutch r&b,indie r&b","0.695","0.58","2","-7.074","1","0.375","0.248","0","0.101","0.287","65.006","4"
"spotify:track:34XNYhK84eXrqUQbckJvxY","Move","spotify:artist:37nE9g0LRDhDSIejDuPKPS, spotify:artist:538JTayWqrPT5QYY0zoA5E","Evil Needle, Mo Vibez","spotify:album:0762wvRziSk7teli97iy1A","Souvenirs","2018-03-02","1","2","234146","false","18","spotify:user:1227113","2018-04-19T03:07:09Z","chillhop,vapor twitch,future bass,vapor twitch","0.551","0.519","10","-9.292","0","0.0915","0.00831","0.896","0.105","0.14","115.147","4"
