"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Album Release Date","Disc Number","Track Number","Track Duration (ms)","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature"
"spotify:track:5jPoHxIRB1X5QUsL60x8F1","GOOD MAN","spotify:artist:21E3waRsmPlU7jZsS13rcj","Ne-Yo","spotify:album:0XsNVndl9GmTkz8DDR26jm","GOOD MAN","2018-02-08","1","1","229220","false","47","spotify:user:1227113","2018-04-17T00:08:19Z","dance pop,pop,pop rap,r&b,urban contemporary","0.684","0.561","0","-5.947","1","0.168","0.284","0","0.46","0.541","73.093","4"
"spotify:track:0fqKsU4Hsnb0oKlyjat9da","143","spotify:artist:3UVRliakQfa1pMWIsNuiZ8","Musiq Soulchild","spotify:album:2RmMKj20xouC3Mqq1CyZ3c","Aijuswanaseing","2000-01-01","1","6","297800","false","38","spotify:user:1227113","2018-04-17T00:08:16Z","dance pop,hip pop,neo soul,new jack swing,quiet storm,r&b,urban contemporary","0.606","0.532","8","-8.916","1","0.0464","0.0749","0","0.0581","0.199","87.827","4"
"spotify:track:3wv9jIR1DAGxTRMm1kH6GL","Sweet Time","spotify:artist:2kQnsbKnIiMahOetwlfcaS","Raveena","spotify:album:2L0mTw6WLlSkjxrZJXna5h","Sweet Time","2017-10-11","1","1","251433","false","58","spotify:user:1227113","2018-04-17T01:27:11Z","alternative r&b,chill r&b,indie r&b,indie soul","0.819","0.363","0","-9.466","1","0.17","0.618","0.00199","0.103","0.55","96.001","4"
"spotify:track:3phwC9mMlIwLuTuhReiYia","L.A.","spotify:artist:3tlXnStJ1fFhdScmQeLpuG","Brent Faiyaz","spotify:album:5Bp1EX2ypdFnJ5IUyiRl8w","Sonder Son","2017-10-13","1","7","316045","true","55","spotify:user:1227113","2018-04-17T00:10:41Z","dmv rap,rap","0.517","0.598","8","-10.251","0","0.1","0.275","0.000542","0.276","0.528","140.131","4"
"spotify:track:1BSCink9ZsCONSuKNcYQR2","The Long Way Home","spotify:artist:2XhRydg6cYT62s25jgePlF, spotify:artist:1Wz2GM6YInFjpXq3O97Tom","Jet Age of Tomorrow, Syd","spotify:album:6NeDZg6vpSreUdPePOPZNo","God's Poop or Clouds?","2017-09-15","1","2","246047","false","24","spotify:user:1227113","2018-04-16T14:10:44Z","experimental hip hop,underground hip hop","0.859","0.694","2","-7.471","1","0.0396","0.209","0.0238","0.0698","0.642","93.996","4"
"spotify:track:2vLwhcsvRd1f2ETft1kWDN","Treehome95 (feat. Coco Owino & Erykah Badu)","spotify:artist:4V8LLVI7PbaPR0K2TGSxFF, spotify:artist:1DajYN827JuEA1bE1VkJnR, spotify:artist:7IfculRW2WXyzNQ8djX8WX","Tyler\, The Creator, Coco Owino, Erykah Badu","spotify:album:40QTqOBBxCEIQlLNdSjFQB","Wolf","2013-04-01","1","16","180213","true","54","spotify:user:1227113","2018-04-16T14:11:24Z","hip hop,rap,afrofuturism,hip hop,neo soul,r&b,soul,urban contemporary","0.721","0.539","11","-8.726","1","0.362","0.217","0.00257","0.419","0.377","81.971","4"
"spotify:track:3NWTRZ0A8xKlBP1qgNftql","Special Affair","spotify:artist:7GN9PivdemQRKjDt4z5Zv8","The Internet","spotify:album:69g3CtOVg98TPOwqmI2K7Q","Ego Death","2015-06-26","1","8","176186","true","65","spotify:user:1227113","2018-04-17T00:17:56Z","alternative r&b,escape room,indie soul,lgbtq+ hip hop,neo soul","0.795","0.409","9","-10.134","0","0.0859","0.183","0.00108","0.112","0.518","120.095","4"
"spotify:track:3E895HtTn6lB40SA0l9EkL","Take Me Away (feat. Syd)","spotify:artist:20wkVLutqVOYrc0kxFs7rA, spotify:artist:3jk39CGeaaSO3FPKNx1RUx","Daniel Caesar, Syd","spotify:album:3xybjP7r2VsWzwvDQipdM0","Freudian","2017-08-25","1","8","226116","true","62","spotify:user:1227113","2018-04-17T00:11:05Z","canadian contemporary r&b,pop,alternative r&b,lgbtq+ hip hop","0.395","0.409","6","-8.58","1","0.056","0.708","0.0000162","0.0982","0.193","74.088","4"
"spotify:track:6WUgEQwCbnaPrLf9V5K4HG","Buzzin","spotify:artist:6hfwwpXqZPRC9CsKI7qtv1","Alina Baraz","spotify:album:64r0xSlWE7t9599VTjFYfI","Buzzin","2017-09-29","1","1","183287","false","52","spotify:user:1227113","2018-04-17T00:04:37Z","alternative r&b,electropop,etherpop,pop","0.563","0.463","9","-9.249","0","0.4","0.65","0.00000487","0.0967","0.276","149.571","4"
"spotify:track:5TVlcZRCVoJVi9OaDvGxEB","Unravel Me","spotify:artist:30DhU7BDmF4PH0JVhu8ZRg","Sabrina Claudio","spotify:album:2ICdqEf91Kc9FwdlLtB748","About Time","2017-10-05","1","5","245158","false","63","spotify:user:1227113","2018-04-17T00:00:06Z","alternative r&b,pop","0.387","0.419","4","-8.803","0","0.183","0.476","0.00179","0.122","0.337","79.211","3"
"spotify:track:6fGx2FgoG50cSu13RR0puB","West (feat. Daniel Caesar)","spotify:artist:1FHDMgGdmIP4IsoFkAwbS0, spotify:artist:20wkVLutqVOYrc0kxFs7rA","River Tiber, Daniel Caesar","spotify:album:6COHMRiHt17uzm4oonfh1V","West (feat. Daniel Caesar) - Single","2016-02-17","1","1","153318","false","4","spotify:user:1227113","2018-04-17T00:12:53Z","alternative r&b,indie soul,canadian contemporary r&b,pop","0.265","0.47","8","-8.349","1","0.0444","0.899","0.0617","0.187","0.144","119.811","4"
"spotify:track:3uSSjnDMmoyERaAK9KvpJR","Too Deep","spotify:artist:7e1ICztHM2Sc4JNLxeMXYl","dvsn","spotify:album:0jLynoED1FbV2Ky7vU6Pjc","SEPT 5TH","2016-03-27","1","2","200223","false","62","spotify:user:1227113","2018-04-17T00:14:22Z","alternative r&b,canadian contemporary r&b,chill r&b,pop,pop r&b,r&b,trap soul,urban contemporary","0.616","0.243","9","-13.975","1","0.103","0.284","0.149","0.264","0.56","183.948","4"
"spotify:track:6DR8SUhyWLxFye8Up9yKLF","Weight in Gold - Ta-ku Remix","spotify:artist:7wFDo161xYdeaiLz3KIHoM, spotify:artist:13Kd75NSHSp9lB4CaqPMOV","Gallant, Ta-ku","spotify:album:4XuogwKSpM5B6CDp3oLnlj","Weight in Gold (The Remixes)","2016-04-29","1","2","212035","false","24","spotify:user:1227113","2018-04-17T01:06:37Z","alternative r&b,chill r&b,alternative r&b,ambeat,indie soul,vapor soul,vapor twitch","0.473","0.437","5","-8.57","0","0.128","0.0256","0.177","0.128","0.246","106.661","1"
"spotify:track:0LC9V2hog3p2qQXkHAWm1E","All to You","spotify:artist:30DhU7BDmF4PH0JVhu8ZRg","Sabrina Claudio","spotify:album:1NkkXbEvt3lhsVdgYYf8tn","Don't Let Me Down / All to You","2018-04-04","1","2","203095","false","40","spotify:user:1227113","2018-04-17T00:07:46Z","alternative r&b,pop","0.463","0.337","1","-9.852","0","0.0723","0.391","0.000176","0.0728","0.372","129.925","3"
"spotify:track:7tN1gwN2u7CGD9FuoGDE4D","Carry Me Home","spotify:artist:1CoZyIx7UvdxT5c8UkMzHd, spotify:artist:0ukgrNYk51TkMQr0f2Br4Q","Jorja Smith, Maverick Sabre","spotify:album:4MCg0EMMpBdbNhlNr9mDkF","Project 11","2016-11-17","1","4","282329","false","0","spotify:user:1227113","2018-04-17T00:05:07Z","pop,uk contemporary r&b,indie soul,irish hip hop","0.471","0.352","2","-9.699","1","0.0391","0.633","0.0000275","0.115","0.102","118.333","3"
"spotify:track:2pMPWE7PJH1PizfgGRMnR9","Bad Religion","spotify:artist:2h93pZq0e7k5yf4dywlkpM","Frank Ocean","spotify:album:392p3shh2jkxUxY2VHvlH8","channel ORANGE","2012-07-10","1","14","175453","false","64","spotify:user:1227113","2018-04-17T00:15:51Z","alternative r&b,hip hop,lgbtq+ hip hop,neo soul,pop","0.359","0.367","9","-7.684","1","0.0335","0.738","0.00000143","0.0736","0.104","83.331","4"
