"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Album Release Date","Disc Number","Track Number","Track Duration (ms)","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature"
"spotify:track:2txIXIZhUdtOmS1QxOYSIu","Na Na Na","spotify:artist:5oSCIcpPdrO3UhTMATxkYL, spotify:artist:5XenQ7XfcvQdfIbpLEFaKQ, spotify:artist:1Yi0bXcg8GmWccv2pJ1pow","Ciscero, GoldLink, Sugg Savage","spotify:album:0SXliofZbnRJDX9L036fjD","Na Na Na","2018-04-18","1","1","264097","true","12","spotify:user:1227113","2018-04-27T16:28:06Z","dmv rap,alternative r&b,dmv rap,hip hop,rap,underground hip hop","0.591","0.496","6","-7.128","1","0.221","0.293","0.0285","0.081","0.428","132.57","4"
"spotify:track:4nuuufXmtCY0o9tqPjMaKb","Oh My","spotify:artist:23bSD5t38m4d6k8jtlZGDa, spotify:artist:3wcj11K77LjEY1PkEazffa, spotify:artist:7e3FtKBIPLrIVm8g1FJMVg","Anik Khan, Burna Boy, Sango","spotify:album:38CBWsGxfq9u1b1eV0RTKM","Oh My","2018-04-20","1","1","230857","true","31","spotify:user:1227113","2018-04-26T20:25:45Z","bangladeshi hip hop,desi hip hop,afro dancehall,dancehall,nigerian hip hop,nigerian pop,abstract beats,alternative r&b,escape room,indie r&b,indie soul,vapor twitch","0.466","0.675","1","-5.897","1","0.24","0.159","0.0000405","0.1","0.52","96.129","1"
"spotify:track:4kI8wgbpEgaQ7CN71zJBZY","Split","spotify:artist:34zbMuAgXxsgqnGXSxWvCR, spotify:artist:3zlWvRPwLwGSi2v6ltrhOl","Ric Wilson, Sen Morimoto","spotify:album:2Lifoz5NMKF6364BbBuWWt","Split","2018-04-27","1","1","188400","false","0","spotify:user:1227113","2018-04-27T16:34:41Z","psychedelic hip hop","0.654","0.8","7","-6.978","1","0.457","0.32","0.00000385","0.643","0.859","84.47","4"
"spotify:track:5vS0exugk3uvkQCqKLWVyD","Kompany","spotify:artist:4p75GTNEXwsAAkpweMVtKo, spotify:artist:1ybINI1qPiFbwDXamRtwxD, spotify:artist:2TKC2gVUNBUAlFqfLUoaj0","Monte Booker, Smino, Phoelix","spotify:album:6jqYEkU17vIF0BMkrX6Lo0","Kompany","2017-06-23","1","1","209868","true","0","spotify:user:1227113","2018-04-27T16:44:13Z","viral rap,alternative r&b,hip hop,rap,underground hip hop,indie hip hop","0.784","0.512","11","-7.661","0","0.229","0.271","0.00000215","0.277","0.7","138.946","4"
"spotify:track:43cFjTTCD9Cni4aSL0sORz","Playinwitme (feat. Kehlani)","spotify:artist:4qBgvVog0wzW75IQ48mU7v, spotify:artist:0cGUm45nv7Z6M6qdXYQGTX","KYLE, Kehlani","spotify:album:2lgOc40hhHqjUGAKMWqGxO","Playinwitme (feat. Kehlani)","2018-03-20","1","1","193093","false","0","spotify:user:1227113","2018-04-27T12:30:07Z","pop rap,rap,social media pop,dance pop,pop,pop rap,post-teen pop,r&b,urban contemporary","0.687","0.587","1","-5.772","0","0.124","0.302","0","0.278","0.676","156.575","4"
"spotify:track:7h0lBmuSh2fvhQFWYbdE9f","Golden Wings","spotify:artist:1R4GxRuSVTPSb6oy56SPST","Gabriel Garzón-Montano","spotify:album:0kc6GSqKKPD0CwE0gCquap","Golden Wings","2018-04-27","1","1","267577","false","47","spotify:user:1227113","2018-04-27T16:32:27Z","alternative r&b,indie r&b,indie soul,neo r&b","0.844","0.558","9","-11.416","0","0.153","0.243","0.647","0.0893","0.353","90.888","4"
"spotify:track:3KzxClIwtuDOMPkJEOZ2zD","ALL ABOUT U","spotify:artist:3htNAy3vYWWYV8RZFeyRMT","Slow Magic","spotify:album:1m62vNgpD4sr6qIcY3SyJC","AWAY","2018-04-13","1","1","218314","false","0","spotify:user:1227113","2018-04-27T16:40:45Z","chillwave,electropop,future bass,gauze pop,indie dream pop,vapor soul,vapor twitch","0.391","0.838","8","-5.817","0","0.0564","0.0125","0.692","0.619","0.39","96.324","4"
"spotify:track:2r8dittwqBJvz1GVGC1f5O","Polarised","spotify:artist:4VivsO1n4n2Mi2Btyb5gfL","Cosmo's Midnight","spotify:album:6ChqV8LNY0vb5w7OQGXJLC","Polarised","2018-04-27","1","1","188611","false","36","spotify:user:1227113","2018-04-27T16:30:08Z","australian dance,australian indie,australian pop,indie dream pop,indie soul,vapor soul","0.607","0.694","9","-8.343","0","0.169","0.00457","0.00116","0.0371","0.395","111.905","4"
"spotify:track:0sFGYu1KVrx9onrjwYA5I7","Stepping Stone","spotify:artist:1f1CocvNRSmgLgtqMsA0AR, spotify:artist:7A2x4Urpc4VKF1pb7qnNqD","Armando Young, John Splithoff","spotify:album:5ghSjwaKAPKL9XN3novXPH","Stepping Stone","2017-12-31","1","1","252450","false","41","spotify:user:1227113","2018-04-26T20:27:26Z","nyc pop","0.65","0.693","11","-7.621","0","0.236","0.284","0.00594","0.295","0.544","100.004","4"
"spotify:track:1tZ6pZDdK7tgJS3nImqI60","Hémisphère","spotify:artist:1JV4iC1UhplRE8RFr8Q9n9","Paradis","spotify:album:0uq8daBmQAnyBD2EnSzJou","Majestic Casual - Chapter I","2013-11-10","1","16","433388","false","0","spotify:user:1227113","2018-04-27T16:31:33Z","electro-pop francais,french indie pop,french indietronica,indie soul,new french touch,nu disco","0.746","0.432","6","-13.362","0","0.0475","0.342","0.841","0.076","0.577","128.014","4"
"spotify:track:2mDeWOqdFJLV2zsrTCPG0T","Me & You ◑","spotify:artist:0Vw76uk7P8yVtTClWyOhac, spotify:artist:1uiEZYehlNivdK3iQyAbye","HONNE, Tom Misch","spotify:album:0fQspgDYFsiNte1TGkYGzs","Me & You ◑ / I Just Wanna Go Back ◐","2018-04-27","1","1","243600","false","0","spotify:user:1227113","2018-04-27T19:20:59Z","pop,uk pop,indie soul,jazz pop","0.769","0.546","0","-8.27","0","0.0387","0.645","0.000231","0.0948","0.603","120.22","4"
"spotify:track:4WochDEizmmPZk0aQXfKHo","Roll (Burbank Funk)","spotify:artist:7GN9PivdemQRKjDt4z5Zv8","The Internet","spotify:album:71EEwDedSdxW0y8iayQdWh","Roll (Burbank Funk)","2018-04-27","1","1","189600","false","41","spotify:user:1227113","2018-04-27T16:21:01Z","alternative r&b,escape room,indie soul,lgbtq+ hip hop,neo soul","0.788","0.674","1","-8.652","1","0.109","0.175","0.00000362","0.201","0.969","112.512","4"
"spotify:track:5ayVRr1OlI9hoYYvON3ejD","Foolish","spotify:artist:79QY1od36t2L6Rc663c4Mw, spotify:artist:0UmgNp7YpF7kMs4qyziHsr, spotify:artist:71pjFBbMJxeH6xLTbDRgXa","Kapok, Ashleigh Eymann, AstroLogical","spotify:album:1M101IWkMTPfaJ1v5yiDQx","Foolish","2018-04-20","1","1","244444","true","10","spotify:user:1227113","2018-04-26T20:26:19Z","bc underground hip hop,canadian hip hop","0.519","0.617","0","-7.015","1","0.144","0.259","0.00000266","0.359","0.624","79.028","4"
"spotify:track:4fiYrIrn9jhkcpZui333Ez","This One Is for the Ladies and Gents (feat. Miles Bonny)","spotify:artist:2bz6GlqjAN5fTFWvy0rmSP, spotify:artist:3SAMS1olAlq6wJ8Y7CApjs","Tall Black Guy, Miles Bonny","spotify:album:4UkcxqEtjFwvjJyGO71FsU","Let's Take a Trip","2016-11-04","1","4","264493","false","34","spotify:user:1227113","2018-04-26T22:48:46Z","bass trip,indie jazz,indie soul,neo r&b,neo soul,bass trip","0.709","0.73","1","-8.708","0","0.0415","0.121","0.492","0.0714","0.43","90.069","4"
