"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Album Release Date","Disc Number","Track Number","Track Duration (ms)","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature"
"spotify:track:5mJz4egMX7Cr40FFCJMZ5m","Wurk","spotify:artist:1fmXn9ezSrVGjHSVc6ItcL","Swarvy","spotify:album:4kJLmzbefKT8rpXDUoCD0a","Anti-Anxiety","2018-07-06","1","1","70040","true","15","spotify:user:1227113","2020-08-08T15:31:53Z","abstract beats,indie jazz,la pop,wonky","0.643","0.699","7","-8.478","1","0.153","0.757","0.121","0.112","0.961","90.172","4"
"spotify:track:5OM3RuosTT4YEVsd8w0eV4","Hilary $Wank","spotify:artist:2P5sC9cVZDToPxyomzF1UH","Joey Bada$$","spotify:album:16KdSB0v7RqYwRjylZCpfn","Summer Knights","2013-10-29","1","1","202500","true","43","spotify:user:1227113","2020-08-08T14:52:16Z","conscious hip hop,hip hop,rap,underground hip hop","0.728","0.867","2","-7.9","1","0.373","0.0711","0","0.143","0.828","94.977","4"
"spotify:track:5OkYfk72CNL8XLqa3gp9q7","Something to Rap About (feat. Tyler, The Creator)","spotify:artist:0Y4inQK6OespitzD6ijMwb, spotify:artist:0eVyjRhzZKke2KFYTcDkeu, spotify:artist:4V8LLVI7PbaPR0K2TGSxFF","Freddie Gibbs, The Alchemist, Tyler\, The Creator","spotify:album:3znl1qe13kyjQv7KcR685N","Alfredo","2020-05-29","1","6","282560","true","70","spotify:user:1227113","2020-08-08T14:47:33Z","alternative hip hop,hip hop,indiana hip hop,rap,southern hip hop,trap,underground hip hop,alternative hip hop,hardcore hip hop,hip hop,southern hip hop,underground hip hop,west coast rap,hip hop,rap","0.406","0.524","5","-11.071","1","0.255","0.469","0.00000395","0.117","0.412","56.046","4"
"spotify:track:5o9xRcKTgpXnoLj1UY46yJ","itkanbe[sonice]","spotify:artist:17Zu03OgBVxgLxWmRUyNOJ, spotify:artist:6PEMFpe3PTOksdV4ZXUpbE","Knxwledge, NxWorries","spotify:album:53gOm5R7JN5DAkIuZymFOZ","1988","2020-03-27","1","17","103735","true","52","spotify:user:1227113","2020-08-08T14:49:11Z","abstract beats,alternative hip hop,alternative r&b,hip hop,indie r&b,indie soul,wonky,hip hop,indie soul","0.229","0.727","6","-3.047","0","0.143","0.141","0.00000493","0.872","0.725","64.319","3"
"spotify:track:69hPfpEU0INTt4IzpIbqds","Cashmere Tears","spotify:artist:1HMhQzj2QXxR40zGDdaK6y","Kojey Radical","spotify:album:5y5Je353ZsPKl9fuO10ZpA","Cashmere Tears","2019-09-13","1","5","211179","false","50","spotify:user:1227113","2020-08-08T14:35:20Z","uk alternative hip hop","0.709","0.595","1","-6.206","0","0.27","0.279","0.00197","0.0566","0.774","194.063","4"
"spotify:track:0dQVXSWHgGCAjz3XYzq5sv","What's It All About","spotify:artist:1020a42xVklY6c56imNcaa, spotify:artist:1YfEcTuGvBQ8xSD1f53UnK","Slum Village, Busta Rhymes","spotify:album:22IhsI5JpldSrE7vhidAja","Fan-Tas-Tic, Vol. 2","2009-01-26","1","8","216026","true","29","spotify:user:1227113","2020-08-08T14:36:51Z","alternative hip hop,detroit hip hop,hip hop,indie soul,neo soul,east coast hip hop,hardcore hip hop,hip hop,hip pop,pop rap,rap","0.919","0.693","1","-3.32","0","0.274","0.0742","0","0.215","0.76","100.169","4"
"spotify:track:3an7cAnDXNAZkJc6x1BIWM","ouchea... [blend]","spotify:artist:2N2l2BR0KlnQrFnOn7ntEN, spotify:artist:1fmXn9ezSrVGjHSVc6ItcL","lojii, Swarvy","spotify:album:7AM0zopNxQzpxMq8wqJzaM","DUE RENT [Blends] +","2020-07-16","1","5","66698","true","14","spotify:user:1227113","2020-08-08T14:26:39Z","boom bap,experimental hip hop,abstract beats,indie jazz,la pop,wonky","0.684","0.533","8","-9.252","1","0.133","0.501","0.0000201","0.108","0.654","143.889","4"
"spotify:track:4px7TeEKnjO7NtAZxaklTC","Warm Couture","spotify:artist:7BxJEL8I7OoAMGyPWn1cPS","Ivan Ave","spotify:album:2MrQbr9UUhuxydwacCMftW","Every Eye","2017-11-10","1","8","196373","false","18","spotify:user:1227113","2020-08-08T14:24:30Z","indie jazz,indie soul,jazz rap","0.414","0.497","10","-13.011","0","0.0997","0.364","0.0106","0.481","0.428","88.925","4"
"spotify:track:5gcL42OzbwTHmP3aaDAo9v","Nasa","spotify:artist:4eu9GW8WwzF6n6fb34COES, spotify:artist:21UPYSRWFKwtqvSAnFnSvS","Rvdical the Kid, Amaarae","spotify:album:6PysNGAvSd0sTWoDY9eMeM","Nasa","2020-08-07","1","1","244000","false","39","spotify:user:1227113","2020-08-08T14:18:04Z","african electronic,ghanaian alternative,afro r&b,ghanaian alternative,ghanaian pop","0.804","0.462","3","-12.728","0","0.183","0.193","0.00346","0.27","0.23","120.133","4"
"spotify:track:3VWsihqPiFbbp5hv6rWQCp","Backwater Interlude","spotify:artist:2DLlb2Se6eF0mMTYffyAcn","IAMNOBODI","spotify:album:5kaYxK2Ivea9rwafdn1FOL","Backwater Interlude","2020-02-28","1","1","156885","false","15","spotify:user:1227113","2020-08-08T15:07:37Z","alternative r&b","0.129","0.104","0","-21.77","1","0.037","0.692","0.84","0.0907","0.04","68.577","3"
