"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Album Release Date","Disc Number","Track Number","Track Duration (ms)","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature"
"spotify:track:4p9U91VbW8BT2Qn7afWCPI","JU1Y","spotify:artist:4jGPdu95icCKVF31CcFKbS, spotify:artist:41DKMtAnhVo7aDeluAHDJg","Gentle Bones, MYRNE","spotify:album:21rySes2xAr5TBVh2ySo5w","JU1Y","2017-08-18","1","1","190714","true","20","spotify:user:1227113","2017-08-29T23:08:37Z","chill r&b,indie cafe pop,singaporean pop,bass trap,edm,electro house,future bass,gaming edm,pop edm,singaporean electronic,singaporean pop,vapor twitch","0.783","0.747","8","-4.592","0","0.0606","0.131","0","0.0923","0.711","112.014","4"
"spotify:track:4YihnsrE1KqLUfvtCT27My","Light (feat. Tropics)","spotify:artist:3htNAy3vYWWYV8RZFeyRMT, spotify:artist:0d00ssafltw8HYv2zxe4fD","Slow Magic, Tropics","spotify:album:54krxmWKbEuZtBafcuNUgY","Light (feat. Tropics)","2017-08-18","1","1","229654","false","0","spotify:user:1227113","2017-08-30T20:37:54Z","chillwave,electropop,future bass,gauze pop,indie dream pop,vapor soul,vapor twitch,alternative r&b","0.326","0.574","11","-8.459","0","0.0283","0.253","0.00249","0.138","0.347","104.751","4"
"spotify:track:3BncHqRrHyNMH7jYJH56Nf","Calling","spotify:artist:0Geqa2iYzhQA5oVKUWuu0x, spotify:artist:5PqOO6WkdOrWgmvDinM2mc","Ukiyo, Your Girl Pho","spotify:album:2JmudqMrtmviO4BDPWTare","Calling","2017-02-03","1","1","178168","false","0","spotify:user:1227113","2017-08-30T20:24:33Z","aussietronica,perth indie","0.726","0.62","2","-4.981","1","0.567","0.219","0","0.0805","0.573","91.942","4"
"spotify:track:5mCPDVBb16L4XQwDdbRUpz","Passionfruit","spotify:artist:3TVXtAsR1Inumwj472S9r4","Drake","spotify:album:1lXY618HWkwYKJWBRYR4MK","More Life","2017-03-18","1","3","298940","true","81","spotify:user:1227113","2017-08-30T20:39:09Z","canadian hip hop,canadian pop,hip hop,pop rap,rap,toronto rap","0.809","0.463","11","-11.377","1","0.0396","0.256","0.085","0.109","0.364","111.98","4"
"spotify:track:5gcR2HprqH5KoM2JoFDgjR","Sour Mango","spotify:artist:1R4GxRuSVTPSb6oy56SPST","Gabriel Garzón-Montano","spotify:album:1hxdPvQj2Q1JHqaQR9Bnks","Jardín","2017-01-27","1","2","259001","false","0","spotify:user:1227113","2017-08-29T02:13:59Z","alternative r&b,indie r&b,indie soul,neo r&b","0.487","0.443","2","-8.852","1","0.208","0.000387","0.00921","0.0431","0.112","77.808","4"
"spotify:track:6xnpLEGsEXhBsl7Z0foAi4","Feel This Way","spotify:artist:2JFljHPanIjYy2QqfNYvC0, spotify:artist:4kubsO16bEfCADaVUyoYb6","Chon, Giraffage","spotify:album:6KC06etxRkjUDzvfxU5sgA","Homey","2017-06-16","1","9","223766","false","37","spotify:user:1227113","2017-08-30T20:41:11Z","djent,instrumental math rock,instrumental rock,progressive jazz fusion,progressive post-hardcore,san diego indie,chillwave,future bass,indie dream pop,vapor soul,vapor twitch","0.749","0.503","11","-7.498","1","0.0382","0.0607","0.0177","0.104","0.227","130.004","4"
"spotify:track:1xD8hBK99rAPgcwjWWnxwf","Lost Tonight","spotify:artist:3I2596dGk4K3e4qKjwpzQb","Saje","spotify:album:3tzWmKo39Q3OypyD9UbNZl","Lost Tonight","2014-11-27","1","1","198912","false","49","spotify:user:1227113","2017-08-30T20:29:56Z","new french touch","0.538","0.268","11","-10.783","0","0.0819","0.691","0.0411","0.089","0.223","79.681","4"
"spotify:track:4mCiPQpGy3Dqfhim6GfTQO","Man x Woman","spotify:artist:6jNOJmB6z7VATJ062NlwCd","Full Crate x Mar","spotify:album:3G5IK0bnoUIBDkaItS3SNB","Majestic Casual - Chapter 2","2014-07-27","1","18","279040","false","0","spotify:user:1227113","2017-08-30T20:24:58Z","dutch pop","0.596","0.338","5","-10.878","0","0.0464","0.765","0.0878","0.18","0.209","124.008","4"
"spotify:track:1sx4GRirvsRPocH3W04e5a","Feels","spotify:artist:4u5smJBskI6Adzv08PuiUP","Kiiara","spotify:album:2EvTMiJyF3H4BoxNCL4HLh","low kii savage","2016-03-22","1","2","182500","true","51","spotify:user:1227113","2017-08-09T01:10:07Z","dance pop,electropop,indie poptimism,pop,pop dance,post-teen pop","0.651","0.377","1","-10.404","0","0.0811","0.427","0.0000368","0.0936","0.401","123.999","4"
"spotify:track:5Tou8lYopj9qCIFBFBomZ5","Yoshi City","spotify:artist:67lytN32YpUxiSeWlKfHJ3","Yung Lean","spotify:album:2tKxjvmkxcMWzVmNhsaX02","Unknown Memory","2014-10-23","1","4","225080","false","57","spotify:user:1227113","2017-08-30T20:44:15Z","emo rap,psychedelic hip hop,underground hip hop","0.546","0.53","1","-9.059","1","0.211","0.476","0","0.0955","0.227","128.209","4"
