"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Album Release Date","Disc Number","Track Number","Track Duration (ms)","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature"
"spotify:track:2mssuAa5xshIx2c06p1c2F","Complicated","spotify:artist:5Q81rlcTFh3k6DQJXPdsot, spotify:artist:7aFTOGFDEqDtJUCziLVsVC","Mura Masa, Nao","spotify:album:5nPFqFsQU6S0F5eWYtVU2b","Complicated","2018-08-02","1","1","213906","false","57","spotify:user:1227113","2018-08-03T11:13:52Z","channel islands indie,edm,vapor soul,alternative r&b,chill r&b,dance pop,indie soul,neo soul,r&b,uk contemporary r&b","0.867","0.639","7","-5.778","0","0.0888","0.375","0.0111","0.225","0.736","99.977","4"
"spotify:track:3FISzZeOXxIw20PB0n5ed4","Best Hugs","spotify:artist:5M0lbkGluOPXLeFjApw8r8","Shelley FKA DRAM","spotify:album:2dd5MAJfJIiH9Oi1OCcufF","That's a Girls Name","2018-07-18","1","1","191229","true","43","spotify:user:1227113","2018-07-28T13:12:16Z","pop rap,rap,trap,virginia hip hop","0.699","0.76","0","-6.395","1","0.12","0.0908","0","0.341","0.621","172.036","4"
"spotify:track:72dEsoHg44HeYyhWj776cG","THROWYOASSOUT","spotify:artist:6I3MElirhT5t6Kf7p0hGk9, spotify:artist:4cUkGQyhLFqKHBtL58HYVp","Duckwrth, Channel Tres","spotify:album:2Qxg5B6lYfFr4h3DUJK8kX","an XTRA UUGLY Mixtape","2017-11-03","1","3","230226","true","43","spotify:user:1227113","2018-08-01T20:12:09Z","alternative r&b,indie r&b,underground hip hop,indie soul,la pop","0.807","0.688","1","-6.84","1","0.066","0.0585","0.000401","0.133","0.171","104.95","4"
"spotify:track:6MATYAV54pItWJH2DIyQMM","Damage","spotify:artist:2HPaUgqeutzr3jx5a9WyDV, spotify:artist:26VFTg2z8YR0cCuwLzESi2","PARTYNEXTDOOR, Halsey","spotify:album:03u1nvpnyvxYCcKnfMfoie","Seven Days","2017-09-29","1","3","213348","false","30","spotify:user:1227113","2018-08-21T21:31:15Z","pop,pop rap,r&b,rap,toronto rap,trap,urban contemporary,dance pop,electropop,etherpop,indie poptimism,pop,pop dance,post-teen pop","0.772","0.753","1","-6.478","1","0.142","0.134","0.0000157","0.106","0.593","113.196","4"
"spotify:track:4j3GWI86JvSaF0BLdmgcfF","Summertime Magic","spotify:artist:73sIBHcqh3Z3NyqHKZ7FOL","Childish Gambino","spotify:album:15k99o4mZJ9mfpQGIOrZ45","Summer Pack","2018-07-11","1","1","213600","false","69","spotify:user:1227113","2018-08-29T19:32:32Z","atl hip hop,hip hop,pop rap,rap","0.76","0.579","0","-7.374","1","0.0569","0.0129","0.00351","0.106","0.125","100.01","4"
"spotify:track:3V70N9VhQVZPSg68L989Od","Eden","spotify:artist:3ummHhJhcQSykZfeZlw4MY","Caleb Kunle","spotify:album:69JIqdZ6yTcXlRflPc64bE","Eden","2017-08-15","1","1","198299","false","19","spotify:user:1227113","2018-07-28T13:13:55Z","irish pop","0.66","0.422","6","-14.471","0","0.179","0.388","0.00145","0.11","0.243","81.95","4"
"spotify:track:5UtMStvgwGniu9pYebmTqb","True Colors - Point Point Remix","spotify:artist:1521R3ksLyQyFeqdtaSZUZ, spotify:artist:5L67d6oZKOOmXcBcMMJdZZ","Hoodboi, Point Point","spotify:album:1AydslpWu64Purv7SOyJsK","Breathing Room (Remixes)","2018-07-10","1","1","195161","false","0","spotify:user:1227113","2018-07-28T13:14:07Z","vapor twitch,electronic trap,future bass,new french touch,vapor twitch","0.853","0.536","1","-8.84","1","0.215","0.446","0.789","0.109","0.185","120.01","4"
"spotify:track:4vNOj7chCamVcOTe1MjAAN","Touch the Floor (feat. Masego)","spotify:artist:0Ek89uaJyo6NfWK22awFvI, spotify:artist:3ycxRkcZ67ALN3GQJ57Vig","VanJess, Masego","spotify:album:2EbhWs13R3DTnsGXHVZSPy","Silk Canvas","2018-07-27","1","3","254800","false","38","spotify:user:1227113","2018-07-28T13:12:09Z","alternative r&b,chill r&b,indie r&b,indie soul,alternative r&b,indie soul","0.842","0.68","4","-8.038","0","0.276","0.132","0.0000156","0.0533","0.628","104.952","4"
"spotify:track:5fyqqaqTmcNDixYABJO99I","What's the Use?","spotify:artist:4LLpKhyESsyAXpc4laK94U","Mac Miller","spotify:album:0ppUC3Jf1kIDvOZsxCYpEe","What's the Use?","2018-07-23","1","1","288640","true","47","spotify:user:1227113","2018-07-28T13:12:51Z","hip hop,pittsburgh rap,rap","0.759","0.492","1","-10.338","0","0.12","0.736","0.00989","0.107","0.561","104.974","4"
"spotify:track:2JRtD3QjOULLeguptl6riM","Intoxicated","spotify:artist:6YtlR8MLfO6azxwOKAvEi3, spotify:artist:7oJtghmTMHdQ49zN8uLSob","Pomo, Harrison Brome","spotify:album:5wzK2KoYE0NSGqdCA9D4ri","Intoxicated","2018-08-24","1","1","270250","false","0","spotify:user:1227113","2018-08-24T11:17:30Z","canadian electronic,new french touch,canadian contemporary r&b,vancouver indie","0.837","0.594","7","-9.337","0","0.194","0.721","0.0018","0.107","0.682","120.01","4"
"spotify:track:535WhUJC3uGNu9cs2ERNCb","Pocket Love","spotify:artist:54Eehq7Ls4ZXE8pdTTPClj","Coastal","spotify:album:1Ba9bzdYDgUaZsSYpxUpN6","Pocket Love","2018-06-29","1","1","202605","false","38","spotify:user:1227113","2018-07-28T13:12:39Z","","0.643","0.247","5","-17.278","0","0.498","0.497","0.122","0.211","0.339","108.997","4"
"spotify:track:7I4EyveNLoyJj785BDVKPj","SWEAT","spotify:artist:40Viqfc5ZdF69hIKjktCZN, spotify:artist:24S5IyzXICyGscL4vYshdq","Matt McGhee, Alex Vaughn","spotify:album:0DHW43stMvpeUJ7I5mpmLr","SWEAT / LADY LUCK","2018-01-27","1","1","206695","true","0","spotify:user:1227113","2018-08-17T00:53:11Z","dmv rap","0.731","0.562","10","-9.415","0","0.284","0.458","0.0000292","0.0985","0.499","107.954","4"
"spotify:track:7mbDisPO1YpggBV5tzbj4R","Swim","spotify:artist:5nhrH1JLtBXqhhliwceEI5, spotify:artist:6asmpfwwanm7jSQldjBu7y","Promnite, B. Lewis","spotify:album:2JO59MEJqyVdLUTa7JwDag","Swim","2018-08-16","1","1","206482","false","0","spotify:user:1227113","2018-08-17T13:38:53Z","abstract beats","0.684","0.73","8","-6.396","1","0.233","0.0904","0","0.218","0.604","114.949","4"
"spotify:track:56SHxd1fNd564p7kS6URmz","Hurting","spotify:artist:0GG2cWaonE4JPrjcCCQ1EG, spotify:artist:2VAnyOxzJuSAj7XIuEOT38","SG Lewis, AlunaGeorge","spotify:album:2GOATjSsnYmidOyRs0xHuZ","Hurting","2018-08-16","1","1","185084","false","0","spotify:user:1227113","2018-08-20T00:12:14Z","alternative r&b,indie soul,uk dance,vapor soul,electropop,house,pop,pop dance,tropical house","0.792","0.649","11","-3.966","0","0.0808","0.426","0.0000927","0.0942","0.444","118.016","4"
"spotify:track:556LJMJMhRJUNb4IggLTMM","Loud","spotify:artist:2X97ZAqRKRMYFIDqtvGgGc, spotify:artist:5XenQ7XfcvQdfIbpLEFaKQ, spotify:artist:7pFeBzX627ff0VnN6bxPR4","Silk City, GoldLink, Desiigner","spotify:album:4esQRJHaiTQycN77tdw8fZ","Loud","2018-08-02","1","1","199920","false","44","spotify:user:1227113","2018-08-29T21:33:03Z","edm,alternative r&b,dmv rap,hip hop,rap,underground hip hop,pop rap,rap,southern hip hop,trap,viral trap","0.694","0.858","0","-5.677","1","0.437","0.318","0","0.111","0.564","112.038","4"
