"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Album Release Date","Disc Number","Track Number","Track Duration (ms)","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature"
"spotify:track:4l3W3xmEBo8VyvMVZf71oX","Nostalgia","spotify:artist:7aFTOGFDEqDtJUCziLVsVC","Nao","spotify:album:59DK4qJUHbzapGrA9ZGOZR","Nostalgia","2017-09-15","1","1","211909","false","40","spotify:user:1227113","2019-08-08T15:46:14Z","alternative r&b,chill r&b,dance pop,indie soul,neo soul,r&b,uk contemporary r&b","0.729","0.721","11","-5.989","0","0.0875","0.0404","0.000286","0.0769","0.505","104.938","4"
"spotify:track:6OtoPF68bGySlRWxJtgwQF","Hypothalamus","spotify:artist:2FxdltjRC96gWJ7tMUadnz","Ruthven","spotify:album:1AC8rnOG0HaZMIt0x1d4Ty","Hypothalamus","2018-07-26","1","1","297098","false","29","spotify:user:1227113","2019-08-08T03:19:44Z","","0.39","0.448","2","-9.844","0","0.086","0.353","0.00000817","0.134","0.355","79.053","3"
"spotify:track:3cjF2OFRmip8spwZYQRKxP","Feel No Ways","spotify:artist:3TVXtAsR1Inumwj472S9r4","Drake","spotify:album:40GMAhriYJRO1rsY4YdrZb","Views","2016-05-06","1","4","240653","true","72","spotify:user:1227113","2019-08-08T03:14:51Z","canadian hip hop,canadian pop,hip hop,pop rap,rap,toronto rap","0.582","0.677","7","-7.081","1","0.172","0.0312","0.0000066","0.122","0.205","193.818","4"
"spotify:track:1mv4lh1rW1K6xhxhJmEezy","Music Sounds Better With You - Radio Edit","spotify:artist:2w7IutHv5g4e8LumrwtjWR","Stardust","spotify:album:7Kusf5plZjl76X5ARWJbNO","Music Sounds Better With You","1998-07-20","1","2","260906","false","69","spotify:user:1227113","2019-08-08T03:15:32Z","disco house","0.729","0.662","5","-7.191","0","0.337","0.00128","0.208","0.305","0.359","124.149","4"
"spotify:track:6FZtOUSkgt5IpzETJtTPQS","You and I","spotify:artist:2gaCpvhi31OZtozJKsr5gm","Papooz","spotify:album:5F0dI74f2b8WDWSfetQxSm","Pacific Telephone","2019-03-08","1","1","200222","false","21","spotify:user:1227113","2019-08-08T03:19:13Z","french indie pop,french indietronica","0.598","0.706","4","-6.966","0","0.0328","0.0167","0.000516","0.308","0.352","150.941","4"
"spotify:track:568CscoInCIcSE50XIpP3u","Cake","spotify:artist:6O4EGCCb6DoIiR6B1QCQgp","Toro y Moi","spotify:album:3xDRuOqakukb1SjHQG4WWc","Anything In Return","2013-01-22","1","10","233518","false","33","spotify:user:1227113","2019-08-08T03:20:41Z","alternative dance,alternative r&b,art pop,chillwave,indie pop,indie rock,indie soul,indietronica,new rave,nu gaze","0.493","0.763","6","-8.834","0","0.033","0.00393","0","0.07","0.457","164.99","4"
"spotify:track:0HSiI74v9ZiWBAgHwlJcd3","Top Down","spotify:artist:5r1yBS6lhh7Mo4Egr3k0JT","Fingazz","spotify:album:6mTHJxpnQlS4qVzT75lJPX","7DAYZ","2019-04-12","1","3","209256","false","6","spotify:user:1227113","2019-08-08T03:14:41Z","chicano rap,popping","0.525","0.639","5","-5.973","0","0.0443","0.48","0.0000379","0.379","0.586","90.108","4"
"spotify:track:5I82lnfQNbLKpXHFa3kcvR","Not Enough (feat. THEY.)","spotify:artist:1aSwrSGBNGMLn9ymttfRkk, spotify:artist:0pghUohLPptZWBasy2wmUx","Lido, THEY.","spotify:album:7nCIY6MIYkXopIXapt0X8j","Not Enough (feat. THEY.)","2017-06-09","1","1","192145","true","39","spotify:user:1227113","2019-08-08T03:14:26Z","future bass,norwegian pop,vapor twitch,alternative r&b,pop r&b,pop rap,trap soul,underground hip hop","0.741","0.835","11","-4.11","0","0.045","0.00583","0","0.161","0.605","109.993","4"
"spotify:track:6odIARTda4VMoX6j5VZfLc","Forever Dumb (feat. SAM KIM)","spotify:artist:7H5EC2qaylGun66YeRrVHg, spotify:artist:4BBN286rBKyCWsSPq2cxYO","So!YoON!, Sam Kim","spotify:album:6YJX2PIub9Ek7LBfpezJG1","So!YoON!","2019-05-21","1","8","232624","false","36","spotify:user:1227113","2019-08-08T03:17:32Z","k-indie,korean indie rock,chill r&b,k-indie,k-pop,korean pop,korean r&b","0.384","0.719","3","-4.374","1","0.12","0.163","0","0.351","0.363","84.947","4"
"spotify:track:4nibH20UISXiJlPRx84FDW","Tuscan Sun","spotify:artist:5NANrCkzoiq5M2vXLY5ukC","234jaydaa","spotify:album:5HTPkSCVRK7l8LLXMsiall","The Crescent Moon Collection","2019-02-14","1","1","123344","false","4","spotify:user:1227113","2019-08-13T17:10:31Z","","0.574","0.48","9","-5.473","0","0.0372","0.00465","0.000359","0.16","0.223","135.752","4"
