"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Album Release Date","Disc Number","Track Number","Track Duration (ms)","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature"
"spotify:track:3b0ErMG1kplmDBdwuASc3j","Ibtihaj","spotify:artist:6NL31G53xThQXkFs7lDpL5, spotify:artist:336vr2M3Va0FjyvB55lJEd, spotify:artist:6ns6XAOsw4B0nDUIovAOUO","Rapsody, D'Angelo, GZA","spotify:album:0D3Mnzy3qQekDajmL7EyzR","Ibtihaj","2019-08-02","1","1","286960","true","34","spotify:user:1227113","2019-08-08T02:17:21Z","alternative hip hop,escape room,hip hop,north carolina hip hop,southern hip hop,trap queen,underground hip hop,alternative r&b,funk,hip hop,indie soul,neo soul,soul,alternative hip hop,east coast hip hop,gangster rap,hardcore hip hop,hip hop,rap,southern hip hop","0.603","0.737","6","-6.411","1","0.383","0.0262","0","0.346","0.895","86.683","4"
"spotify:track:0w9aWiDqZPCOCOtRTLkTPd","Palmolive (feat. Pusha T & Killer Mike)","spotify:artist:0Y4inQK6OespitzD6ijMwb, spotify:artist:5LhTec3c7dcqBvpLRWbMcf, spotify:artist:0ONHkAv9pCAFxb0zJwDNTy, spotify:artist:2N4EYkIlG1kv25g6Wv8LGI","Freddie Gibbs, Madlib, Pusha T, Killer Mike","spotify:album:31KbO7WnDp2AjPdmRTJzdf","Bandana","2019-06-28","1","6","245333","true","56","spotify:user:1227113","2019-08-08T02:46:48Z","alternative hip hop,hip hop,indiana hip hop,rap,southern hip hop,trap,underground hip hop,alternative hip hop,funk,hip hop,psychedelic hip hop,alternative hip hop,gangster rap,hip hop,pop rap,rap,southern hip hop,trap,underground hip hop,virginia hip hop,alternative hip hop,atl hip hop,conscious hip hop,escape room,political hip hop,southern hip hop","0.33","0.603","0","-7.571","1","0.36","0.601","0.00063","0.307","0.812","168.456","3"
"spotify:track:2f9WOEkbisyUYDaoSFAOQg","Ramsey","spotify:artist:42i1K4n41jrf6DuIOQW1BY","Seafood Sam","spotify:album:0ax0SIb6xw3pybqlcYb6Qe","Du-Rag Dreams","2018-02-19","1","1","121008","true","47","spotify:user:1227113","2019-08-08T02:20:15Z","indie hip hop","0.554","0.688","1","-9.333","0","0.073","0.392","0","0.302","0.746","78.655","4"
"spotify:track:04SdX65I0A6D1JbuMAiU9y","Young Eye","spotify:artist:7BxJEL8I7OoAMGyPWn1cPS","Ivan Ave","spotify:album:6wG2Sr0nCEtHSFloNi9UN8","Young Eye","2017-03-31","1","1","206718","false","14","spotify:user:1227113","2019-08-08T02:51:15Z","indie jazz,indie soul,jazz rap","0.566","0.686","2","-10.631","1","0.207","0.621","0.000649","0.133","0.563","79.956","4"
"spotify:track:0RjCn9hDk2EJ1r4wjv2chN","9 to 5","spotify:artist:4OJCbpgLBwFKH3kvlvylUn, spotify:artist:5sKvgmG84C0bIMWeS2SRPr","Jackson Lundy, Brasstracks","spotify:album:3ZQSt99ZnJtSX4OAkemPuI","9 to 5","2019-07-19","1","1","182552","false","32","spotify:user:1227113","2019-08-08T02:21:37Z","bedroom soul,alternative r&b,indie r&b,indie soul,nyc pop","0.81","0.505","8","-6.28","0","0.284","0.279","0.0226","0.0969","0.655","75.957","4"
"spotify:track:4vyCJ1aifvbSaElktM8qnT","DunnHill Interlude","spotify:artist:6gU7qtF5B31WwdgkNwF1XK","DJ Harrison","spotify:album:4VaaNrRh2JtXq17vADwyCh","Stashboxxx","2014-08-05","1","18","106266","false","0","spotify:user:1227113","2019-08-08T02:50:10Z","indie jazz,indie soul,neo r&b,wonky","0.183","0.302","0","-16.177","1","0.0358","0.981","0.919","0.0853","0.0366","86.681","3"
"spotify:track:0gkaW1LkpV93YLQBkW2xJ2","Pelican Party","spotify:artist:6QrRSfwkZsixVIgDRhpToh","Ian Ewing","spotify:album:65Rpb9q7gbq2H3GnjBZ6Gf","Lakehouse","2019-07-19","1","5","249698","false","16","spotify:user:1227113","2019-08-08T02:16:50Z","chillhop,lo-fi beats,vapor twitch","0.491","0.411","0","-9.195","0","0.176","0.769","0.689","0.347","0.341","82.477","4"
"spotify:track:3tPyNRszpXjFhbJXgZIFT7","Holding The Gun","spotify:artist:30DhU7BDmF4PH0JVhu8ZRg","Sabrina Claudio","spotify:album:2qu4bnIxDzOt9iaWF2kkQO","Holding The Gun","2019-07-31","1","1","188478","false","0","spotify:user:1227113","2019-08-08T02:16:35Z","alternative r&b,pop","0.665","0.563","8","-6.042","1","0.0441","0.159","0.000218","0.305","0.353","78.004","4"
"spotify:track:70WfYzzVSbUH3PNQKP1Hfv","Makybap","spotify:artist:478MNLX1Grl5PsyBUpakWA, spotify:artist:3a9URpZNieaALIw6ZjU4Tk","Harris Mac, Von Sell","spotify:album:2fUDVvuEyf9fb0sCNbyL9Q","Makybap","2019-06-07","1","1","156000","true","5","spotify:user:1227113","2019-08-08T02:17:54Z","","0.65","0.319","1","-12.774","0","0.194","0.145","0","0.507","0.601","84.148","4"
"spotify:track:6p5J7phoR7n1QnNevJcWvT","Evening at the Beach","spotify:artist:6c1pBXHYjFcGQQNO5MMsdd, spotify:artist:23lJNrVQNbmohxsZZylJgY","Keys N Krates, Jansport J","spotify:album:3OZY05C8aZruXluvMF6oef","A Beat Tape for Your Friends","2019-07-11","1","11","192515","false","39","spotify:user:1227113","2019-08-08T02:21:58Z","bass trap,edm,electronic trap,livetronica,vapor twitch","0.668","0.808","8","-4.084","0","0.0616","0.00359","0.9","0.419","0.237","89.993","4"
