"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Album Release Date","Disc Number","Track Number","Track Duration (ms)","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature"
"spotify:track:0FiD30GZ5aZFZ2pH5SJ4hY","Primer Letra","spotify:artist:7FNBqkMNkiNpP5w9WY4WHQ","Coladera","spotify:album:1xNIrNcSfbL4Ex80uIXByV","La Dôtu Lado","2019-03-29","1","3","206217","false","12","spotify:user:1227113","2020-07-20T19:24:40Z","candomble","0.468","0.525","0","-12.258","0","0.0515","0.701","0.00817","0.11","0.665","112.463","3"
"spotify:track:5a8cJeYA9jdvNQihma1iun","Teu Popô (Ao Vivo no Estúdio MangoLab)","spotify:artist:21Z6OxfrB1jTI53TaDMm67, spotify:artist:5Dy75ZScAdoNKi4vC8oCym","Hodari, MangoLab","spotify:album:6W9sjZEEJiCQ1u2ouYOoy7","Teu Popô (Ao Vivo no Estúdio MangoLab)","2020-04-03","1","1","149847","false","11","spotify:user:1227113","2020-07-20T19:25:03Z","r&b brasileiro","0.581","0.345","4","-9.184","0","0.0693","0.789","0.000014","0.111","0.716","130.389","4"
"spotify:track:0a31sZceaoOjYJbjWktJ5A","Netflix (Ao Vivo no Estúdio MangoLab)","spotify:artist:21Z6OxfrB1jTI53TaDMm67, spotify:artist:5Dy75ZScAdoNKi4vC8oCym","Hodari, MangoLab","spotify:album:2FF7kTjfcRqyVaE7ip8CKn","Netflix (Ao Vivo no Estúdio MangoLab)","2020-04-10","1","1","200278","false","5","spotify:user:1227113","2020-07-20T19:25:03Z","r&b brasileiro","0.421","0.289","8","-15.671","1","0.088","0.898","0.00512","0.112","0.419","199.831","4"
"spotify:track:2sAjEMf1u0v4qxynZUp63Y","Saudade","spotify:artist:06lnOkY99sXVW44Y0M4BDP, spotify:artist:0GWNKI3VPEcJsOIEhUjmxd","Vitão, Rael","spotify:album:71HeCCNmwSJpAQy0eZYwV0","Ouro","2020-01-17","1","5","180200","true","47","spotify:user:1227113","2020-07-20T19:25:03Z","pop nacional,brazilian hip hop,brazilian reggae","0.613","0.601","5","-5.953","0","0.143","0.23","0","0.235","0.568","76.935","4"
"spotify:track:1SMBXgivj0hHDMshXc3QYe","Tratamento Perfeito","spotify:artist:06lnOkY99sXVW44Y0M4BDP, spotify:artist:21Z6OxfrB1jTI53TaDMm67","Vitão, Hodari","spotify:album:71HeCCNmwSJpAQy0eZYwV0","Ouro","2020-01-17","1","2","214572","true","45","spotify:user:1227113","2020-07-20T19:25:03Z","pop nacional,r&b brasileiro","0.422","0.511","7","-6.912","1","0.3","0.369","0","0.208","0.504","199.373","4"
"spotify:track:4pq5g8DHg6lX7gDqu4OGlg","NADA FÁCIL","spotify:artist:5WFFFHVqeVk5tLuYh2KjQy, spotify:artist:06lnOkY99sXVW44Y0M4BDP","Luccas Carlos, Vitão","spotify:album:7qLgoIhbh7FZ8fbGs3csL3","NADA FÁCIL","2019-11-15","1","1","198846","true","59","spotify:user:1227113","2020-07-20T19:25:03Z","brazilian hip hop,pop nacional,pop rap brasileiro,r&b brasileiro,pop nacional","0.615","0.699","4","-5.5","0","0.063","0.688","0","0.142","0.464","167.993","4"
"spotify:track:3xX9lvwmvvnsrWXJQgdArJ","Neblina (Ao Vivo no Estúdio MangoLab)","spotify:artist:5WFFFHVqeVk5tLuYh2KjQy, spotify:artist:5Dy75ZScAdoNKi4vC8oCym","Luccas Carlos, MangoLab","spotify:album:0w41KPMMh63MvxKpuileYi","Neblina (Ao Vivo no Estúdio MangoLab)","2020-06-19","1","1","237600","false","10","spotify:user:1227113","2020-07-20T19:25:03Z","brazilian hip hop,pop nacional,pop rap brasileiro,r&b brasileiro","0.82","0.272","0","-14.734","1","0.138","0.301","0","0.114","0.522","126.33","4"
"spotify:track:3b67YcrSnqCGTzUPo8p0tm","Estrela da Manhã (Ao Vivo no Estúdio MangoLab)","spotify:artist:1y3yZ6EkHPMyEOFTGl2TNT, spotify:artist:5Dy75ZScAdoNKi4vC8oCym, spotify:artist:0ova1ylDeBYURtVWXl55xf","Tainá, MangoLab, Bellas e Flor","spotify:album:6kcKZicRSrxoGtEmYC0hal","Estrela da Manhã (Ao Vivo no Estúdio MangoLab)","2020-07-10","1","1","166880","false","2","spotify:user:1227113","2020-07-20T19:25:03Z","","0.623","0.0914","11","-17.132","0","0.0516","0.912","0.000662","0.0886","0.38","127.342","4"
"spotify:track:6NTwqaUxw06ege5fPSFGiR","Oasis (Ao Vivo no Estúdio MangoLab)","spotify:artist:1GA8PoLYhHREPKuYYB5A3B, spotify:artist:5Dy75ZScAdoNKi4vC8oCym","Potyguara Bardo, MangoLab","spotify:album:0ehSS67SsUDNU0N1Royxra","Oasis (Ao Vivo no Estúdio MangoLab)","2019-08-16","1","1","263640","false","53","spotify:user:1227113","2020-07-20T19:25:03Z","funk carioca,musica potiguar,nova mpb,pop lgbtq+ brasileira,rap potiguar","0.66","0.491","9","-8.368","1","0.0697","0.828","0","0.151","0.322","124.027","4"
"spotify:track:21KvWioEl7PFj5VX4vmdAh","Quando Penso em Você","spotify:artist:5aMfJUj3n3JxUtu1dwwVFS","Késia Estácio","spotify:album:2BzIkavwfLgnUREYBeHx9d","Quando Penso em Você","2019-09-20","1","1","223397","false","12","spotify:user:1227113","2020-07-20T19:25:03Z","","0.73","0.681","4","-5.222","0","0.0381","0.173","0","0.0572","0.615","125.009","4"
