"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Album Release Date","Disc Number","Track Number","Track Duration (ms)","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature"
"spotify:track:3d2whngwxIaqGmvWxW68lT","Sakura","spotify:artist:2kjrM4RpZVRBHy3hjgJCr7","Felbm","spotify:album:1VNb5pMb2Alr6skHF1wnBm","Tape 1","2018-09-21","1","7","86087","false","14","spotify:user:1227113","2020-07-16T20:20:07Z","indie jazz","0.436","0.163","0","-20.333","1","0.0377","0.632","0.7","0.327","0.049","112.072","5"
"spotify:track:0A6Kac1C6pTYrPNN8FPz62","Gardens - Remastered","spotify:artist:5sD7Cf3SaTVcrg81GQi1Xk","Piero Umiliani","spotify:album:5Uwub8IS3cEJtO5XhcgvuE","Piano Fender Blues (Remastered)","2013-04-19","1","8","203128","false","8","spotify:user:1227113","2020-07-16T20:20:17Z","exotica,lounge,vintage italian soundtrack","0.624","0.19","2","-19.423","1","0.0399","0.897","0.912","0.096","0.439","89.578","4"
"spotify:track:4Alxm1sHmB1ykmRiuV1IB4","Les Introvertes","spotify:artist:2oofDquWt9tMCETKAHmhlG","Mocky","spotify:album:6oGvSegn6fdvnIw72rtiug","Living Time (The Moxtape Vol. 2)","2015-03-16","1","3","89036","false","9","spotify:user:1227113","2020-07-16T20:20:17Z","indie jazz,indie soul","0.376","0.189","0","-15.946","0","0.0293","0.989","0.903","0.11","0.148","86.462","3"
"spotify:track:1AA6tyxmbPOjSHDzSCwyUs","Melting Spheres","spotify:artist:5xu6nwws5Wrbd5TayescJ2","Tommaso Cappellato","spotify:album:2j41XlkQKB3PATL5glMoK2","Aforemention","2016-04-11","1","8","410900","false","1","spotify:user:1227113","2020-07-16T20:20:17Z","italian jazz fusion","0.315","0.582","3","-15.115","1","0.0551","0.933","0.628","0.154","0.0841","145.644","4"
"spotify:track:4PHQFIFb6nwswGo3dWIOSs","Prelúdio em Si Bemol Menor","spotify:artist:5Uzu2l04ozg2ibMyevkKFV","Hareton Salvanini","spotify:album:42uETk8itIAblYWOhuzCMs","S.P. 73","1973","1","3","114546","false","15","spotify:user:1227113","2020-07-16T20:20:17Z","psicodelia brasileira","0.27","0.171","5","-16.401","1","0.0406","0.925","0.876","0.112","0.19","111.198","1"
"spotify:track:699kZd7qgB2Jbv0cxkKkZ7","Piano Bossa Nova","spotify:artist:5sD7Cf3SaTVcrg81GQi1Xk, spotify:artist:7dXBi98p0mN5JCpBnU0XEm","Piero Umiliani, Gato Barbieri","spotify:album:2NZsvphj5w8hjNaEYsRisd","Svezia, Inferno E Paradiso (Outtakes)","2009-10-22","1","4","94485","false","3","spotify:user:1227113","2020-07-16T20:20:17Z","exotica,lounge,vintage italian soundtrack,jazz saxophone,latin soundtrack,smooth jazz","0.454","0.335","10","-11.271","1","0.0492","0.917","0.823","0.103","0.17","147.577","4"
"spotify:track:25yIDtOcBnuzNGontNFKu5","Accadde a Bahia","spotify:artist:49h2ZvYkhZts64fbW9xhw7","Arawak","spotify:album:1YRqbAqtizgF7tvNoTZIJj","Accadde a…","1970-01-01","1","4","199457","false","15","spotify:user:1227113","2020-07-16T20:20:17Z","italian library music,library music","0.518","0.234","9","-19.174","0","0.0531","0.938","0.91","0.1","0.814","158.66","4"
"spotify:track:1rkOXpzER49wdDsd1RPUEK","Viena Fica Na 28 De Setembro","spotify:artist:3DF0ClNOUuvS3gh8V8sRJH","João Bosco","spotify:album:3391Q4zuKuz0JpHkmaJsQv","Comissão De Frente","1982-01-01","1","5","233293","false","22","spotify:user:1227113","2020-07-16T20:20:17Z","bossa nova,choro,mpb,pagode,samba,velha guarda,violao","0.313","0.181","9","-16.195","0","0.0392","0.927","0.000886","0.317","0.205","175.715","4"
"spotify:track:1Kj3TBAZKjz9JxZ7NAi5PG","The Joys Of Love","spotify:artist:030gEPJwNJnBcyra7CB9vM","Steve Arrington","spotify:album:6XsDefTDbmwqNquqffs88h","The Joys Of Love","2020-05-13","1","1","306860","false","15","spotify:user:1227113","2020-07-16T20:20:17Z","funk,indie jazz,post-disco","0.576","0.482","6","-7.364","1","0.174","0.508","0.000114","0.341","0.483","83.749","4"
"spotify:track:54FxjtVjXuY4jn6YFMO1NH","Pickled Ginger","spotify:artist:0fTav4sBLmYOAzKuJw0grL","Mac Ayres","spotify:album:02dq5KH5htRQNedTyplLu8","Something to Feel","2018-09-05","1","8","151432","false","41","spotify:user:1227113","2020-07-16T20:20:17Z","alternative r&b,chill r&b,indie soul","0.492","0.347","1","-12.875","1","0.0764","0.784","0.00284","0.174","0.284","60.865","4"
"spotify:track:6FxZkPxE3QsPXvCaVbhq8V","GO","spotify:artist:6LtgEnShwvrqAaKohg7skM","Hablot Brown","spotify:album:3vhBQNCRSGcpgl3IthlNG5","OPAQUE","2020-05-04","1","1","189560","true","40","spotify:user:1227113","2020-07-16T20:20:17Z","alternative r&b,chill r&b,indie r&b,indie soul","0.567","0.409","7","-8.831","0","0.0418","0.698","0.000159","0.192","0.203","83.658","4"
