"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Album Release Date","Disc Number","Track Number","Track Duration (ms)","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature"
"spotify:track:3eikvwHmI735w9ATMEyB9u","See I Miss Pt. 2 (feat. Marsha Ambrosius)","spotify:artist:5XenQ7XfcvQdfIbpLEFaKQ, spotify:artist:46VWDbmWmzvPBTmkSr25gM","GoldLink, Marsha Ambrosius","spotify:album:6bJSN9sExcnmAZ3SItaeL1","See I Miss Pt. 2 (feat. Marsha Ambrosius)","2016-11-08","1","1","250679","true","34","spotify:user:1227113","2016-12-06T02:29:49Z","alternative r&b,dmv rap,hip hop,rap,underground hip hop,british soul,hip pop,neo soul,pop r&b,r&b,urban contemporary","0.749","0.477","10","-9.849","0","0.381","0.688","0.000027","0.0925","0.755","134.963","4"
"spotify:track:6MEDfjHxnVNcYmHe3mM6L2","Sweet Life","spotify:artist:2h93pZq0e7k5yf4dywlkpM","Frank Ocean","spotify:album:392p3shh2jkxUxY2VHvlH8","channel ORANGE","2012-07-10","1","5","262680","true","63","spotify:user:1227113","2016-12-06T02:32:16Z","alternative r&b,hip hop,lgbtq+ hip hop,neo soul,pop","0.479","0.558","11","-6.074","1","0.179","0.227","0","0.0808","0.8","83.465","4"
"spotify:track:2EXs1vunQoeMjDWcFUgTap","RAREPANTHER+BEACHHOUSE","spotify:artist:6I3MElirhT5t6Kf7p0hGk9","Duckwrth","spotify:album:2EeE1gjh6FoEPactLCnTMm","RAREPANTHER+BEACHHOUSE - Single","2016-08-21","1","1","307631","true","33","spotify:user:1227113","2016-12-06T02:45:38Z","alternative r&b,indie r&b,underground hip hop","0.618","0.781","1","-5.436","1","0.317","0.624","0","0.249","0.716","109.975","4"
"spotify:track:7DPqWF5AcTj7D6XbSX0E2q","Nothin","spotify:artist:1ofhNTFMyFVSs62cJWG0oj, spotify:artist:3jk39CGeaaSO3FPKNx1RUx","Kingdom, Syd","spotify:album:1FfaXVkpb2Vmq8sUiKlwz0","Nothin","2016-11-18","1","1","222911","false","10","spotify:user:1227113","2016-12-06T02:26:25Z","bass music,deconstructed club,escape room,alternative r&b,lgbtq+ hip hop","0.686","0.479","5","-9.237","0","0.0578","0.537","0.00977","0.0857","0.3","119.999","4"
"spotify:track:5agKZvpDlh9Wusn1O0z1y7","The Bullet and the Gun","spotify:artist:3QTDHixorJelOLxoxcjqGx","SiR","spotify:album:59UQdPyhT2CSacgBKbyNV9","Seven Sundays","2015-07-31","1","13","184000","false","34","spotify:user:1227113","2016-12-06T02:44:28Z","alternative r&b,hip hop,indie soul,la pop,rap,underground hip hop","0.598","0.448","11","-14.336","1","0.0587","0.575","0.00598","0.108","0.533","81.477","4"
"spotify:track:7DfFc7a6Rwfi3YQMRbDMau","Thinkin Bout You","spotify:artist:2h93pZq0e7k5yf4dywlkpM","Frank Ocean","spotify:album:392p3shh2jkxUxY2VHvlH8","channel ORANGE","2012-07-10","1","2","200746","false","75","spotify:user:1227113","2016-12-06T02:31:25Z","alternative r&b,hip hop,lgbtq+ hip hop,neo soul,pop","0.721","0.339","0","-11.195","1","0.0532","0.409","0.00153","0.0973","0.2","129.83","4"
"spotify:track:4B7mIPbmqaGoAcfP1laJ8r","Crush","spotify:artist:3kHVioJpVxlazAAKQ64pC1, spotify:artist:23zg3TcAtWQy7J6upgbUnj","Yuna, Usher","spotify:album:7xmZhwCMmkqP70vLh7Kzmz","Chapters (Deluxe)","2016-05-20","1","3","243133","false","0","spotify:user:1227113","2016-12-06T02:51:19Z","alternative r&b,malaysian pop,atl hip hop,dance pop,pop,r&b,south carolina hip hop,urban contemporary","0.67","0.428","9","-10.111","0","0.0441","0.34","0.00000409","0.0885","0.384","130.014","4"
"spotify:track:40vpToQtWznp2BKjiEICPF","Me And Your Mama","spotify:artist:73sIBHcqh3Z3NyqHKZ7FOL","Childish Gambino","spotify:album:7nuweNGlxG2OMol6WLp98Q","Me And Your Mama","2016-11-12","1","1","379226","false","0","spotify:user:1227113","2016-12-06T02:32:38Z","atl hip hop,hip hop,pop rap,rap","0.555","0.437","5","-12.388","1","0.0342","0.0102","0.0379","0.0667","0.248","118.009","3"
"spotify:track:4xR3MAscflQ262kMeiKshQ","Skyline To","spotify:artist:2h93pZq0e7k5yf4dywlkpM","Frank Ocean","spotify:album:3mH6qwIy9crq0I9YQbOuDf","Blonde","2016-08-20","1","6","184600","true","66","spotify:user:1227113","2016-12-06T02:31:37Z","alternative r&b,hip hop,lgbtq+ hip hop,neo soul,pop","0.423","0.294","5","-13.673","0","0.0593","0.882","0.00000543","0.0981","0.401","129.146","4"
"spotify:track:7JbazVdiAufL9cfJ8yZiwL","Rocket Science","spotify:artist:24Cf1irKt7kcewb9OOkPum, spotify:artist:24EY6rZFOruUXOcoqxUW21","Joyce Wrice, Kay Franklin","spotify:album:6fZ0ldeiE46JRHcdJpdWHr","Rocket Science","2016-11-15","1","1","248433","false","0","spotify:user:1227113","2016-12-06T02:34:26Z","alternative r&b,chill r&b,indie r&b,indie soul,minnesota hip hop","0.544","0.51","6","-11.474","0","0.178","0.338","0.0644","0.0792","0.385","80.632","4"
