"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Album Release Date","Disc Number","Track Number","Track Duration (ms)","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature"
"spotify:track:7lW2HbFRh65PMz82J7mPnb","passionfruit","spotify:artist:2RqrWplViWHSGLzlhmDcbt","Yaeji","spotify:album:1haNHfsOFIrDKDFYr0pbsy","EP2","2017-11-03","1","5","274728","false","1","spotify:user:1227113","2017-12-02T04:53:03Z","art pop,electropop,escape room,experimental house","0.605","0.443","8","-13.171","0","0.0351","0.611","0.0917","0.111","0.196","111.87","4"
"spotify:track:3cjF2OFRmip8spwZYQRKxP","Feel No Ways","spotify:artist:3TVXtAsR1Inumwj472S9r4","Drake","spotify:album:40GMAhriYJRO1rsY4YdrZb","Views","2016-05-06","1","4","240653","true","72","spotify:user:1227113","2017-12-02T05:03:58Z","canadian hip hop,canadian pop,hip hop,pop rap,rap,toronto rap","0.582","0.677","7","-7.081","1","0.172","0.0312","0.0000066","0.122","0.205","193.818","4"
"spotify:track:3E895HtTn6lB40SA0l9EkL","Take Me Away (feat. Syd)","spotify:artist:20wkVLutqVOYrc0kxFs7rA, spotify:artist:3jk39CGeaaSO3FPKNx1RUx","Daniel Caesar, Syd","spotify:album:3xybjP7r2VsWzwvDQipdM0","Freudian","2017-08-25","1","8","226116","true","62","spotify:user:1227113","2018-01-24T00:52:55Z","canadian contemporary r&b,pop,alternative r&b,lgbtq+ hip hop","0.395","0.409","6","-8.58","1","0.056","0.708","0.0000162","0.0982","0.193","74.088","4"
"spotify:track:1wZqJM5FGDEl3FjHDxDyQd","Come and See Me (feat. Drake)","spotify:artist:2HPaUgqeutzr3jx5a9WyDV, spotify:artist:3TVXtAsR1Inumwj472S9r4","PARTYNEXTDOOR, Drake","spotify:album:2FXGUAESmG5l9YPrzWPvHI","PARTYNEXTDOOR 3 (P3)","2016-08-12","1","15","235477","true","76","spotify:user:1227113","2018-01-23T03:56:37Z","pop,pop rap,r&b,rap,toronto rap,trap,urban contemporary,canadian hip hop,canadian pop,hip hop,pop rap,rap,toronto rap","0.717","0.347","11","-10.265","0","0.0636","0.0511","0.00000243","0.087","0.0589","84.987","4"
"spotify:track:2wBCrtJS3E3TimRZ5MElTI","The Worst","spotify:artist:5ZS223C6JyBfXasXxrRqOk","Jhené Aiko","spotify:album:73TNMu44lT0m1h1Nn6Bfiq","Sail Out","2013-01-01","1","5","254493","true","72","spotify:user:1227113","2017-12-02T05:04:46Z","alternative r&b,dance pop,pop,r&b,urban contemporary","0.539","0.414","1","-9.156","0","0.0601","0.253","0.0000013","0.143","0.123","94.895","4"
"spotify:track:43PuMrRfbyyuz4QpZ3oAwN","Exchange","spotify:artist:2EMAnMvWE2eb56ToJVfCWs","Bryson Tiller","spotify:album:6eZdwrhB97A3EYx9QppGfl","T R A P S O U L","2015-10-02","1","3","194613","true","80","spotify:user:1227113","2017-12-02T05:04:35Z","kentucky hip hop,pop,pop rap,r&b,rap,trap","0.525","0.433","6","-10.598","1","0.185","0.107","0","0.135","0.276","160.108","4"
"spotify:track:1p2t6x0xFXuB6zWcZZ0SmZ","Natural Light","spotify:artist:3dz0NnIZhtKKeXZxLOxCam","Porter Robinson","spotify:album:7AJPV0L05IyIBid97AvwVD","Worlds","2014-08-12","1","8","141226","false","45","spotify:user:1227113","2017-12-02T05:02:45Z","big room,brostep,complextro,edm,electro house,moombahton,pop dance,progressive electro house","0.444","0.267","8","-11.003","1","0.124","0.39","0.875","0.102","0.0734","135.108","4"
"spotify:track:0msrDPXxZpts4FRnoX0bFr","Monks","spotify:artist:2h93pZq0e7k5yf4dywlkpM","Frank Ocean","spotify:album:392p3shh2jkxUxY2VHvlH8","channel ORANGE","2012-07-10","1","13","200240","true","58","spotify:user:1227113","2018-01-24T00:45:34Z","alternative r&b,hip hop,lgbtq+ hip hop,neo soul,pop","0.747","0.758","0","-4.743","0","0.179","0.0521","0","0.214","0.601","102.02","4"
"spotify:track:5GUYJTQap5F3RDQiCOJhrS","Self Control","spotify:artist:2h93pZq0e7k5yf4dywlkpM","Frank Ocean","spotify:album:3mH6qwIy9crq0I9YQbOuDf","Blonde","2016-08-20","1","7","249667","false","77","spotify:user:1227113","2017-12-02T04:58:59Z","alternative r&b,hip hop,lgbtq+ hip hop,neo soul,pop","0.572","0.209","8","-10.413","1","0.0313","0.765","0","0.356","0.446","80.069","4"
"spotify:track:0KyzXQhY2yzcb1FYCHkZc2","Blessed","spotify:artist:20wkVLutqVOYrc0kxFs7rA","Daniel Caesar","spotify:album:3xybjP7r2VsWzwvDQipdM0","Freudian","2017-08-25","1","7","241370","false","68","spotify:user:1227113","2018-01-23T03:58:24Z","canadian contemporary r&b,pop","0.448","0.263","11","-11.98","1","0.0373","0.824","0.00000191","0.106","0.451","109.889","1"
"spotify:track:7JXZq0JgG2zTrSOAgY8VMC","Jungle","spotify:artist:3TVXtAsR1Inumwj472S9r4","Drake","spotify:album:0ptlfJfwGTy0Yvrk14JK1I","If You're Reading This It's Too Late","2015-02-12","1","16","320400","true","73","spotify:user:1227113","2017-12-02T05:03:09Z","canadian hip hop,canadian pop,hip hop,pop rap,rap,toronto rap","0.697","0.235","7","-8.651","1","0.0534","0.62","0.000144","0.107","0.378","99.947","4"
"spotify:track:5Mh8ol1EOzOduMkfbmYZGl","Dear.","spotify:artist:2YZhod6BAbnBKh2nPdUejY","SOMA","spotify:album:1VYwesv824U6g0Xyrqhpxx","The Letter","2017-11-01","1","1","222549","false","0","spotify:user:1227113","2017-12-10T19:17:14Z","korean r&b","0.46","0.464","7","-10.19","1","0.211","0.339","0.00000258","0.358","0.185","159.377","4"
"spotify:track:1BViPjTT585XAhkUUrkts0","Seigfried","spotify:artist:2h93pZq0e7k5yf4dywlkpM","Frank Ocean","spotify:album:3mH6qwIy9crq0I9YQbOuDf","Blonde","2016-08-20","1","15","334570","false","70","spotify:user:1227113","2017-12-02T04:53:14Z","alternative r&b,hip hop,lgbtq+ hip hop,neo soul,pop","0.377","0.255","4","-11.165","0","0.0387","0.975","0.000208","0.102","0.37","125.004","5"
