"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Album Release Date","Disc Number","Track Number","Track Duration (ms)","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature"
"spotify:track:5xK4QC6XtIlBGYlLdywT6q","Fall Fall Fall","spotify:artist:04L3elxyr0XFua2Ek3domW","Sunwoojunga","spotify:album:0BW2GDkubcp2IpL5pKkxZg","Stunning","2019-08-25","1","1","278064","false","29","spotify:user:1227113","2019-11-18T22:41:13Z","k-indie,korean pop","0.459","0.516","10","-3.857","0","0.0335","0.489","0.00000944","0.0861","0.379","129.664","3"
"spotify:track:7nnz5nWr6iHtiEhH3a22HH","How Does It Feel?","spotify:artist:1Q2mS59tFYLm2KGFoCgWN4","Samm Henshaw","spotify:album:2A3eHBDREs2rP4G7u9Gd9V","How Does It Feel?","2018-05-31","1","1","190877","false","55","spotify:user:1227113","2019-12-11T17:03:14Z","british soul,indie soul,uk contemporary r&b","0.613","0.669","0","-6.049","1","0.156","0.1","0","0.281","0.599","80.033","4"
"spotify:track:5Hu24z7izB3LKi6pHaPq3C","Some Place Else","spotify:artist:63vaeIIBKIe9zT91EORVbr","MorMor","spotify:album:7G6KMFNhuWlwwn4zGZTmk9","Some Place Else","2019-05-03","1","1","214885","false","52","spotify:user:1227113","2019-10-29T14:22:54Z","canadian contemporary r&b,indie soul,vapor soul","0.65","0.481","0","-9.582","1","0.0283","0.201","0.901","0.111","0.166","83.976","4"
"spotify:track:6PzRsicdXqGZaL32BTIeTB","비 오는 밤이니까요","spotify:artist:3tJf4CNWLW1ubPxCte1g5D","nokdu","spotify:album:1wPVIYS1N3e4oifThu5gam","비 오는 밤이니까요","2018-07-03","1","1","234572","false","29","spotify:user:1227113","2019-10-29T20:20:39Z","korean city pop,korean r&b","0.4","0.403","6","-7.394","1","0.0275","0.174","0.0000257","0.599","0.263","149.881","4"
"spotify:track:4d9KHG27hZEUyScUkybCIX","Slimey Bourgeoisie","spotify:artist:4HvoSSqs9JthDCVf8rTdeZ","Jachary","spotify:album:2HXeiE0ito0084fqhsWNqG","Loops of Life","2019-07-16","1","7","168480","false","5","spotify:user:1227113","2019-10-28T15:05:46Z","","0.458","0.403","3","-8.036","1","0.0652","0.738","0.181","0.175","0.518","133.777","4"
"spotify:track:6sq5mqtS3jwJjvBHALknJH","Hair Down (feat. Kendrick Lamar)","spotify:artist:3QTDHixorJelOLxoxcjqGx, spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg","SiR, Kendrick Lamar","spotify:album:5w27XydFTwAPV5GjsWya37","Hair Down (feat. Kendrick Lamar)","2019-08-08","1","1","217005","true","60","spotify:user:1227113","2019-10-23T18:36:55Z","alternative r&b,hip hop,indie soul,la pop,rap,underground hip hop,conscious hip hop,hip hop,rap,west coast rap","0.804","0.509","8","-10.833","0","0.132","0.208","0.00011","0.314","0.472","120.074","4"
"spotify:track:3rLWsd8M1eECSanaJMdRGM","The River","spotify:artist:0JeTRYMH7FoBiMcLXg1n8g, spotify:artist:7GP4XKvNCPHXWJ2n8Nmdil","Full Crate, The BLK LT$","spotify:album:4qBT9VqPT87ceqTUuuXY2F","The River","2019-10-18","1","1","192000","false","19","spotify:user:1227113","2019-10-24T15:00:22Z","alternative r&b,chill r&b,dutch r&b,indie r&b,indie soul","0.775","0.292","6","-11.297","0","0.0564","0.854","0.233","0.101","0.323","125.011","4"
"spotify:track:50cUApLg9O5xXDCSJJIlmN","Keeping Me (feat. Billy Mercury)","spotify:artist:3UjPnt2nRmw10N58bBeNOg, spotify:artist:7e3FtKBIPLrIVm8g1FJMVg, spotify:artist:1N3bYTHKqtN0b7nalvuaWp","Xavier Omär, Sango, Billy Mercury","spotify:album:2m8sIT1YP8YBQm2MAliBAH","Moments Spent Loving You","2019-10-25","1","10","284293","false","34","spotify:user:1227113","2019-10-29T17:01:40Z","alternative r&b,chill r&b,indie r&b,indie soul,pop r&b,trap soul,abstract beats,alternative r&b,escape room,indie r&b,indie soul,vapor twitch,virginia hip hop","0.717","0.651","9","-6.513","0","0.0842","0.238","0.00361","0.218","0.718","116.32","4"
"spotify:track:10TN0WSmKI3O6yJuRNblYg","Møøn","spotify:artist:76QHVIjgqlkWB9LNGliman, spotify:artist:2izgj6WOKJsuCRCQUKOoVO","Joe Hertz, Nonô","spotify:album:2gS29xyHXPkGKnpG8e8rcI","Møøn","2019-02-27","1","1","180200","false","46","spotify:user:1227113","2019-10-29T16:50:22Z","alternative r&b,chill r&b,indie r&b,indie soul,uk contemporary r&b,vapor soul,vapor twitch","0.645","0.681","10","-7.798","1","0.0473","0.0994","0.00496","0.144","0.436","129.992","4"
"spotify:track:1sSwMxeou0yN5WDFM5tIbl","Fears","spotify:artist:0fTav4sBLmYOAzKuJw0grL, spotify:artist:5PsYkefUonoeM9VCnpf5zd","Mac Ayres, UHMEER","spotify:album:7LkpnXXvh8x6EU4mRHgFQW","Juicebox","2019-08-16","1","12","142512","true","37","spotify:user:1227113","2019-12-11T16:54:00Z","alternative r&b,chill r&b,indie soul","0.702","0.387","7","-10.764","1","0.331","0.573","0","0.159","0.274","79.17","4"
