"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Album Release Date","Disc Number","Track Number","Track Duration (ms)","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature"
"spotify:track:7sZr82GmEVBJsobAOrxDUy","Honey bee (Feat. PENOMECO)","spotify:artist:72b1XZ6SmDRgHEOB7ypw9z, spotify:artist:50x9jHrP6wy9fo3jK5pNqS, spotify:artist:1MAUqH0haKBYbjpknTfreY","dress, sogumm, PENOMECO","spotify:album:7yABrIa2BN0arPKfGxNc2l","Not my fault","2019-09-27","1","5","148419","false","0","spotify:user:1227113","2019-10-09T19:41:04Z","k-indie,k-rap,k-indie,k-pop,k-rap,korean pop,korean r&b","0.706","0.72","11","-5.331","0","0.0615","0.115","0","0.1","0.549","120.064","4"
"spotify:track:2cpCm5ada85iPIhdc6YOOX","Pink","spotify:artist:6auWB5YAlcKaHyrbTH66nd","No Rome","spotify:album:5ON9itdFujYUliUAlGezJB","Crying In The Prettiest Places","2019-05-03","1","4","187866","true","50","spotify:user:1227113","2019-10-09T14:59:31Z","indietronica","0.764","0.53","4","-7.444","1","0.0613","0.206","0","0.0876","0.443","105.965","4"
"spotify:track:6NJg5GkOHySP3JydDqlbR4","B There","spotify:artist:0JeTRYMH7FoBiMcLXg1n8g, spotify:artist:785y6F5AHHafGaFaRdpMtz","Full Crate, Amaal","spotify:album:3M8ZiQRDpPbGLi3pru5CL2","B There","2019-08-29","1","1","199655","false","9","spotify:user:1227113","2019-10-08T22:02:28Z","alternative r&b,chill r&b,dutch r&b,indie r&b,indie soul,canadian contemporary r&b","0.75","0.477","1","-10.676","1","0.0704","0.16","0.0000334","0.365","0.285","93.011","4"
"spotify:track:636LazKOaRdauDNscdlnwV","Get My Way","spotify:artist:0PJuk7yyhWqoTAQv0Dcw4w, spotify:artist:3Aum3IcJEKuGsWVPBZnvyU, spotify:artist:74EhQOxqIuZSj1wsMLQabN","KayFaraway, ROMderful, Lou Phelps","spotify:album:71mNSa2sSrqxj3qNR6HHF7","OASIS","2019-09-22","1","2","175000","true","19","spotify:user:1227113","2019-10-21T15:06:58Z","indie r&b,canadian hip hop,indie soul","0.587","0.799","1","-2.012","1","0.158","0.255","0.00000169","0.0789","0.821","127.186","5"
"spotify:track:3niY5CHkqhnUy65SGv6Lea","Hold Your Breath","spotify:artist:5XWrDs9DhuuC96bXWAS6cj","Sidibe","spotify:album:7kjHrMCPO6i6F0Yz094YDc","Reckless Abandon","2019-07-12","1","2","321602","false","1","spotify:user:1227113","2019-10-09T19:24:03Z","neo r&b","0.695","0.707","5","-6.667","0","0.038","0.321","0","0.0596","0.758","115.044","4"
"spotify:track:5GlXWvhXW7EQ2RiGKbVJEt","As Long As You're Asleep","spotify:artist:30DhU7BDmF4PH0JVhu8ZRg","Sabrina Claudio","spotify:album:3boDP5dWDe5JsnF3KvRZSL","""Truth Is"" - The Short Collection","2019-09-19","1","4","162000","false","0","spotify:user:1227113","2019-10-09T19:24:58Z","alternative r&b,pop","0.492","0.532","7","-5.569","0","0.204","0.728","0","0.149","0.51","120.121","3"
"spotify:track:0L4BpVI5JmuCBW4dGNsuAf","One-man show (Feat. Sik-K)","spotify:artist:4XpUIb8uuNlIWVKmgKZXC0, spotify:artist:5DIi2JWfQPTKffaVBlIYRn","ZICO, Sik-K","spotify:album:0yRTfpYIoHqPmmijU9GZGd","THINKING Part.1","2019-09-30","1","5","244000","false","38","spotify:user:1227113","2019-10-09T21:15:30Z","k-pop,k-rap,korean pop,korean r&b,k-pop,k-rap,korean r&b","0.492","0.569","2","-5.55","1","0.26","0.116","0","0.13","0.233","109.946","4"
"spotify:track:4Rx4UflHpZV1DRl0sfkFrF","Juice (feat. Hoody)","spotify:artist:6hsBCZQ02Rt2PIbXlGtEbA, spotify:artist:7lXgbtBDcCRbfc5f8FhGUL","Phe Reds, Hoody","spotify:album:0Rci8jAikgOzMlhcbWh9Su","Juice (feat. Hoody)","2019-09-23","1","1","232897","false","36","spotify:user:1227113","2019-10-11T14:23:18Z","chill r&b,korean r&b,k-indie,k-pop,k-rap,korean pop,korean r&b","0.737","0.492","8","-7.157","1","0.0433","0.432","0","0.108","0.53","111.976","4"
"spotify:track:5U3OmwrBEekQiDeqYItokP","What Do We Do? (feat. Parisalexa)","spotify:artist:3UjPnt2nRmw10N58bBeNOg, spotify:artist:7e3FtKBIPLrIVm8g1FJMVg, spotify:artist:7CZXfBcIhQ2dPEqk3N74vV","Xavier Omär, Sango, Parisalexa","spotify:album:16g9vRwdLxwJoOYUQ44WGP","What Do We Do? (feat. Parisalexa)","2019-10-11","1","1","184162","false","26","spotify:user:1227113","2019-10-11T14:43:25Z","alternative r&b,chill r&b,indie r&b,indie soul,pop r&b,trap soul,abstract beats,alternative r&b,escape room,indie r&b,indie soul,vapor twitch,alternative r&b,indie r&b","0.782","0.365","7","-8.049","0","0.0604","0.38","0.000184","0.101","0.369","105.003","4"
"spotify:track:4BQg3mHqET7x4JRWlQRVKH","Njoy","spotify:artist:1A9o3Ljt67pFZ89YtPPL5X","Snoh Aalegra","spotify:album:42wtqDcTQlJJbUzAPBSwaK","- Ugh, those feels again","2019-08-16","1","11","81633","false","47","spotify:user:1227113","2019-10-11T15:57:43Z","alternative r&b,indie r&b,indie soul,neo soul,scandinavian r&b,swedish soul","0.427","0.152","9","-12.42","0","0.0394","0.939","0.00984","0.108","0.0637","82.015","3"
"spotify:track:4cfm8AtbtD1SKULcpyI3jD","Watching You","spotify:artist:7pDpe11VR9K3wb0beLtY2m, spotify:artist:18wvK6P7C3IUuPJstNvXsD, spotify:artist:0BfI4rAz9d2ZupWzV4I3vx, spotify:artist:7flydDGMB0orujddPJZnTg","Normcore Boyz, OSAMi, Fox4G, RICK NOVA","spotify:album:4HDWfr9AsWcMDKgJt3vsuH","Cityman's Gift","2018-12-21","1","5","185152","false","1","spotify:user:1227113","2019-10-11T17:08:32Z","j-rap,japanese trap","0.649","0.616","10","-7.649","0","0.0399","0.648","0.0000113","0.349","0.469","115.031","4"
"spotify:track:3zIjQaok7j5LeyfaSUJcBu","One Hand","spotify:artist:5g5eVr2vAQnd12Q1XCJD7R, spotify:artist:4LR3BRvTeWCiS1l16TqXVh","lophiile, Sophie Faith","spotify:album:08Y2FNHDlpJsK5BPgF4teN","To Forgive","2019-02-22","1","2","275446","false","21","spotify:user:1227113","2019-10-14T17:16:25Z","uk contemporary r&b","0.623","0.576","8","-6.458","1","0.0796","0.361","0.000195","0.0894","0.364","79.968","4"
"spotify:track:3KSnA0j67IFkiwmEotMGin","Secret (feat. Jeremih & Serani)","spotify:artist:3wcj11K77LjEY1PkEazffa, spotify:artist:3KV3p5EY4AvKxOlhGHORLg, spotify:artist:22099GssG7Ood0d5UIh2wo","Burna Boy, Jeremih, Serani","spotify:album:34vlTd4355ddD4q9pPsoqF","African Giant","2019-07-25","1","8","203537","true","62","spotify:user:1227113","2019-10-14T19:37:58Z","afro dancehall,dancehall,nigerian hip hop,nigerian pop,chicago rap,dance pop,hip hop,pop,pop rap,r&b,southern hip hop,trap,urban contemporary,dancehall,reggae fusion","0.504","0.919","1","-3.695","1","0.1","0.221","0.000047","0.104","0.618","136.374","5"
"spotify:track:1kQcX6cLpC57HQqqSRrHi4","Ring Ring (feat. Gaeko)","spotify:artist:5DIi2JWfQPTKffaVBlIYRn, spotify:artist:0tkHE1pQ5ZCgQb8WZ0ba79","Sik-K, Gaeko","spotify:album:48u7IqYux9zf5sUWVb6qcm","H.A.L.F (Have.A.Little.Fun)","2017-06-05","1","1","206613","false","0","spotify:user:1227113","2019-10-17T17:48:05Z","k-pop,k-rap,korean r&b,k-rap,korean r&b","0.622","0.235","11","-9.378","0","0.0512","0.735","0","0.248","0.757","160.015","4"
"spotify:track:3rLWsd8M1eECSanaJMdRGM","The River","spotify:artist:0JeTRYMH7FoBiMcLXg1n8g, spotify:artist:7GP4XKvNCPHXWJ2n8Nmdil","Full Crate, The BLK LT$","spotify:album:4qBT9VqPT87ceqTUuuXY2F","The River","2019-10-18","1","1","192000","false","19","spotify:user:1227113","2019-10-21T14:59:07Z","alternative r&b,chill r&b,dutch r&b,indie r&b,indie soul","0.775","0.292","6","-11.297","0","0.0564","0.854","0.233","0.101","0.323","125.011","4"
"spotify:track:3qUNcMXZBO5vvhSHLhBpJ9","Water Fall (Interluuube)","spotify:artist:3jK9MiCrA42lLAdMGUZpwa","Anderson .Paak","spotify:album:4VFG1DOuTeDMBjBLZT7hCK","Malibu","2016-01-15","1","11","118053","true","47","spotify:user:1227113","2019-10-21T14:59:16Z","escape room","0.491","0.494","5","-9.585","0","0.129","0.458","0.0314","0.114","0.374","118.242","4"
"spotify:track:1C6cfPAF4i2V8pWUPdHevc","Trippin (feat. Kehlani)","spotify:artist:5MbNzCW3qokGyoo9giHA3V, spotify:artist:0cGUm45nv7Z6M6qdXYQGTX","EARTHGANG, Kehlani","spotify:album:2JtlTPzThXs3Pvz8V2iBIB","Mirrorland","2019-09-06","1","11","257746","true","49","spotify:user:1227113","2019-10-23T14:46:32Z","atl hip hop,hip hop,indie hip hop,psychedelic hip hop,rap,underground hip hop,dance pop,pop,pop rap,post-teen pop,r&b,urban contemporary","0.703","0.449","1","-9.924","1","0.0971","0.208","0.000483","0.105","0.466","99","4"
"spotify:track:2vDikkdCLKqhwaYwxZMFEN","I Just Do","spotify:artist:4lwPGsAG5qnfn1JOtESnYZ, spotify:artist:5HKvkL7ClgwC0Yepi6LCzj","Guordan Banks, Cosmic Caviar","spotify:album:0CnycR4ezQkvLBtCeq9pGV","BLOOD ON THE VINYL","2019-10-25","1","1","190288","false","29","spotify:user:1227113","2019-10-25T14:39:49Z","","0.707","0.464","7","-6.341","0","0.0575","0.388","0.0000103","0.0946","0.262","93.002","4"
"spotify:track:5cHdOuER9BztlOcbUNBmrQ","Just Get Here (feat. Wale & VanJess)","spotify:artist:3UjPnt2nRmw10N58bBeNOg, spotify:artist:7e3FtKBIPLrIVm8g1FJMVg, spotify:artist:67nwj3Y5sZQLl72VNUHEYE, spotify:artist:0Ek89uaJyo6NfWK22awFvI","Xavier Omär, Sango, Wale, VanJess","spotify:album:2m8sIT1YP8YBQm2MAliBAH","Moments Spent Loving You","2019-10-25","1","2","329693","false","56","spotify:user:1227113","2019-10-25T18:50:02Z","alternative r&b,chill r&b,indie r&b,indie soul,pop r&b,trap soul,abstract beats,alternative r&b,escape room,indie r&b,indie soul,vapor twitch,dance pop,gangster rap,hip hop,pop,pop rap,r&b,rap,southern hip hop,trap,urban contemporary,alternative r&b,chill r&b,indie r&b,indie soul","0.795","0.386","5","-10.093","0","0.157","0.59","0.00000265","0.0923","0.196","98.969","4"
"spotify:track:75DQsEq5OU4QkQFOVIFk4C","Strawberry Moon","spotify:artist:2qFIyqgMSxeb3rb9UDnOuo","J Warner","spotify:album:53mKgzN83fL2SR4pXfIVbf","Strawberry Moon","2019-06-28","1","1","204896","false","24","spotify:user:1227113","2019-10-28T15:13:38Z","indie r&b","0.43","0.287","7","-13.719","1","0.211","0.837","0.0305","0.115","0.545","207.585","4"
