"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Album Release Date","Disc Number","Track Number","Track Duration (ms)","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature"
"spotify:track:2jPM4WwAA643cXWS0T1Y6Z","Donna","spotify:artist:07fosh51JNQiW7lpEnupTm, spotify:artist:1DSVMRuPGHT0CpVCw2GXP2","Nu Braz, Jose Mascolo","spotify:album:1zn3c6akEwO5onA65jbgur","Sonho Bossa","2007-02-28","1","11","295372","false","37","spotify:user:1227113","2020-10-13T18:22:49Z","italian lounge","0.695","0.636","7","-7.714","1","0.0354","0.337","0.152","0.154","0.461","140.039","4"
"spotify:track:4sVAC22BGSlZLhsjzOjwat","O Rio","spotify:artist:2ETJpexAxlTPCT6BXHJG1w","Dom Salvador","spotify:album:6D52C2o93yMKyXqOiXRd3A","Série Samba Soul","1971-03-01","1","6","238666","false","24","spotify:user:1227113","2020-10-14T14:51:05Z","bossa nova,brazilian jazz,brazilian soul,piano mpb","0.624","0.66","5","-9.74","1","0.0473","0.796","0.683","0.0649","0.374","102.872","4"
"spotify:track:5IODROsczYnVCQDPGMwsjK","Call Me When You Want Me","spotify:artist:6QEzUmS4jWVbc6JtYV7OvB","Love Apple","spotify:album:0jYJhfo7QIoS4REsWN8qdv","Love Apple","2012-02-28","1","2","330866","false","40","spotify:user:1227113","2020-10-19T14:10:31Z","","0.674","0.259","5","-11.015","1","0.0573","0.934","0.00000296","0.0118","0.355","107.23","3"
"spotify:track:3lNjnE0k3ZlhuDB5hc00pU","Loveliness","spotify:artist:6sj6p5wxfR9ueVEp93RRBf","The Charities","spotify:album:5skZxPGBZ0cqTUSifO8luT","Loveliness","2019-12-17","1","1","456054","false","41","spotify:user:1227113","2020-10-19T14:38:06Z","","0.487","0.421","3","-12.947","1","0.033","0.334","0.000298","0.0927","0.444","144.583","4"
"spotify:track:59IQ2oXNWFyoNJmISYjj7I","Mother Theresa - Original Mix","spotify:artist:6XYOjW5wxf5V9hwAR58o4d","Auntie Flo","spotify:album:5H7bXAW9DD4rhFsVcFInkE","Highlife World Series: Cuba","2015-03-30","1","3","356313","false","40","spotify:user:1227113","2020-10-19T14:47:13Z","organic electronic,scottish electronic","0.817","0.361","5","-12.105","1","0.064","0.923","0.918","0.32","0.359","117.393","4"
"spotify:track:7temtwzguIVsHoT3ewhnxh","Pangea","spotify:artist:5GSILaXo4yN4umwJK8eBBY","Kit Sebastian","spotify:album:2Uo2xIUyu2VRo43IKxrokH","Mantra Moderne","2019-07-19","1","4","257034","false","40","spotify:user:1227113","2020-10-19T16:38:16Z","psychedelic pop","0.705","0.894","5","-8.019","1","0.0418","0.0057","0.481","0.349","0.282","120.686","4"
"spotify:track:3qLYxC8fSUHY49XRz5iX2T","Buscandonos","spotify:artist:6R6PqKFwzVPIePSH8BCKvf","Elia y Elizabeth","spotify:album:038SA3V7cZL6hAH4sHeJ7z","The Original Recordings","1973-09-12","1","6","170120","false","7","spotify:user:1227113","2020-10-19T21:45:11Z","","0.563","0.506","0","-12.841","1","0.0681","0.68","0.00353","0.117","0.907","120.108","4"
"spotify:track:1xDwfsuGAbre6IpxF7JMLT","O metrô","spotify:artist:7c2M9J4vkC24hmNwQyl4vZ","Carlos Dafé","spotify:album:0CBbwRx9ScndtVJ76cJMzv","Dois Momentos","1977","1","9","178253","false","11","spotify:user:1227113","2020-10-19T21:48:34Z","brazilian boogie,brazilian soul","0.598","0.916","8","-6.98","1","0.163","0.351","0.000365","0.349","0.716","106.872","4"
"spotify:track:0f4nXVIqpp38u3mWmqq3qc","Loungin'","spotify:artist:6hc0mVCpacCeXn2M8O8nj5","Lounge FM","spotify:album:2A0VHH7uZhV8RAyteKOkj4","Love Will Let You Down","2018-03-30","1","1","108250","false","22","spotify:user:1227113","2020-10-19T21:51:42Z","bedroom soul","0.257","0.735","4","-5.289","1","0.0329","0.937","0.724","0.324","0.287","115.266","4"
"spotify:track:1Gn4f6iuFcjWVPuGSZZloZ","Ode to Workman","spotify:artist:2OdDSzfQQqRIEAChRQ8bEy","Terumasa Hino meets Reggie Workman","spotify:album:5ppyEJiUQc9kqXmzOECwWL","J-Jazz – Deep Modern Jazz from Japan 1969-1984","2018-02-23","1","8","928500","false","10","spotify:user:1227113","2020-10-20T15:53:55Z","classic japanese jazz","0.302","0.481","2","-16.968","1","0.0428","0.622","0.123","0.124","0.48","138.044","3"
"spotify:track:3QD6KQhjZ1W7bMP5Io0xrw","Plis Infinis n°3","spotify:artist:486BqyuIu3tdxUD9ukxeuQ","Frederic Galliano","spotify:album:5dCNqm2ldEE1uogTjjvdE4","Espaces baroques","1997-11-10","1","3","313933","false","7","spotify:user:1227113","2020-10-20T18:42:04Z","","0.327","0.21","10","-19.206","0","0.0558","0.979","0.861","0.115","0.208","103.902","4"
"spotify:track:2aFekADYhdh44ozUVoqkNk","One of Those Days","spotify:artist:443OoeHtWnNdDNKN4xgkeg","J.D. Simo","spotify:album:5MesrUOlSwDMhqRZeBnQhi","JD Simo","2020-08-21","1","5","196648","false","15","spotify:user:1227113","2020-10-20T19:55:18Z","","0.54","0.861","6","-4.296","0","0.0494","0.00656","0.379","0.37","0.716","95.692","4"
"spotify:track:52AAbgAFJOTvBngjPJHYoL","Souvent longtemps énormément","spotify:artist:5y65nQvIt9ABZ2Dkv5191h","Diane Tell","spotify:album:5J2cTiDe35i6XR3hXtMvNU","Autour de Montréal (Compilation 1978-1982)","2009-01-01","1","6","256226","false","29","spotify:user:1227113","2020-10-21T17:28:52Z","auteur-compositeur-interprete quebecois,chanson","0.836","0.514","0","-9.978","1","0.0506","0.47","0.000295","0.132","0.745","113.501","4"
