"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Album Release Date","Disc Number","Track Number","Track Duration (ms)","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature"
"spotify:track:1BViPjTT585XAhkUUrkts0","Seigfried","spotify:artist:2h93pZq0e7k5yf4dywlkpM","Frank Ocean","spotify:album:3mH6qwIy9crq0I9YQbOuDf","Blonde","2016-08-20","1","15","334570","false","70","spotify:user:1227113","2018-04-05T15:26:11Z","alternative r&b,hip hop,lgbtq+ hip hop,neo soul,pop","0.377","0.255","4","-11.165","0","0.0387","0.975","0.000208","0.102","0.37","125.004","5"
"spotify:track:5GUYJTQap5F3RDQiCOJhrS","Self Control","spotify:artist:2h93pZq0e7k5yf4dywlkpM","Frank Ocean","spotify:album:3mH6qwIy9crq0I9YQbOuDf","Blonde","2016-08-20","1","7","249667","false","77","spotify:user:1227113","2018-04-05T15:26:21Z","alternative r&b,hip hop,lgbtq+ hip hop,neo soul,pop","0.572","0.209","8","-10.413","1","0.0313","0.765","0","0.356","0.446","80.069","4"
"spotify:track:1RMJOxR6GRPsBHL8qeC2ux","Best Part (feat. H.E.R.)","spotify:artist:20wkVLutqVOYrc0kxFs7rA, spotify:artist:3Y7RZ31TRPVadSFVy1o8os","Daniel Caesar, H.E.R.","spotify:album:3xybjP7r2VsWzwvDQipdM0","Freudian","2017-08-25","1","2","209831","false","80","spotify:user:1227113","2018-04-05T15:26:40Z","canadian contemporary r&b,pop,alternative r&b,dance pop,pop,pop rap,r&b,urban contemporary","0.524","0.364","7","-10.209","1","0.0367","0.808","0","0.1","0.436","75.24","4"
"spotify:track:1boXOL0ua7N2iCOUVI1p9F","Japanese Denim","spotify:artist:20wkVLutqVOYrc0kxFs7rA","Daniel Caesar","spotify:album:5qfhZ5YkZ4LhEUbYgjrWt6","Get You - Single","2016-10-21","1","2","270846","true","78","spotify:user:1227113","2018-04-05T15:26:42Z","canadian contemporary r&b,pop","0.707","0.238","3","-8.818","1","0.0379","0.0905","0.00000242","0.0842","0.345","124.156","3"
"spotify:track:1TPLsNVlofwX1txcE9gZZF","We Find Love","spotify:artist:20wkVLutqVOYrc0kxFs7rA","Daniel Caesar","spotify:album:3xybjP7r2VsWzwvDQipdM0","Freudian","2017-08-25","1","6","254919","false","69","spotify:user:1227113","2018-04-05T15:26:44Z","canadian contemporary r&b,pop","0.51","0.363","5","-8.635","1","0.0304","0.853","0","0.109","0.426","78","4"
"spotify:track:0KyzXQhY2yzcb1FYCHkZc2","Blessed","spotify:artist:20wkVLutqVOYrc0kxFs7rA","Daniel Caesar","spotify:album:3xybjP7r2VsWzwvDQipdM0","Freudian","2017-08-25","1","7","241370","false","68","spotify:user:1227113","2018-04-05T15:26:49Z","canadian contemporary r&b,pop","0.448","0.263","11","-11.98","1","0.0373","0.824","0.00000191","0.106","0.451","109.889","1"
"spotify:track:59acp1OhcvxwVBwQJBYKuX","Loose","spotify:artist:20wkVLutqVOYrc0kxFs7rA","Daniel Caesar","spotify:album:3xybjP7r2VsWzwvDQipdM0","Freudian","2017-08-25","1","5","185522","false","63","spotify:user:1227113","2018-04-05T15:26:52Z","canadian contemporary r&b,pop","0.198","0.162","1","-15.815","1","0.0343","0.926","0.00896","0.135","0.0527","70.453","1"
"spotify:track:1cuYCAodLWgzhwE2KFZ8rC","WASTE","spotify:artist:1Bl6wpkWCQ4KVgnASpvzzA","BROCKHAMPTON","spotify:album:67smHJOf5YlFwad6dAlppm","SATURATION","2017-06-09","1","17","154406","true","62","spotify:user:1227113","2018-04-05T16:31:22Z","boy band,hip hop,rap","0.416","0.412","9","-11.262","1","0.0361","0.511","0.000423","0.241","0.409","116.84","3"
"spotify:track:2XSKbNkH4EeuvoOs8dliBH","I. Flight Of The Navigator","spotify:artist:73sIBHcqh3Z3NyqHKZ7FOL","Childish Gambino","spotify:album:0zi2TaQkYxfXIBvl2yTjQJ","Because The Internet","2013-01-01","1","14","344146","true","0","spotify:user:1227113","2018-04-05T16:47:47Z","atl hip hop,hip hop,pop rap,rap","0.443","0.686","6","-9.744","0","0.0389","0.0614","0.126","0.118","0.149","79.769","4"
"spotify:track:2uMMGgkTOBisJpzyvMzNWm","II. Shadows","spotify:artist:73sIBHcqh3Z3NyqHKZ7FOL","Childish Gambino","spotify:album:0zi2TaQkYxfXIBvl2yTjQJ","Because The Internet","2013-01-01","1","6","231733","true","0","spotify:user:1227113","2018-04-05T16:58:45Z","atl hip hop,hip hop,pop rap,rap","0.616","0.76","1","-8.732","1","0.244","0.0948","0.0186","0.345","0.377","116.316","4"
