"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Album Release Date","Disc Number","Track Number","Track Duration (ms)","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature"
"spotify:track:4q69iLq7WKJxSBSkjAhlq3","Cruisin","spotify:artist:2TLYSzGyVYkxAgYSCqUnQj","Jay Prince","spotify:album:30F6SbhHz4tI71wrAHzOdX","Befor Our Time","2015-01-20","1","4","236000","true","26","spotify:user:1227113","2017-02-27T19:04:49Z","alternative r&b,indie r&b,indie soul,trap soul,uk alternative hip hop,underground hip hop","0.719","0.779","1","-7.469","1","0.15","0.258","0","0.128","0.499","112.96","4"
"spotify:track:6IrJw5WaHm2HRcSIwXvMKq","Gentleman's Quarterly","spotify:artist:2J2V1PxHVZ1ANtT8Y2UdTS","Like","spotify:album:5xlGDgCReuVXePNmc7EjbH","Songs Made While High","2016-09-30","1","7","200500","false","19","spotify:user:1227113","2017-02-27T18:34:37Z","","0.518","0.745","11","-7.774","0","0.292","0.219","0","0.117","0.683","142.262","4"
"spotify:track:2luHt1vddBFUdj9Q4qHkkS","시간이 왔나봐 The Time Has Came (feat. Dead' P)","spotify:artist:2qI1pO64eYqGUiv1XTw4cy, spotify:artist:3hk800Fb8F8IQe1WfFGT1w","The Quiett, Dead’p","spotify:album:1gd7FrG4VP93is4Iy2p2Yr","Quiet Storm: A Night Record","2010-03-11","1","9","223213","false","0","spotify:user:1227113","2017-02-28T04:42:29Z","k-rap,korean r&b,korean trap,k-rap","0.573","0.751","5","-7.278","0","0.161","0.0145","0.000355","0.073","0.74","87.268","4"
"spotify:track:6d8qqWoZUxozLsjahEhVPn","Misted","spotify:artist:007nYTXRhZJUZGH7ct5Y3v","Tails","spotify:album:0vQBj9nzu3i8ESnqhRovYq","Misted","2016-07-03","1","1","142053","true","30","spotify:user:1227113","2017-02-28T04:30:15Z","future bass,gaming edm,vapor twitch","0.74","0.29","10","-12.12","0","0.236","0.704","0.799","0.111","0.565","84.522","4"
"spotify:track:1oSOyE9Ap4PNSpxfirRPDs","Acid Test","spotify:artist:1FHDMgGdmIP4IsoFkAwbS0","River Tiber","spotify:album:6b2WCsIVTfpx1xXHPrsn1T","Indigo","2016-06-24","1","3","313370","false","15","spotify:user:1227113","2017-02-28T04:24:48Z","alternative r&b,indie soul","0.258","0.764","3","-6.811","0","0.0831","0.227","0.000942","0.314","0.1","79.453","4"
"spotify:track:2vWxvpycD0ELvOJr6g4pQt","WEIGHT OFF","spotify:artist:6qgnBH6iDM91ipVXv28OMu, spotify:artist:65dGLGjkw3UbddUg2GKQoZ","KAYTRANADA, BADBADNOTGOOD","spotify:album:1dZZh7PvVgce1DDsDPzy8Z","99.9%","2016-05-06","1","6","155960","false","46","spotify:user:1227113","2017-02-27T18:34:30Z","escape room,indie soul,lgbtq+ hip hop,alternative hip hop,canadian modern jazz,escape room,funk,hip hop,indie soul","0.65","0.495","0","-6.385","0","0.0451","0.523","0.723","0.123","0.394","80.032","4"
"spotify:track:5eCCYMsqqnbWdK7jbNd32x","Right Side of the Bed","spotify:artist:72tRiBHei5G9M8it4h4sfC","Oddisee","spotify:album:2JHe5hyBf0wWDfb1T0iwyg","The Odd Tape","2016-05-13","1","2","251923","false","37","spotify:user:1227113","2017-02-28T04:27:16Z","alternative hip hop,dmv rap,hip hop,sudanese pop","0.661","0.526","4","-9.146","0","0.033","0.00371","0.873","0.119","0.222","79.988","4"
"spotify:track:1wIQtB3UQ1TfjNMZZqO6eh","everybody dies","spotify:artist:6l3HvQ5sa6mXTsMTB19rO5","J. Cole","spotify:album:3yKUGrz2tsHP31gqPBhLXx","everybody dies","2016-12-06","1","1","161826","true","63","spotify:user:1227113","2017-02-27T19:34:06Z","conscious hip hop,hip hop,north carolina hip hop,rap","0.779","0.694","9","-9.376","1","0.2","0.281","0.0000136","0.109","0.569","82.861","4"
"spotify:track:2tSCOfgVqyETQCRmsIbDSK","Another Time","spotify:artist:6PEMFpe3PTOksdV4ZXUpbE","NxWorries","spotify:album:7v4ntSy3suhIs5Vy96GXVZ","Yes Lawd!","2016-10-21","1","18","147573","true","0","spotify:user:1227113","2017-02-28T04:41:47Z","hip hop,indie soul","0.538","0.648","0","-6.853","1","0.0804","0.11","0","0.381","0.821","87.684","3"
"spotify:track:0yYkIN91WB0XFZdk03JFyt","SUGAR","spotify:artist:3QTDHixorJelOLxoxcjqGx","SiR","spotify:album:0ZroQbwXa65l6FNFNMpawN","Her Too","2017-02-10","1","5","177142","true","40","spotify:user:1227113","2017-02-28T18:56:36Z","alternative r&b,hip hop,indie soul,la pop,rap,underground hip hop","0.708","0.338","1","-13.604","1","0.239","0.163","0.0000249","0.0964","0.43","84.147","4"
"spotify:track:7BiqCOsctkaGb7KU8NbKUw","Thru the Night","spotify:artist:5SyCTZ8X8YQCI0J1VRp4iC, spotify:artist:2ewAU3d4El7WSIxWUJaZJn","Phonte, Eric Roberson","spotify:album:1rcGTR63W88kaocoQc7JIk","Tigallerro","2016-07-22","1","2","260163","false","31","spotify:user:1227113","2017-02-27T20:00:18Z","alternative hip hop,hip hop,neo r&b,neo soul,north carolina hip hop,neo r&b,neo soul,r&b,urban contemporary","0.745","0.539","1","-6.989","1","0.268","0.116","0","0.192","0.675","92.021","4"
"spotify:track:36t2MIJwdkSaW8rowyEydy","Mind","spotify:artist:5uNCGgWH5Id1cW8kh9Sc67","Fatima","spotify:album:1yKIdLjp0zUVVEPfwdjQSW","Still Dreaming","2016-05-13","1","5","259610","false","16","spotify:user:1227113","2017-02-28T04:27:49Z","indie jazz,indie soul","0.73","0.599","8","-6.531","0","0.108","0.0598","0.0069","0.116","0.531","182.009","4"
"spotify:track:6ueI5IGjsFhfCZIFZ5CI9s","Skipping Stones (feat. Jhené Aiko)","spotify:artist:7wFDo161xYdeaiLz3KIHoM, spotify:artist:5ZS223C6JyBfXasXxrRqOk","Gallant, Jhené Aiko","spotify:album:52YexOrZsaFHvi4jqTWOmu","Ology","2016-04-06","1","14","184146","false","0","spotify:user:1227113","2017-02-27T19:21:53Z","alternative r&b,chill r&b,alternative r&b,dance pop,pop,r&b,urban contemporary","0.584","0.537","9","-5.646","1","0.0344","0.495","0.000189","0.397","0.4","79.982","4"
