"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Album Release Date","Disc Number","Track Number","Track Duration (ms)","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature"
"spotify:track:1eQBEelI2NCy7AUTerX0KS","Ultralight Beam","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","spotify:album:7gsWAHLeT0w7es6FofOXk1","The Life Of Pablo","2016-06-10","1","1","320680","true","76","spotify:user:1227113","2017-02-07T21:48:42Z","chicago rap,rap","0.592","0.403","0","-8.768","0","0.414","0.62","0","0.54","0.391","105.169","4"
"spotify:track:6m9qPYXmhge2QhBLfFKnVF","Same Drugs","spotify:artist:1anyVhU62p31KFi8MEzkbf","Chance the Rapper","spotify:album:71QyofYesSsRMwFOTafnhB","Coloring Book","2016-05-27","1","6","257775","false","68","spotify:user:1227113","2017-02-07T21:34:29Z","chicago rap,conscious hip hop,hip hop,pop rap,rap","0.461","0.293","6","-9.52","1","0.0555","0.947","0.00000995","0.0936","0.531","180.297","4"
"spotify:track:5GUYJTQap5F3RDQiCOJhrS","Self Control","spotify:artist:2h93pZq0e7k5yf4dywlkpM","Frank Ocean","spotify:album:3mH6qwIy9crq0I9YQbOuDf","Blonde","2016-08-20","1","7","249667","false","77","spotify:user:1227113","2017-02-07T21:41:53Z","alternative r&b,hip hop,lgbtq+ hip hop,neo soul,pop","0.572","0.209","8","-10.413","1","0.0313","0.765","0","0.356","0.446","80.069","4"
"spotify:track:6jy12gDerHRUSwiEhfs9C6","Bad Religion","spotify:artist:2h93pZq0e7k5yf4dywlkpM","Frank Ocean","spotify:album:623Ef2ZEB3Njklix4PC0Rs","channel ORANGE (Explicit Version)","2012-07-10","1","14","175453","false","61","spotify:user:1227113","2017-02-07T21:57:28Z","alternative r&b,hip hop,lgbtq+ hip hop,neo soul,pop","0.359","0.367","9","-7.684","1","0.0335","0.738","0.00000143","0.0736","0.104","83.331","4"
"spotify:track:3VPmKgOCy3NGyyA4xaWwPd","Not Just Money","spotify:artist:2h93pZq0e7k5yf4dywlkpM","Frank Ocean","spotify:album:623Ef2ZEB3Njklix4PC0Rs","channel ORANGE (Explicit Version)","2012-07-10","1","6","59760","false","52","spotify:user:1227113","2017-02-07T23:00:45Z","alternative r&b,hip hop,lgbtq+ hip hop,neo soul,pop","0.357","0.827","11","-15.868","0","0.444","0.775","0.0213","0.493","0.103","152.13","1"
"spotify:track:7l7jTJ7PP4XDVO3M9lcUYR","Take A Fall For Me","spotify:artist:53KwLdlmrlCelAZMaLVZqU, spotify:artist:4iCwCMnqsNZ6atvRiADgtn","James Blake, RZA","spotify:album:12ExNn0hx85F8UNzoKCyCD","Overgrown","2013-04-08","1","4","213946","false","0","spotify:user:1227113","2017-02-07T21:58:27Z","alternative r&b,indie soul,uk alternative pop,alternative hip hop,east coast hip hop,hardcore hip hop,hip hop","0.487","0.619","11","-8.957","1","0.12","0.894","0","0.132","0.179","80.096","4"
"spotify:track:2Yz2Z1ENB85nYrK3Rg2qxO","First Fires","spotify:artist:0cmWgDlu9CwTgxPhf403hb, spotify:artist:1EbvbxCONeiXZTVIS2Cw0e","Bonobo, Grey Reverend","spotify:album:7sN6lCgPf1rbZYmA3edMKv","The North Borders","2013-03-21","1","1","278293","false","50","spotify:user:1227113","2017-02-07T22:47:30Z","downtempo,electronica,jazztronica,ninja,nu jazz,trip hop","0.606","0.408","8","-10.539","1","0.0362","0.385","0.29","0.437","0.211","110.01","4"
"spotify:track:3ZdgZ8mDEK7Op8OEKgxsae","Baldwin Park","spotify:artist:2ICR2m4hOBPhaYiZB3rnLW","Sonder","spotify:album:0AHaFhhNCg3u0j6EJ3NfP7","Into","2017-01-27","1","5","95106","false","0","spotify:user:1227113","2017-02-07T22:52:00Z","alternative r&b,trap soul","0.731","0.282","5","-11.735","0","0.0422","0.572","0.91","0.17","0.4","125.009","3"
"spotify:track:4XQQovRSltOGWevTCgacXY","Caretaker (feat. SZA)","spotify:artist:5M0lbkGluOPXLeFjApw8r8, spotify:artist:7tYKF4w9nC0nq9CsPZTHyP","Shelley FKA DRAM, SZA","spotify:album:0L6cXKn2whkvu2xJisMrI2","Gahdamn!","2015-10-23","1","8","171373","true","60","spotify:user:1227113","2017-02-07T22:56:55Z","pop rap,rap,trap,virginia hip hop,pop,pop rap,rap","0.614","0.275","2","-12.804","0","0.186","0.78","0","0.119","0.165","130.664","4"
"spotify:track:6oLHyWvmk6bKrA91EIYZBp","Wednesday Night Interlude","spotify:artist:3TVXtAsR1Inumwj472S9r4, spotify:artist:2HPaUgqeutzr3jx5a9WyDV","Drake, PARTYNEXTDOOR","spotify:album:0ptlfJfwGTy0Yvrk14JK1I","If You're Reading This It's Too Late","2015-02-12","1","10","212280","true","60","spotify:user:1227113","2017-02-07T22:00:44Z","canadian hip hop,canadian pop,hip hop,pop rap,rap,toronto rap,pop,pop rap,r&b,rap,toronto rap,trap,urban contemporary","0.312","0.466","9","-8.163","0","0.0509","0.729","0.00000734","0.215","0.195","135.44","4"
