"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Album Release Date","Disc Number","Track Number","Track Duration (ms)","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature"
"spotify:track:5mBHcJ6yNXyYGLosWkuGqv","Why Can't We Live Together","spotify:artist:7JLwBH0X2G8tgHceqvOu5B","Timmy Thomas","spotify:album:6SVDOGFshodeWxZt1Mz92Y","Why Can't We Live Together: The Best Of The TK Years 1972-'81","2004","1","1","289613","false","54","spotify:user:1227113","2017-02-20T17:21:50Z","classic soul","0.865","0.614","6","-9.983","0","0.0347","0.877","0.818","0.0817","0.862","100.436","4"
"spotify:track:48EjSdYh8wz2gBxxqzrsLe","Cranes in the Sky","spotify:artist:2auiVi8sUZo17dLy1HwrTU","Solange","spotify:album:3Yko2SxDk4hc6fncIBQlcM","A Seat at the Table","2016-09-30","1","4","250973","false","68","spotify:user:1227113","2017-02-20T17:48:35Z","afrofuturism,alternative r&b,dance pop,escape room,hip pop,indie soul,neo soul,pop,pop rap,r&b,urban contemporary","0.719","0.615","6","-5.972","1","0.045","0.408","0.000147","0.235","0.465","96.988","4"
"spotify:track:1VEGmzJ4VfaTHe5HSkpvQe","In the Morning - Mura Masa Edit","spotify:artist:7aFTOGFDEqDtJUCziLVsVC, spotify:artist:5Q81rlcTFh3k6DQJXPdsot","Nao, Mura Masa","spotify:album:1Yc1t2yclQXZ6djjYMOped","For All We Know - The Remixes - EP","2017-02-09","1","1","196760","false","25","spotify:user:1227113","2017-02-20T17:33:21Z","alternative r&b,chill r&b,dance pop,indie soul,neo soul,r&b,uk contemporary r&b,channel islands indie,edm,vapor soul","0.897","0.382","5","-6.731","1","0.119","0.589","0.00568","0.081","0.524","100.035","4"
"spotify:track:4loEQAPpwyNLB4ZFovIORY","Love Incredible (feat. Camila Cabello)","spotify:artist:2LZDXcxJWgsJfKXZv9a5eG, spotify:artist:4nDoRrQiYLoBzwC5BhVJzF","Cashmere Cat, Camila Cabello","spotify:album:5ofeDtd36gZBAbkYH2aG14","Love Incredible (feat. Camila Cabello)","2017-02-17","1","1","179145","false","0","spotify:user:1227113","2017-02-20T17:21:19Z","dance pop,downtempo,edm,pop,post-teen pop,shiver pop,dance pop,electropop,pop,pop dance,post-teen pop","0.326","0.508","10","-8.837","0","0.148","0.0501","0","0.264","0.194","167.049","4"
"spotify:track:6N3qHjcwly8ZuhE4bPYJAX","Get You (feat. Kali Uchis)","spotify:artist:20wkVLutqVOYrc0kxFs7rA, spotify:artist:1U1el3k54VvEUzo3ybLPlM","Daniel Caesar, Kali Uchis","spotify:album:5qfhZ5YkZ4LhEUbYgjrWt6","Get You - Single","2016-10-21","1","1","277297","false","64","spotify:user:1227113","2017-02-20T17:22:58Z","canadian contemporary r&b,pop,colombian pop,dance pop,pop","0.659","0.295","11","-8.528","0","0.0322","0.426","0.0000695","0.0795","0.36","74.037","4"
"spotify:track:79ptYtWnpAnsQutzg2xSFk","Cave Me In","spotify:artist:7wFDo161xYdeaiLz3KIHoM, spotify:artist:3NdOtTPPaXrCyC7Lpmzyhv, spotify:artist:2FLqlgckDKdmpBrvLAT5BM","Gallant, Tablo, Eric Nam","spotify:album:3no6YVGaUUBPQjfeUbajXL","Cave Me In","2017-01-26","1","1","214158","false","54","spotify:user:1227113","2017-02-20T17:37:45Z","alternative r&b,chill r&b,k-pop,k-rap,korean r&b,k-pop,korean pop","0.689","0.512","1","-6.206","1","0.0509","0.346","0.00000207","0.106","0.619","90.091","4"
"spotify:track:4Ijpw64b8ifKu3ekKefHZN","WiFi","spotify:artist:5M0lbkGluOPXLeFjApw8r8, spotify:artist:7IfculRW2WXyzNQ8djX8WX","Shelley FKA DRAM, Erykah Badu","spotify:album:7CHEC1kVstFUDPTxB3Hz2V","Big Baby DRAM","2016-10-21","1","5","245538","true","34","spotify:user:1227113","2017-02-21T19:11:37Z","pop rap,rap,trap,virginia hip hop,afrofuturism,hip hop,neo soul,r&b,soul,urban contemporary","0.47","0.54","0","-7.606","0","0.0667","0.487","0","0.468","0.398","83.129","4"
"spotify:track:31WbwNZ7o9GYg1nLtKZVPX","Also","spotify:artist:7BxJEL8I7OoAMGyPWn1cPS","Ivan Ave","spotify:album:7383WePvo2DutZ7O2WTdpB","Also","2017-01-20","1","1","261231","false","25","spotify:user:1227113","2017-02-20T17:47:14Z","indie jazz,indie soul,jazz rap","0.701","0.584","1","-10.244","1","0.0491","0.286","0.0153","0.12","0.111","81.977","4"
"spotify:track:1qUml7JHGlHQjsU9TNJ3gl","Longtime No See","spotify:artist:526SiOeohcxxzAqB1JCuQb, spotify:artist:3Jiylug2WY0eeLsqFsQkfj, spotify:artist:5krZkab66mF2eexXFJv0A6","Jimmy Whoo, Lonely Band, Bonnie Banane","spotify:album:1CH2WcwG37FtMmZKVf7ogF","Motel Music, Vol. 1","2015-02-16","1","2","224624","false","0","spotify:user:1227113","2017-02-20T17:47:26Z","french indietronica,electro-pop francais,french indie pop,french indietronica","0.565","0.663","1","-7.616","1","0.0456","0.223","0.155","0.0774","0.554","132.266","4"
"spotify:track:4Hp5A5oqVKm4mxNiSubYxP","Show You The Way","spotify:artist:4frXpPxQQZwbCu3eTGnZEw, spotify:artist:24hJWbo98sH84tb0nkeaqy, spotify:artist:3Y3xIwWyq5wnNHPp5gPjOW","Thundercat, Michael McDonald, Kenny Loggins","spotify:album:6yOfVO9suTulzsLPNIhZvH","Show You The Way - Single","2017-01-25","1","1","214554","false","0","spotify:user:1227113","2017-02-21T19:10:59Z","afrofuturism,hip hop,mellow gold,quiet storm,soft rock,yacht rock,album rock,classic rock,mellow gold,new wave pop,rock,soft rock,yacht rock","0.698","0.514","0","-10.325","1","0.0663","0.148","0.0888","0.101","0.63","75.989","4"
"spotify:track:4fVqQKbROkz8Z9FFJS7vls","HiiiPower","spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg","Kendrick Lamar","spotify:album:13WjgUEEAQp0d9JqojlWp1","Section.80","2011-07-02","1","16","279854","true","0","spotify:user:1227113","2017-02-20T17:40:54Z","conscious hip hop,hip hop,rap,west coast rap","0.695","0.827","6","-5.742","0","0.282","0.179","0","0.283","0.538","81.024","4"
"spotify:track:1trZGMI2CGyVT44STkpCoN","Let Me Explain","spotify:artist:2EMAnMvWE2eb56ToJVfCWs","Bryson Tiller","spotify:album:3BjVNKsPNcmSGG5n4bHNUq","Let Me Explain","2016-10-20","1","1","223969","true","65","spotify:user:1227113","2017-02-21T19:13:57Z","kentucky hip hop,pop,pop rap,r&b,rap,trap","0.809","0.504","2","-3.201","1","0.15","0.00156","0","0.0856","0.525","120.065","4"
"spotify:track:4JUGEypg373qGJfg5cx7Qu","Down in the Hamptons","spotify:artist:5bC48lf8QD99jU2lLiJlon","HERO","spotify:album:5jHb7HcqHEmv02wAfDeprZ","Loosies (2009-2015)","2016-12-14","1","3","221570","false","0","spotify:user:1227113","2017-02-20T17:53:30Z","","0.715","0.268","4","-11.223","0","0.0359","0.0325","0.106","0.0966","0.0758","104.042","4"
"spotify:track:3CCyOANoEy4UvUgPYFv1uV","Round Whippin'","spotify:artist:0pkwrPVI8UyXtPkavyJoZ4","A.CHAL","spotify:album:3FAfwBIGInlJu6YPp0eADJ","Welcome to GAZI","2016-06-03","1","4","209983","true","48","spotify:user:1227113","2017-02-21T19:18:35Z","trap soul","0.605","0.558","6","-9.028","0","0.0365","0.00938","0.00465","0.85","0.296","139.947","4"
"spotify:track:6fk2J5CDnN4BVnQpvMMIrk","West Ting","spotify:artist:3rGPttTA9CyIpOTbdozCqG","Dutchboy","spotify:album:4yE0qOwWyv8PwYj9WDrbn3","West Ting","2015-12-06","1","1","259200","true","20","spotify:user:1227113","2017-02-14T18:04:21Z","new jersey rap,trap soul","0.669","0.721","6","-6.483","0","0.218","0.0725","0","0.255","0.166","100.01","4"
"spotify:track:3pnKLnRoGPlnRqPhHX0tOI","Too Fast","spotify:artist:2ICR2m4hOBPhaYiZB3rnLW","Sonder","spotify:album:0AHaFhhNCg3u0j6EJ3NfP7","Into","2017-01-27","1","4","300929","false","0","spotify:user:1227113","2017-02-20T17:46:15Z","alternative r&b,trap soul","0.404","0.343","4","-10.037","0","0.037","0.371","0.0000151","0.219","0.156","99.923","3"
