"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Album Release Date","Disc Number","Track Number","Track Duration (ms)","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature"
"spotify:track:5oxwgPziDjjjKifhTqtMD7","Night At The Sea Side","spotify:artist:53JsFUDYcN2jw6v1nF7Z82","Kuniyuki Takahashi","spotify:album:20sAgx3TsYnW5HffCebCMG","Early Tape Works 1986 - 1993 Vol. 1","2018-01-31","1","1","505429","false","14","spotify:user:1227113","2020-07-28T17:41:35Z","experimental electronic,fourth world,japanese electronic","0.0704","0.391","8","-17.28","0","0.0527","0.804","0.925","0.0767","0.037","63.495","4"
"spotify:track:06KKWJl0kxoN8wlt2imSXf","Day Dreams","spotify:artist:53JsFUDYcN2jw6v1nF7Z82","Kuniyuki Takahashi","spotify:album:20sAgx3TsYnW5HffCebCMG","Early Tape Works 1986 - 1993 Vol. 1","2018-01-31","1","2","329221","false","26","spotify:user:1227113","2020-07-30T01:02:16Z","experimental electronic,fourth world,japanese electronic","0.216","0.105","11","-16.613","0","0.0366","0.819","0.829","0.112","0.116","140.57","3"
"spotify:track:11o1WFKqZXhXaDXGM4SjgQ","Drawing Seeds","spotify:artist:53JsFUDYcN2jw6v1nF7Z82","Kuniyuki Takahashi","spotify:album:20sAgx3TsYnW5HffCebCMG","Early Tape Works 1986 - 1993 Vol. 1","2018-01-31","1","3","259066","false","13","spotify:user:1227113","2020-07-30T01:02:16Z","experimental electronic,fourth world,japanese electronic","0.307","0.407","1","-13.754","0","0.0274","0.806","0.843","0.112","0.348","99.271","1"
"spotify:track:6pwg2QK9GhbfZJ3OhVxT5C","You Should Believe","spotify:artist:53JsFUDYcN2jw6v1nF7Z82","Kuniyuki Takahashi","spotify:album:20sAgx3TsYnW5HffCebCMG","Early Tape Works 1986 - 1993 Vol. 1","2018-01-31","1","4","589492","false","14","spotify:user:1227113","2020-07-30T01:02:16Z","experimental electronic,fourth world,japanese electronic","0.341","0.506","9","-12.761","0","0.0322","0.345","0.825","0.098","0.281","106.085","3"
"spotify:track:2xDhUr64ZWbuKompO69AJY","Signifie","spotify:artist:53JsFUDYcN2jw6v1nF7Z82","Kuniyuki Takahashi","spotify:album:20sAgx3TsYnW5HffCebCMG","Early Tape Works 1986 - 1993 Vol. 1","2018-01-31","1","5","275784","false","11","spotify:user:1227113","2020-07-30T01:02:16Z","experimental electronic,fourth world,japanese electronic","0.688","0.726","2","-10.023","1","0.0615","0.00938","0.875","0.103","0.216","108.501","4"
"spotify:track:6gud9pBI2jEktJVJdYy1Um","Zero To One","spotify:artist:53JsFUDYcN2jw6v1nF7Z82","Kuniyuki Takahashi","spotify:album:20sAgx3TsYnW5HffCebCMG","Early Tape Works 1986 - 1993 Vol. 1","2018-01-31","1","6","259795","false","10","spotify:user:1227113","2020-07-30T01:02:16Z","experimental electronic,fourth world,japanese electronic","0.268","0.868","7","-10.674","0","0.0527","0.22","0.929","0.103","0.565","194.547","4"
"spotify:track:5AprOje6rgHyllrikq0BZ8","Island","spotify:artist:53JsFUDYcN2jw6v1nF7Z82","Kuniyuki Takahashi","spotify:album:4h1Yp6ITa0R2ZAB9YTsuyL","Early Tape Works 1986 - 1993 Vol. 2","2018-06-05","1","1","301730","false","26","spotify:user:1227113","2020-07-30T01:02:24Z","experimental electronic,fourth world,japanese electronic","0.464","0.667","4","-15.385","0","0.0495","0.468","0.296","0.381","0.0389","108.859","4"
"spotify:track:71wMg6idF6wrnILEFsikwI","Your Home","spotify:artist:53JsFUDYcN2jw6v1nF7Z82","Kuniyuki Takahashi","spotify:album:4h1Yp6ITa0R2ZAB9YTsuyL","Early Tape Works 1986 - 1993 Vol. 2","2018-06-05","1","2","311486","false","23","spotify:user:1227113","2020-07-30T01:02:24Z","experimental electronic,fourth world,japanese electronic","0.524","0.348","2","-16.879","1","0.0419","0.838","0.96","0.0946","0.169","80.158","4"
"spotify:track:6kg3oZmQjDU1nMLOWU3gVP","Asia","spotify:artist:53JsFUDYcN2jw6v1nF7Z82","Kuniyuki Takahashi","spotify:album:4h1Yp6ITa0R2ZAB9YTsuyL","Early Tape Works 1986 - 1993 Vol. 2","2018-06-05","1","3","303599","false","36","spotify:user:1227113","2020-07-30T01:02:24Z","experimental electronic,fourth world,japanese electronic","0.911","0.667","3","-10.853","1","0.134","0.786","0.929","0.103","0.96","120.446","4"
"spotify:track:7sGRg4pqQL4g1LFMwfszru","Echoes Of The Past","spotify:artist:53JsFUDYcN2jw6v1nF7Z82","Kuniyuki Takahashi","spotify:album:4h1Yp6ITa0R2ZAB9YTsuyL","Early Tape Works 1986 - 1993 Vol. 2","2018-06-05","1","4","243053","false","18","spotify:user:1227113","2020-07-30T01:02:24Z","experimental electronic,fourth world,japanese electronic","0.638","0.404","0","-9.247","1","0.0296","0.221","0.843","0.0737","0.215","80.005","4"
"spotify:track:4QjZbNMXfcTIjGLPr9gsQU","Ai Iro","spotify:artist:53JsFUDYcN2jw6v1nF7Z82","Kuniyuki Takahashi","spotify:album:4h1Yp6ITa0R2ZAB9YTsuyL","Early Tape Works 1986 - 1993 Vol. 2","2018-06-05","1","5","356059","false","16","spotify:user:1227113","2020-07-30T01:02:24Z","experimental electronic,fourth world,japanese electronic","0.468","0.0762","5","-23.333","1","0.0296","0.86","0.835","0.111","0.0329","91.287","4"
"spotify:track:5yeyT061vYyx5tKtqt2Chf","Sakura No Mizu","spotify:artist:53JsFUDYcN2jw6v1nF7Z82","Kuniyuki Takahashi","spotify:album:4h1Yp6ITa0R2ZAB9YTsuyL","Early Tape Works 1986 - 1993 Vol. 2","2018-06-05","1","6","612855","false","18","spotify:user:1227113","2020-07-30T01:02:24Z","experimental electronic,fourth world,japanese electronic","0.268","0.203","4","-14.982","1","0.0404","0.978","0.944","0.0838","0.0358","122.441","4"
"spotify:track:7C8iDfeSN2FPSR6UFORB4A","Imagination","spotify:artist:53JsFUDYcN2jw6v1nF7Z82","Kuniyuki Takahashi","spotify:album:4h1Yp6ITa0R2ZAB9YTsuyL","Early Tape Works 1986 - 1993 Vol. 2","2018-06-05","1","7","390578","false","17","spotify:user:1227113","2020-07-30T01:02:24Z","experimental electronic,fourth world,japanese electronic","0.41","0.39","1","-13.856","1","0.0436","0.749","0.833","0.108","0.0377","126.874","5"
"spotify:track:6UYWctsd0e6g2m9JvXzErv","CREEK","spotify:artist:1DGpHnPOpMYY780hcQHmPB","Hiroshi Yoshimura","spotify:album:07KJ48Y7pbXvz3Q4H44GZl","Green","2020-03-20","1","1","293200","false","41","spotify:user:1227113","2020-07-30T01:02:37Z","ambient,art pop,fourth world,j-ambient","0.679","0.373","0","-16.642","1","0.138","0.66","0.915","0.0767","0.585","124.474","4"
"spotify:track:2okdRYCtBKj28PXuaheRNS","FEEL","spotify:artist:1DGpHnPOpMYY780hcQHmPB","Hiroshi Yoshimura","spotify:album:07KJ48Y7pbXvz3Q4H44GZl","Green","2020-03-20","1","2","267893","false","39","spotify:user:1227113","2020-07-30T01:02:37Z","ambient,art pop,fourth world,j-ambient","0.2","0.141","7","-21.479","1","0.0468","0.982","0.968","0.0898","0.0332","112.046","4"
"spotify:track:5GCfrtUTMag66ZXcyBUwcd","SHEEP","spotify:artist:1DGpHnPOpMYY780hcQHmPB","Hiroshi Yoshimura","spotify:album:07KJ48Y7pbXvz3Q4H44GZl","Green","2020-03-20","1","3","319666","false","38","spotify:user:1227113","2020-07-30T01:02:37Z","ambient,art pop,fourth world,j-ambient","0.452","0.0532","2","-17.046","1","0.0439","0.972","0.778","0.117","0.761","168.798","4"
"spotify:track:4hNzwEykt9DWUiU7KRf6Pr","SLEEP","spotify:artist:1DGpHnPOpMYY780hcQHmPB","Hiroshi Yoshimura","spotify:album:07KJ48Y7pbXvz3Q4H44GZl","Green","2020-03-20","1","4","385666","false","38","spotify:user:1227113","2020-07-30T01:02:37Z","ambient,art pop,fourth world,j-ambient","0.179","0.0216","0","-25.186","1","0.0504","0.989","0.944","0.0655","0.0353","66.483","4"
"spotify:track:6RPQdkI8t1eaG2abymrYVK","GREEN","spotify:artist:1DGpHnPOpMYY780hcQHmPB","Hiroshi Yoshimura","spotify:album:07KJ48Y7pbXvz3Q4H44GZl","Green","2020-03-20","1","5","314240","false","44","spotify:user:1227113","2020-07-30T01:02:37Z","ambient,art pop,fourth world,j-ambient","0.409","0.0128","9","-23.85","1","0.0492","0.994","0.933","0.0839","0.0558","75.532","4"
"spotify:track:2XBXn7yluQZ6bFReesUjrt","FEET","spotify:artist:1DGpHnPOpMYY780hcQHmPB","Hiroshi Yoshimura","spotify:album:07KJ48Y7pbXvz3Q4H44GZl","Green","2020-03-20","1","6","373973","false","34","spotify:user:1227113","2020-07-30T01:02:37Z","ambient,art pop,fourth world,j-ambient","0.285","0.00426","0","-30.611","1","0.0397","0.991","0.914","0.0764","0.0896","121.487","4"
"spotify:track:6ISxryAwtRFpIi8OU9KTDW","STREET","spotify:artist:1DGpHnPOpMYY780hcQHmPB","Hiroshi Yoshimura","spotify:album:07KJ48Y7pbXvz3Q4H44GZl","Green","2020-03-20","1","7","406053","false","32","spotify:user:1227113","2020-07-30T01:02:37Z","ambient,art pop,fourth world,j-ambient","0.164","0.0714","7","-21.573","1","0.0378","0.968","0.897","0.078","0.0675","74.234","3"
"spotify:track:4j8X5lYsXlWFr6hZ9Djs3h","TEEVEE","spotify:artist:1DGpHnPOpMYY780hcQHmPB","Hiroshi Yoshimura","spotify:album:07KJ48Y7pbXvz3Q4H44GZl","Green","2020-03-20","1","8","216666","false","41","spotify:user:1227113","2020-07-30T01:02:37Z","ambient,art pop,fourth world,j-ambient","0.192","0.0551","9","-24.993","0","0.0697","0.972","0.916","0.0703","0.295","64.11","4"
"spotify:track:48MPwRtt4PRuC0gUZgkI48","Water Copy","spotify:artist:1DGpHnPOpMYY780hcQHmPB","Hiroshi Yoshimura","spotify:album:4h5av08hHhOyyINApKfnEE","Music for Nine Post Cards","2017-11-03","1","1","371866","false","40","spotify:user:1227113","2020-07-30T01:02:45Z","ambient,art pop,fourth world,j-ambient","0.227","0.000882","1","-27.27","1","0.0507","0.945","0.916","0.094","0.425","107.782","4"
"spotify:track:0S9lwd7JF9878QQ6tuuIQg","Clouds","spotify:artist:1DGpHnPOpMYY780hcQHmPB","Hiroshi Yoshimura","spotify:album:4h5av08hHhOyyINApKfnEE","Music for Nine Post Cards","2017-11-03","1","2","354693","false","46","spotify:user:1227113","2020-07-30T01:02:45Z","ambient,art pop,fourth world,j-ambient","0.339","0.00188","11","-26.29","0","0.0604","0.988","0.947","0.104","0.117","141.734","4"
"spotify:track:7d26IhLPUlL4oncFgsms22","Blink","spotify:artist:1DGpHnPOpMYY780hcQHmPB","Hiroshi Yoshimura","spotify:album:4h5av08hHhOyyINApKfnEE","Music for Nine Post Cards","2017-11-03","1","3","282013","false","43","spotify:user:1227113","2020-07-30T01:02:45Z","ambient,art pop,fourth world,j-ambient","0.361","0.055","0","-19.128","1","0.0579","0.977","0.92","0.0753","0.336","68.554","5"
"spotify:track:64JtbaCzTqbduHQaZYOU4T","Dance PM","spotify:artist:1DGpHnPOpMYY780hcQHmPB","Hiroshi Yoshimura","spotify:album:4h5av08hHhOyyINApKfnEE","Music for Nine Post Cards","2017-11-03","1","4","392320","false","45","spotify:user:1227113","2020-07-30T01:02:45Z","ambient,art pop,fourth world,j-ambient","0.382","0.0585","5","-24.358","1","0.0418","0.991","0.934","0.0772","0.0995","127.785","4"
"spotify:track:4YleYbTBE8XmKs5fhuu06c","Ice Copy","spotify:artist:1DGpHnPOpMYY780hcQHmPB","Hiroshi Yoshimura","spotify:album:4h5av08hHhOyyINApKfnEE","Music for Nine Post Cards","2017-11-03","1","5","175773","false","34","spotify:user:1227113","2020-07-30T01:02:45Z","ambient,art pop,fourth world,j-ambient","0.27","0.00157","1","-31.359","1","0.0438","0.987","0.882","0.109","0.0798","62.892","3"
"spotify:track:1t55ZCXzFYc0YJOIUpJuRC","Soto Wa Ame - Rain out of Window","spotify:artist:1DGpHnPOpMYY780hcQHmPB","Hiroshi Yoshimura","spotify:album:4h5av08hHhOyyINApKfnEE","Music for Nine Post Cards","2017-11-03","1","6","276706","false","34","spotify:user:1227113","2020-07-30T01:02:45Z","ambient,art pop,fourth world,j-ambient","0.23","0.00197","2","-26.206","1","0.0448","0.986","0.874","0.104","0.381","71.502","4"
"spotify:track:4KrsGAgv8b2982iqaokrO0","View from My Window","spotify:artist:1DGpHnPOpMYY780hcQHmPB","Hiroshi Yoshimura","spotify:album:4h5av08hHhOyyINApKfnEE","Music for Nine Post Cards","2017-11-03","1","7","375600","false","36","spotify:user:1227113","2020-07-30T01:02:45Z","ambient,art pop,fourth world,j-ambient","0.297","0.00705","7","-23.733","1","0.0444","0.99","0.929","0.0877","0.0863","66.198","4"
"spotify:track:2xjaC2cHzy9699n52Liow5","Urban Snow","spotify:artist:1DGpHnPOpMYY780hcQHmPB","Hiroshi Yoshimura","spotify:album:4h5av08hHhOyyINApKfnEE","Music for Nine Post Cards","2017-11-03","1","8","285773","false","33","spotify:user:1227113","2020-07-30T01:02:45Z","ambient,art pop,fourth world,j-ambient","0.222","0.00194","4","-27.597","0","0.0363","0.995","0.92","0.0962","0.0551","66.771","3"
"spotify:track:4tN3VXOmHiTlxfii8JXGb2","Dream","spotify:artist:1DGpHnPOpMYY780hcQHmPB","Hiroshi Yoshimura","spotify:album:4h5av08hHhOyyINApKfnEE","Music for Nine Post Cards","2017-11-03","1","9","334960","false","34","spotify:user:1227113","2020-07-30T01:02:45Z","ambient,art pop,fourth world,j-ambient","0.16","0.00203","0","-27.711","1","0.0447","0.974","0.94","0.0847","0.0545","70.253","1"
"spotify:track:234pWX1mkGIB6ocTPfMyV9","Tomoshibi","spotify:artist:72H54BeNWF82wu5czm91VX","Shiho Yabuki","spotify:album:0osucAydc2AxgQ1awGjT4x","The Body Is a Message of the Universe - からだは宇宙のメッセージ","1987-01-01","1","1","420746","false","1","spotify:user:1227113","2020-07-30T01:03:05Z","fourth world","0.147","0.057","7","-27.503","1","0.0475","0.929","0.955","0.0775","0.0335","80.911","4"
"spotify:track:0EaSIhl1OJGYu2RcqkIRwz","Samadhi","spotify:artist:72H54BeNWF82wu5czm91VX","Shiho Yabuki","spotify:album:0osucAydc2AxgQ1awGjT4x","The Body Is a Message of the Universe - からだは宇宙のメッセージ","1987-01-01","1","2","582560","false","1","spotify:user:1227113","2020-07-30T01:03:05Z","fourth world","0.167","0.0823","11","-25.004","0","0.0391","0.896","0.949","0.122","0.0363","145.072","4"
"spotify:track:1926Zw0f1npo7hxwHiGzgr","Winterland","spotify:artist:72H54BeNWF82wu5czm91VX","Shiho Yabuki","spotify:album:0osucAydc2AxgQ1awGjT4x","The Body Is a Message of the Universe - からだは宇宙のメッセージ","1987-01-01","1","3","149960","false","0","spotify:user:1227113","2020-07-30T01:03:05Z","fourth world","0.27","0.16","4","-20.316","0","0.0479","0.961","0.947","0.0968","0.0399","136.757","3"
"spotify:track:2RZZmhsMtQuaSddETaGLSD","Tenshingoso","spotify:artist:72H54BeNWF82wu5czm91VX","Shiho Yabuki","spotify:album:0osucAydc2AxgQ1awGjT4x","The Body Is a Message of the Universe - からだは宇宙のメッセージ","1987-01-01","1","4","312333","false","0","spotify:user:1227113","2020-07-30T01:03:05Z","fourth world","0.0937","0.152","7","-29.719","1","0.0607","0.96","0.784","0.103","0.126","60.596","3"
"spotify:track:3aMNwHEkTthuu91C3G0Hdf","Forestland","spotify:artist:72H54BeNWF82wu5czm91VX","Shiho Yabuki","spotify:album:0osucAydc2AxgQ1awGjT4x","The Body Is a Message of the Universe - からだは宇宙のメッセージ","1987-01-01","1","5","254613","false","0","spotify:user:1227113","2020-07-30T01:03:05Z","fourth world","0.13","0.127","7","-21.061","1","0.0416","0.987","0.981","0.0835","0.031","148.942","1"
"spotify:track:6TbfSkj6MeRyKUgnLTADGj","Cosmic Dance - Tawamure","spotify:artist:72H54BeNWF82wu5czm91VX","Shiho Yabuki","spotify:album:0osucAydc2AxgQ1awGjT4x","The Body Is a Message of the Universe - からだは宇宙のメッセージ","1987-01-01","1","6","298240","false","1","spotify:user:1227113","2020-07-30T01:03:05Z","fourth world","0.267","0.0627","4","-25.516","1","0.0357","0.988","0.823","0.114","0.114","88.166","3"
"spotify:track:2kCimL9DE4kzMr94zJIw3s","Energy Flow - Ki No Nagare","spotify:artist:72H54BeNWF82wu5czm91VX","Shiho Yabuki","spotify:album:0osucAydc2AxgQ1awGjT4x","The Body Is a Message of the Universe - からだは宇宙のメッセージ","1987-01-01","1","7","227973","false","3","spotify:user:1227113","2020-07-30T01:03:05Z","fourth world","0.457","0.0184","4","-24.299","1","0.0322","0.881","0.481","0.0775","0.0387","79.995","4"
"spotify:track:0bDfEJSLqrLsx7oyHTCK0n","Shiunkai","spotify:artist:72H54BeNWF82wu5czm91VX","Shiho Yabuki","spotify:album:0osucAydc2AxgQ1awGjT4x","The Body Is a Message of the Universe - からだは宇宙のメッセージ","1987-01-01","1","8","262773","false","0","spotify:user:1227113","2020-07-30T01:03:05Z","fourth world","0.219","0.113","11","-20.432","0","0.0341","0.577","0.947","0.11","0.0547","72.824","4"
"spotify:track:4mU20ko1QbhbifA2osiJbH","Eikoh","spotify:artist:72H54BeNWF82wu5czm91VX","Shiho Yabuki","spotify:album:0osucAydc2AxgQ1awGjT4x","The Body Is a Message of the Universe - からだは宇宙のメッセージ","1987-01-01","1","9","118693","false","0","spotify:user:1227113","2020-07-30T01:03:05Z","fourth world","0.497","0.148","0","-19.148","1","0.0324","0.829","0.954","0.206","0.127","124.979","4"
"spotify:track:0LABjA5jjdYXGW78US0G9w","Karada Wa Uchū No Message","spotify:artist:72H54BeNWF82wu5czm91VX","Shiho Yabuki","spotify:album:0osucAydc2AxgQ1awGjT4x","The Body Is a Message of the Universe - からだは宇宙のメッセージ","1987-01-01","1","10","440666","false","0","spotify:user:1227113","2020-07-30T01:03:05Z","fourth world","0.23","0.235","0","-17.284","1","0.0354","0.705","0.935","0.102","0.063","83.603","4"
"spotify:track:3bCmDqflFBHijgJfvtqev5","1/1 - Remastered 2004","spotify:artist:7MSUfLeTdDEoZiJPDSBXgi","Brian Eno","spotify:album:063f8Ej8rLVTz9KkjQKEMa","Ambient 1/Music For Airports","1978","1","1","1041520","false","53","spotify:user:1227113","2020-07-30T01:03:35Z","ambient,art pop,art rock,compositional ambient,dance rock,electronica,experimental,experimental ambient,fourth world,glam rock,minimalism","0.26","0.00397","2","-31.095","1","0.0406","0.982","0.913","0.102","0.0368","82.862","4"
"spotify:track:1Qr6LFKNBFNNa2y6nMDO31","2/1 - Remastered 2004","spotify:artist:7MSUfLeTdDEoZiJPDSBXgi","Brian Eno","spotify:album:063f8Ej8rLVTz9KkjQKEMa","Ambient 1/Music For Airports","1978","1","2","534213","false","47","spotify:user:1227113","2020-07-30T01:03:35Z","ambient,art pop,art rock,compositional ambient,dance rock,electronica,experimental,experimental ambient,fourth world,glam rock,minimalism","0.119","0.0758","8","-23.943","1","0.0536","0.945","0.973","0.0497","0.0333","94.577","4"
"spotify:track:5z1E46RvhI34TTM2FDMPrp","1/2 - Remastered 2004","spotify:artist:7MSUfLeTdDEoZiJPDSBXgi","Brian Eno","spotify:album:063f8Ej8rLVTz9KkjQKEMa","Ambient 1/Music For Airports","1978","1","3","727080","false","45","spotify:user:1227113","2020-07-30T01:03:35Z","ambient,art pop,art rock,compositional ambient,dance rock,electronica,experimental,experimental ambient,fourth world,glam rock,minimalism","0.133","0.0159","5","-25.925","0","0.0481","0.972","0.943","0.089","0.0371","80.176","4"
"spotify:track:3QpN3dazIcMNqru0L1qLMt","2/2 - Remastered 2004","spotify:artist:7MSUfLeTdDEoZiJPDSBXgi","Brian Eno","spotify:album:063f8Ej8rLVTz9KkjQKEMa","Ambient 1/Music For Airports","1978","1","4","578466","false","45","spotify:user:1227113","2020-07-30T01:03:35Z","ambient,art pop,art rock,compositional ambient,dance rock,electronica,experimental,experimental ambient,fourth world,glam rock,minimalism","0.063","0.0295","2","-25.697","0","0.0361","0.976","0.947","0.108","0.0572","67.369","4"
"spotify:track:4SQbhj7q0H1yIA7LjATtt5","ミート・ミー・イン・ザ・シープ・メドウ","spotify:artist:6W8LyZnFvPHsiapMkFb1dD","Yoshio Suzuki","spotify:album:0nwnSiW0Zeo2UnODZu1UNC","モーニング・ピクチャー","2019-03-06","1","3","205533","false","22","spotify:user:1227113","2020-07-30T01:05:38Z","classic japanese jazz","0.466","0.00107","7","-38.992","0","0.0487","0.994","0.964","0.121","0.26","74.89","4"
"spotify:track:1QrtWRXyq4e6ISTliifgCu","THE ENDLESS TALKING/終りのないおしゃべり(エンドレス・トーキング)","spotify:artist:370nbSkMB9kDWyTypwWYak","Haruomi Hosono","spotify:album:55TS7AN0dxJbQuTHdzXOta","THE ENDLESS TALKING/エンドレス・トーキング","1985","1","8","181626","false","24","spotify:user:1227113","2020-07-30T01:07:36Z","classic j-rock,fourth world,japanese city pop,japanese folk,japanese psychedelic,japanese singer-songwriter,japanese soundtrack,proto-techno,shibuya-kei","0.7","0.0207","0","-16.887","1","0.0684","0.937","0.806","0.112","0.55","75.061","4"
"spotify:track:0TLBZ6ktwizNKiCm3p7SUE","ATTI/アッティ","spotify:artist:370nbSkMB9kDWyTypwWYak","Haruomi Hosono","spotify:album:0Lo1e4bweb7Ce4JpoXXygu","PARADISE VIEW","1985","1","5","169866","false","11","spotify:user:1227113","2020-07-30T01:07:46Z","classic j-rock,fourth world,japanese city pop,japanese folk,japanese psychedelic,japanese singer-songwriter,japanese soundtrack,proto-techno,shibuya-kei","0.823","0.511","2","-7.653","1","0.0721","0.809","0.84","0.103","0.885","123.251","4"
"spotify:track:2FQwSe0BcEkI3fBLTzJgNE","中国の人/the Man of Chine","spotify:artist:370nbSkMB9kDWyTypwWYak","Haruomi Hosono","spotify:album:3yBrCTU5XXeOtAkFDjwryE","コインシデンタル・ミュージック/Coincidental Music","1985","1","4","111506","false","9","spotify:user:1227113","2020-07-30T01:07:46Z","classic j-rock,fourth world,japanese city pop,japanese folk,japanese psychedelic,japanese singer-songwriter,japanese soundtrack,proto-techno,shibuya-kei","0.895","0.208","0","-12.721","1","0.129","0.967","0.765","0.0924","0.607","123.904","3"
"spotify:track:0Qz7ckbA2cXk1NmEfrijun","Image & Collage - Bonus Track","spotify:artist:370nbSkMB9kDWyTypwWYak","Haruomi Hosono","spotify:album:5aWso14zYECQPkvEU5ENkQ","万引き家族「オリジナル・サウンドトラック」","2018-06-08","1","14","211633","false","39","spotify:user:1227113","2020-07-30T01:07:46Z","classic j-rock,fourth world,japanese city pop,japanese folk,japanese psychedelic,japanese singer-songwriter,japanese soundtrack,proto-techno,shibuya-kei","0.599","0.0799","9","-21.494","1","0.0471","0.982","0.842","0.105","0.0899","110.089","4"
"spotify:track:5evrlOxwx4XnMv67aQvbGp","Shota & Yuri 1","spotify:artist:370nbSkMB9kDWyTypwWYak","Haruomi Hosono","spotify:album:5aWso14zYECQPkvEU5ENkQ","万引き家族「オリジナル・サウンドトラック」","2018-06-08","1","4","36999","false","19","spotify:user:1227113","2020-07-30T01:07:46Z","classic j-rock,fourth world,japanese city pop,japanese folk,japanese psychedelic,japanese singer-songwriter,japanese soundtrack,proto-techno,shibuya-kei","0.339","0.0644","2","-22.748","0","0.0539","0.982","0.935","0.109","0.251","172.778","3"
"spotify:track:3nE53iOlnFW78TN2bA3kVl","ジョバンニの透明な哀しみ","spotify:artist:370nbSkMB9kDWyTypwWYak","Haruomi Hosono","spotify:album:73fl68QAygf4TXEv9vj2UF","長編アニメ映画「銀河鉄道の夜」オリジナル・サウンド・トラック盤 銀河鉄道の夜","1985","1","14","214533","false","9","spotify:user:1227113","2020-07-30T01:07:46Z","classic j-rock,fourth world,japanese city pop,japanese folk,japanese psychedelic,japanese singer-songwriter,japanese soundtrack,proto-techno,shibuya-kei","0.383","0.00517","7","-26.918","1","0.0496","0.955","0.357","0.173","0.0396","129.426","4"
"spotify:track:5JgX6CH2iNlhW3zOsvARne","Happiness","spotify:artist:1tcgfoMTT1szjUeaikxRjA","Ryuichi Sakamoto","spotify:album:1h3TBYgIaziHqRqBzpOrrh","Alexei and the Spring","2003-06-13","1","10","75453","false","0","spotify:user:1227113","2020-07-30T01:08:10Z","anime score,art rock,compositional ambient,japanese classical,japanese soundtrack","0.701","0.427","9","-13.339","0","0.0882","0.923","0.902","0.111","0.969","158.005","4"
"spotify:track:1ccJr53u1pzlApnQNcUME9","Dream 〜夢のパピー","spotify:artist:1tcgfoMTT1szjUeaikxRjA","Ryuichi Sakamoto","spotify:album:4RV7mYw4f0yjPfWfArZn3j","L.O.L.","2000-11-08","1","6","84800","false","8","spotify:user:1227113","2020-07-30T01:08:10Z","anime score,art rock,compositional ambient,japanese classical,japanese soundtrack","0.422","0.0824","3","-25.846","0","0.0423","0.978","0.892","0.104","0.0386","84.523","4"
"spotify:track:4adA7Fwkg19s4ajU7Nj7Ua","Dawn of the Forest","spotify:artist:3d3z3hJtZFWkkoDgnF9WX1","Takashi Kokubo","spotify:album:4MFXS23gbKuJnROJ6RfS8b","Healing Collection: Quiet Comfort","2007-09-28","1","1","964666","false","37","spotify:user:1227113","2020-07-30T01:40:50Z","fourth world","0.52","0.22","1","-20.249","1","0.0512","0.821","0.0698","0.357","0.219","101.952","4"
"spotify:track:5W0uyjHVJVSnVA7I8KSOEo","Forest Full of Life","spotify:artist:3d3z3hJtZFWkkoDgnF9WX1","Takashi Kokubo","spotify:album:4MFXS23gbKuJnROJ6RfS8b","Healing Collection: Quiet Comfort","2007-09-28","1","2","351720","false","23","spotify:user:1227113","2020-07-30T01:40:50Z","fourth world","0.333","0.24","7","-12.885","0","0.0387","0.916","0.777","0.285","0.0751","70.91","4"
