"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Album Release Date","Disc Number","Track Number","Track Duration (ms)","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature"
"spotify:track:4bitrbPsxwKDy7aEjtiDl5","Dare no Tame ni","spotify:artist:5QeCklzEEYSSLWeUxuWeBy","Taeko Onuki","spotify:album:53YDN7b4vQ5MLMSPcnh9Os","SUNSHOWER","1977-07-25","1","7","330600","false","29","spotify:user:1227113","2020-10-27T14:56:36Z","anime score,japanese city pop,japanese jazz,japanese new wave,shibuya-kei,techno kayo","0.574","0.398","0","-12.253","1","0.0326","0.614","0.0149","0.0798","0.429","75.771","4"
"spotify:track:7BwF1DaJUdV1ardFi0iEfi","Find It In Your Eyes","spotify:artist:2cBGeAPEN9hSJJeD15PIYh","The System","spotify:album:4Tz8XkpdpIUCgmLmqXJqR3","The System EP","2016-11-24","1","3","274900","false","38","spotify:user:1227113","2020-10-27T15:35:16Z","","0.462","0.72","9","-9.799","0","0.0625","0.0746","0.0555","0.164","0.171","97.939","4"
"spotify:track:0iafJmEDMh0Y1NsklsfYzH","浪漫と算盤 - TYO ver.","spotify:artist:2XjqKvB2Xz9IdyjWPIHaXi, spotify:artist:7lbSsjYACZHn1MSDXPxNF2","Sheena Ringo, Hikaru Utada","spotify:album:6RpbfRdlpJhlm7a6yjJI3K","浪漫と算盤 (TYO ver.)","2019-11-25","1","1","263000","false","45","spotify:user:1227113","2020-10-27T18:32:13Z","j-pop,j-poprock,j-rock,j-pop,japanese singer-songwriter","0.72","0.547","1","-5.753","1","0.0427","0.248","0.00000249","0.123","0.557","100.984","4"
"spotify:track:6XPY03nLWtiZOIkTs2IBjN","In Touch (feat. Charli Taft & Daul)","spotify:artist:3sN7A6NULbpDrV5bAD9B6g, spotify:artist:1SLtuLzX7bWXs78mRvEsM1, spotify:artist:3ai1NgxNCUgcRr0BPbBOAc","Midas Hutch, Charli Taft, Daul","spotify:album:5ewjsi9Fd4yMPsdaUus5VY","In Touch (feat. Charli Taft & Daul)","2020-03-25","1","1","221043","false","40","spotify:user:1227113","2020-11-10T18:23:35Z","dutch pop","0.818","0.556","8","-7.137","1","0.088","0.0713","0.0000248","0.156","0.667","106.067","4"
"spotify:track:5uKzCiz5usAXs00aORpYKb","Don't Stop My Love","spotify:artist:135Rv69sEKYSUfBBaI7i3M","Kashif","spotify:album:45jG2FPwWaf5wAE41umTxv","Kashif (Expanded Edition)","2014-10-27","1","1","276000","false","29","spotify:user:1227113","2020-12-08T19:08:45Z","disco,funk,new jack swing,post-disco,quiet storm,urban contemporary","0.825","0.413","2","-12.95","0","0.0611","0.0985","0.000111","0.118","0.7","114.141","4"
"spotify:track:30QkQEqjW4U7PEtRHRsPOX","SOUL LADY","spotify:artist:4RfI1z9u2xIc5Qnqac4JbO","YUKIKA","spotify:album:16yrp3d9pCJgQK2RMBTtd1","SOUL LADY","2020-07-21","1","3","215693","false","50","spotify:user:1227113","2020-12-08T19:08:49Z","k-indie,korean city pop","0.662","0.952","0","-2.367","0","0.0534","0.0224","0.0000105","0.299","0.751","120.064","4"
"spotify:track:1NcwwsTKqUsUQUxUGdtn8A","Yesterday","spotify:artist:4RfI1z9u2xIc5Qnqac4JbO","YUKIKA","spotify:album:16yrp3d9pCJgQK2RMBTtd1","SOUL LADY","2020-07-21","1","4","222053","false","42","spotify:user:1227113","2020-12-08T19:08:51Z","k-indie,korean city pop","0.696","0.781","5","-3.783","0","0.0393","0.0659","0","0.0858","0.447","100.062","4"
"spotify:track:01gjNPKfoj8D1Xv9gahedq","새벽","spotify:artist:0hW1muryuCdZLfjoLrUhnw","Yoon Jong Shin","spotify:album:2eMcqtk8O9kjw69EwWamCO","처음 만날때처럼","1991-05-01","1","4","299598","false","0","spotify:user:1227113","2020-12-15T20:19:29Z","k-indie,korean pop","0.618","0.213","9","-17.849","1","0.0302","0.647","0.00000506","0.0862","0.445","137.734","4"
"spotify:track:359IiO08eIz2kcwoS74EkD","ようこそ輝く時間へ","spotify:artist:1LQQtqc1vQ1neUgZrjYlEU","Yumi Matsutoya","spotify:album:2KftKQGKx6r6zREGJq1cLa","PEARL PIERCE","1982-06-21","1","1","279234","false","35","spotify:user:1227113","2020-12-16T04:02:46Z","anime score,j-pop,japanese city pop,japanese singer-songwriter","0.755","0.659","11","-7.276","0","0.0481","0.207","0.0015","0.0921","0.799","94.436","4"
"spotify:track:4WQllP6JUK7i5f6yQSQCqM","Windy Lady - Turbotito Remix","spotify:artist:2KV7SeH81I26dNswIYrNeY, spotify:artist:3kXFE55gYRGrhLu6bilTR4, spotify:artist:7KDd0UFR6IpSRnZmvu1CM5","Daniel T., Eiko Hara, Turbotito","spotify:album:5ffhihdkfrFSxbk8IGLib5","Windy Lady","2016-09-23","1","3","303824","false","35","spotify:user:1227113","2020-12-16T18:22:32Z","","0.88","0.455","9","-8.905","1","0.0969","0.04","0.156","0.101","0.605","104.996","4"
"spotify:track:4yrM5BVyJzy5Ed4GPO6e8j","I Wanna Be Your Lover","spotify:artist:5a2EaR3hamoenG9rDuVn8j","Prince","spotify:album:6k7RVZ7bSL9ryReb8RLYRI","Prince","1979-10-19","1","1","347666","false","65","spotify:user:1227113","2020-12-16T19:37:31Z","funk,funk rock,minneapolis sound,motown,synth funk","0.812","0.507","1","-8.825","0","0.0452","0.0399","0.0831","0.0671","0.729","114.832","4"
"spotify:track:0auqyMqX2HRAMSx2z3ZJFq","Not Enough - Tux Refux","spotify:artist:4gHcu2JoaXJ0mV4aNPCd7N, spotify:artist:0CCqHvxGgfjJzwzQzmPlEr","Benny Sings, Tuxedo","spotify:album:2borFj5y44ztL7d1xrxkCz","Not Enough (Tux Refux)","2019-08-09","1","1","210714","false","0","spotify:user:1227113","2020-12-16T19:37:31Z","dutch pop,indie soul,indie soul,popping,synth funk","0.861","0.413","11","-9.258","0","0.0422","0.0692","0.0545","0.113","0.628","104.964","4"
"spotify:track:6K3fTjBCHXCQtc8xK2IL6w","Remind Me","spotify:artist:1mNnxxnPfHQDOkFjnZmdkc","Patrice Rushen","spotify:album:73TPk27H5MBU6flqQ1lr09","Straight From The Heart","1982","1","8","316640","false","55","spotify:user:1227113","2020-12-16T19:37:31Z","disco,funk,jazz funk,motown,post-disco,quiet storm,soul,urban contemporary","0.785","0.587","9","-7.595","0","0.0477","0.23","0.00873","0.0934","0.809","91.076","4"
"spotify:track:3p6WQqJ2z6V3ksqqFfuVGj","You Gotta Get It - Unreleased Edit","spotify:artist:34g0SuVnC8oefEeUlmYXBT","Congress","spotify:album:3GZqJi9HJw8YppQUWkJ4Xv","Backstreet Brit Funk Vol.2 compiled by Joey Negro","2018-07-27","1","15","291246","false","0","spotify:user:1227113","2020-12-16T19:37:31Z","rave","0.681","0.75","9","-7.267","1","0.045","0.0973","0.403","0.085","0.74","110.372","4"
"spotify:track:1RRlUJMxjp2FmkTExBT2T7","Fkn Around (feat. Megan Thee Stallion)","spotify:artist:0oBsnAC3fzYkTHF3bkfNx6, spotify:artist:181bsRPaVXVlUKXrxwZfHK","Phony Ppl, Megan Thee Stallion","spotify:album:6bA7nkjTgFlVk25zvD8oep","Fkn Around (feat. Megan Thee Stallion)","2020-01-31","1","1","244048","true","66","spotify:user:1227113","2020-12-16T19:37:31Z","alternative r&b,indie r&b,indie soul,houston rap,pop,pop rap,trap queen","0.837","0.738","1","-5.297","0","0.117","0.0381","0.00000697","0.0589","0.715","110.993","4"
"spotify:track:6r4Nt3xMAHyRyDaqQ12F7t","Prepad","spotify:artist:7MM8Sbg5RXuH4fjcfPews2","Boban Petrovic","spotify:album:323GyC8SJ4lsfKA9Z84EwC","Aor Global Sounds, Vol. 2","2016-04-08","1","7","247424","false","21","spotify:user:1227113","2020-12-16T19:37:31Z","yugoslav new wave","0.589","0.544","10","-10.147","1","0.267","0.512","0.0000157","0.351","0.938","124.324","4"
"spotify:track:1mLFQjEjCm9TwhSqVnSktE","I Know You Will - Remix","spotify:artist:3v3t1WMcKhHpqDs6xGmjAQ","Logg","spotify:album:0FrNXIGtl6xPTTnDM4C3hX","Logg","1981-01-01","1","8","656573","false","7","spotify:user:1227113","2020-12-16T19:37:31Z","boogie,deep disco,post-disco","0.695","0.628","2","-13.742","1","0.0473","0.00697","0.0439","0.0856","0.874","112.152","4"
