"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Album Release Date","Disc Number","Track Number","Track Duration (ms)","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature"
"spotify:track:61l0tJwZex2PnvE8HAGYWm","Keep on Dubbing","spotify:artist:1AMMMSq3rJdZtFGnBXEkz7, spotify:artist:5WwEQwX3ruZofwDDqtOXwI","King Tubby, Augustus Pablo","spotify:album:46kQluxaaZ7LhKGnm3bOal","King Tubbys Meets Rockers Uptown","1976-07-07","1","1","186501","false","45","spotify:user:1227113","2020-08-11T14:15:51Z","dub,reggae,rock steady,roots reggae,ska,dub,reggae,rock steady,roots reggae,ska","0.679","0.311","2","-14.171","1","0.0735","0.00964","0.839","0.0614","0.382","137.407","4"
"spotify:track:1XFqMejfEUCxHgwBbBLf7d","Jogging","spotify:artist:30R9paG1c5BGtNGle59VPq","Freddie McGregor","spotify:album:3LamMh1kBDsc516HnS0Iuf","Freddie McGregor: The Anthology","1999","2","8","221866","false","28","spotify:user:1227113","2020-08-11T17:00:45Z","dub,lovers rock,reggae,rock steady,roots reggae","0.843","0.505","9","-7.259","0","0.0879","0.132","0","0.0773","0.761","122.857","4"
"spotify:track:6IrbeEhmzZo0e2JVJLgwxo","Let Me Down Easy","spotify:artist:1ht9oSlPiNywrg22T2sM8d","Derrick Harriott","spotify:album:0gIhM9vQShGjLSoohMBa85","Let Me Down Easy","2012","1","1","312326","false","30","spotify:user:1227113","2020-08-24T14:06:24Z","dub,lovers rock,reggae,rock steady,roots reggae,ska","0.805","0.573","7","-9.727","1","0.143","0.677","0.214","0.141","0.541","81.747","4"
"spotify:track:3lhi391IBpsbzLwhA0TmQk","Born To Love You","spotify:artist:708pmTl2zRKC87egxplOGc","The Sensations","spotify:album:3IPuQhufdjBHf3kpi3oHav","Reggae Anthology: Winston Riley - Quintessential Techniques","2009-10-16","1","2","192293","false","23","spotify:user:1227113","2020-08-26T13:38:43Z","classic girl group,rock steady","0.824","0.416","9","-4.222","0","0.0432","0.364","0.00000114","0.103","0.685","96.872","4"
"spotify:track:57ZVk3CIsw0hUBYCGi0Idh","My Country","spotify:artist:1FOvLj8sNCGHjgueUOVvJi","Cornell Campbell","spotify:album:0NeMTpi8HYklmkTrgOlDS1","Stand and Give Praise: Roots Reggae","2010-01-01","2","9","239373","false","12","spotify:user:1227113","2020-08-27T19:25:13Z","dub,lovers rock,reggae,rock steady,roots reggae,ska","0.73","0.585","0","-9.082","1","0.0429","0.026","0.00403","0.312","0.932","137.293","4"
"spotify:track:5QTwor2ERqyeTqAVxJaEkl","Kunte Kinte","spotify:artist:5d1rQk0MvOb5ZYJmzVLOMG","Aquizm","spotify:album:0d2HQYyQl6BWoTWRDn6l6V","81 Sessions In The Front Room","2006-01-17","1","3","366466","false","1","spotify:user:1227113","2020-09-18T22:21:52Z","","0.782","0.507","0","-9.942","1","0.0835","0.00695","0.892","0.0729","0.813","132.641","4"
"spotify:track:4ngOvWu9vXJEhME7fiURQk","Can't Go Through With Life","spotify:artist:5IpFUAiMwzS5ckbVjEoXF4","Marie Pierre","spotify:album:5MmaLKhh7wxANhw3KplmzA","Trojan Presents: Lovers Rock","2011-05-24","2","2","250066","false","25","spotify:user:1227113","2020-09-24T13:40:51Z","lovers rock","0.741","0.534","7","-9.723","1","0.133","0.0149","0.00264","0.121","0.612","80.698","4"
"spotify:track:2Ab9mi9CtcjwZdWFyKvhpk","Let's Go to Zion","spotify:artist:69jzR5ruwfoZOnevlFf4DW","Winston Francis","spotify:album:7t68ZsLI6fWOJNMOC0CT1D","Mr Fix It / California Dreaming","2017-09-18","1","25","341472","false","28","spotify:user:1227113","2020-09-24T13:53:01Z","lovers rock","0.879","0.491","7","-15.426","0","0.0636","0.751","0.0746","0.129","0.967","129.255","4"
"spotify:track:5Jof7mWm4qOXA1KbxbSGHy","Wild Suspense","spotify:artist:3hbnUwHvxyFxeJ9veCzOE7","Mad Professor","spotify:album:6uKafZeuDAfxsUhE3AsytJ","82 Sessions","2007-03-27","1","13","194066","false","0","spotify:user:1227113","2020-09-24T21:15:46Z","dub,reggae,roots reggae","0.809","0.518","7","-9.339","1","0.161","0.000591","0.914","0.562","0.395","131.515","4"
"spotify:track:5EVhXp775ZZT1xKDoSlI24","Peace and Love Dub","spotify:artist:5WwEQwX3ruZofwDDqtOXwI","Augustus Pablo","spotify:album:7C9MXRvkuilu5RSWDQmVGQ","Down Santic Way","2005-01-01","1","1","172040","false","43","spotify:user:1227113","2020-10-19T14:07:41Z","dub,reggae,rock steady,roots reggae,ska","0.68","0.498","8","-10.564","1","0.103","0.0755","0.893","0.0739","0.291","134.058","4"
