"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Album Release Date","Disc Number","Track Number","Track Duration (ms)","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature"
"spotify:track:0Wt81tPpX6Ow9X7F17lfOV","Michel","spotify:artist:6CW4PA1rghGWGSHhmxGrrE, spotify:artist:5RBoyuxAJsUAavA4oNFh94","AK420, Wilczynski","spotify:album:2rQS0EQCgETigFEXAYrOgi","Michel","2020-06-12","1","1","136551","false","37","spotify:user:1227113","2020-09-01T13:51:42Z","chillhop,jazz boom bap,chillhop,jazz boom bap","0.493","0.519","1","-10.881","0","0.0418","0.0264","0.718","0.127","0.25","174.013","4"
"spotify:track:4R1waftLRAFM6FIMzgdoQZ","Raw As Ever","spotify:artist:1U0EFT6jsUpEXAaWesmxAz","Showbiz & A.G.","spotify:album:3HtdHPKqOCAVJTQI3UjUL5","Full Scale","1998-05-24","1","10","142066","true","14","spotify:user:1227113","2020-09-01T14:00:44Z","alternative hip hop,bronx hip hop,hardcore hip hop,hip hop,turntablism","0.695","0.714","5","-6.78","0","0.52","0.101","0","0.229","0.772","173.86","4"
"spotify:track:73oD3AeiuHbo3zhDM5NRZU","Yellowstone","spotify:artist:5wEF5my54dE5vMMmSUz2q3, spotify:artist:6yGW6Z2OraCYUr9OsqZo2x","Glimlip, Inf","spotify:album:6KkagBKyGqaKUUeTPimekA","Yellowstone","2020-04-22","1","1","103676","false","37","spotify:user:1227113","2020-09-01T15:18:57Z","chillhop,focus beats,lo-fi beats","0.745","0.247","3","-9.899","0","0.381","0.163","0.119","0.133","0.391","176.069","4"
"spotify:track:1odeVLujZiSVZn9c5unk2B","Do It Again","spotify:artist:7fDLDq2weBagiAFD2j17Al","Sadat X","spotify:album:5YvKEER9ZhMbWqAv5qvnT0","Wild Cowboys","1996-03-01","1","6","242973","true","9","spotify:user:1227113","2020-09-01T15:23:55Z","bronx hip hop,east coast hip hop,hardcore hip hop,turntablism","0.545","0.663","1","-7.56","1","0.422","0.0123","0","0.237","0.321","93.014","4"
"spotify:track:7rCFv0g9WBpE7tA0MQENds","Fear of God (feat. DeJ Loaf)","spotify:artist:67gqUXxHedeUGDTxwBzdjS, spotify:artist:7kFfY4UjNdNyaeUgLIEbIF","Conway the Machine, DeJ Loaf","spotify:album:0H7jvH0N6SmJUUG86ksCse","Fear of God (feat. DeJ Loaf)","2020-08-26","1","1","177919","true","37","spotify:user:1227113","2020-09-04T14:58:49Z","alternative hip hop,boom bap,buffalo hip hop,hip hop,underground hip hop,detroit hip hop,pop r&b,pop rap,rap,trap,trap queen","0.657","0.776","2","-5.991","0","0.312","0.16","0","0.0979","0.302","80.955","4"
"spotify:track:27suNKKvG7BIVPjTbsLnXT","Spontaneity","spotify:artist:6ZcRUVs3I5U8EOnm9ZdCsO","Bahamadia","spotify:album:4ioG1W3KU4WBhYlwEBp7BA","Kollage","1996-01-01","1","3","248035","false","39","spotify:user:1227113","2020-09-08T14:58:42Z","hardcore hip hop,hip hop,philly rap","0.801","0.438","0","-7.859","1","0.18","0.0224","0.000523","0.116","0.594","89.999","4"
"spotify:track:1LdEz8wtGNAZoTAffF2KqX","Wax Cough","spotify:artist:052uglZ4PgpVs8YxEOViXz, spotify:artist:2uzaOMszD2lvSWPKjaYaTq","Lord Apex, V Don","spotify:album:348RaDPwPjLrHueSz1xUSo","Supply & Demand","2020-09-04","1","9","99113","true","24","spotify:user:1227113","2020-09-18T18:04:36Z","uk alternative hip hop,boom bap,underground hip hop","0.381","0.455","9","-12.396","0","0.105","0.411","0.00071","0.174","0.59","88.961","3"
"spotify:track:5mph4TzdwWQle7RVuezf7W","The Difference","spotify:artist:5lbJOPSHQnD5yOxNC4NCd1","Reservoir Doggs","spotify:album:4W0zEerHWorut3IHPTN61U","Buckwild Presents: Diggin' in the Crates - Rare Studio Masters (1993-1997)","2007-05-01","1","33","244280","true","11","spotify:user:1227113","2020-09-22T17:33:56Z","deep east coast hip hop","0.782","0.71","1","-9.062","1","0.279","0.21","0","0.0841","0.614","94.824","4"
"spotify:track:52GUlfEfbgM1u9CRB0fKHA","Le ghetto français","spotify:artist:6knHYSqYjjguJjD5SvjrLx","Ideal J","spotify:album:1Jt9d7vT3hnnYilzyxnEVm","O'riginal Mc's sur une mission","2012-06-11","1","5","377826","false","11","spotify:user:1227113","2020-09-24T18:47:54Z","french hip hop,old school rap francais,rap inde","0.676","0.751","0","-5.87","1","0.277","0.411","0.0000146","0.146","0.468","87.919","4"
"spotify:track:3ioow4HRcH86Jfx4NC4fmV","Fakin Jax","spotify:artist:3BeQqzKdlARoOd6y30kCO2, spotify:artist:5gv2yt9ii2nJ2tu39FPigj","Pete Rock, InI","spotify:album:3r4RwwnQNkdwLfOcO7WReI","Center of Attention","2017-03-24","1","9","339826","true","50","spotify:user:1227113","2020-10-06T20:31:20Z","alternative hip hop,east coast hip hop,gangster rap,hardcore hip hop,hip hop,jazz boom bap,jazz rap,turntablism,jazz rap","0.675","0.71","7","-7.272","1","0.297","0.0355","0.00116","0.348","0.728","87.73","4"
