"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Album Release Date","Disc Number","Track Number","Track Duration (ms)","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature"
"spotify:track:16pa2RBOVK2cZj8oCmHtyI","Departure","spotify:artist:2Ea7qJOrKOD6OYkXNEUwrs, spotify:artist:5D21ZneiMBeuS22kVg2sxE","SUKISHA, kiki vivi lily","spotify:album:550OQP4Yq1H4UQCW2WrLk0","Over the Rainbow","2019-12-18","1","1","57473","false","12","spotify:user:1227113","2020-10-27T14:26:43Z","japanese city pop,japanese r&b,japanese alternative rock,japanese city pop,japanese r&b","0.614","0.741","0","-10.42","1","0.274","0.917","0.838","0.274","0.852","94.259","4"
"spotify:track:5ctLUdRtqhZs1ZBUzIVpD4","La Californie","spotify:artist:28YSrbk6xiTk3WhpkdidaW","Fille à Papa","spotify:album:5VmxgfgvZPdxXZkqpQXhKg","La Californie","2019-07-12","1","1","171500","false","11","spotify:user:1227113","2020-10-27T14:27:54Z","","0.749","0.689","9","-8.107","0","0.033","0.0457","0.0113","0.128","0.422","110.018","4"
"spotify:track:1yHXUDFaAtxty9N3eklIHY","Galactic mermaid","spotify:artist:4USrgZyHavtZNMDfftaKSq","マーメイド・シスターズ(Vo.クリヤマユウリ)","spotify:album:54hb2cgal71xCmoC9EB4IW","TVアニメ「キャロル&チューズデイ」VOCAL COLLECTION Vol.1","2019-07-31","1","10","123533","false","49","spotify:user:1227113","2020-10-27T14:29:31Z","seinen","0.859","0.323","7","-8.384","1","0.135","0.889","0","0.244","0.79","108.312","4"
"spotify:track:5dC6qFGuR0K6sestrISXcv","What I Wanted","spotify:artist:2U8Spt8w0ylEP8NA9CkUh7","Tungz","spotify:album:0TBqYD3yqFQOMCQHsB9e5P","Okay","2019-10-01","1","4","274000","false","44","spotify:user:1227113","2020-10-27T14:34:21Z","","0.624","0.449","1","-12.355","0","0.0323","0.116","0.00292","0.0957","0.267","136.09","4"
"spotify:track:0w34vpnJfYQOhsCyyh39iQ","Come Together","spotify:artist:5fajxqVLxJxAzMvZn0AGIv","Ovall","spotify:album:39LUARqc9kTewrotoWGHId","Ovall","2019-12-04","1","4","239969","false","21","spotify:user:1227113","2020-10-27T14:39:46Z","ambeat,japanese city pop,japanese jazz fusion,japanese jazztronica,japanese r&b,japanese soul","0.781","0.587","5","-10.2","1","0.0338","0.207","0.845","0.0875","0.762","131.071","4"
"spotify:track:1SQUpaFHUAG42eIawsuSlj","Leo","spotify:artist:1jBIK0MgVXiFHO3VgH2rd6","Dreamcast","spotify:album:5dJnB0USQuzQUoaeaSbqvR","Floral Place","2018-05-21","1","1","110615","false","42","spotify:user:1227113","2020-10-27T14:39:56Z","synth funk","0.669","0.47","3","-6.812","1","0.0364","0.744","0.000268","0.086","0.799","73.967","4"
"spotify:track:5SpVYLCs2tvv5H4KMTCCMo","The Blue Line","spotify:artist:1Sizk6ZBxTmddJGLGOtJjS","Berel","spotify:album:0kpAOLPSwcd7wAmINqgcrX","Thirteenth Floor","2019-10-15","1","1","139455","false","38","spotify:user:1227113","2020-10-27T14:49:43Z","","0.772","0.589","5","-8.792","0","0.329","0.665","0","0.29","0.816","100.045","4"
"spotify:track:3ZOKwVcjcHVNqnOABO0pUA","Key to Love (Is Understanding) feat. Jonah Yano","spotify:artist:4Js9qeA7KMFyjBYHEjFaeJ, spotify:artist:65dGLGjkw3UbddUg2GKQoZ","Jonah Yano, BADBADNOTGOOD","spotify:album:0UyNc1FaDzkzcBlLsDASJA","Key to Love (Is Understanding)","2019-12-06","1","1","354243","false","53","spotify:user:1227113","2020-10-27T14:56:03Z","alternative hip hop,canadian modern jazz,escape room,funk,hip hop,indie soul","0.546","0.398","6","-9.225","0","0.0288","0.399","0.0262","0.11","0.442","127.307","4"
"spotify:track:6RbZyobWPlfFrkkZARi935","7-21-17_substitute_hifi_v3","spotify:artist:6O4EGCCb6DoIiR6B1QCQgp","Toro y Moi","spotify:album:1xqK2XpJQx59bppV02Q9OZ","Soul Trash","2019-10-29","1","4","162710","false","37","spotify:user:1227113","2020-10-27T15:07:09Z","alternative dance,alternative r&b,art pop,chillwave,indie pop,indie rock,indie soul,indietronica,new rave,nu gaze","0.58","0.534","0","-8.521","1","0.256","0.217","0.00624","0.11","0.286","168.898","4"
"spotify:track:3CQ5CKzEaC7eCOlUyU7Bdm","I DONT KNOW ABOUT HIM","spotify:artist:6Sa4YbwEdGlfVSJMF1Lp67","Roy Blair","spotify:album:4NrZlvs23TXuM09g7x3v7x","GRAFFITI","2019-09-06","1","1","238255","true","43","spotify:user:1227113","2020-10-27T15:09:17Z","alternative r&b,bedroom pop,indie pop","0.695","0.57","9","-6.919","1","0.0931","0.186","0.00228","0.136","0.33","134.999","4"
"spotify:track:3EefuRsWWqcBvzRI0POXCs","OUTSIDE","spotify:artist:5Txlp4Pwg0rWyrIQaqnAUG, spotify:artist:5krZkab66mF2eexXFJv0A6, spotify:artist:6RwBaA9wZC0BPWZfmGeWMo, spotify:artist:2iKQgImU0tNvy43Qs0lfyX, spotify:artist:0fJlZhSUNFeLYyumFSsPPG, spotify:artist:2PsLA02qizY5hAqZSINbhC","Gracy Hopkins, Bonnie Banane, Krisy, LYNN, TheJayneral, Anaïs Sd","spotify:album:1jgi4ts3j0YGc28FgiV7B6","OUTSIDE","2019-09-08","1","1","200129","true","0","spotify:user:1227113","2020-10-27T15:13:29Z","electro-pop francais,french indie pop,french indietronica,belgian hip hop,french hip hop,pop urbaine,rap calme,rap conscient,rap francais","0.57","0.492","11","-6.891","0","0.159","0.783","0.0000241","0.147","0.387","108.366","5"
"spotify:track:0v89jw9S9NPzOPCoZnLZxE","Wonder","spotify:artist:64sY7LsUjNE3ifONkftTXC","ADOY","spotify:album:2PXqmGnh714FuMOPji4JiI","LOVE","2018-06-15","1","1","235746","false","53","spotify:user:1227113","2020-10-27T15:14:54Z","k-indie,korean city pop,korean dream pop,korean electropop,korean indie rock","0.661","0.737","6","-6.317","1","0.0287","0.747","0.544","0.115","0.532","99.989","4"
"spotify:track:7MK6QI4LQzSkC9AdnGm344","Belladonna","spotify:artist:1f1CocvNRSmgLgtqMsA0AR","Armando Young","spotify:album:3dfiUuFIXAIGOL53Zb3eWe","Belladonna","2019-07-29","1","1","328075","false","30","spotify:user:1227113","2020-10-27T15:17:54Z","","0.52","0.549","6","-10.231","1","0.0343","0.567","0.000463","0.258","0.46","67.009","4"
"spotify:track:40YBc3mR3yyqyYvtesQOMj","Chinatown","spotify:artist:22ojy4H4ZVpowC4lRRC8In","Destroyer","spotify:album:4WtvNVR7QeHUZGtHth9zND","Kaputt","2011-01-25","1","1","229026","false","39","spotify:user:1227113","2020-10-27T15:47:53Z","alternative dance,alternative rock,art pop,canadian indie,chamber pop,chamber psych,chillwave,dream pop,freak folk,garage psych,indie folk,indie pop,indie rock,modern rock,noise pop,vancouver indie","0.724","0.688","11","-5.563","0","0.0257","0.00475","0.0108","0.199","0.552","114.014","4"
"spotify:track:404HyXHxr1ROmuD6R8WyUR","Better To Leave It","spotify:artist:33QLeK0AvK6Cj5CQ0hp5sa","snny","spotify:album:3JK4HD3IolFlfVDEnbDYPQ","Better To Leave It","2019-11-13","1","1","228147","true","0","spotify:user:1227113","2020-10-27T17:21:39Z","","0.723","0.714","4","-5.521","0","0.063","0.045","0.0000287","0.0813","0.855","93.012","4"
