"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Album Release Date","Disc Number","Track Number","Track Duration (ms)","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature"
"spotify:track:3QfLx3fR2dn7K7tXAwsvIM","After Dark","spotify:artist:2Hgf0NLQAY3Yyr7BxrQAVy, spotify:artist:5eP9be2Y1fGaWTQqvbF4hG","Hidefumi Toki, Mayuko Katakura","spotify:album:5gRb1KrqQHHNHdG3yJzhvW","After Dark","2019-11-06","1","2","596700","false","1","spotify:user:1227113","2020-08-07T16:40:34Z","classic japanese jazz,japanese jazz","0.406","0.0532","2","-15.751","0","0.042","0.981","0.836","0.0835","0.16","55.026","4"
"spotify:track:5MdrKBxQt1fEj7lH6rma3i","I'm Glad There Is You","spotify:artist:7De2eIqeHTw091YeAkkYXV","Rahsaan Roland Kirk","spotify:album:5xduKf7XKIvw4JV3fHcItg","The Inflated Tear","1998-01-01","1","10","132773","false","10","spotify:user:1227113","2020-08-07T16:56:04Z","avant-garde jazz,bebop,contemporary post-bop,cool jazz,free improvisation,free jazz,hard bop,jazz,jazz funk,jazz saxophone,soul jazz","0.454","0.295","7","-13.364","0","0.0365","0.517","0.117","0.192","0.616","86.468","4"
"spotify:track:1Nple6Yt35Yn186rE6Yujd","Let the Bullshit Go With the Breeze","spotify:artist:6E9Q3EKPiOPUbBBFU1YXzi, spotify:artist:72tEiyi2FPdbsbJEoXUgbc","Chris Anderson, Jordan Robertson","spotify:album:531yIcHyqP3pHo31eMXoE0","Smile While You Can","2020-07-07","1","7","145759","true","15","spotify:user:1227113","2020-08-07T19:45:19Z","","0.586","0.939","6","-5.036","1","0.0451","0.00516","0","0.315","0.547","95.39","4"
"spotify:track:4VRk48M9WTvs9PFONfLm5u","(Struggle) Home","spotify:artist:1lVi8dVhx7rkcnOEBzzYz8","JuJu","spotify:album:1x3kvI7vCAZkwvEPdVGa9D","A Message From Mozambique","1973","1","1","957360","false","4","spotify:user:1227113","2020-08-07T20:04:54Z","","0.192","0.718","8","-14.05","0","0.0607","0.479","0.0055","0.259","0.396","92.903","3"
"spotify:track:69vXqIcZVaegrftFX3yNrh","I Can See","spotify:artist:4CxFlJDif0atTK3gZebcEf","Harvey Sutherland","spotify:album:4rRA3JWCSiyM6rawbWjLWl","Amethyst / I Can See","2018-11-09","1","2","410178","false","17","spotify:user:1227113","2020-08-11T17:34:48Z","australian house,deep house,float house,indie jazz,indie soul","0.529","0.64","5","-13.555","0","0.0518","0.0584","0.847","0.163","0.716","154.967","3"
"spotify:track:2WcpFKsuwEUg3N7TRtUu3m","Minor Minor","spotify:artist:67Ab9p2xTxwNzuTZJfAO48","Olli Ahvenlahti","spotify:album:7rF9KDPzx7HAx19IicqRoh","Thinking, Whistling","2017-12-15","1","2","272190","false","5","spotify:user:1227113","2020-08-12T13:35:01Z","finnish jazz","0.531","0.418","7","-13.305","0","0.0361","0.65","0.859","0.123","0.669","97.473","4"
"spotify:track:2wE5GLhDncm6544BflIDIG","Up Jumped Spring","spotify:artist:3iF9mUqkeDgHbydOvDYqjO","Nathan Davis","spotify:album:4cskpXjr6Ai90fLNPYX8Vv","Best of 1965-76","2009-01-01","1","6","586866","false","4","spotify:user:1227113","2020-08-13T14:01:11Z","anadolu rock,turkish psych","0.315","0.501","7","-16.946","0","0.0477","0.176","0.609","0.846","0.515","94.134","3"
"spotify:track:7Chi6ZOIxgDWDZAj2ikuqd","メリーゴーラウンド","spotify:artist:7bkOfwevgmXLb0DYqNpuKo","辛島文雄","spotify:album:2CuaThN95otjYRRHUn2Tff","ホット・アイランズ","2018-12-05","1","6","425600","false","15","spotify:user:1227113","2020-08-13T20:48:28Z","classic japanese jazz","0.335","0.951","7","-9.39","1","0.118","0.0683","0.0629","0.346","0.232","154.224","4"
"spotify:track:4MSQmHxVSJCCfKytwtvPpw","ドンの歌","spotify:artist:6qshOTFUQhvYrza4Sc85Tl, spotify:artist:3uPWecBPNXAChysw1uOJwI, spotify:artist:7mEh6DG77XcF4EDwHKOsGy","Dollar Brand, Don Cherry, Carlos Ward","spotify:album:3BIZ5zsa7nsWXrIVGqRPnj","第三世界/アンダーグラウンド","2020-05-20","1","1","456013","false","17","spotify:user:1227113","2020-08-16T15:19:16Z","avant-garde jazz,contemporary post-bop,experimental,free improvisation,free jazz,jazz trumpet,spiritual jazz","0.25","0.527","4","-9.648","0","0.0382","0.235","0.754","0.164","0.199","107.328","4"
"spotify:track:2jOrXWMWYj5wYfvyqh4lzz","September","spotify:artist:6YwlIK2lLrNfNnSxRioOb7","Laco Déczi","spotify:album:52sUXPfeHmEjumJvKr1qBp","Sentimentálna Trúbka","1971","1","4","174213","false","0","spotify:user:1227113","2020-08-20T21:01:09Z","eastern bloc groove","0.259","0.242","5","-10.797","0","0.0295","0.978","0.935","0.112","0.133","90.015","5"
"spotify:track:6wjzlidHYbo03yVKM3zl5j","Polobotka","spotify:artist:6be1hPDaC5cO40ATz9ZMCK","Jazz Celula","spotify:album:7uJhkhGM8K4QT14dVLCEqx","Oheň až požár","1976","1","5","289280","false","2","spotify:user:1227113","2020-08-20T21:10:20Z","eastern bloc groove","0.523","0.878","5","-7.676","0","0.0724","0.391","0.1","0.128","0.723","130.745","4"
"spotify:track:0xzpzIQnUBLk7lOgHCRvHu","Psych City","spotify:artist:5mWYBzJPbfJfabgZ6TfsBx","Ohio Penitentiary 511 Jazz Ensemble","spotify:album:4jCSS0HVZuO8vGg97ayXs6","Spiritual Jazz","2009-01-01","1","12","646280","false","10","spotify:user:1227113","2020-08-20T22:05:33Z","spiritual jazz","0.453","0.642","10","-7.7","1","0.0377","0.708","0.00000682","0.103","0.585","105.553","4"
"spotify:track:2JWa7UbviePpYF1n95xoZ2","Hawk","spotify:artist:3qweUWqwZPfDp3R3CC0noh","한상원","spotify:album:2bZGSg7hQ6DNiTAqLp9dfY","Seoul Soul Soul Of Sang","1993-01-01","1","4","78889","false","0","spotify:user:1227113","2020-08-24T21:43:19Z","","0.325","0.989","11","-9.201","0","0.199","0.00035","0.891","0.242","0.0388","156.463","4"
"spotify:track:69hNPwH4bA7JmRPi6GPeSo","Evil Ways","spotify:artist:62WHqRwGcJfJVqh6SlUL0r","Lim Ji Hoon","spotify:album:1fS6gxvh6h9ajxa63kwhuu","Organ Orgasm","2011-12-27","1","3","188160","false","0","spotify:user:1227113","2020-08-25T02:03:40Z","","0.833","0.5","5","-11.881","1","0.036","0.212","0.0264","0.122","0.867","111.041","4"
