"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Album Release Date","Disc Number","Track Number","Track Duration (ms)","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature"
"spotify:track:2ZcjQOViAiX4nwm4x2iuGf","ticino","spotify:artist:0h6JSIfoSSbXtaBWiUC4Wy","DRWN.","spotify:album:6W2VB1Ll4Dc36Sg955YvXi","ticino","2020-11-20","1","1","93750","false","20","spotify:user:1227113","2020-11-20T14:55:59Z","chillhop,lo-fi beats","0.672","0.405","5","-7.122","0","0.478","0.799","0.00109","0.126","0.695","81.867","4"
"spotify:track:1uOkjuZt9XE5rsN2jH73Qc","my sweet isolation","spotify:artist:0h6JSIfoSSbXtaBWiUC4Wy","DRWN.","spotify:album:1UVd9t2l2XconnMz9jqiU7","my sweet isolation","2020-06-19","1","1","192000","false","13","spotify:user:1227113","2020-12-01T19:13:38Z","chillhop,lo-fi beats","0.733","0.31","10","-14.39","0","0.105","0.785","0.0388","0.137","0.0731","75.017","4"
"spotify:track:6oi6hMn5u2StgoJKMR0QO4","Dayx","spotify:artist:2Fc1UZXKRmPpWWx1sxcb9m","SwuM","spotify:album:29Jjz1Twrsgvaxfun0VyYK","Dimes","2014-03-15","1","4","107368","false","13","spotify:user:1227113","2020-12-08T21:02:32Z","chillhop,focus beats,lo-fi beats","0.428","0.634","5","-4.011","0","0.216","0.0128","0.000071","0.239","0.908","121.493","3"
"spotify:track:2CFg9r00K3XjYPy7p9MZZO","Friendly Vibrations","spotify:artist:1yWuJDLSCfY5Zrjv6JmtWC, spotify:artist:2qGrUQLbdfzBFpSwz53Y0c","BudaMunk, Ill Sugi","spotify:album:345VVBjIO5Ck3bRYmXSGMe","Spirit of the Golden Era","2016-03-25","1","4","183322","true","10","spotify:user:1227113","2020-12-12T21:52:27Z","j-rap","0.825","0.502","1","-7.236","1","0.249","0.0709","0.781","0.0853","0.415","87.118","4"
"spotify:track:1sEH7bl7hoJHw6R7coU2Gh","Something Else","spotify:artist:69FGWeFKaCyCjiDU2afEUl","Paul Grant","spotify:album:12akQ2PemFCOdkLm80ksJS","Waves","2020-11-20","1","4","127011","false","24","spotify:user:1227113","2020-12-14T15:22:55Z","","0.764","0.599","6","-10.271","1","0.035","0.738","0.905","0.101","0.788","76.004","4"
"spotify:track:0u2Vf74iABt5GBkGCPGpSL","Bweyy","spotify:artist:4GcpBLY8g8NrmimWbssM26, spotify:artist:1fmXn9ezSrVGjHSVc6ItcL","Mndsgn, Swarvy","spotify:album:6ECTarXmk0x30Glo2Yj3NS","Breatharian","2013-11-12","1","12","78187","false","40","spotify:user:1227113","2020-12-14T19:59:58Z","abstract beats,chillhop,indie jazz,indie soul,synth funk,vapor twitch,wonky,abstract beats,indie jazz,la pop,wonky","0.674","0.299","10","-18.782","0","0.219","0.867","0.86","0.147","0.672","88.723","4"
"spotify:track:2Zthbcs7SFdQHY7RZwqBJ3","How the Sun Rose","spotify:artist:6rvxjnXZ3KPlIPZ8IP7wIT","Sweatson Klank","spotify:album:6A1AVYXP9lMwwJ34749ndM","Good Days","2020-01-31","1","2","126896","false","36","spotify:user:1227113","2020-12-21T21:02:39Z","abstract beats","0.706","0.578","9","-6.955","1","0.196","0.109","0.237","0.109","0.609","86.967","4"
"spotify:track:0DE4FcKqn4VhlJGRIMSvBT","Fruits","spotify:artist:5GyUtaUuEnR7uhRF3jDj4s","Moomin","spotify:album:2ogV0dBdQ7DyXectdz8IFf","Yesterday's Tomorrows","2018-05-18","1","8","216241","false","32","spotify:user:1227113","2020-12-24T15:15:07Z","deep house,float house","0.745","0.63","9","-7.334","0","0.0609","0.0409","0.309","0.108","0.345","188.017","4"
"spotify:track:025rvl9qNoZw36I94X6gcM","Quest - Alfa Mist Remix","spotify:artist:2SF8LSy53kKd82omO2FHNc, spotify:artist:2i1CPudyCUjL50Wqjv8AMI","Kennebec, Alfa Mist","spotify:album:5zskaL0lbYGeVoIb8BWtbt","Quest","2020-09-09","1","1","178064","false","34","spotify:user:1227113","2020-12-28T15:06:34Z","british jazz,indie jazz,indie soul,neo r&b,uk contemporary jazz","0.766","0.389","9","-11.2","1","0.0752","0.381","0.847","0.149","0.385","93.022","4"
"spotify:track:73xfgQTlrz9TihckptBw1w","Thrift Stores/ VA Days","spotify:artist:6gU7qtF5B31WwdgkNwF1XK","DJ Harrison","spotify:album:6vTXWR1P5nGV4XHuCITl64","POLYTONED: DJ Harrison and Friends","2013-12-31","1","10","110243","true","36","spotify:user:1227113","2020-12-28T15:28:01Z","indie jazz,indie soul,neo r&b,wonky","0.745","0.365","11","-14.325","1","0.361","0.823","0.731","0.112","0.845","90.698","4"
