"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Album Release Date","Disc Number","Track Number","Track Duration (ms)","Explicit","Popularity","Added By","Added At","Artist Genres","Danceability","Energy","Key","Loudness","Mode","Speechiness","Acousticness","Instrumentalness","Liveness","Valence","Tempo","Time Signature"
"spotify:track:1eJYOSMwCDeJLAAE6xKQqH","Gaia's Warning (ReBirth)","spotify:artist:3L3oWS9VsgTRBF7HFHdOEz, spotify:artist:4iQ7Cn5PcqZTPfS8d9FrVp","Javier Santiago, Danielle Wertz","spotify:album:31GG1uvRDc5l3MhQ6ORTUi","Gaia's Warning (ReBirth)","2020-08-28","1","1","176226","false","7","spotify:user:1227113","2020-12-21T15:56:58Z","","0.638","0.73","11","-7.047","0","0.102","0.0814","0.893","0.123","0.601","176.001","4"
"spotify:track:2rPWwRkNwzNfkSudOUqsUs","Cabin Fever","spotify:artist:2Sytd0z30yOj3b5IOfOUWj","khoa","spotify:album:1GE2evQnkTJHvgr3EzM9eB","Cabin Fever","2020-07-29","1","1","112333","false","55","spotify:user:1227113","2020-12-21T15:57:30Z","","0.641","0.517","1","-11.074","1","0.337","0.0286","0.896","0.123","0.769","91.562","4"
"spotify:track:0RSqkwhopcmUZ0FDcb7kk7","Naiyti","spotify:artist:2i1CPudyCUjL50Wqjv8AMI","Alfa Mist","spotify:album:38XUFMsLLAttgWdD40CTaL","Structuralism","2019-04-26","1","6","567973","false","33","spotify:user:1227113","2020-12-21T15:57:48Z","british jazz,indie jazz,indie soul,neo r&b,uk contemporary jazz","0.43","0.373","0","-10.848","0","0.0342","0.799","0.859","0.119","0.506","81.243","4"
"spotify:track:1wxPEeq3s7Qnse5hPVZEm2","Jamilla","spotify:artist:1ky3oGuE5XOsOzqiFEGwqR","Mansur Brown","spotify:album:2fANxzHMmezK1fmhj2b9Gp","Tesuto","2020-07-09","1","3","145626","false","31","spotify:user:1227113","2020-12-21T15:57:57Z","afrofuturism,british jazz,indie jazz,indie soul","0.208","0.326","3","-12.618","1","0.0421","0.231","0.304","0.0442","0.0357","94.411","3"
"spotify:track:2Ls7p5mnW9Dm7yLPwFODTI","Serene","spotify:artist:1ky3oGuE5XOsOzqiFEGwqR","Mansur Brown","spotify:album:2fANxzHMmezK1fmhj2b9Gp","Tesuto","2020-07-09","1","2","357013","false","35","spotify:user:1227113","2020-12-21T15:57:57Z","afrofuturism,british jazz,indie jazz,indie soul","0.43","0.526","2","-10.601","0","0.0312","0.15","0.862","0.0622","0.0395","139.99","3"
"spotify:track:3gpp6RalVXdsAPSQ4HuXbu","It's My Time","spotify:artist:1ky3oGuE5XOsOzqiFEGwqR","Mansur Brown","spotify:album:2fANxzHMmezK1fmhj2b9Gp","Tesuto","2020-07-09","1","1","339840","false","43","spotify:user:1227113","2020-12-21T15:57:57Z","afrofuturism,british jazz,indie jazz,indie soul","0.414","0.548","7","-8.836","1","0.0655","0.0396","0.642","0.257","0.35","87.022","4"
"spotify:track:3ljnwiAYQH90bxJQbUP12o","Rain Dance / Wisdom","spotify:artist:3UgcksTtuB1Jnn8BrisEiC","Emma-Jean Thackray","spotify:album:1WIO8DsQqwosCcw5GSghur","Rain Dance / Wisdom","2020-02-12","1","1","471999","false","25","spotify:user:1227113","2020-12-21T15:58:32Z","british jazz,indie jazz,uk contemporary jazz","0.346","0.774","5","-8.554","0","0.0525","0.00574","0.869","0.131","0.371","148.359","4"
"spotify:track:13ub3uDcsh7mqolvP2cTSc","Vibe Tribe","spotify:artist:4YLUMAgNyttwx4hUHgtBtR, spotify:artist:7iUF39q93Xixo33E6IvNYm","Blue Lab Beats, Theo Croker","spotify:album:2kUiNABc0dXtIuuf9kDQnA","Vibe Central","2019-06-25","1","4","269906","false","37","spotify:user:1227113","2020-12-21T15:58:46Z","indie jazz,indie soul,neo r&b,uk contemporary jazz,jazz brass,jazz trumpet","0.703","0.43","10","-7.326","0","0.296","0.0838","0.826","0.0878","0.398","112.698","5"
"spotify:track:4QTfvU1Fc39f9SE0a4KtKq","Jungle","spotify:artist:05G52WX5mk1SgWBoMJDKbN","Master Soul Boy","spotify:album:44aI5XTEsTfxLIsQyFiX4f","At the Blue Hour","2020-06-05","1","10","131590","false","30","spotify:user:1227113","2020-12-21T15:58:55Z","","0.678","0.569","2","-10.228","0","0.0691","0.0759","0.786","0.203","0.178","88.044","4"
"spotify:track:4Goj7amQLl2PiPYaiB0VlV","Tidal Wave","spotify:artist:1uiEZYehlNivdK3iQyAbye, spotify:artist:2rspptKP0lPBdlJJAJHqht","Tom Misch, Yussef Dayes","spotify:album:6iOCv7oGL5sGi2aVnRz2BI","What Kinda Music","2020-04-24","1","4","249427","false","60","spotify:user:1227113","2020-12-21T15:59:22Z","indie soul,jazz pop,british jazz,indie jazz,indie soul,uk contemporary jazz","0.533","0.487","4","-8.79","0","0.052","0.0458","0.833","0.113","0.339","141.427","3"
"spotify:track:7vbrvyzowIH4Sb7RPmfLMW","Starting Now - Allmos Remix","spotify:artist:2LLzWNFHZJaRDqYLB6ExPB, spotify:artist:4caJwBnZ75geSKhAhqFXDE","Reginald Chapman, Allmos","spotify:album:7ms6gVfh0deQQSwHIa1rok","Prototype Remixes","2020-09-17","1","10","218589","false","4","spotify:user:1227113","2020-12-21T15:59:30Z","","0.804","0.502","0","-8.175","1","0.084","0.614","0.918","0.248","0.268","135.633","5"
"spotify:track:3tMntsITUKPm0mE7dTmamn","Top Down","spotify:artist:2v3z0sSTauju6TA1GMqiQj, spotify:artist:2UZjIISzcezFJLo0ngik2Z","KinKai, Children of Zeus","spotify:album:52tcEU6hOb4gfCOu52GhHC","Top Down","2020-04-17","1","1","262874","false","35","spotify:user:1227113","2020-12-21T16:00:05Z","manchester hip hop,uk alternative hip hop,indie r&b,indie soul,manchester hip hop,uk alternative hip hop","0.639","0.614","11","-7.497","0","0.141","0.41","0.0000295","0.107","0.767","89.901","4"
"spotify:track:0i7jazn1Rtp51KPM4iSs6z","Nightrider","spotify:artist:1uiEZYehlNivdK3iQyAbye, spotify:artist:2rspptKP0lPBdlJJAJHqht, spotify:artist:0Y4inQK6OespitzD6ijMwb","Tom Misch, Yussef Dayes, Freddie Gibbs","spotify:album:4u5C68CzGi223ErII6MD3l","Nightrider","2020-04-16","1","1","300990","true","60","spotify:user:1227113","2020-12-21T16:00:05Z","indie soul,jazz pop,british jazz,indie jazz,indie soul,uk contemporary jazz,alternative hip hop,hip hop,indiana hip hop,rap,southern hip hop,trap,underground hip hop","0.729","0.571","11","-9.188","0","0.0869","0.0774","0.213","0.0994","0.582","81.486","4"
"spotify:track:3SBKwRZXM7Ev7XHRCA1GA6","Yesterday's Forest Magic","spotify:artist:1N5ZTU16lJJL9hbPAMvGnk, spotify:artist:5EctF8sY4mgGmG2II0rw9H","Rejoicer, Sefi Zisling","spotify:album:5NbcAITHDzXJmJ7BDovK7v","Energy Dreams","2018-08-31","1","4","215305","false","42","spotify:user:1227113","2020-12-21T16:00:35Z","indie jazz,israeli jazz","0.49","0.864","10","-6.7","0","0.0445","0.621","0.729","0.368","0.345","94.833","3"
"spotify:track:7iTzI1VrcYwgLJ8grjn99T","Fair Chance","spotify:artist:4frXpPxQQZwbCu3eTGnZEw, spotify:artist:7c0XG5cIJTrrAgEC3ULPiq, spotify:artist:4bbjivSh1oG4NOc7uYHfw5","Thundercat, Ty Dolla $ign, Lil B","spotify:album:77f24Q9GaFt5QfPxo9UxD6","Fair Chance","2020-03-17","1","1","237699","false","49","spotify:user:1227113","2020-12-21T16:00:35Z","afrofuturism,hip hop,pop,pop rap,r&b,southern hip hop,trap,trap soul,underground hip hop","0.693","0.504","9","-11.621","1","0.0402","0.628","0.4","0.111","0.254","105.021","4"
"spotify:track:0Mdo5gCXq9u7EgsZHzYoLj","Fdf","spotify:artist:1V1HDPQwGOyUIr9KB6Oq7Q","cero","spotify:album:5CptywID2O1kmpNw3m2MOc","Fdf","2020-02-05","1","1","218250","false","44","spotify:user:1227113","2020-12-21T16:00:45Z","j-rock,japanese alternative rock,japanese city pop,japanese indie pop,japanese jazz fusion,japanese soul,shibuya-kei","0.656","0.673","10","-7.422","0","0.0411","0.066","0.668","0.129","0.575","117.012","4"
"spotify:track:4FYs8HgCNTKCJij634GIOM","Carry Me Home","spotify:artist:3u9rbdcmA6CxjxOAkjaeFr","KOKOROKO","spotify:album:0GBbljttsF1GRUlSAlbKfM","Carry Me Home","2020-03-03","1","1","327560","false","41","spotify:user:1227113","2020-12-21T16:00:45Z","british jazz,indie jazz,indie soul","0.409","0.747","10","-10.843","0","0.0638","0.172","0.609","0.407","0.803","129.984","4"
"spotify:track:3J3zyIsUORQRtWG2U2Ns62","Introspection (feat. Theo Croker)","spotify:artist:64bpQRbx4Nw2r7oIg1SAzw, spotify:artist:7iUF39q93Xixo33E6IvNYm","Ashley Henry, Theo Croker","spotify:album:0vgHCgQXFyO6z7OCZKSu52","Beautiful Vinyl Hunter","2019-09-06","1","4","305056","false","37","spotify:user:1227113","2020-12-21T16:00:45Z","british jazz,indie jazz,indie soul,neo r&b,uk contemporary jazz,jazz brass,jazz trumpet","0.537","0.646","8","-11.867","1","0.0324","0.239","0.962","0.0908","0.669","128.482","4"
